sequence,v115@EhC8FeF8DeG8AeF8JeO/IvhF6gB0cBxdBzfB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBCgB/mBTgBlqB,v115@EhC8FeF8DeG8AeF8JeK/IvhFzaB+gB0cBxdB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBflBlgBTmB6qB,v115@EhC8FeF8DeG8AeF8JeT6IvhF0bBxdBykBumBXhBlqB,v115@EhC8FeF8DeG8AeF8JeT6IvhFxdBlhBmkBUmB/lBCrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFCcBxdBTfBlhB/qBUrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFxdBTfBclBXmBlmBCrB
TZLSOIJ,O,O,O,X,X,X,O,X
TZLSOJI,O,O,O,X,O,X,O,X
TZLOIJS,O,X,O,X,O,X,O,X
TZLOISJ,O,X,O,X,X,X,O,X
TZLOJIS,O,X,O,X,O,X,O,X
TZLOJSI,O,X,O,X,O,X,X,X
TZLOSIJ,O,X,O,X,X,X,O,X
TZLOSJI,O,X,O,X,O,X,O,X
TZJILSO,O,O,O,X,O,O,X,X
TZJILOS,X,X,O,X,O,O,X,X
TZJISLO,O,O,O,X,X,O,O,X
TZJISOL,O,O,O,X,X,O,O,X
TZJIOLS,O,X,X,X,X,O,X,X
TZJIOSL,O,X,X,O,X,O,O,X
TZJLISO,O,O,O,X,O,O,X,X
TZJLIOS,X,X,O,X,O,O,X,X
TZJLSIO,O,O,O,X,O,O,X,X
TZJLSOI,O,O,O,X,O,O,X,X
TZJLOIS,X,X,O,X,O,O,X,X
TZJLOSI,X,X,O,X,O,O,X,X
TZJSILO,O,O,O,X,X,O,O,X
TZJSIOL,O,O,O,X,X,O,O,X
TZJSLIO,O,O,O,X,X,O,O,X
TZJSLOI,O,O,O,X,X,O,O,X
TZJSOIL,O,O,O,X,X,O,O,X
TZJSOLI,O,O,O,X,X,O,O,X
TZJOILS,O,X,X,X,X,O,X,X
TZJOISL,O,X,X,O,X,O,O,X
TZJOLIS,O,X,X,X,X,O,X,X
TZJOLSI,O,X,X,X,X,O,X,X
TZJOSIL,O,X,X,O,X,O,O,X
TZJOSLI,O,X,X,O,X,O,O,X
TZSILJO,O,O,O,X,X,X,O,X
TZSILOJ,O,O,O,X,X,X,O,X
TZSIJLO,O,O,O,X,X,O,O,X
TZSIJOL,O,O,O,X,X,O,O,X
TZSIOLJ,O,O,O,X,X,X,O,O
TZSIOJL,O,O,O,X,X,X,O,O
TZSLIJO,O,O,O,X,X,X,O,X
TZSLIOJ,O,O,O,X,X,X,O,X
TZSLJIO,O,O,O,X,X,X,O,X
TZSLJOI,O,O,O,X,X,X,O,X
TZSLOIJ,O,O,O,X,X,X,O,X
TZSLOJI,O,O,O,X,X,X,O,X
TZSJILO,O,O,O,X,X,O,O,X
TZSJIOL,O,O,O,X,X,O,O,X
TZSJLIO,O,O,O,X,X,O,O,X
TZSJLOI,O,O,O,X,X,O,O,X
TZSJOIL,O,O,O,X,X,O,O,X
TZSJOLI,O,O,O,X,X,O,O,X
TZSOILJ,O,O,O,X,X,X,O,O
TZSOIJL,O,O,O,X,X,X,O,O
TZSOLIJ,O,O,O,X,X,X,O,O
TZSOLJI,O,O,O,X,X,X,O,O
TZSOJIL,O,O,O,X,X,X,O,O
TZSOJLI,O,O,O,X,X,X,O,O
TZOILJS,O,X,X,X,X,X,O,X
TZOILSJ,O,X,X,X,X,X,O,X
TZOIJLS,O,X,X,X,X,O,O,X
TZOIJSL,O,X,X,O,X,O,O,O
TZOISLJ,O,X,X,O,X,X,O,O
TZOISJL,O,X,X,O,X,X,O,O
TZOLIJS,O,X,X,X,X,X,O,X
TZOLISJ,O,X,X,X,X,X,O,X
TZOLJIS,O,X,X,X,X,X,O,X
TZOLJSI,O,X,X,X,X,X,X,X
TZOLSIJ,O,X,X,X,X,X,O,X
TZOLSJI,O,X,X,X,X,X,O,X
TZOJILS,O,X,X,X,X,O,O,X
TZOJISL,O,X,X,O,X,O,O,O
TZOJLIS,O,X,X,X,X,O,O,X
TZOJLSI,O,X,X,X,X,O,X,X
TZOJSIL,O,X,X,O,X,O,O,O
TZOJSLI,O,X,X,O,X,O,O,O
TZOSILJ,O,X,X,O,X,X,O,O
TZOSIJL,O,X,X,O,X,X,O,O
TZOSLIJ,O,X,X,O,X,X,O,O
TZOSLJI,O,X,X,O,X,X,O,O
TZOSJIL,O,X,X,O,X,X,O,O
TZOSJLI,O,X,X,O,X,X,O,O
TOILJSZ,O,O,O,X,X,X,O,X
TOILJZS,O,X,O,X,X,X,O,X
TOILSJZ,O,O,O,X,X,X,O,X
TOILSZJ,O,O,O,X,X,X,O,X
TOILZJS,O,X,O,X,X,X,O,X
TOILZSJ,O,X,O,X,X,X,O,X
TOIJLSZ,O,O,O,X,X,X,O,X
TOIJLZS,O,X,O,X,X,X,O,X
TOIJSLZ,O,O,O,O,X,X,O,X
TOIJSZL,O,O,O,O,X,X,O,X
TOIJZLS,O,X,X,X,X,X,O,X
TOIJZSL,O,X,X,O,X,X,O,O
TOISLJZ,O,O,O,O,X,X,O,X
TOISLZJ,O,O,O,O,X,X,O,X
TOISJLZ,O,O,O,O,X,X,O,X
TOISJZL,O,O,O,O,X,X,O,X
TOISZLJ,O,O,O,O,X,X,O,O
TOISZJL,O,O,O,O,X,X,O,O
TOIZLJS,O,X,X,X,X,X,O,X
TOIZLSJ,O,X,X,X,X,X,O,X
TOIZJLS,O,X,X,X,X,O,O,X
TOIZJSL,O,X,X,O,X,O,O,O
TOIZSLJ,O,X,X,O,X,X,O,O
TOIZSJL,O,X,X,O,X,X,O,O
TOLIJSZ,O,O,O,X,O,X,O,X
TOLIJZS,O,X,O,X,O,X,O,X
TOLISJZ,O,O,O,X,X,X,O,X
TOLISZJ,O,O,O,X,X,X,O,X
TOLIZJS,O,X,O,X,O,X,O,X
TOLIZSJ,O,X,O,X,X,X,O,X
TOLJISZ,O,O,O,X,O,X,O,X
TOLJIZS,O,X,O,X,O,X,O,X
TOLJSIZ,O,O,O,X,O,X,O,X
TOLJSZI,O,O,O,X,O,X,X,X
TOLJZIS,O,X,O,X,O,X,O,X
TOLJZSI,O,X,O,X,O,X,X,X
TOLSIJZ,O,O,O,X,X,X,O,X
TOLSIZJ,O,O,O,X,X,X,O,X
TOLSJIZ,O,O,O,X,O,X,O,X
TOLSJZI,O,O,O,X,O,X,O,X
TOLSZIJ,O,O,O,X,X,X,O,X
TOLSZJI,O,O,O,X,O,X,O,X
TOLZIJS,O,X,O,X,O,X,O,X
TOLZISJ,O,X,O,X,X,X,O,X
TOLZJIS,O,X,O,X,O,X,O,X
TOLZJSI,O,X,O,X,O,X,X,X
TOLZSIJ,O,X,O,X,X,X,O,X
TOLZSJI,O,X,O,X,O,X,O,X
TOJILSZ,O,O,O,X,O,X,O,X
TOJILZS,O,X,O,X,O,X,O,X
TOJISLZ,O,O,O,O,X,X,O,X
TOJISZL,O,O,O,O,X,X,O,X
TOJIZLS,O,X,X,X,X,X,O,X
TOJIZSL,O,X,X,O,X,X,O,O
TOJLISZ,O,O,O,X,O,X,O,X
TOJLIZS,O,X,O,X,O,X,O,X
TOJLSIZ,O,O,O,X,O,X,O,X
TOJLSZI,O,O,O,X,O,X,X,X
TOJLZIS,O,X,O,X,O,X,O,X
TOJLZSI,O,X,O,X,O,X,X,X
TOJSILZ,O,O,O,O,X,X,O,X
TOJSIZL,O,O,O,O,X,X,O,X
TOJSLIZ,O,O,O,O,X,X,O,X
TOJSLZI,O,O,O,O,X,X,O,X
TOJSZIL,O,O,O,O,X,X,O,X
TOJSZLI,O,O,O,O,X,X,O,X
TOJZILS,O,X,X,X,X,X,O,X
TOJZISL,O,X,X,O,X,X,O,O
TOJZLIS,O,X,X,X,X,X,O,X
TOJZLSI,O,X,X,X,X,X,X,X
TOJZSIL,O,X,X,O,X,X,O,O
TOJZSLI,O,X,X,O,X,X,O,O
TOSILJZ,O,O,O,O,X,X,O,X
TOSILZJ,O,O,O,O,X,X,O,X
TOSIJLZ,O,O,O,O,X,X,O,X
TOSIJZL,O,O,O,O,X,X,O,X
TOSIZLJ,O,O,O,O,X,X,O,O
TOSIZJL,O,O,O,O,X,X,O,O
TOSLIJZ,O,O,O,O,X,X,O,X
TOSLIZJ,O,O,O,O,X,X,O,X
TOSLJIZ,O,O,O,O,X,X,O,X
TOSLJZI,O,O,O,O,X,X,O,X
TOSLZIJ,O,O,O,O,X,X,O,X
TOSLZJI,O,O,O,O,X,X,O,X
TOSJILZ,O,O,O,O,X,X,O,X
TOSJIZL,O,O,O,O,X,X,O,X
TOSJLIZ,O,O,O,O,X,X,O,X
TOSJLZI,O,O,O,O,X,X,O,X
TOSJZIL,O,O,O,O,X,X,O,X
TOSJZLI,O,O,O,O,X,X,O,X
TOSZILJ,O,O,O,O,X,X,O,O
TOSZIJL,O,O,O,O,X,X,O,O
TOSZLIJ,O,O,O,O,X,X,O,O
TOSZLJI,O,O,O,O,X,X,O,O
TOSZJIL,O,O,O,O,X,X,O,O
TOSZJLI,O,O,O,O,X,X,O,O
TOZILJS,O,X,X,X,X,X,O,X
TOZILSJ,O,X,X,X,X,X,O,X
TOZIJLS,O,X,X,X,X,O,O,X
TOZIJSL,O,X,X,O,X,O,O,O
TOZISLJ,O,X,X,O,X,X,O,O
TOZISJL,O,X,X,O,X,X,O,O
TOZLIJS,O,X,X,X,X,X,O,X
TOZLISJ,O,X,X,X,X,X,O,X
TOZLJIS,O,X,X,X,X,X,O,X
TOZLJSI,O,X,X,X,X,X,X,X
TOZLSIJ,O,X,X,X,X,X,O,X
TOZLSJI,O,X,X,X,X,X,O,X
TOZJILS,O,X,X,X,X,O,O,X
TOZJISL,O,X,X,O,X,O,O,O
TOZJLIS,O,X,X,X,X,O,O,X
TOZJLSI,O,X,X,X,X,O,X,X
TOZJSIL,O,X,X,O,X,O,O,O
TOZJSLI,O,X,X,O,X,O,O,O
TOZSILJ,O,X,X,O,X,X,O,O
TOZSIJL,O,X,X,O,X,X,O,O
TOZSLIJ,O,X,X,O,X,X,O,O
TOZSLJI,O,X,X,O,X,X,O,O
TOZSJIL,O,X,X,O,X,X,O,O
TOZSJLI,O,X,X,O,X,X,O,O
ITLJSZO,O,O,O,X,O,X,O,X
ITLJSOZ,O,O,O,X,O,X,O,X
ITLJZSO,O,O,O,X,O,X,X,X
ITLJZOS,X,X,O,X,O,X,X,X
ITLJOSZ,O,O,O,X,O,X,O,X
ITLJOZS,O,X,O,X,O,X,O,X
ITLSJZO,O,O,O,X,X,X,O,X
ITLSJOZ,O,O,O,X,X,X,O,X
ITLSZJO,O,O,O,X,X,X,O,X
ITLSZOJ,O,O,O,X,X,X,O,X
ITLSOJZ,O,O,O,X,X,X,O,X
ITLSOZJ,O,O,O,X,X,X,O,X
ITLZJSO,O,O,O,X,O,O,X,X
ITLZJOS,X,X,O,X,O,O,X,X
ITLZSJO,O,O,O,X,X,X,O,X
ITLZSOJ,O,O,O,X,X,X,O,X
ITLZOJS,O,X,O,X,O,X,O,X
ITLZOSJ,O,X,O,X,X,X,O,X
ITLOJSZ,O,O,O,X,O,X,O,X
ITLOJZS,O,X,O,X,O,X,O,X
ITLOSJZ,O,O,O,X,X,X,O,X
ITLOSZJ,O,O,O,X,X,X,O,X
ITLOZJS,O,X,O,X,O,X,O,X
ITLOZSJ,O,X,O,X,X,X,O,X
ITJLSZO,O,O,O,X,O,X,O,X
ITJLSOZ,O,O,O,X,O,X,O,X
ITJLZSO,O,O,O,X,O,X,X,X
ITJLZOS,X,X,O,X,O,X,X,X
ITJLOSZ,O,O,O,X,O,X,O,X
ITJLOZS,O,X,O,X,O,X,O,X
ITJSLZO,O,O,O,X,O,X,O,X
ITJSLOZ,O,O,O,X,O,X,O,X
ITJSZLO,O,O,O,X,X,X,O,X
ITJSZOL,O,O,O,X,X,X,X,X
ITJSOLZ,O,O,O,O,X,X,O,X
ITJSOZL,O,O,O,O,X,X,O,X
ITJZLSO,O,O,O,X,O,O,X,X
ITJZLOS,X,X,O,X,O,O,X,X
ITJZSLO,O,O,O,X,X,O,O,X
ITJZSOL,O,O,O,X,X,O,O,X
ITJZOLS,O,X,X,X,X,O,X,X
ITJZOSL,O,X,X,O,X,O,O,X
ITJOLSZ,O,O,O,X,O,X,O,X
ITJOLZS,O,X,O,X,O,X,O,X
ITJOSLZ,O,O,O,O,X,X,O,X
ITJOSZL,O,O,O,O,X,X,O,X
ITJOZLS,O,X,X,X,X,O,O,X
ITJOZSL,O,X,X,O,X,O,O,X
ITSLJZO,O,O,O,X,X,X,O,X
ITSLJOZ,O,O,O,X,X,X,O,X
ITSLZJO,O,O,O,X,X,X,O,X
ITSLZOJ,O,O,O,X,X,X,O,X
ITSLOJZ,O,O,O,X,X,X,O,X
ITSLOZJ,O,O,O,X,X,X,O,X
ITSJLZO,O,O,O,X,X,X,O,X
ITSJLOZ,O,O,O,X,X,X,O,X
ITSJZLO,O,O,O,X,X,X,O,X
ITSJZOL,O,O,O,X,X,X,O,X
ITSJOLZ,O,O,O,O,X,X,O,X
ITSJOZL,O,O,O,O,X,X,O,X
ITSZLJO,O,O,O,X,X,X,O,X
ITSZLOJ,O,O,O,X,X,X,O,X
ITSZJLO,O,O,O,X,X,O,O,X
ITSZJOL,O,O,O,X,X,O,O,X
ITSZOLJ,O,O,O,X,X,X,O,O
ITSZOJL,O,O,O,X,X,X,O,O
ITSOLJZ,O,O,O,O,X,X,O,X
ITSOLZJ,O,O,O,O,X,X,O,X
ITSOJLZ,O,O,O,O,X,X,O,X
ITSOJZL,O,O,O,O,X,X,O,X
ITSOZLJ,O,O,O,O,X,X,O,O
ITSOZJL,O,O,O,O,X,X,O,O
ITZLJSO,O,O,O,X,X,O,X,X
ITZLJOS,X,X,O,X,X,O,X,X
ITZLSJO,O,O,O,X,X,X,O,X
ITZLSOJ,O,O,O,X,X,X,O,X
ITZLOJS,O,X,O,X,X,X,O,X
ITZLOSJ,O,X,O,X,X,X,O,X
ITZJLSO,O,O,O,X,X,O,X,X
ITZJLOS,X,X,O,X,X,O,X,X
ITZJSLO,O,O,O,X,X,O,O,X
ITZJSOL,O,O,O,X,X,O,O,X
ITZJOLS,O,X,X,X,X,O,X,X
ITZJOSL,O,X,X,O,X,O,O,X
ITZSLJO,O,O,O,X,X,X,O,X
ITZSLOJ,O,O,O,X,X,X,O,X
ITZSJLO,O,O,O,X,X,O,O,X
ITZSJOL,O,O,O,X,X,O,O,X
ITZSOLJ,O,O,O,X,X,X,O,O
ITZSOJL,O,O,O,X,X,X,O,O
ITZOLJS,O,X,X,X,X,X,O,X
ITZOLSJ,O,X,X,X,X,X,O,X
ITZOJLS,O,X,X,X,X,O,O,X
ITZOJSL,O,X,X,O,X,O,O,O
ITZOSLJ,O,X,X,O,X,X,O,O
ITZOSJL,O,X,X,O,X,X,O,O
ITOLJSZ,O,O,O,X,X,X,O,X
ITOLJZS,O,X,O,X,X,X,O,X
ITOLSJZ,O,O,O,X,X,X,O,X
ITOLSZJ,O,O,O,X,X,X,O,X
ITOLZJS,O,X,O,X,X,X,O,X
ITOLZSJ,O,X,O,X,X,X,O,X
ITOJLSZ,O,O,O,X,X,X,O,X
ITOJLZS,O,X,O,X,X,X,O,X
ITOJSLZ,O,O,O,O,X,X,O,X
ITOJSZL,O,O,O,O,X,X,O,X
ITOJZLS,O,X,X,X,X,X,O,X
ITOJZSL,O,X,X,O,X,X,O,O
ITOSLJZ,O,O,O,O,X,X,O,X
ITOSLZJ,O,O,O,O,X,X,O,X
ITOSJLZ,O,O,O,O,X,X,O,X
ITOSJZL,O,O,O,O,X,X,O,X
ITOSZLJ,O,O,O,O,X,X,O,O
ITOSZJL,O,O,O,O,X,X,O,O
ITOZLJS,O,X,X,X,X,X,O,X
ITOZLSJ,O,X,X,X,X,X,O,X
ITOZJLS,O,X,X,X,X,O,O,X
ITOZJSL,O,X,X,O,X,O,O,O
ITOZSLJ,O,X,X,O,X,X,O,O
ITOZSJL,O,X,X,O,X,X,O,O
ILTJSZO,O,O,O,X,O,X,O,X
ILTJSOZ,O,O,O,X,O,X,O,X
ILTJZSO,O,O,O,X,O,X,X,X
ILTJZOS,X,X,O,X,O,X,X,X
ILTJOSZ,O,O,O,X,O,X,O,X
ILTJOZS,O,X,O,X,O,X,O,X
ILTSJZO,O,O,O,X,X,X,O,X
ILTSJOZ,O,O,O,X,X,X,O,X
ILTSZJO,O,O,O,X,X,X,O,X
ILTSZOJ,O,O,O,X,X,X,O,X
ILTSOJZ,O,O,O,X,X,X,O,X
ILTSOZJ,O,O,O,X,X,X,O,X
ILTZJSO,O,O,O,X,O,O,X,X
ILTZJOS,X,X,O,X,O,O,X,X
ILTZSJO,O,O,O,X,X,X,O,X
ILTZSOJ,O,O,O,X,X,X,O,X
ILTZOJS,O,X,O,X,O,X,O,X
ILTZOSJ,O,X,O,X,X,X,O,X
ILTOJSZ,O,O,O,X,O,X,O,X
ILTOJZS,O,X,O,X,O,X,O,X
ILTOSJZ,O,O,O,X,X,X,O,X
ILTOSZJ,O,O,O,X,X,X,O,X
ILTOZJS,O,X,O,X,O,X,O,X
ILTOZSJ,O,X,O,X,X,X,O,X
ILJTSZO,O,O,O,X,O,X,X,X
ILJTSOZ,O,O,O,X,O,X,X,X
ILJTZSO,O,O,O,X,O,X,X,X
ILJTZOS,X,X,O,X,O,X,X,X
ILJTOSZ,O,O,O,X,O,X,X,X
ILJTOZS,O,X,O,X,O,X,X,X
ILJSTZO,O,O,O,X,O,X,X,X
ILJSTOZ,O,O,O,X,O,X,X,X
ILJSZTO,O,O,O,X,X,X,X,X
ILJSZOT,O,O,X,X,O,X,X,X
ILJSOTZ,O,X,X,O,O,X,X,X
ILJSOZT,O,O,X,O,O,X,X,X
ILJZTSO,X,O,X,X,O,O,X,X
ILJZTOS,X,X,X,X,O,O,X,X
ILJZSTO,O,O,O,X,X,X,X,X
ILJZSOT,O,O,X,X,O,X,X,X
ILJZOTS,X,X,X,X,O,O,X,X
ILJZOST,X,X,X,O,O,X,X,X
ILJOTSZ,O,O,O,X,O,X,X,X
ILJOTZS,O,X,O,X,O,X,X,X
ILJOSTZ,O,X,X,O,O,X,X,X
ILJOSZT,O,O,X,O,O,X,X,X
ILJOZTS,O,X,X,X,O,O,X,X
ILJOZST,O,X,X,O,O,X,X,X
ILSTJZO,O,O,O,X,X,X,O,X
ILSTJOZ,O,O,O,X,X,X,O,X
ILSTZJO,O,O,O,X,X,X,O,X
ILSTZOJ,O,O,O,X,X,X,O,X
ILSTOJZ,O,O,O,X,X,X,O,X
ILSTOZJ,O,O,O,X,X,X,O,X
ILSJTZO,O,O,O,X,O,X,O,X
ILSJTOZ,O,O,O,X,O,X,O,X
ILSJZTO,O,O,O,X,X,X,O,X
ILSJZOT,O,O,X,X,O,X,O,X
ILSJOTZ,O,X,X,O,O,X,X,X
ILSJOZT,O,O,X,O,O,X,X,X
ILSZTJO,O,O,O,X,X,X,O,X
ILSZTOJ,O,O,O,X,X,X,O,X
ILSZJTO,O,O,O,X,X,X,O,X
ILSZJOT,O,O,X,X,X,X,O,X
ILSZOTJ,O,X,O,X,X,X,O,O
ILSZOJT,O,O,X,X,X,X,O,O
ILSOTJZ,O,X,O,O,X,X,O,X
ILSOTZJ,O,X,O,O,X,X,O,X
ILSOJTZ,O,X,X,O,O,X,O,X
ILSOJZT,O,O,X,O,O,X,O,X
ILSOZTJ,O,X,O,O,X,X,O,O
ILSOZJT,O,O,X,O,X,X,O,O
ILZTJSO,X,O,O,X,X,O,X,X
ILZTJOS,X,X,O,X,X,O,X,X
ILZTSJO,X,O,O,X,X,X,O,X
ILZTSOJ,X,O,O,X,X,X,O,X
ILZTOJS,X,X,O,X,X,X,X,X
ILZTOSJ,X,X,O,X,X,X,O,X
ILZJTSO,X,O,X,X,O,O,X,X
ILZJTOS,X,X,X,X,O,O,X,X
ILZJSTO,O,O,O,X,X,X,X,X
ILZJSOT,O,O,X,X,O,X,X,X
ILZJOTS,X,X,X,X,O,O,X,X
ILZJOST,X,X,X,O,O,X,X,X
ILZSTJO,O,O,O,X,X,X,X,X
ILZSTOJ,O,O,O,X,X,X,X,X
ILZSJTO,O,O,O,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X,X
ILZSOTJ,O,X,O,X,X,X,X,O
ILZSOJT,O,O,X,X,X,X,X,O
ILZOTJS,X,X,O,X,X,X,X,X
ILZOTSJ,X,X,O,X,X,X,O,X
ILZOJTS,X,X,X,X,O,X,X,X
ILZOJST,X,X,X,O,O,X,X,O
ILZOSTJ,X,X,O,O,X,X,X,O
ILZOSJT,X,X,X,O,X,X,X,O
ILOTJSZ,O,O,O,X,O,X,O,X
ILOTJZS,O,X,O,X,O,X,O,X
ILOTSJZ,O,O,O,X,X,X,O,X
ILOTSZJ,O,O,O,X,X,X,O,X
ILOTZJS,O,X,O,X,O,X,O,X
ILOTZSJ,O,X,O,X,X,X,O,X
ILOJTSZ,O,O,O,X,O,X,O,X
ILOJTZS,O,X,O,X,O,X,O,X
ILOJSTZ,O,X,X,O,O,X,O,X
ILOJSZT,O,O,X,O,O,X,O,X
ILOJZTS,O,X,X,X,O,X,X,X
ILOJZST,O,X,X,O,O,X,X,O
ILOSTJZ,O,X,O,O,X,X,O,X
ILOSTZJ,O,X,O,O,X,X,O,X
ILOSJTZ,O,X,X,O,O,X,O,X
ILOSJZT,O,O,X,O,O,X,O,X
ILOSZTJ,O,X,O,O,X,X,O,O
ILOSZJT,O,O,X,O,X,X,O,O
ILOZTJS,O,X,O,X,X,X,X,X
ILOZTSJ,O,X,O,X,X,X,O,X
ILOZJTS,O,X,X,X,O,X,X,X
ILOZJST,O,X,X,O,O,X,X,O
ILOZSTJ,O,X,O,O,X,X,X,O
ILOZSJT,O,X,X,O,X,X,X,O
IJTLSZO,O,O,O,X,O,X,O,X
IJTLSOZ,O,O,O,X,O,X,O,X
IJTLZSO,O,O,O,X,O,X,X,X
IJTLZOS,X,X,O,X,O,X,X,X
IJTLOSZ,O,O,O,X,O,X,O,X
IJTLOZS,O,X,O,X,O,X,O,X
IJTSLZO,O,O,O,X,O,X,O,X
IJTSLOZ,O,O,O,X,O,X,O,X
IJTSZLO,O,O,O,X,X,X,O,X
IJTSZOL,O,O,O,X,X,X,X,X
IJTSOLZ,O,O,O,O,X,X,O,X
IJTSOZL,O,O,O,O,X,X,O,X
IJTZLSO,O,O,O,X,O,O,X,X
IJTZLOS,X,X,O,X,O,O,X,X
IJTZSLO,O,O,O,X,X,O,O,X
IJTZSOL,O,O,O,X,X,O,O,X
IJTZOLS,O,X,X,X,X,O,X,X
IJTZOSL,O,X,X,O,X,O,O,X
IJTOLSZ,O,O,O,X,O,X,O,X
IJTOLZS,O,X,O,X,O,X,O,X
IJTOSLZ,O,O,O,O,X,X,O,X
IJTOSZL,O,O,O,O,X,X,O,X
IJTOZLS,O,X,X,X,X,O,O,X
IJTOZSL,O,X,X,O,X,O,O,X
IJLTSZO,O,O,O,X,O,X,X,X
IJLTSOZ,O,O,O,X,O,X,X,X
IJLTZSO,O,O,O,X,O,X,X,X
IJLTZOS,X,X,O,X,O,X,X,X
IJLTOSZ,O,O,O,X,O,X,X,X
IJLTOZS,O,X,O,X,O,X,X,X
IJLSTZO,O,O,O,X,O,X,X,X
IJLSTOZ,O,O,O,X,O,X,X,X
IJLSZTO,O,O,O,X,X,X,X,X
IJLSZOT,O,O,X,X,O,X,X,X
IJLSOTZ,O,X,X,O,O,X,X,X
IJLSOZT,O,O,X,O,O,X,X,X
IJLZTSO,X,O,X,X,O,O,X,X
IJLZTOS,X,X,X,X,O,O,X,X
IJLZSTO,O,O,O,X,X,X,X,X
IJLZSOT,O,O,X,X,O,X,X,X
IJLZOTS,X,X,X,X,O,O,X,X
IJLZOST,X,X,X,O,O,X,X,X
IJLOTSZ,O,O,O,X,O,X,X,X
IJLOTZS,O,X,O,X,O,X,X,X
IJLOSTZ,O,X,X,O,O,X,X,X
IJLOSZT,O,O,X,O,O,X,X,X
IJLOZTS,O,X,X,X,O,O,X,X
IJLOZST,O,X,X,O,O,X,X,X
IJSTLZO,O,O,O,X,O,X,O,X
IJSTLOZ,O,O,O,X,O,X,O,X
IJSTZLO,O,O,O,X,X,X,O,X
IJSTZOL,O,O,O,X,X,X,O,X
IJSTOLZ,O,O,O,O,X,X,O,X
IJSTOZL,O,O,O,O,X,X,O,X
IJSLTZO,O,O,O,X,O,X,O,X
IJSLTOZ,O,O,O,X,O,X,O,X
IJSLZTO,O,O,O,X,X,X,O,X
IJSLZOT,O,O,X,X,O,X,O,X
IJSLOTZ,O,X,X,O,O,X,X,X
IJSLOZT,O,O,X,O,O,X,X,X
IJSZTLO,O,O,O,X,X,O,O,X
IJSZTOL,O,O,O,X,X,O,O,X
IJSZLTO,O,O,O,X,X,X,O,X
IJSZLOT,O,O,X,X,X,X,O,X
IJSZOTL,O,O,X,O,X,O,O,O
IJSZOLT,O,O,X,O,X,X,O,O
IJSOTLZ,O,O,X,O,X,X,O,X
IJSOTZL,O,O,X,O,X,X,O,X
IJSOLTZ,O,X,X,O,X,X,O,X
IJSOLZT,O,O,X,O,X,X,O,X
IJSOZTL,O,O,X,O,X,O,O,O
IJSOZLT,O,O,X,O,X,X,O,O
IJZTLSO,O,O,X,X,O,O,X,X
IJZTLOS,X,X,X,X,O,O,X,X
IJZTSLO,O,O,X,X,X,O,O,X
IJZTSOL,O,O,X,X,X,O,O,X
IJZTOLS,O,X,X,X,X,O,X,X
IJZTOSL,O,X,X,O,X,O,O,X
IJZLTSO,X,O,X,X,O,O,X,X
IJZLTOS,X,X,X,X,O,O,X,X
IJZLSTO,O,O,O,X,X,X,X,X
IJZLSOT,O,O,X,X,O,X,X,X
IJZLOTS,X,X,X,X,O,O,X,X
IJZLOST,X,X,X,O,O,X,X,X
IJZSTLO,O,O,O,X,X,O,X,X
IJZSTOL,O,O,O,X,X,O,X,X
IJZSLTO,O,O,O,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,X,X
IJZSOTL,O,O,X,O,X,O,X,O
IJZSOLT,O,O,X,O,X,X,X,O
IJZOTLS,O,X,X,X,X,O,X,X
IJZOTSL,O,X,X,O,X,O,O,O
IJZOLTS,O,X,X,X,X,O,X,X
IJZOLST,O,X,X,O,X,X,X,O
IJZOSTL,O,O,X,O,X,O,X,O
IJZOSLT,O,O,X,O,X,X,X,O
IJOTLSZ,O,O,X,X,O,X,O,X
IJOTLZS,O,X,X,X,O,X,O,X
IJOTSLZ,O,O,X,O,X,X,O,X
IJOTSZL,O,O,X,O,X,X,O,X
IJOTZLS,O,X,X,X,X,O,O,X
IJOTZSL,O,X,X,O,X,O,O,O
IJOLTSZ,O,O,X,X,O,X,O,X
IJOLTZS,O,X,X,X,O,X,O,X
IJOLSTZ,O,X,X,O,O,X,O,X
IJOLSZT,O,O,X,O,O,X,O,X
IJOLZTS,O,X,X,X,O,O,X,X
IJOLZST,O,X,X,O,O,X,X,O
IJOSTLZ,O,O,X,O,X,X,O,X
IJOSTZL,O,O,X,O,X,X,O,X
IJOSLTZ,O,X,X,O,X,X,O,X
IJOSLZT,O,O,X,O,X,X,O,X
IJOSZTL,O,O,X,O,X,O,O,O
IJOSZLT,O,O,X,O,X,X,O,O
IJOZTLS,O,X,X,X,X,O,O,X
IJOZTSL,O,X,X,O,X,O,O,O
IJOZLTS,O,X,X,X,X,O,X,X
IJOZLST,O,X,X,O,X,X,X,O
IJOZSTL,O,O,X,O,X,O,O,O
IJOZSLT,O,O,X,O,X,X,O,O
ISTLJZO,O,O,O,X,X,X,O,X
ISTLJOZ,O,O,O,X,X,X,O,X
ISTLZJO,O,O,O,X,X,X,O,X
