sequence,v115@EhC8FeF8DeG8AeF8JeO/IvhF6gB0cBxdBzfB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBCgB/mBTgBlqB,v115@EhC8FeF8DeG8AeF8JeK/IvhFzaB+gB0cBxdB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBflBlgBTmB6qB,v115@EhC8FeF8DeG8AeF8JeT6IvhF0bBxdBykBumBXhBlqB,v115@EhC8FeF8DeG8AeF8JeT6IvhFxdBlhBmkBUmB/lBCrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFCcBxdBTfBlhB/qBUrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFxdBTfBclBXmBlmBCrB
TIOZSLJ,O,X,X,O,X,X,O,O
TIOZSJL,O,X,X,O,X,X,O,O
TLIJSZO,O,O,O,X,O,X,O,X
TLIJSOZ,O,O,O,X,O,X,O,X
TLIJZSO,O,O,O,X,O,X,X,X
TLIJZOS,X,X,O,X,O,X,X,X
TLIJOSZ,O,O,O,X,O,X,O,X
TLIJOZS,O,X,O,X,O,X,O,X
TLISJZO,O,O,O,X,X,X,O,X
TLISJOZ,O,O,O,X,X,X,O,X
TLISZJO,O,O,O,X,X,X,O,X
TLISZOJ,O,O,O,X,X,X,O,X
TLISOJZ,O,O,O,X,X,X,O,X
TLISOZJ,O,O,O,X,X,X,O,X
TLIZJSO,O,O,O,X,O,O,X,X
TLIZJOS,X,X,O,X,O,O,X,X
TLIZSJO,O,O,O,X,X,X,O,X
TLIZSOJ,O,O,O,X,X,X,O,X
TLIZOJS,O,X,O,X,O,X,O,X
TLIZOSJ,O,X,O,X,X,X,O,X
TLIOJSZ,O,O,O,X,O,X,O,X
TLIOJZS,O,X,O,X,O,X,O,X
TLIOSJZ,O,O,O,X,X,X,O,X
TLIOSZJ,O,O,O,X,X,X,O,X
TLIOZJS,O,X,O,X,O,X,O,X
TLIOZSJ,O,X,O,X,X,X,O,X
TLJISZO,O,O,O,X,O,X,O,X
TLJISOZ,O,O,O,X,O,X,O,X
TLJIZSO,O,O,O,X,O,X,X,X
TLJIZOS,X,X,O,X,O,X,X,X
TLJIOSZ,O,O,O,X,O,X,O,X
TLJIOZS,O,X,O,X,O,X,O,X
TLJSIZO,O,O,O,X,O,X,O,X
TLJSIOZ,O,O,O,X,O,X,O,X
TLJSZIO,O,O,O,X,O,X,O,X
TLJSZOI,O,O,O,X,O,X,X,X
TLJSOIZ,O,O,O,X,O,X,O,X
TLJSOZI,O,O,O,X,O,X,O,X
TLJZISO,O,O,O,X,O,X,X,X
TLJZIOS,X,X,O,X,O,X,X,X
TLJZSIO,O,O,O,X,O,X,X,X
TLJZSOI,O,O,O,X,O,X,X,X
TLJZOIS,X,X,O,X,O,X,X,X
TLJZOSI,X,X,O,X,O,X,X,X
TLJOISZ,O,O,O,X,O,X,O,X
TLJOIZS,O,X,O,X,O,X,O,X
TLJOSIZ,O,O,O,X,O,X,O,X
TLJOSZI,O,O,O,X,O,X,X,X
TLJOZIS,O,X,O,X,O,X,O,X
TLJOZSI,O,X,O,X,O,X,X,X
TLSIJZO,O,O,O,X,X,X,O,X
TLSIJOZ,O,O,O,X,X,X,O,X
TLSIZJO,O,O,O,X,X,X,O,X
TLSIZOJ,O,O,O,X,X,X,O,X
TLSIOJZ,O,O,O,X,X,X,O,X
TLSIOZJ,O,O,O,X,X,X,O,X
TLSJIZO,O,O,O,X,O,X,O,X
TLSJIOZ,O,O,O,X,O,X,O,X
TLSJZIO,O,O,O,X,O,X,O,X
TLSJZOI,O,O,O,X,O,X,X,X
TLSJOIZ,O,O,O,X,O,X,O,X
TLSJOZI,O,O,O,X,O,X,O,X
TLSZIJO,O,O,O,X,X,X,O,X
TLSZIOJ,O,O,O,X,X,X,O,X
TLSZJIO,O,O,O,X,O,X,O,X
TLSZJOI,O,O,O,X,O,X,X,X
TLSZOIJ,O,O,O,X,X,X,O,X
TLSZOJI,O,O,O,X,O,X,O,X
TLSOIJZ,O,O,O,X,X,X,O,X
TLSOIZJ,O,O,O,X,X,X,O,X
TLSOJIZ,O,O,O,X,O,X,O,X
TLSOJZI,O,O,O,X,O,X,O,X
TLSOZIJ,O,O,O,X,X,X,O,X
TLSOZJI,O,O,O,X,O,X,O,X
TLZIJSO,O,O,O,X,O,O,X,X
TLZIJOS,X,X,O,X,O,O,X,X
TLZISJO,O,O,O,X,X,X,O,X
TLZISOJ,O,O,O,X,X,X,O,X
TLZIOJS,O,X,O,X,O,X,O,X
TLZIOSJ,O,X,O,X,X,X,O,X
TLZJISO,O,O,O,X,O,O,X,X
TLZJIOS,X,X,O,X,O,O,X,X
TLZJSIO,O,O,O,X,O,O,X,X
TLZJSOI,O,O,O,X,O,O,X,X
TLZJOIS,X,X,O,X,O,O,X,X
TLZJOSI,X,X,O,X,O,O,X,X
TLZSIJO,O,O,O,X,X,X,O,X
TLZSIOJ,O,O,O,X,X,X,O,X
TLZSJIO,O,O,O,X,O,X,O,X
TLZSJOI,O,O,O,X,O,X,O,X
TLZSOIJ,O,O,O,X,X,X,O,X
TLZSOJI,O,O,O,X,O,X,O,X
TLZOIJS,O,X,O,X,O,X,O,X
TLZOISJ,O,X,O,X,X,X,O,X
TLZOJIS,O,X,O,X,O,X,O,X
TLZOJSI,O,X,O,X,O,X,X,X
TLZOSIJ,O,X,O,X,X,X,O,X
TLZOSJI,O,X,O,X,O,X,O,X
TLOIJSZ,O,O,O,X,O,X,O,X
TLOIJZS,O,X,O,X,O,X,O,X
TLOISJZ,O,O,O,X,X,X,O,X
TLOISZJ,O,O,O,X,X,X,O,X
TLOIZJS,O,X,O,X,O,X,O,X
TLOIZSJ,O,X,O,X,X,X,O,X
TLOJISZ,O,O,O,X,O,X,O,X
TLOJIZS,O,X,O,X,O,X,O,X
TLOJSIZ,O,O,O,X,O,X,O,X
TLOJSZI,O,O,O,X,O,X,X,X
TLOJZIS,O,X,O,X,O,X,O,X
TLOJZSI,O,X,O,X,O,X,X,X
TLOSIJZ,O,O,O,X,X,X,O,X
TLOSIZJ,O,O,O,X,X,X,O,X
TLOSJIZ,O,O,O,X,O,X,O,X
TLOSJZI,O,O,O,X,O,X,O,X
TLOSZIJ,O,O,O,X,X,X,O,X
TLOSZJI,O,O,O,X,O,X,O,X
TLOZIJS,O,X,O,X,O,X,O,X
TLOZISJ,O,X,O,X,X,X,O,X
TLOZJIS,O,X,O,X,O,X,O,X
TLOZJSI,O,X,O,X,O,X,X,X
TLOZSIJ,O,X,O,X,X,X,O,X
TLOZSJI,O,X,O,X,O,X,O,X
TJILSZO,O,O,O,X,O,X,O,X
TJILSOZ,O,O,O,X,O,X,O,X
TJILZSO,O,O,O,X,O,X,X,X
TJILZOS,X,X,O,X,O,X,X,X
TJILOSZ,O,O,O,X,O,X,O,X
TJILOZS,O,X,O,X,O,X,O,X
TJISLZO,O,O,O,X,O,X,O,X
TJISLOZ,O,O,O,X,O,X,O,X
TJISZLO,O,O,O,X,X,X,O,X
TJISZOL,O,O,O,X,X,X,X,X
TJISOLZ,O,O,O,O,X,X,O,X
TJISOZL,O,O,O,O,X,X,O,X
TJIZLSO,O,O,O,X,O,O,X,X
TJIZLOS,X,X,O,X,O,O,X,X
TJIZSLO,O,O,O,X,X,O,O,X
TJIZSOL,O,O,O,X,X,O,O,X
TJIZOLS,O,X,X,X,X,O,X,X
TJIZOSL,O,X,X,O,X,O,O,X
TJIOLSZ,O,O,O,X,O,X,O,X
TJIOLZS,O,X,O,X,O,X,O,X
TJIOSLZ,O,O,O,O,X,X,O,X
TJIOSZL,O,O,O,O,X,X,O,X
TJIOZLS,O,X,X,X,X,O,O,X
TJIOZSL,O,X,X,O,X,O,O,X
TJLISZO,O,O,O,X,O,X,O,X
TJLISOZ,O,O,O,X,O,X,O,X
TJLIZSO,O,O,O,X,O,X,X,X
TJLIZOS,X,X,O,X,O,X,X,X
TJLIOSZ,O,O,O,X,O,X,O,X
TJLIOZS,O,X,O,X,O,X,O,X
TJLSIZO,O,O,O,X,O,X,O,X
TJLSIOZ,O,O,O,X,O,X,O,X
TJLSZIO,O,O,O,X,O,X,O,X
TJLSZOI,O,O,O,X,O,X,X,X
TJLSOIZ,O,O,O,X,O,X,O,X
TJLSOZI,O,O,O,X,O,X,O,X
TJLZISO,O,O,O,X,O,X,X,X
TJLZIOS,X,X,O,X,O,X,X,X
TJLZSIO,O,O,O,X,O,X,X,X
TJLZSOI,O,O,O,X,O,X,X,X
TJLZOIS,X,X,O,X,O,X,X,X
TJLZOSI,X,X,O,X,O,X,X,X
TJLOISZ,O,O,O,X,O,X,O,X
TJLOIZS,O,X,O,X,O,X,O,X
TJLOSIZ,O,O,O,X,O,X,O,X
TJLOSZI,O,O,O,X,O,X,X,X
TJLOZIS,O,X,O,X,O,X,O,X
TJLOZSI,O,X,O,X,O,X,X,X
TJSILZO,O,O,O,X,O,X,O,X
TJSILOZ,O,O,O,X,O,X,O,X
TJSIZLO,O,O,O,X,X,X,O,X
TJSIZOL,O,O,O,X,X,X,X,X
TJSIOLZ,O,O,O,O,X,X,O,X
TJSIOZL,O,O,O,O,X,X,O,X
TJSLIZO,O,O,O,X,O,X,O,X
TJSLIOZ,O,O,O,X,O,X,O,X
TJSLZIO,O,O,O,X,O,X,O,X
TJSLZOI,O,O,O,X,O,X,X,X
TJSLOIZ,O,O,O,X,O,X,O,X
TJSLOZI,O,O,O,X,O,X,O,X
TJSZILO,O,O,O,X,X,X,O,X
TJSZIOL,O,O,O,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,O,X
TJSZLOI,O,O,O,X,X,X,X,X
TJSZOIL,O,O,O,X,X,X,X,X
TJSZOLI,O,O,O,X,X,X,X,X
TJSOILZ,O,O,O,O,X,X,O,X
TJSOIZL,O,O,O,O,X,X,O,X
TJSOLIZ,O,O,O,O,X,X,O,X
TJSOLZI,O,O,O,O,X,X,O,X
TJSOZIL,O,O,O,O,X,X,O,X
TJSOZLI,O,O,O,O,X,X,O,X
TJZILSO,O,O,O,X,O,O,X,X
TJZILOS,X,X,O,X,O,O,X,X
TJZISLO,O,O,O,X,X,O,O,X
TJZISOL,O,O,O,X,X,O,O,X
TJZIOLS,O,X,X,X,X,O,X,X
TJZIOSL,O,X,X,O,X,O,O,X
TJZLISO,O,O,O,X,O,O,X,X
TJZLIOS,X,X,O,X,O,O,X,X
TJZLSIO,O,O,O,X,O,O,X,X
TJZLSOI,O,O,O,X,O,O,X,X
TJZLOIS,X,X,O,X,O,O,X,X
TJZLOSI,X,X,O,X,O,O,X,X
TJZSILO,O,O,O,X,X,O,O,X
TJZSIOL,O,O,O,X,X,O,O,X
TJZSLIO,O,O,O,X,X,O,O,X
TJZSLOI,O,O,O,X,X,O,O,X
TJZSOIL,O,O,O,X,X,O,O,X
TJZSOLI,O,O,O,X,X,O,O,X
TJZOILS,O,X,X,X,X,O,X,X
TJZOISL,O,X,X,O,X,O,O,X
TJZOLIS,O,X,X,X,X,O,X,X
TJZOLSI,O,X,X,X,X,O,X,X
TJZOSIL,O,X,X,O,X,O,O,X
TJZOSLI,O,X,X,O,X,O,O,X
TJOILSZ,O,O,O,X,O,X,O,X
TJOILZS,O,X,O,X,O,X,O,X
TJOISLZ,O,O,O,O,X,X,O,X
TJOISZL,O,O,O,O,X,X,O,X
TJOIZLS,O,X,X,X,X,O,O,X
TJOIZSL,O,X,X,O,X,O,O,X
TJOLISZ,O,O,O,X,O,X,O,X
TJOLIZS,O,X,O,X,O,X,O,X
TJOLSIZ,O,O,O,X,O,X,O,X
TJOLSZI,O,O,O,X,O,X,X,X
TJOLZIS,O,X,O,X,O,X,O,X
TJOLZSI,O,X,O,X,O,X,X,X
TJOSILZ,O,O,O,O,X,X,O,X
TJOSIZL,O,O,O,O,X,X,O,X
TJOSLIZ,O,O,O,O,X,X,O,X
TJOSLZI,O,O,O,O,X,X,O,X
TJOSZIL,O,O,O,O,X,X,O,X
TJOSZLI,O,O,O,O,X,X,O,X
TJOZILS,O,X,X,X,X,O,O,X
TJOZISL,O,X,X,O,X,O,O,X
TJOZLIS,O,X,X,X,X,O,O,X
TJOZLSI,O,X,X,X,X,O,X,X
TJOZSIL,O,X,X,O,X,O,O,X
TJOZSLI,O,X,X,O,X,O,O,X
TSILJZO,O,O,O,X,X,X,O,X
TSILJOZ,O,O,O,X,X,X,O,X
TSILZJO,O,O,O,X,X,X,O,X
TSILZOJ,O,O,O,X,X,X,O,X
TSILOJZ,O,O,O,X,X,X,O,X
TSILOZJ,O,O,O,X,X,X,O,X
TSIJLZO,O,O,O,X,X,X,O,X
TSIJLOZ,O,O,O,X,X,X,O,X
TSIJZLO,O,O,O,X,X,X,O,X
TSIJZOL,O,O,O,X,X,X,O,X
TSIJOLZ,O,O,O,O,X,X,O,X
TSIJOZL,O,O,O,O,X,X,O,X
TSIZLJO,O,O,O,X,X,X,O,X
TSIZLOJ,O,O,O,X,X,X,O,X
TSIZJLO,O,O,O,X,X,O,O,X
TSIZJOL,O,O,O,X,X,O,O,X
TSIZOLJ,O,O,O,X,X,X,O,O
TSIZOJL,O,O,O,X,X,X,O,O
TSIOLJZ,O,O,O,O,X,X,O,X
TSIOLZJ,O,O,O,O,X,X,O,X
TSIOJLZ,O,O,O,O,X,X,O,X
TSIOJZL,O,O,O,O,X,X,O,X
TSIOZLJ,O,O,O,O,X,X,O,O
TSIOZJL,O,O,O,O,X,X,O,O
TSLIJZO,O,O,O,X,X,X,O,X
TSLIJOZ,O,O,O,X,X,X,O,X
TSLIZJO,O,O,O,X,X,X,O,X
TSLIZOJ,O,O,O,X,X,X,O,X
TSLIOJZ,O,O,O,X,X,X,O,X
TSLIOZJ,O,O,O,X,X,X,O,X
TSLJIZO,O,O,O,X,O,X,O,X
TSLJIOZ,O,O,O,X,O,X,O,X
TSLJZIO,O,O,O,X,O,X,O,X
TSLJZOI,O,O,O,X,O,X,X,X
TSLJOIZ,O,O,O,X,O,X,O,X
TSLJOZI,O,O,O,X,O,X,O,X
TSLZIJO,O,O,O,X,X,X,O,X
TSLZIOJ,O,O,O,X,X,X,O,X
TSLZJIO,O,O,O,X,O,X,O,X
TSLZJOI,O,O,O,X,O,X,X,X
TSLZOIJ,O,O,O,X,X,X,O,X
TSLZOJI,O,O,O,X,O,X,O,X
TSLOIJZ,O,O,O,X,X,X,O,X
TSLOIZJ,O,O,O,X,X,X,O,X
TSLOJIZ,O,O,O,X,O,X,O,X
TSLOJZI,O,O,O,X,O,X,O,X
TSLOZIJ,O,O,O,X,X,X,O,X
TSLOZJI,O,O,O,X,O,X,O,X
TSJILZO,O,O,O,X,O,X,O,X
TSJILOZ,O,O,O,X,O,X,O,X
TSJIZLO,O,O,O,X,X,X,O,X
TSJIZOL,O,O,O,X,X,X,O,X
TSJIOLZ,O,O,O,O,X,X,O,X
TSJIOZL,O,O,O,O,X,X,O,X
TSJLIZO,O,O,O,X,O,X,O,X
TSJLIOZ,O,O,O,X,O,X,O,X
TSJLZIO,O,O,O,X,O,X,O,X
TSJLZOI,O,O,O,X,O,X,X,X
TSJLOIZ,O,O,O,X,O,X,O,X
TSJLOZI,O,O,O,X,O,X,O,X
TSJZILO,O,O,O,X,X,X,O,X
TSJZIOL,O,O,O,X,X,X,O,X
TSJZLIO,O,O,O,X,X,X,O,X
TSJZLOI,O,O,O,X,X,X,O,X
TSJZOIL,O,O,O,X,X,X,O,X
TSJZOLI,O,O,O,X,X,X,O,X
TSJOILZ,O,O,O,O,X,X,O,X
TSJOIZL,O,O,O,O,X,X,O,X
TSJOLIZ,O,O,O,O,X,X,O,X
TSJOLZI,O,O,O,O,X,X,O,X
TSJOZIL,O,O,O,O,X,X,O,X
TSJOZLI,O,O,O,O,X,X,O,X
TSZILJO,O,O,O,X,X,X,O,X
TSZILOJ,O,O,O,X,X,X,O,X
TSZIJLO,O,O,O,X,X,O,O,X
TSZIJOL,O,O,O,X,X,O,O,X
TSZIOLJ,O,O,O,X,X,X,O,O
TSZIOJL,O,O,O,X,X,X,O,O
TSZLIJO,O,O,O,X,X,X,O,X
TSZLIOJ,O,O,O,X,X,X,O,X
TSZLJIO,O,O,O,X,X,X,O,X
TSZLJOI,O,O,O,X,X,X,O,X
TSZLOIJ,O,O,O,X,X,X,O,X
TSZLOJI,O,O,O,X,X,X,O,X
TSZJILO,O,O,O,X,X,O,O,X
TSZJIOL,O,O,O,X,X,O,O,X
TSZJLIO,O,O,O,X,X,O,O,X
TSZJLOI,O,O,O,X,X,O,O,X
TSZJOIL,O,O,O,X,X,O,O,X
TSZJOLI,O,O,O,X,X,O,O,X
TSZOILJ,O,O,O,X,X,X,O,O
TSZOIJL,O,O,O,X,X,X,O,O
TSZOLIJ,O,O,O,X,X,X,O,O
TSZOLJI,O,O,O,X,X,X,O,O
TSZOJIL,O,O,O,X,X,X,O,O
TSZOJLI,O,O,O,X,X,X,O,O
TSOILJZ,O,O,O,O,X,X,O,X
TSOILZJ,O,O,O,O,X,X,O,X
