sequence,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcB3gBGiBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygBTfBGiB0lBlm?B3rB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBzfBChBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcBGiBllB3m?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0hBll?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Je06IvhFxbB/iB2kBqlBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFWgBxbB/iB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhF3bBUdB1kBWrBxr?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeT6IvhF2gBqhB/iBxkBVr?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhFRcB3fBTiBllBcr?BGrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygB/iBTfB0lBlm?B+rB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFXcBViBUgBxmBGl?BTrB
TJZOLSI,X,O,X,O,X,X,X,X,X,X,X,X,X
TJZOSIL,X,O,X,O,X,X,X,X,X,X,X,X,X
TJZOSLI,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOILSZ,O,X,X,X,X,O,X,X,O,O,X,X,X
TJOILZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOISLZ,O,X,X,X,X,O,X,X,O,O,X,X,X
TJOISZL,X,X,X,X,X,X,X,X,O,O,X,X,X
TJOIZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TJOIZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TJOLISZ,O,X,X,X,X,O,X,X,O,X,X,X,X
TJOLIZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOLSIZ,O,X,X,X,X,O,X,X,O,X,X,X,X
TJOLSZI,O,X,X,X,X,O,X,X,X,X,X,X,X
TJOLZIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOLZSI,O,O,X,X,X,O,X,X,X,X,X,X,X
TJOSILZ,O,X,X,O,X,O,X,X,O,O,X,X,X
TJOSIZL,X,X,X,O,X,X,X,X,O,O,X,X,X
TJOSLIZ,O,X,X,O,X,O,X,X,O,O,X,X,X
TJOSLZI,O,X,X,O,X,O,X,X,X,X,X,X,X
TJOSZIL,X,O,X,O,X,O,X,X,X,X,X,X,X
TJOSZLI,X,O,X,O,X,O,X,X,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOZISL,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOZLSI,X,O,X,O,X,O,X,X,X,X,X,X,X
TJOZSIL,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOZSLI,X,O,X,O,X,O,X,X,X,X,X,X,X
TSILJZO,X,X,X,O,O,O,O,X,O,O,X,X,X
TSILJOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSILZJO,X,X,X,O,X,O,O,O,O,O,X,X,X
TSILZOJ,O,X,X,O,X,O,X,O,X,O,X,X,X
TSILOJZ,O,X,X,O,O,O,O,X,X,O,X,X,X
TSILOZJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSIJLZO,X,X,X,O,O,O,O,X,O,O,X,X,X
TSIJLOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSIJZLO,X,X,O,X,O,X,X,X,O,O,X,X,X
TSIJZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TSIJOLZ,X,X,X,O,O,X,X,X,O,O,X,X,X
TSIJOZL,X,X,X,O,X,X,X,X,O,O,X,X,X
TSIZLJO,X,X,O,X,X,X,X,O,O,O,X,X,X
TSIZLOJ,O,X,O,X,X,X,X,O,X,O,X,X,X
TSIZJLO,X,X,O,X,X,X,X,X,O,O,X,X,X
TSIZJOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TSIZOLJ,X,X,X,X,X,X,X,X,X,O,X,O,X
TSIZOJL,X,X,X,X,X,X,X,X,X,O,X,O,X
TSIOLJZ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSIOLZJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSIOJLZ,X,X,X,O,X,X,X,X,X,O,X,X,X
TSIOJZL,X,X,X,O,X,X,X,X,X,O,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,X,X,O,X,O,X
TSIOZJL,X,X,X,O,X,X,X,X,X,O,X,O,X
TSLIJZO,X,X,O,O,O,O,O,X,O,O,X,X,X
TSLIJOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSLIZJO,X,X,X,O,X,O,O,O,O,O,X,X,X
TSLIZOJ,O,X,X,O,X,O,X,O,X,O,X,X,X
TSLIOJZ,O,X,X,O,O,O,O,X,X,O,X,X,X
TSLIOZJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSLJIZO,O,X,O,O,O,O,O,O,O,O,X,X,X
TSLJIOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSLJZIO,O,X,O,O,O,O,O,O,O,O,X,X,X
TSLJZOI,O,X,O,X,O,O,O,O,X,X,X,X,X
TSLJOIZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSLJOZI,O,X,X,O,O,O,O,X,X,X,X,X,X
TSLZIJO,O,X,O,O,X,O,O,O,X,O,X,X,X
TSLZIOJ,O,X,O,O,X,O,X,O,X,O,X,X,X
TSLZJIO,O,X,O,O,O,O,O,O,O,O,X,X,X
TSLZJOI,O,X,O,X,O,O,O,O,X,X,X,X,X
TSLZOIJ,O,X,O,O,X,O,X,O,X,X,X,O,X
TSLZOJI,O,X,O,O,O,O,X,O,X,X,X,O,X
TSLOIJZ,O,X,X,O,O,O,O,X,X,O,X,X,X
TSLOIZJ,O,X,X,O,X,O,X,X,X,O,O,X,X
TSLOJIZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSLOJZI,O,X,X,O,O,O,O,X,X,X,X,X,X
TSLOZIJ,O,X,X,O,X,O,X,O,X,X,O,O,X
TSLOZJI,O,X,X,O,O,O,X,O,X,X,O,O,X
TSJILZO,O,X,X,O,O,O,O,X,O,O,X,X,X
TSJILOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSJIZLO,O,X,O,X,O,X,X,X,O,O,X,X,X
TSJIZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TSJIOLZ,O,X,X,O,O,X,X,X,O,O,X,X,X
TSJIOZL,X,X,X,O,X,X,X,X,O,O,X,X,X
TSJLIZO,O,X,O,O,O,O,O,X,O,O,X,X,X
TSJLIOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSJLZIO,O,X,O,O,O,O,O,O,O,O,X,X,X
TSJLZOI,O,X,O,X,O,O,O,O,X,X,X,X,X
TSJLOIZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSJLOZI,O,X,X,O,O,O,O,X,X,X,X,X,X
TSJZILO,O,X,O,O,O,O,O,X,O,O,X,X,X
TSJZIOL,X,X,X,O,X,O,X,X,O,O,X,X,X
TSJZLIO,O,X,O,O,O,O,O,O,O,O,X,X,X
TSJZLOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TSJZOIL,X,O,X,O,X,O,X,X,X,X,X,O,X
TSJZOLI,X,O,O,O,X,X,X,X,X,X,X,O,X
TSJOILZ,O,X,X,O,O,O,X,X,O,O,X,X,X
TSJOIZL,X,X,X,O,X,X,X,X,O,O,X,X,X
TSJOLIZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSJOLZI,O,X,X,O,O,O,O,X,X,X,X,X,X
TSJOZIL,X,O,X,O,X,O,X,X,X,X,X,O,X
TSJOZLI,X,O,O,O,X,O,X,X,X,X,X,O,X
TSZILJO,O,X,O,O,X,O,X,O,X,O,X,X,X
TSZILOJ,O,X,O,O,X,O,X,O,X,O,X,X,X
TSZIJLO,O,X,O,O,X,O,X,X,X,O,X,X,X
TSZIJOL,X,X,X,O,X,O,X,X,X,O,X,X,X
TSZIOLJ,O,X,X,O,X,O,X,X,X,O,X,O,X
TSZIOJL,X,X,X,O,X,O,X,X,X,O,X,O,X
TSZLIJO,O,X,O,O,X,O,O,O,X,O,X,X,X
TSZLIOJ,O,X,O,O,X,O,X,O,X,O,X,X,X
TSZLJIO,O,X,O,O,O,O,O,O,O,O,X,X,X
TSZLJOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TSZLOIJ,O,O,O,O,X,O,X,O,X,X,X,O,X
TSZLOJI,O,O,O,O,O,O,X,O,X,X,X,O,X
TSZJILO,O,X,O,O,O,O,X,X,O,O,X,X,X
TSZJIOL,X,X,X,O,X,O,X,X,O,O,X,X,X
TSZJLIO,O,X,O,O,O,O,O,O,O,O,X,X,X
TSZJLOI,O,O,O,O,O,O,O,O,X,X,X,X,X
TSZJOIL,X,O,X,O,X,O,X,X,X,X,X,O,X
TSZJOLI,X,O,O,O,X,X,X,X,X,X,X,O,X
TSZOILJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TSZOIJL,X,O,X,O,X,O,X,X,X,X,X,O,X
TSZOLIJ,O,O,O,O,X,O,X,O,X,X,X,O,X
TSZOLJI,O,O,O,O,X,O,X,O,X,X,X,O,X
TSZOJIL,X,O,X,O,X,O,X,X,X,X,X,O,X
TSZOJLI,X,O,O,O,X,X,X,X,X,X,X,O,X
TSOILJZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TSOILZJ,O,X,X,O,X,O,X,X,X,O,O,X,X
TSOIJLZ,X,X,X,O,X,O,X,X,X,O,X,X,X
TSOIJZL,X,X,X,O,X,X,X,X,X,O,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,X,X,O,X,O,X
TSOIZJL,X,X,X,O,X,X,X,X,X,O,X,O,X
TSOLIJZ,O,X,X,O,O,O,O,X,X,O,X,X,X
TSOLIZJ,O,X,X,O,X,O,X,X,X,O,O,X,X
TSOLJIZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TSOLJZI,X,X,X,O,O,O,O,X,X,X,X,X,X
TSOLZIJ,O,X,X,O,X,O,X,O,X,X,O,O,X
TSOLZJI,X,X,X,O,O,O,X,O,X,X,O,O,X
TSOJILZ,X,X,X,O,O,O,X,X,O,O,X,X,X
TSOJIZL,X,X,X,O,X,X,X,X,O,O,X,X,X
TSOJLIZ,X,X,X,O,O,O,O,X,O,O,X,X,X
TSOJLZI,X,X,X,O,O,O,O,X,X,X,X,X,X
TSOJZIL,X,O,X,O,X,O,X,X,X,X,X,O,X
TSOJZLI,X,O,O,O,X,O,X,X,X,X,X,O,X
TSOZILJ,X,O,X,O,X,O,X,X,X,X,O,O,X
TSOZIJL,X,O,X,O,X,O,X,X,X,X,O,O,X
TSOZLIJ,X,O,O,O,X,O,X,O,X,X,O,O,X
TSOZLJI,X,O,O,O,X,O,X,O,X,X,O,O,X
TSOZJIL,X,O,X,O,X,O,X,X,X,X,O,O,X
TSOZJLI,X,O,O,O,X,O,X,X,X,X,O,O,X
TZILJSO,O,X,X,X,X,X,X,X,O,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TZILSJO,O,X,X,X,X,X,X,X,O,X,X,X,X
TZILSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TZILOJS,O,O,X,X,X,X,X,X,O,X,X,X,X
TZILOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TZIJLSO,O,X,X,X,X,X,X,X,O,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TZIJSLO,O,X,X,X,X,X,X,X,O,O,X,X,X
TZIJSOL,O,X,X,X,X,X,X,X,O,O,X,X,X
TZIJOLS,O,O,X,X,X,X,X,X,O,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X,O,O,X,X,X
TZISLJO,O,X,X,X,X,X,X,X,O,O,X,X,X
TZISLOJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TZISJLO,O,X,X,X,X,X,X,X,O,O,X,X,X
TZISJOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TZISOLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TZISOJL,X,X,X,X,X,X,X,X,X,O,X,X,X
TZIOLJS,X,O,X,X,X,X,X,X,O,X,X,X,X
TZIOLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TZIOJLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TZIOJSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TZIOSLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
TZIOSJL,X,O,X,X,X,X,X,X,X,O,X,X,X
TZLIJSO,O,X,X,X,X,X,X,X,O,X,X,X,X
TZLIJOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TZLISJO,O,X,X,X,X,X,X,X,O,X,X,X,X
TZLISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TZLIOJS,O,O,X,X,X,X,X,X,O,X,X,X,X
TZLIOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLJISO,O,X,X,X,X,X,X,X,O,X,X,X,X
TZLJIOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TZLJSIO,O,X,O,O,X,O,X,O,O,X,X,X,X
TZLJSOI,O,O,O,X,X,O,X,O,X,X,X,X,X
TZLJOIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLJOSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLSIJO,O,X,O,O,X,O,X,O,X,X,X,X,X
TZLSIOJ,O,X,O,O,X,O,X,O,X,X,X,X,X
TZLSJIO,O,X,O,O,O,O,X,O,O,X,X,X,X
TZLSJOI,O,O,O,X,O,O,X,O,X,X,X,X,X
TZLSOIJ,O,O,O,O,X,O,X,O,X,X,X,X,X
TZLSOJI,O,O,O,O,O,O,X,O,X,X,X,X,X
TZLOIJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLOISJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLOJIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLOJSI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZLOSIJ,O,O,X,O,X,X,X,X,X,X,X,X,X
TZLOSJI,O,O,X,O,O,X,X,X,X,X,X,X,X
TZJILSO,O,X,X,X,X,X,X,X,O,X,X,X,X
TZJILOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TZJISLO,O,X,X,X,X,X,X,X,O,O,X,X,X
TZJISOL,O,X,X,X,X,X,X,X,O,O,X,X,X
TZJIOLS,O,O,X,X,X,X,X,X,O,X,X,X,X
TZJIOSL,O,O,X,X,X,X,X,X,O,O,X,X,X
TZJLISO,O,X,X,X,X,X,X,X,O,X,X,X,X
TZJLIOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TZJLSIO,O,X,O,O,X,O,X,X,O,X,X,X,X
TZJLSOI,O,O,O,X,X,O,X,X,X,X,X,X,X
TZJLOIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJLOSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJSILO,O,X,O,O,X,X,X,X,O,O,X,X,X
TZJSIOL,O,X,X,O,X,X,X,X,O,O,X,X,X
TZJSLIO,O,X,O,O,X,O,X,X,O,O,X,X,X
TZJSLOI,O,O,O,O,X,O,X,X,X,X,X,X,X
TZJSOIL,O,O,X,O,X,X,X,X,X,X,X,X,X
TZJSOLI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZJOILS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJOISL,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJOLIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJOLSI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZJOSIL,O,O,X,O,X,X,X,X,X,X,X,X,X
TZJOSLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZSILJO,O,X,O,O,X,X,X,O,X,O,X,X,X
TZSILOJ,O,X,O,O,X,X,X,O,X,O,X,X,X
TZSIJLO,O,X,O,O,X,X,X,X,X,O,X,X,X
TZSIJOL,X,X,X,O,X,X,X,X,X,O,X,X,X
TZSIOLJ,O,X,X,O,X,X,X,X,X,O,X,O,X
TZSIOJL,X,X,X,O,X,X,X,X,X,O,X,O,X
TZSLIJO,O,X,O,O,X,O,X,O,X,O,X,X,X
TZSLIOJ,O,X,O,O,X,O,X,O,X,O,X,X,X
TZSLJIO,O,X,O,O,O,O,X,O,O,O,X,X,X
TZSLJOI,O,O,O,O,O,O,X,O,X,X,X,X,X
TZSLOIJ,O,O,O,O,X,O,X,O,X,X,X,O,X
TZSLOJI,O,O,O,O,O,O,X,O,X,X,X,O,X
TZSJILO,O,X,O,O,O,X,X,X,O,O,X,X,X
TZSJIOL,O,X,X,O,X,X,X,X,O,O,X,X,X
TZSJLIO,O,X,O,O,O,O,X,O,O,O,X,X,X
TZSJLOI,O,O,O,O,O,O,X,O,X,X,X,X,X
TZSJOIL,O,O,X,O,X,X,X,X,X,X,X,O,X
TZSJOLI,O,O,O,O,X,X,X,X,X,X,X,O,X
TZSOILJ,O,O,X,O,X,X,X,X,X,X,X,O,X
TZSOIJL,X,O,X,O,X,X,X,X,X,X,X,O,X
TZSOLIJ,O,O,O,O,X,X,X,O,X,X,X,O,X
TZSOLJI,O,O,O,O,X,X,X,O,X,X,X,O,X
TZSOJIL,X,O,X,O,X,X,X,X,X,X,X,O,X
TZSOJLI,X,O,O,O,X,X,X,X,X,X,X,O,X
TZOILJS,X,O,X,X,X,X,X,X,X,X,X,X,X
TZOILSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TZOIJLS,X,O,X,X,X,X,X,X,X,X,X,X,X
TZOIJSL,X,O,X,X,X,X,X,X,X,X,X,X,X
TZOISLJ,X,O,X,X,X,X,X,X,X,X,X,O,X
TZOISJL,X,O,X,X,X,X,X,X,X,X,X,O,X
TZOLIJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOLISJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TZOLJIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOLJSI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZOLSIJ,O,O,X,O,X,X,X,X,X,X,X,X,X
TZOLSJI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZOJILS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOJISL,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOJLSI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZOJSIL,O,O,X,O,X,X,X,X,X,X,X,X,X
TZOJSLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZOSILJ,O,O,X,O,X,X,X,X,X,X,X,O,X
TZOSIJL,X,O,X,O,X,X,X,X,X,X,X,O,X
TZOSLIJ,O,O,X,O,X,X,X,X,X,X,X,O,X
TZOSLJI,O,O,X,O,X,X,X,X,X,X,X,O,X
TZOSJIL,X,O,X,O,X,X,X,X,X,X,X,O,X
TZOSJLI,X,O,X,O,X,X,X,X,X,X,X,O,X
TOILJSZ,X,X,X,X,X,O,X,X,O,O,X,X,O
TOILJZS,X,X,X,X,X,X,X,X,O,X,X,X,O
TOILSJZ,X,X,X,X,X,O,X,X,X,O,X,X,O
TOILSZJ,X,X,X,X,X,O,X,X,X,O,X,X,O
TOILZJS,X,X,X,X,X,X,X,X,O,X,X,X,O
TOILZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TOIJLSZ,X,X,X,X,X,O,X,X,O,O,X,X,O
TOIJLZS,X,X,X,X,X,X,X,X,O,X,X,X,O
TOIJSLZ,X,X,X,X,X,O,X,X,O,O,X,X,O
TOIJSZL,X,X,X,X,X,X,X,X,O,O,X,X,X
TOIJZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TOIJZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TOISLJZ,X,X,X,X,X,O,X,X,X,O,X,X,O
TOISLZJ,X,X,X,X,X,O,X,X,X,O,O,X,O
TOISJLZ,X,X,X,X,X,O,X,X,X,O,X,X,O
TOISJZL,X,X,X,X,X,X,X,X,X,O,X,X,X
TOISZLJ,X,X,X,X,X,X,X,X,X,O,X,O,O
TOISZJL,X,X,X,X,X,X,X,X,X,O,X,O,X
TOIZLJS,X,O,X,X,X,X,X,X,O,X,X,X,O
TOIZLSJ,X,O,X,X,X,X,X,X,X,X,O,X,O
TOIZJLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TOIZJSL,X,O,X,X,X,X,X,X,O,O,O,X,X
TOIZSLJ,X,O,X,X,X,X,X,X,X,O,O,O,O
TOIZSJL,X,O,X,X,X,X,X,X,X,O,O,O,X
TOLIJSZ,O,X,X,X,X,O,X,X,O,X,X,X,O
TOLIJZS,O,X,X,X,X,X,X,X,O,X,X,X,O
TOLISJZ,X,X,X,X,O,O,X,X,X,X,X,X,O
TOLISZJ,X,X,X,X,X,O,X,X,X,X,X,X,O
TOLIZJS,X,X,X,X,X,X,X,X,O,X,X,X,O
TOLIZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TOLJISZ,O,X,X,X,X,O,X,X,O,X,X,X,X
TOLJIZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TOLJSIZ,O,X,X,X,O,O,X,X,O,X,X,X,X
TOLJSZI,O,X,X,X,O,O,X,X,X,X,X,X,X
TOLJZIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TOLJZSI,O,O,X,X,X,O,X,X,X,X,X,X,X
TOLSIJZ,O,X,X,X,O,O,X,X,X,X,X,X,X
TOLSIZJ,O,X,X,X,X,O,X,X,X,X,X,X,X
TOLSJIZ,O,X,X,X,O,O,X,X,O,X,X,X,X
TOLSJZI,O,X,X,X,O,O,X,X,X,X,X,X,X
TOLSZIJ,O,X,X,X,X,O,X,X,X,X,X,X,X
TOLSZJI,X,X,X,X,O,O,X,X,X,X,X,X,X
TOLZIJS,X,O,X,X,X,X,X,X,X,X,X,X,O
TOLZISJ,X,O,X,X,X,X,X,X,X,X,X,X,O
TOLZJIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TOLZJSI,O,O,X,X,X,O,X,X,X,X,X,X,X
TOLZSIJ,X,O,X,X,X,O,X,X,X,X,X,X,X
TOLZSJI,X,O,X,X,O,O,X,X,X,X,X,X,X
TOJILSZ,O,X,X,X,X,O,X,X,O,O,X,X,X
TOJILZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TOJISLZ,O,X,X,X,X,O,X,X,O,O,X,X,X
TOJISZL,X,X,X,X,X,X,X,X,O,O,X,X,X
TOJIZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TOJIZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TOJLISZ,O,X,X,X,X,O,X,X,O,X,X,X,X
TOJLIZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TOJLSIZ,O,X,X,X,X,O,X,X,O,X,X,X,X
TOJLSZI,O,X,X,X,X,O,X,X,X,X,X,X,X
TOJLZIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TOJLZSI,O,O,X,X,X,O,X,X,X,X,X,X,X
TOJSILZ,O,X,X,O,X,O,X,X,O,O,X,X,X
TOJSIZL,X,X,X,O,X,X,X,X,O,O,X,X,X
TOJSLIZ,O,X,X,O,X,O,X,X,O,O,X,X,X
TOJSLZI,O,X,X,O,X,O,X,X,X,X,X,X,X
TOJSZIL,X,O,X,O,X,O,X,X,X,X,X,X,X
TOJSZLI,X,O,X,O,X,O,X,X,X,X,X,X,X
TOJZILS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOJZISL,X,O,X,X,X,X,X,X,X,X,X,X,X
TOJZLIS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOJZLSI,X,O,X,O,X,O,X,X,X,X,X,X,X
TOJZSIL,X,O,X,O,X,X,X,X,X,X,X,X,X
TOJZSLI,X,O,X,O,X,O,X,X,X,X,X,X,X
TOSILJZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TOSILZJ,O,X,X,O,X,O,X,X,X,O,O,X,X
TOSIJLZ,X,X,X,O,X,O,X,X,X,O,X,X,X
TOSIJZL,X,X,X,O,X,X,X,X,X,O,X,X,X
TOSIZLJ,X,X,X,X,X,X,X,X,X,O,X,O,X
TOSIZJL,X,X,X,O,X,X,X,X,X,O,X,O,X
TOSLIJZ,O,X,X,O,O,O,X,X,X,O,X,X,X
TOSLIZJ,O,X,X,O,X,O,X,X,X,O,O,X,X
TOSLJIZ,O,X,X,O,O,O,X,X,O,O,X,X,X
TOSLJZI,X,X,X,O,O,O,X,X,X,X,X,X,X
TOSLZIJ,O,X,X,O,X,O,X,X,X,X,O,O,X
TOSLZJI,X,X,X,O,O,O,X,X,X,X,O,O,X
TOSJILZ,X,X,X,O,O,O,X,X,O,O,X,X,X
TOSJIZL,X,X,X,O,X,X,X,X,O,O,X,X,X
TOSJLIZ,X,X,X,O,O,O,X,X,O,O,X,X,X
TOSJLZI,X,X,X,O,O,O,X,X,X,X,X,X,X
TOSJZIL,X,O,X,O,X,O,X,X,X,X,X,O,X
TOSJZLI,X,O,X,O,X,O,X,X,X,X,X,O,X
TOSZILJ,X,O,X,O,X,O,X,X,X,X,O,O,X
TOSZIJL,X,O,X,O,X,O,X,X,X,X,O,O,X
TOSZLIJ,X,O,X,O,X,O,X,X,X,X,O,O,X
TOSZLJI,X,O,X,O,X,O,X,X,X,X,O,O,X
TOSZJIL,X,O,X,O,X,O,X,X,X,X,O,O,X
TOSZJLI,X,O,X,O,X,O,X,X,X,X,O,O,X
TOZILJS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZILSJ,X,O,X,X,X,X,X,X,X,X,O,X,X
TOZIJLS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZIJSL,X,O,X,X,X,X,X,X,X,X,O,X,X
TOZISLJ,X,O,X,X,X,X,X,X,X,X,O,O,X
TOZISJL,X,O,X,X,X,X,X,X,X,X,O,O,X
TOZLIJS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZLISJ,X,O,X,X,X,X,X,X,X,X,O,X,X
TOZLJIS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZLJSI,X,O,X,O,X,O,X,X,X,X,X,X,X
TOZLSIJ,X,O,X,O,X,O,X,X,X,X,O,X,X
TOZLSJI,X,O,X,O,X,O,X,X,X,X,O,X,X
TOZJILS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZJISL,X,O,X,X,X,X,X,X,X,X,O,X,X
TOZJLIS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOZJLSI,X,O,X,O,X,O,X,X,X,X,X,X,X
TOZJSIL,X,O,X,O,X,X,X,X,X,X,O,X,X
TOZJSLI,X,O,X,O,X,O,X,X,X,X,O,X,X
TOZSILJ,X,O,X,O,X,X,X,X,X,X,O,O,X
TOZSIJL,X,O,X,O,X,X,X,X,X,X,O,O,X
TOZSLIJ,X,O,X,O,X,O,X,X,X,X,O,O,X
TOZSLJI,X,O,X,O,X,O,X,X,X,X,O,O,X
TOZSJIL,X,O,X,O,X,X,X,X,X,X,O,O,X
TOZSJLI,X,O,X,O,X,O,X,X,X,X,O,O,X
ITLJSZO,O,X,X,X,X,O,X,X,O,O,X,X,O
ITLJSOZ,O,X,X,X,X,O,X,X,O,O,X,X,X
ITLJZSO,O,X,X,X,X,X,X,X,O,X,X,X,O
ITLJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
