sequence,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcB3gBGiBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygBTfBGiB0lBlm?B3rB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBzfBChBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcBGiBllB3m?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0hBll?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Je06IvhFxbB/iB2kBqlBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFWgBxbB/iB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhF3bBUdB1kBWrBxr?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeT6IvhF2gBqhB/iBxkBVr?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhFRcB3fBTiBllBcr?BGrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygB/iBTfB0lBlm?B+rB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFXcBViBUgBxmBGl?BTrB
TIZLSOJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZLOJS,X,O,X,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
TIZJLSO,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,X,O,X,X,X,X
TIZJSLO,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TIZJOSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TIZSLJO,X,X,X,X,X,X,X,X,O,O,X,X,O
TIZSLOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TIZSJLO,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZSJOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X,O,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TIZOSLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
TIZOSJL,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TIOLZJS,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOJLSZ,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TIOJZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
