sequence,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBCiBllBe?sBznBXrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFUhBFiB6qBz?nBXnB2wB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFTdBllBcrBm?nBXsBCrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBGiBllBy?sBXrBzrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFGdB/mBanB0?lBznBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFTdBFhB6qBc?rBmnBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFzcBqiB/mB0?lB2sBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBXiBllBz?nBmrBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeX8IvhFFiBxlBznB0?lBOsBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jel7IvhFThBZnBfoB0?lBGnBSwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeX8IvhFTdBllBmnBx?rBqrB0qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFSiBllB3mBz?nBmmBRwB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeG9IvhFZnBllBcrBz?nB6qB/rB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFOnBllBcrBz?nBCrBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8JeT8IvhFOiBfoBxlBU?rBFsB6qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je0BJvhFfoBllBxrB6?qBOsBTrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFllBcrBmnBT?nBCrBXsB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex8IvhFXiBllBznB0?mB2wB6qB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex7IvhFfoBllBUnBT?rBOsBCrB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Jex8IvhF1lB0hBznBX?nB6qB2wB,v115@zgB8FeE8EeD8GeD8FeD8DeC8Je07IvhFxcBOnBllBz?nBXrBqrB
TILJSZO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJOZLS,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TISLJZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISLZOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TISLOJZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TISJLOZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TISJZOL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TISJOLZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISZLJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZLOJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TISZJLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZJOL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZOLJ,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X
TISZOJL,O,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X
TISOLJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TISOJZL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TISOZJL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TIZLJSO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
TIZJOSL,O,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSLOJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZSJLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSJOL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSOLJ,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZSOJL,O,X,X,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZOLJS,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZOJSL,O,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TIOJZLS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOSLJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TIOSJZL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TIOSZLJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOZJSL,O,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOZSLJ,O,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIOZSJL,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TLIJSZO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
