sequence,v115@FhC8DeB8BeB8CeH8AeG8Je//IvhFagBGcBxdBzgB0i?BFqB,v115@FhC8DeB8BeB8CeH8AeG8JeT6IvhFegBCcBxdBXhB0i?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Je2/IvhFCcBxdBXhB0iBzf?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jem6IvhFRcBSiB0fBzgBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Je2/IvhFRbBchBTdBSlBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jey/IvhFGdBRhB0fBzgBXj?BFqB,v115@FhC8DeB8BeB8CeH8AeG8Jei6IvhFWhBxdBzfB0iBXh?BFqB,v115@FhC8DeB8BeB8CeH8AeG8JeT6IvhFShBxdB2lB0iBfq?BlqB,v115@FhC8DeB8BeB8CeH8AeG8JeT9IvhF6kBxgBmfBFhBXj?BcqB,v115@FhC8DeB8BeB8CeH8AeG8Je//IvhFTcBxdB2lB0iBSq?BFqB
TILJSZO,O,O,X,X,X,O,X,X,X,X
TILJSOZ,O,O,X,X,X,O,X,X,X,X
TILJZSO,X,X,X,X,O,O,X,X,X,X
TILJZOS,X,X,X,X,O,O,X,X,X,X
TILJOSZ,O,O,X,X,X,O,X,X,X,X
TILJOZS,X,X,X,O,O,O,X,X,X,X
TILSJZO,O,O,X,X,X,O,X,X,X,X
TILSJOZ,O,O,X,X,X,O,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,O,X,X,X,X,X,X
TILZJSO,X,X,X,X,O,O,X,X,X,X
TILZJOS,X,X,X,O,O,O,O,X,X,X
TILZSJO,X,X,X,X,O,X,X,X,X,X
TILZSOJ,X,X,X,X,O,X,O,X,X,X
TILZOJS,X,X,X,O,O,X,O,X,X,X
TILZOSJ,X,X,X,O,O,X,O,X,X,X
TILOJSZ,O,O,X,X,X,O,X,X,X,X
TILOJZS,X,X,X,O,O,O,O,X,X,X
TILOSJZ,O,O,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,O,X,X,X,X,O,X
TILOZJS,X,X,X,O,O,X,O,X,O,X
TILOZSJ,X,X,X,O,O,X,O,X,O,X
TIJLSZO,O,O,X,X,X,O,X,X,X,X
TIJLSOZ,O,O,X,X,X,O,X,X,X,X
TIJLZSO,X,X,X,X,O,O,X,X,X,X
TIJLZOS,X,X,X,X,O,O,X,X,X,X
TIJLOSZ,O,O,X,X,X,O,X,X,X,X
TIJLOZS,X,X,X,X,O,O,X,X,X,X
TIJSLZO,O,O,O,X,X,O,X,X,X,X
TIJSLOZ,O,O,X,X,X,O,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,X,X,X
TIJZLSO,O,O,O,X,O,O,X,X,X,X
TIJZLOS,O,O,X,X,O,O,O,X,X,X
TIJZSLO,O,O,O,X,X,X,X,X,X,X
TIJZSOL,O,O,O,X,X,X,O,X,X,X
TIJZOLS,O,O,X,X,O,X,O,X,X,X
TIJZOSL,O,O,O,X,X,X,O,X,X,X
TIJOLSZ,O,O,X,X,X,O,X,X,X,X
TIJOLZS,X,X,X,X,O,O,O,X,X,X
TIJOSLZ,O,O,X,X,X,X,X,X,X,X
TIJOSZL,O,O,X,X,X,X,X,X,X,X
TIJOZLS,O,O,X,X,O,X,O,X,X,X
TIJOZSL,O,O,X,X,X,X,O,X,X,X
TISLJZO,O,O,O,X,X,O,X,X,X,X
TISLJOZ,O,O,X,X,X,O,X,X,X,X
TISLZJO,O,O,O,X,X,X,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,O,X,X,O,X,X,X,X
TISJLOZ,O,O,X,X,X,O,X,X,X,X
TISJZLO,O,O,O,X,X,X,X,X,X,X
TISJZOL,O,O,O,X,X,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,X,X,X
TISJOZL,O,O,X,X,X,X,X,X,X,X
TISZLJO,O,O,O,X,X,X,X,X,X,X
TISZLOJ,O,O,O,X,X,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X,X,X
TISZJOL,O,O,O,X,X,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X,X,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,X,X,X,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X,X,X,X
TIZLJSO,O,O,O,X,O,O,X,X,X,X
TIZLJOS,O,O,X,O,O,O,O,X,X,X
TIZLSJO,O,O,O,X,O,X,X,X,X,X
TIZLSOJ,O,O,O,X,O,X,O,X,X,X
TIZLOJS,O,O,X,O,O,X,O,X,X,X
TIZLOSJ,O,O,X,O,O,X,O,X,X,X
TIZJLSO,O,O,O,X,O,O,X,X,X,X
TIZJLOS,O,O,X,O,O,O,O,X,X,X
TIZJSLO,O,O,O,X,X,X,X,X,X,X
TIZJSOL,O,O,O,X,X,X,O,X,X,X
TIZJOLS,O,O,X,O,O,X,O,X,X,X
TIZJOSL,O,O,O,O,X,X,O,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X,X,X
TIZSLOJ,O,O,O,X,X,X,O,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X,X,X
TIZSJOL,O,O,O,X,X,X,O,X,X,X
TIZSOLJ,O,O,O,X,X,X,O,X,X,X
TIZSOJL,O,O,O,X,X,X,O,X,X,X
TIZOLJS,O,O,X,O,O,X,O,X,X,X
TIZOLSJ,O,O,X,O,O,X,O,X,X,X
TIZOJLS,O,O,X,O,O,X,O,X,X,X
TIZOJSL,O,O,O,O,X,X,O,X,X,X
TIZOSLJ,O,O,O,O,X,X,O,X,X,X
TIZOSJL,O,O,O,O,X,X,O,X,X,X
TIOLJSZ,O,O,X,X,X,O,X,X,X,X
TIOLJZS,X,X,X,O,O,O,O,X,X,X
TIOLSJZ,O,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,X,X,O,X
TIOLZJS,X,X,X,O,O,X,O,X,O,X
TIOLZSJ,X,X,X,O,O,X,O,X,O,X
TIOJLSZ,O,O,X,X,X,O,X,X,X,X
TIOJLZS,X,X,X,O,O,O,O,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,O,O,X,O,X,X,X
TIOJZSL,O,O,X,O,X,X,O,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,O,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,O,X,X,X,X,X,X
TIOSZJL,O,O,X,O,X,X,X,X,X,X
TIOZLJS,O,O,X,O,O,X,O,X,X,X
TIOZLSJ,O,O,X,O,O,X,O,X,X,X
TIOZJLS,O,O,X,O,O,X,O,X,X,X
TIOZJSL,O,O,X,O,X,X,O,X,X,X
TIOZSLJ,O,O,X,O,X,X,O,X,X,X
TIOZSJL,O,O,X,O,X,X,O,X,X,X
TLIJSZO,O,O,X,X,X,O,X,X,X,X
TLIJSOZ,O,O,X,X,X,O,X,X,X,X
TLIJZSO,X,X,X,X,O,O,X,X,X,X
TLIJZOS,X,X,X,X,O,O,X,X,X,X
TLIJOSZ,O,O,X,X,X,O,X,X,X,X
TLIJOZS,X,X,X,O,O,O,X,X,X,X
TLISJZO,O,O,X,X,X,O,X,X,X,X
TLISJOZ,O,O,X,X,X,O,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,O,X,X,X,X,X,X
TLIZJSO,X,X,X,X,O,O,X,X,X,X
TLIZJOS,X,X,X,O,O,O,O,X,X,X
TLIZSJO,X,X,X,X,O,X,X,X,X,X
TLIZSOJ,X,X,X,X,O,X,O,X,X,X
TLIZOJS,X,X,X,O,O,X,O,X,X,X
TLIZOSJ,X,X,X,O,O,X,O,X,X,X
TLIOJSZ,O,O,X,X,X,O,X,X,X,X
TLIOJZS,X,X,X,O,O,O,O,X,X,X
TLIOSJZ,O,O,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,O,X,X,X,X,O,X
TLIOZJS,X,X,X,O,O,X,O,X,O,X
TLIOZSJ,X,X,X,O,O,X,O,X,O,X
TLJISZO,O,O,X,X,X,O,X,X,X,X
TLJISOZ,O,O,X,X,X,O,X,X,X,X
TLJIZSO,X,X,X,X,O,O,X,X,X,X
TLJIZOS,X,X,X,X,O,O,X,X,X,X
TLJIOSZ,O,O,X,X,X,O,X,X,X,X
TLJIOZS,X,X,X,O,O,O,X,X,X,X
TLJSIZO,O,O,O,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,X,O,X,X,X,X,X
TLJSZOI,O,O,O,X,O,X,X,X,X,X
TLJSOIZ,O,O,X,X,X,X,X,X,X,X
TLJSOZI,O,O,O,X,O,X,X,X,X,X
TLJZISO,O,O,O,X,O,X,X,X,X,X
TLJZIOS,O,O,X,O,O,X,O,X,X,X
TLJZSIO,O,O,O,X,O,X,X,X,X,X
TLJZSOI,O,O,O,O,O,X,X,X,X,X
TLJZOIS,O,O,X,O,O,X,O,X,X,X
TLJZOSI,O,O,X,O,O,X,O,X,X,X
TLJOISZ,O,O,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,O,O,X,O,X,X,X
TLJOSIZ,O,O,X,X,X,X,X,X,X,X
TLJOSZI,O,O,X,X,O,X,O,X,X,X
TLJOZIS,O,O,X,O,O,X,O,X,X,X
TLJOZSI,O,O,X,O,O,X,O,X,X,X
TLSIJZO,O,O,O,X,X,O,X,X,X,X
TLSIJOZ,O,O,X,X,X,O,X,X,X,X
TLSIZJO,O,O,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,X,O,X,X,O,X,X
TLSJZOI,O,O,O,X,O,X,X,O,X,X
TLSJOIZ,O,O,X,X,X,X,X,X,X,X
TLSJOZI,O,O,O,X,O,X,X,O,X,X
TLSZIJO,O,O,O,X,O,X,X,O,X,X
TLSZIOJ,O,O,O,X,O,X,O,O,X,X
TLSZJIO,O,O,O,X,O,X,X,O,X,X
TLSZJOI,O,O,O,O,O,X,X,O,X,X
TLSZOIJ,O,O,O,O,O,X,O,O,X,X
TLSZOJI,O,O,O,O,O,X,O,O,X,X
TLSOIJZ,O,O,X,X,X,X,X,X,X,X
