sequence,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeC7IvhFxcB8kB+lBT?hB/nBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFCdBukBUhB/?nBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFcgBxcBThB/?nBSqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFFdBukBclB6?rBTsBXrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je5/IvhF2gBCdB/nBU?hBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFcBXdBqkBx?lBTnBGrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFdBqkBemB5?mB3lBTsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeG7IvhFxcBThB/nBC?lBUlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeSAJvhFxcBThB/nBU?gBWqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFukBclBXmBT?nBlmBCsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFFcBTgB3hB6?nB8rBRvB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je08IvhFflBlgBxmBC?lBTnBGrB
TIZJSLO,O,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,X,O,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,O,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,O,X,X,X,X,X,X,O,X
TIZSLJO,O,O,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,O,X,X,X,X,X,O,X
TIZSJLO,O,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,O,X,O,X,X,X,X,X,X,O,X
TIZSOLJ,O,O,X,O,O,X,X,X,X,X,O,X
TIZSOJL,O,O,X,O,O,X,X,X,X,X,O,X
TIZOLJS,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,O,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,O,O,X,X,X,X,X,O,X
TIZOSLJ,X,O,X,O,O,X,X,X,X,X,O,X
TIZOSJL,X,O,X,O,O,X,X,X,X,X,O,X
TIOLJSZ,X,X,X,O,O,X,O,O,X,X,X,X
TIOLJZS,X,X,X,O,X,X,O,X,X,X,X,X
TIOLSJZ,X,X,O,X,O,X,O,O,X,X,X,X
TIOLSZJ,X,X,O,X,O,X,X,O,X,X,X,X
TIOLZJS,X,X,O,O,X,X,O,X,X,X,X,X
TIOLZSJ,X,X,O,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,O,X,O,X,O,X,X,X
TIOJLZS,X,O,X,O,X,X,O,X,X,X,X,X
TIOJSLZ,O,O,X,O,O,X,O,X,O,X,X,X
TIOJSZL,O,O,X,O,O,X,X,X,O,X,X,X
TIOJZLS,O,O,X,O,X,X,O,X,X,X,X,X
TIOJZSL,O,O,X,O,O,X,X,X,X,X,O,X
TIOSLJZ,O,O,O,X,O,X,O,O,O,X,X,X
TIOSLZJ,X,X,O,X,O,X,X,O,X,X,X,X
TIOSJLZ,O,O,O,X,O,X,O,O,O,X,X,X
TIOSJZL,O,O,X,X,O,X,X,X,O,X,X,X
TIOSZLJ,X,O,O,X,O,X,X,O,X,X,X,X
TIOSZJL,O,O,X,X,O,X,X,X,O,X,X,X
TIOZLJS,X,X,X,O,X,X,O,X,X,X,X,X
TIOZLSJ,X,O,X,O,X,X,X,X,X,X,X,X
TIOZJLS,X,O,X,O,X,X,O,X,X,X,X,X
TIOZJSL,X,O,X,O,O,X,X,X,X,X,O,X
TIOZSLJ,X,O,X,O,O,X,X,X,X,X,O,X
TIOZSJL,X,O,X,O,O,X,X,X,X,X,O,X
TLIJSZO,X,X,X,X,X,O,O,O,X,X,X,X
