sequence,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeC7IvhFxcB8kB+lBT?hB/nBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFCdBukBUhB/?nBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFcgBxcBThB/?nBSqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFFdBukBclB6?rBTsBXrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je5/IvhF2gBCdB/nBU?hBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFcBXdBqkBx?lBTnBGrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFdBqkBemB5?mB3lBTsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeG7IvhFxcBThB/nBC?lBUlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeSAJvhFxcBThB/nBU?gBWqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFukBclBXmBT?nBlmBCsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFFcBTgB3hB6?nB8rBRvB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je08IvhFflBlgBxmBC?lBTnBGrB
TJZOSIL,O,O,X,O,X,X,X,X,O,O,X,X
TJZOSLI,O,O,X,O,X,X,X,X,O,O,X,X
TJOILSZ,X,O,X,O,O,X,O,X,O,X,X,X
TJOILZS,X,O,X,O,X,X,O,X,X,X,X,X
TJOISLZ,O,O,X,O,O,X,O,X,O,X,X,X
TJOISZL,O,O,X,O,O,X,X,X,O,X,X,X
TJOIZLS,O,O,X,O,X,X,O,X,X,X,X,X
TJOIZSL,O,O,X,O,O,X,X,X,X,O,X,X
TJOLISZ,X,O,X,O,O,X,O,O,O,X,X,X
TJOLIZS,X,O,X,O,X,X,O,X,X,X,X,X
TJOLSIZ,O,O,O,O,O,X,X,O,O,X,X,X
TJOLSZI,O,O,O,O,O,X,X,O,O,X,X,X
TJOLZIS,O,O,O,O,X,X,O,X,X,X,X,X
TJOLZSI,O,O,O,O,X,X,X,O,O,X,X,X
TJOSILZ,O,O,O,O,O,X,X,O,O,X,X,X
TJOSIZL,O,O,X,O,O,X,X,X,O,X,X,X
TJOSLIZ,O,O,O,O,O,X,X,O,O,X,X,X
TJOSLZI,O,O,O,O,O,X,X,O,O,X,X,X
TJOSZIL,O,O,X,O,O,X,X,X,O,X,X,X
TJOSZLI,O,O,X,O,O,X,X,X,O,X,X,X
TJOZILS,O,O,X,O,X,X,X,X,X,X,X,X
TJOZISL,O,O,X,O,O,X,X,X,X,O,X,X
TJOZLIS,O,O,X,O,X,X,X,X,X,X,X,X
TJOZLSI,O,O,X,O,X,X,X,X,O,X,X,X
TJOZSIL,O,O,X,O,O,X,X,X,O,O,X,X
TJOZSLI,O,O,X,O,O,X,X,X,O,O,X,X
TSILJZO,O,O,O,X,X,O,O,O,X,X,X,X
TSILJOZ,X,O,X,X,O,X,X,O,O,X,X,X
TSILZJO,O,O,O,X,X,O,X,O,X,X,X,X
TSILZOJ,O,O,O,X,O,O,X,X,X,X,X,X
TSILOJZ,O,O,O,X,O,X,X,O,O,X,X,X
TSILOZJ,X,X,O,X,O,O,X,O,X,X,X,X
TSIJLZO,O,O,O,X,X,O,O,O,X,X,X,X
TSIJLOZ,X,O,X,X,O,O,X,O,O,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,X,X,O,X,X,X
TSIJOLZ,O,O,O,X,O,X,X,O,O,X,X,X
TSIJOZL,O,X,X,X,O,X,X,X,O,X,X,X
TSIZLJO,O,O,O,X,X,X,X,O,X,X,X,X
TSIZLOJ,O,O,O,X,O,X,X,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,X,X,O,X,X,X
TSIZOLJ,O,O,O,X,O,X,X,O,X,X,X,X
TSIZOJL,O,O,X,X,O,X,X,X,O,X,X,X
TSIOLJZ,O,O,O,X,O,O,X,O,O,X,X,X
TSIOLZJ,X,X,O,X,O,O,X,O,X,X,X,X
TSIOJLZ,O,O,O,X,O,O,X,O,O,X,X,X
TSIOJZL,O,O,X,X,O,X,X,X,O,X,X,X
TSIOZLJ,O,O,O,X,O,X,X,O,X,X,X,X
TSIOZJL,O,O,X,X,O,X,X,X,O,X,X,X
TSLIJZO,O,O,O,X,X,O,O,O,X,X,X,X
TSLIJOZ,X,O,X,X,O,X,X,O,O,X,X,X
TSLIZJO,O,O,O,X,X,O,X,O,X,X,X,X
TSLIZOJ,O,O,O,X,O,O,X,X,X,X,X,X
TSLIOJZ,O,O,O,X,O,X,X,O,O,X,X,X
TSLIOZJ,X,X,O,X,O,O,X,O,X,X,X,X
TSLJIZO,O,O,O,X,X,O,X,O,X,X,X,X
TSLJIOZ,X,O,X,X,O,O,X,O,O,X,X,X
TSLJZIO,O,O,O,X,X,O,X,O,X,X,X,X
TSLJZOI,O,O,O,X,X,O,X,O,O,X,X,X
TSLJOIZ,O,O,O,X,O,O,X,O,O,X,X,X
TSLJOZI,O,O,O,X,O,O,X,O,O,X,X,X
TSLZIJO,O,O,O,X,X,O,X,O,X,X,X,X
TSLZIOJ,O,O,O,X,O,O,X,X,X,X,X,X
TSLZJIO,O,O,O,X,X,O,X,O,X,X,X,X
TSLZJOI,O,O,O,X,X,O,X,O,X,X,X,X
TSLZOIJ,O,O,O,X,O,O,X,O,X,X,X,X
TSLZOJI,O,O,O,X,O,O,X,O,X,X,X,X
TSLOIJZ,O,O,O,X,O,O,O,O,O,X,X,X
TSLOIZJ,X,X,O,X,O,O,X,O,X,X,X,X
TSLOJIZ,O,O,O,X,O,O,X,O,O,X,X,X
TSLOJZI,O,O,O,X,O,O,X,O,O,X,X,X
TSLOZIJ,X,O,O,X,O,O,X,O,X,X,X,X
TSLOZJI,X,O,O,X,O,O,X,O,X,X,X,X
TSJILZO,O,O,O,X,X,O,X,O,X,X,X,O
TSJILOZ,X,O,X,X,O,O,X,O,O,X,X,X
TSJIZLO,O,O,X,X,X,X,X,X,X,X,X,O
TSJIZOL,O,O,X,O,X,X,X,X,O,X,X,O
TSJIOLZ,O,O,O,O,O,X,X,O,O,X,X,X
TSJIOZL,O,X,X,O,O,X,X,X,O,X,X,O
TSJLIZO,O,O,O,X,X,O,X,O,X,X,X,O
TSJLIOZ,X,O,X,X,O,O,X,O,O,X,X,X
TSJLZIO,O,O,O,X,X,O,X,O,X,X,X,O
TSJLZOI,O,O,O,X,X,O,X,O,O,X,X,X
TSJLOIZ,O,O,O,X,O,O,X,O,O,X,X,X
TSJLOZI,O,O,O,X,O,O,X,O,O,X,X,X
TSJZILO,O,O,X,X,X,X,X,X,X,X,X,O
TSJZIOL,O,O,X,O,X,X,X,X,O,X,X,O
TSJZLIO,O,O,X,X,X,O,X,X,X,X,X,O
TSJZLOI,O,O,X,X,X,O,X,X,O,X,X,X
TSJZOIL,O,O,X,X,X,X,X,X,O,X,X,O
TSJZOLI,O,O,X,X,X,X,X,X,O,X,X,X
TSJOILZ,O,O,O,O,O,O,X,O,O,X,X,X
TSJOIZL,O,O,X,O,O,X,X,X,O,X,X,O
TSJOLIZ,O,O,O,O,O,O,X,O,O,X,X,X
TSJOLZI,O,O,O,O,O,O,X,O,O,X,X,X
TSJOZIL,O,O,X,O,O,X,X,X,O,X,X,O
TSJOZLI,O,O,X,O,O,O,X,X,O,X,X,X
TSZILJO,O,O,O,X,X,X,X,O,X,X,X,X
TSZILOJ,O,O,O,X,O,X,X,X,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X,X,X,X,X,X
TSZIJOL,O,O,X,O,X,X,X,X,O,X,X,X
TSZIOLJ,O,O,O,O,O,X,X,O,X,X,X,X
TSZIOJL,O,O,X,O,O,X,X,X,O,X,X,X
TSZLIJO,O,O,O,X,X,O,X,O,X,X,X,X
TSZLIOJ,O,O,O,X,O,O,X,X,X,X,X,X
TSZLJIO,O,O,O,X,X,O,X,O,X,X,X,X
TSZLJOI,O,O,O,X,X,O,X,O,X,X,X,X
TSZLOIJ,O,O,O,X,O,O,X,O,X,X,X,X
TSZLOJI,O,O,O,X,O,O,X,O,X,X,X,X
TSZJILO,O,O,X,X,X,X,X,X,X,X,X,X
TSZJIOL,O,O,X,O,X,X,X,X,O,X,X,X
TSZJLIO,O,O,X,X,X,O,X,X,X,X,X,X
TSZJLOI,O,O,X,X,X,O,X,X,O,X,X,X
TSZJOIL,O,O,X,X,X,X,X,X,O,X,X,X
TSZJOLI,O,O,X,X,X,X,X,X,O,X,X,X
TSZOILJ,O,O,O,X,O,X,X,O,X,X,X,X
TSZOIJL,O,O,X,X,O,X,X,X,O,X,X,X
TSZOLIJ,O,O,O,X,O,O,X,O,X,X,X,X
TSZOLJI,O,O,O,X,O,O,X,O,X,X,X,X
TSZOJIL,O,O,X,X,O,X,X,X,O,X,X,X
TSZOJLI,O,O,X,X,O,O,X,X,O,X,X,X
TSOILJZ,O,O,O,X,O,O,O,O,O,X,X,X
TSOILZJ,X,X,O,X,O,O,X,O,X,X,X,X
TSOIJLZ,O,O,O,X,O,O,O,O,O,X,X,X
TSOIJZL,O,O,X,X,O,X,X,X,O,X,X,X
TSOIZLJ,O,O,O,X,O,X,X,O,X,X,X,X
TSOIZJL,O,O,X,X,O,X,X,X,O,X,X,X
TSOLIJZ,O,O,O,X,O,O,O,O,O,X,X,X
TSOLIZJ,X,X,O,X,O,O,X,O,X,X,X,X
TSOLJIZ,O,O,O,O,O,O,X,O,O,X,X,X
TSOLJZI,O,O,O,O,O,O,X,O,O,X,X,X
TSOLZIJ,X,O,O,O,O,O,X,O,X,X,X,X
TSOLZJI,X,O,O,O,O,O,X,O,X,X,X,X
TSOJILZ,O,O,O,O,O,O,X,O,O,X,X,X
TSOJIZL,O,O,X,O,O,X,X,X,O,X,X,X
TSOJLIZ,O,O,O,O,O,O,X,O,O,X,X,X
TSOJLZI,O,O,O,O,O,O,X,O,O,X,X,X
TSOJZIL,O,O,X,O,O,X,X,X,O,X,X,X
TSOJZLI,O,O,X,O,O,O,X,X,O,X,X,X
TSOZILJ,O,O,O,O,O,X,X,O,X,X,X,X
TSOZIJL,O,O,X,O,O,X,X,X,O,X,X,X
TSOZLIJ,O,O,O,O,O,O,X,O,X,X,X,X
TSOZLJI,O,O,O,O,O,O,X,O,X,X,X,X
TSOZJIL,O,O,X,O,O,X,X,X,O,X,X,X
TSOZJLI,O,O,X,O,O,O,X,X,O,X,X,X
TZILJSO,O,X,X,X,X,X,O,X,X,X,X,X
TZILJOS,O,X,X,O,X,X,O,X,X,X,X,X
TZILSJO,O,O,X,X,X,X,X,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X,X,X,X,X,X
TZILOJS,X,X,X,O,X,X,X,X,X,X,X,X
TZILOSJ,X,X,X,O,X,X,X,X,X,X,X,X
TZIJLSO,O,O,X,X,X,X,O,X,X,X,X,X
TZIJLOS,O,X,X,O,X,X,O,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X,X,X,X,X
TZIJSOL,O,O,X,O,X,X,X,X,X,X,X,X
TZIJOLS,O,X,X,O,X,X,X,X,X,X,X,X
TZIJOSL,O,O,X,O,X,X,X,X,X,X,O,X
TZISLJO,O,O,X,X,X,X,X,X,X,X,X,X
TZISLOJ,O,O,X,X,O,X,X,X,X,X,O,X
TZISJLO,O,O,X,X,X,X,X,X,X,X,X,X
TZISJOL,O,O,X,O,X,X,X,X,X,X,O,X
TZISOLJ,O,O,X,O,O,X,X,X,X,X,O,X
TZISOJL,O,O,X,O,O,X,X,X,X,X,O,X
TZIOLJS,X,X,X,O,X,X,X,X,X,X,X,X
TZIOLSJ,X,O,X,O,X,X,X,X,X,X,X,X
TZIOJLS,X,O,X,O,X,X,X,X,X,X,X,X
TZIOJSL,X,O,X,O,O,X,X,X,X,X,O,X
TZIOSLJ,X,O,X,O,O,X,X,X,X,X,O,X
TZIOSJL,X,O,X,O,O,X,X,X,X,X,O,X
TZLIJSO,O,X,O,X,X,X,O,X,X,X,X,X
TZLIJOS,O,X,O,O,X,X,O,X,X,X,X,X
TZLISJO,O,O,O,X,X,X,X,X,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X,X,X,X,X,X
TZLIOJS,X,X,O,O,X,X,X,X,X,X,X,X
TZLIOSJ,X,X,O,O,X,X,X,X,X,X,X,X
TZLJISO,O,O,O,X,X,X,X,X,X,X,X,X
TZLJIOS,O,X,O,O,X,X,X,X,X,X,X,X
TZLJSIO,O,O,O,X,X,X,X,O,X,X,X,X
TZLJSOI,O,O,O,X,X,X,X,O,X,X,X,X
TZLJOIS,O,X,O,X,X,X,X,X,X,X,X,X
TZLJOSI,O,X,O,X,X,X,X,O,X,X,X,X
TZLSIJO,O,O,O,X,X,X,X,O,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X,X,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X,O,X,X,X,X
TZLSJOI,O,O,O,X,X,X,X,O,X,X,X,X
TZLSOIJ,O,O,O,X,X,X,X,O,X,X,X,X
TZLSOJI,O,O,O,X,X,X,X,O,X,X,X,X
TZLOIJS,X,X,O,X,X,X,O,X,X,X,X,X
TZLOISJ,X,O,O,X,X,X,X,X,X,X,X,X
TZLOJIS,O,O,O,X,X,X,X,X,X,X,X,X
TZLOJSI,O,O,O,X,X,X,X,O,X,X,X,X
TZLOSIJ,O,O,O,X,X,X,X,O,X,X,X,X
TZLOSJI,O,O,O,X,X,X,X,O,X,X,X,X
TZJILSO,O,O,X,X,X,X,X,X,X,X,X,X
TZJILOS,O,X,X,O,X,X,X,X,X,X,X,X
TZJISLO,O,O,X,X,X,X,X,X,X,X,X,X
TZJISOL,O,O,X,O,X,X,X,X,X,X,X,X
TZJIOLS,O,X,X,O,X,X,X,X,X,X,X,X
TZJIOSL,O,O,X,O,X,X,X,X,X,O,X,X
TZJLISO,O,O,X,X,X,X,X,X,X,X,X,X
TZJLIOS,O,X,X,O,X,X,X,X,X,X,X,X
TZJLSIO,O,O,X,X,X,X,X,X,X,X,X,X
TZJLSOI,O,O,X,X,X,X,X,X,O,X,X,X
TZJLOIS,O,X,X,X,X,X,X,X,X,X,X,X
TZJLOSI,O,X,X,X,X,X,X,X,O,X,X,X
TZJSILO,O,O,X,X,X,X,X,X,X,X,X,X
TZJSIOL,O,O,X,O,X,X,X,X,O,X,X,X
TZJSLIO,O,O,X,X,X,X,X,X,X,X,X,X
TZJSLOI,O,O,X,X,X,X,X,X,O,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X,O,X,X,X
TZJSOLI,O,O,X,X,X,X,X,X,O,X,X,X
TZJOILS,O,O,X,O,X,X,X,X,X,X,X,X
TZJOISL,O,O,X,O,X,X,X,X,X,O,X,X
TZJOLIS,O,O,X,O,X,X,X,X,X,X,X,X
TZJOLSI,O,O,X,O,X,X,X,X,O,X,X,X
TZJOSIL,O,O,X,O,X,X,X,X,O,O,X,X
TZJOSLI,O,O,X,O,X,X,X,X,O,O,X,X
TZSILJO,O,O,O,X,X,X,X,O,X,X,X,X
TZSILOJ,O,O,O,X,O,X,X,X,X,X,O,X
TZSIJLO,O,O,X,X,X,X,X,X,X,X,X,X
TZSIJOL,O,O,X,O,X,X,X,X,O,X,O,X
TZSIOLJ,O,O,O,O,O,X,X,O,X,X,O,X
TZSIOJL,O,O,X,O,O,X,X,X,O,X,O,X
TZSLIJO,O,O,O,X,X,X,X,O,X,X,X,X
TZSLIOJ,O,O,O,X,O,X,X,X,X,X,O,X
TZSLJIO,O,O,O,X,X,X,X,O,X,X,X,X
TZSLJOI,O,O,O,X,X,X,X,O,X,X,X,X
TZSLOIJ,O,O,O,X,O,X,X,O,X,X,X,X
TZSLOJI,O,O,O,X,O,X,X,O,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,X,X,X,X,X
TZSJIOL,O,O,X,O,X,X,X,X,O,X,O,X
TZSJLIO,O,O,X,X,X,X,X,X,X,X,X,X
TZSJLOI,O,O,X,X,X,X,X,X,O,X,X,X
TZSJOIL,O,O,X,X,X,X,X,X,O,X,X,X
TZSJOLI,O,O,X,X,X,X,X,X,O,X,X,X
TZSOILJ,O,O,O,X,O,X,X,O,X,X,O,X
TZSOIJL,O,O,X,X,O,X,X,X,O,X,O,X
TZSOLIJ,O,O,O,X,O,X,X,O,X,X,X,X
TZSOLJI,O,O,O,X,O,X,X,O,X,X,X,X
TZSOJIL,O,O,X,X,O,X,X,X,O,X,X,X
TZSOJLI,O,O,X,X,O,X,X,X,O,X,X,X
TZOILJS,X,X,X,O,X,X,O,X,X,X,X,X
TZOILSJ,X,O,X,O,X,X,X,X,X,X,X,X
TZOIJLS,X,O,X,O,X,X,O,X,X,X,X,X
TZOIJSL,X,O,X,O,O,X,X,X,X,X,X,X
TZOISLJ,X,O,X,O,O,X,X,X,X,X,X,X
TZOISJL,X,O,X,O,O,X,X,X,X,X,X,X
TZOLIJS,X,X,O,O,X,X,O,X,X,X,X,X
TZOLISJ,X,O,O,O,X,X,X,X,X,X,X,X
TZOLJIS,O,O,O,O,X,X,X,X,X,X,X,X
TZOLJSI,O,O,O,O,X,X,X,O,X,X,X,X
TZOLSIJ,O,O,O,O,X,X,X,O,X,X,X,X
TZOLSJI,O,O,O,O,X,X,X,O,X,X,X,X
TZOJILS,O,O,X,O,X,X,X,X,X,X,X,X
TZOJISL,O,O,X,O,O,X,X,X,X,O,X,X
TZOJLIS,O,O,X,O,X,X,X,X,X,X,X,X
TZOJLSI,O,O,X,O,X,X,X,X,O,X,X,X
TZOJSIL,O,O,X,O,O,X,X,X,O,O,X,X
TZOJSLI,O,O,X,O,O,X,X,X,O,O,X,X
TZOSILJ,O,O,O,O,O,X,X,O,X,X,X,X
TZOSIJL,O,O,X,O,O,X,X,X,O,X,X,X
TZOSLIJ,O,O,O,O,O,X,X,O,X,X,X,X
TZOSLJI,O,O,O,O,O,X,X,O,X,X,X,X
TZOSJIL,O,O,X,O,O,X,X,X,O,O,X,X
TZOSJLI,O,O,X,O,O,X,X,X,O,O,X,X
TOILJSZ,X,X,X,O,O,X,O,O,X,X,X,X
TOILJZS,X,X,X,O,X,X,O,X,X,X,X,X
TOILSJZ,X,X,O,X,O,X,O,O,X,X,X,X
TOILSZJ,X,X,O,X,O,X,X,O,X,X,X,X
TOILZJS,X,X,O,O,X,X,O,X,X,X,X,X
TOILZSJ,X,X,O,O,X,X,X,X,X,X,X,X
TOIJLSZ,X,O,X,O,O,X,O,X,O,X,X,X
TOIJLZS,X,O,X,O,X,X,O,X,X,X,X,X
TOIJSLZ,O,O,X,O,O,X,O,X,O,X,X,X
TOIJSZL,O,O,X,O,O,X,X,X,O,X,X,X
TOIJZLS,O,O,X,O,X,X,O,X,X,X,X,X
TOIJZSL,O,O,X,O,O,X,X,X,X,X,X,X
TOISLJZ,O,O,O,X,O,X,O,O,O,X,X,X
TOISLZJ,X,X,O,X,O,X,X,O,X,X,X,X
TOISJLZ,O,O,O,X,O,X,O,O,O,X,X,X
TOISJZL,O,O,X,X,O,X,X,X,O,X,X,X
TOISZLJ,X,O,O,X,O,X,X,O,X,X,X,X
TOISZJL,O,O,X,X,O,X,X,X,O,X,X,X
TOIZLJS,X,X,X,O,X,X,O,X,X,X,X,X
TOIZLSJ,X,O,X,O,X,X,X,X,X,X,X,X
TOIZJLS,X,O,X,O,X,X,O,X,X,X,X,X
TOIZJSL,X,O,X,O,O,X,X,X,X,X,X,X
TOIZSLJ,X,O,X,O,O,X,X,X,X,X,X,X
TOIZSJL,X,O,X,O,O,X,X,X,X,X,X,X
TOLIJSZ,X,X,X,O,O,O,O,O,X,X,X,X
TOLIJZS,X,X,X,O,X,O,O,X,X,X,X,X
TOLISJZ,X,X,O,X,O,O,O,O,X,X,X,X
TOLISZJ,X,X,O,X,O,O,X,O,X,X,X,X
TOLIZJS,X,X,O,O,X,O,O,X,X,X,X,X
TOLIZSJ,X,X,O,O,X,O,X,X,X,X,X,X
TOLJISZ,X,O,X,O,O,O,O,O,O,X,X,X
TOLJIZS,X,O,X,O,X,O,O,X,X,X,X,X
TOLJSIZ,O,O,O,O,O,O,X,O,O,X,X,X
TOLJSZI,O,O,O,O,O,O,X,O,O,X,X,X
TOLJZIS,O,O,O,O,X,O,O,X,X,X,X,X
TOLJZSI,O,O,O,O,X,O,X,O,O,X,X,X
TOLSIJZ,O,O,O,X,O,O,O,O,O,X,X,X
TOLSIZJ,X,X,O,X,O,O,X,O,X,X,X,X
TOLSJIZ,O,O,O,O,O,O,X,O,O,X,X,X
TOLSJZI,O,O,O,O,O,O,X,O,O,X,X,X
TOLSZIJ,X,O,O,O,O,O,X,O,X,X,X,X
TOLSZJI,X,O,O,O,O,O,X,O,X,X,X,X
TOLZIJS,X,X,O,O,X,O,O,X,X,X,X,X
TOLZISJ,X,O,O,O,X,O,X,X,X,X,X,X
TOLZJIS,X,O,O,O,X,O,O,X,X,X,X,X
TOLZJSI,X,O,O,O,X,O,X,O,X,X,X,X
TOLZSIJ,X,O,O,O,X,O,X,O,X,X,X,X
TOLZSJI,X,O,O,O,X,O,X,O,X,X,X,X
TOJILSZ,X,O,X,O,O,X,O,X,O,X,X,X
TOJILZS,X,O,X,O,X,X,O,X,X,X,X,X
TOJISLZ,O,O,X,O,O,X,O,X,O,X,X,X
TOJISZL,O,O,X,O,O,X,X,X,O,X,X,X
TOJIZLS,O,O,X,O,X,X,O,X,X,X,X,X
TOJIZSL,O,O,X,O,O,X,X,X,X,O,X,X
TOJLISZ,X,O,X,O,O,O,O,O,O,X,X,X
TOJLIZS,X,O,X,O,X,O,O,X,X,X,X,X
TOJLSIZ,O,O,O,O,O,O,X,O,O,X,X,X
TOJLSZI,O,O,O,O,O,O,X,O,O,X,X,X
TOJLZIS,O,O,O,O,X,O,O,X,X,X,X,X
TOJLZSI,O,O,O,O,X,O,X,O,O,X,X,X
TOJSILZ,O,O,O,O,O,O,X,O,O,X,X,X
TOJSIZL,O,O,X,O,O,X,X,X,O,X,X,X
TOJSLIZ,O,O,O,O,O,O,X,O,O,X,X,X
TOJSLZI,O,O,O,O,O,O,X,O,O,X,X,X
TOJSZIL,O,O,X,O,O,X,X,X,O,X,X,X
TOJSZLI,O,O,X,O,O,O,X,X,O,X,X,X
TOJZILS,O,O,X,O,X,X,X,X,X,X,X,X
TOJZISL,O,O,X,O,O,X,X,X,X,O,X,X
TOJZLIS,O,O,X,O,X,X,X,X,X,X,X,X
TOJZLSI,O,O,X,O,X,X,X,X,O,X,X,X
TOJZSIL,O,O,X,O,O,X,X,X,O,O,X,X
TOJZSLI,O,O,X,O,O,X,X,X,O,O,X,X
TOSILJZ,O,O,O,X,O,O,O,O,O,X,X,X
TOSILZJ,X,X,O,X,O,O,X,O,X,X,X,X
TOSIJLZ,O,O,O,X,O,O,O,O,O,X,X,X
TOSIJZL,O,O,X,X,O,X,X,X,O,X,X,X
TOSIZLJ,O,O,O,X,O,X,X,O,X,X,X,X
TOSIZJL,O,O,X,X,O,X,X,X,O,X,X,X
TOSLIJZ,O,O,O,X,O,O,O,O,O,X,X,X
TOSLIZJ,X,X,O,X,O,O,X,O,X,X,X,X
TOSLJIZ,O,O,O,O,O,O,X,O,O,X,X,X
TOSLJZI,O,O,O,O,O,O,X,O,O,X,X,X
TOSLZIJ,X,O,O,O,O,O,X,O,X,X,X,X
TOSLZJI,X,O,O,O,O,O,X,O,X,X,X,X
TOSJILZ,O,O,O,O,O,O,X,O,O,X,X,X
TOSJIZL,O,O,X,O,O,X,X,X,O,X,X,X
TOSJLIZ,O,O,O,O,O,O,X,O,O,X,X,X
TOSJLZI,O,O,O,O,O,O,X,O,O,X,X,X
TOSJZIL,O,O,X,O,O,X,X,X,O,X,X,X
TOSJZLI,O,O,X,O,O,O,X,X,O,X,X,X
TOSZILJ,O,O,O,O,O,X,X,O,X,X,X,X
TOSZIJL,O,O,X,O,O,X,X,X,O,X,X,X
TOSZLIJ,O,O,O,O,O,O,X,O,X,X,X,X
TOSZLJI,O,O,O,O,O,O,X,O,X,X,X,X
TOSZJIL,O,O,X,O,O,X,X,X,O,O,X,X
TOSZJLI,O,O,X,O,O,O,X,X,O,O,X,X
TOZILJS,X,X,X,O,X,X,O,X,X,X,X,X
TOZILSJ,X,O,X,O,X,X,X,X,X,X,X,X
TOZIJLS,X,O,X,O,X,X,O,X,X,X,X,X
TOZIJSL,X,O,X,O,O,X,X,X,X,X,X,X
TOZISLJ,X,O,X,O,O,X,X,X,X,X,X,X
TOZISJL,X,O,X,O,O,X,X,X,X,X,X,X
TOZLIJS,X,X,O,O,X,X,O,X,X,X,X,X
TOZLISJ,X,O,O,O,X,X,X,X,X,X,X,X
TOZLJIS,O,O,O,O,X,X,X,X,X,X,X,X
TOZLJSI,O,O,O,O,X,X,X,O,X,X,X,X
TOZLSIJ,O,O,O,O,X,X,X,O,X,X,X,X
TOZLSJI,O,O,O,O,X,X,X,O,X,X,X,X
TOZJILS,O,O,X,O,X,X,X,X,X,X,X,X
TOZJISL,O,O,X,O,O,X,X,X,X,O,X,X
TOZJLIS,O,O,X,O,X,X,X,X,X,X,X,X
TOZJLSI,O,O,X,O,X,X,X,X,O,X,X,X
TOZJSIL,O,O,X,O,O,X,X,X,O,O,X,X
TOZJSLI,O,O,X,O,O,X,X,X,O,O,X,X
TOZSILJ,O,O,O,O,O,X,X,O,X,X,X,X
TOZSIJL,O,O,X,O,O,X,X,X,O,X,X,X
TOZSLIJ,O,O,O,O,O,X,X,O,X,X,X,X
TOZSLJI,O,O,O,O,O,X,X,O,X,X,X,X
TOZSJIL,O,O,X,O,O,X,X,X,O,O,X,X
TOZSJLI,O,O,X,O,O,X,X,X,O,O,X,X
ITLJSZO,X,X,X,X,X,X,O,O,X,X,X,X
ITLJSOZ,X,X,X,X,X,X,X,O,X,X,X,X
ITLJZSO,X,X,X,X,X,X,O,X,X,X,X,X
ITLJZOS,X,X,X,X,X,X,O,X,X,X,X,X
ITLJOSZ,X,X,X,X,X,X,X,O,X,X,X,X
ITLJOZS,X,X,X,X,X,X,O,X,X,X,X,X
ITLSJZO,X,X,O,X,X,X,O,O,X,X,X,X
ITLSJOZ,X,X,X,X,O,X,X,O,X,X,X,X
ITLSZJO,X,X,O,X,X,X,X,O,X,X,X,X
ITLSZOJ,X,X,O,X,O,X,X,X,X,X,X,X
ITLSOJZ,X,X,O,X,O,X,X,O,X,X,X,X
ITLSOZJ,X,X,O,X,O,X,X,O,X,X,X,X
ITLZJSO,X,X,O,X,X,X,O,X,X,X,X,X
ITLZJOS,X,X,O,X,X,X,O,X,X,X,X,X
ITLZSJO,X,X,O,X,X,X,X,X,X,X,X,X
ITLZSOJ,X,X,O,X,X,X,X,X,X,X,X,X
ITLZOJS,X,X,O,X,X,X,X,X,X,X,X,X
ITLZOSJ,X,X,O,X,X,X,X,X,X,X,X,X
ITLOJSZ,X,X,X,X,O,X,O,O,X,X,X,X
ITLOJZS,X,X,X,X,X,X,O,X,X,X,X,X
ITLOSJZ,X,X,O,X,O,X,O,O,X,X,X,X
ITLOSZJ,X,X,O,X,O,X,X,O,X,X,X,X
ITLOZJS,X,X,O,X,X,X,O,X,X,X,X,X
ITLOZSJ,X,X,O,X,X,X,X,X,X,X,X,X
ITJLSZO,X,O,X,X,X,X,O,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X,X,O,X,X,X
ITJLZSO,X,O,X,X,X,X,O,X,X,X,X,X
ITJLZOS,X,X,X,O,X,X,O,X,X,X,X,X
ITJLOSZ,X,X,X,O,X,X,X,X,O,X,X,X
