sequence,v115@+gA8HeC8CeG8DeG8BeD8Jei6IvhFGdBTeBlgB3hBRr?BUrB,v115@+gA8HeC8CeG8DeG8BeD8Jei6IvhF3bBGdBTeBlhBRr?BUrB,v115@+gA8HeC8CeG8DeG8BeD8Jei6IvhF3bBTeBxhBGmBFn?BUrB,v115@+gA8HeC8CeG8DeG8BeD8Jei6IvhF3bBGeBVmBRnBzm?BUrB,v115@+gA8HeC8CeG8DeG8BeD8Jei6IvhFGeBlgBRiBXmBzm?BUrB,v115@+gA8HeC8CeG8DeG8BeD8Jei6IvhFGeBlgBRiB0mBzl?B3rB,v115@+gA8HeC8CeG8DeG8BeD8Jei6IvhFRcBTeBlgBXmBcn?B+rB
TILJSZO,O,O,X,X,O,O,X
TILJSOZ,O,O,X,X,O,X,X
TILJZSO,X,O,X,X,O,O,X
TILJZOS,X,O,X,X,X,O,X
TILJOSZ,O,O,X,X,O,X,X
TILJOZS,X,O,X,X,X,O,X
TILSJZO,O,O,X,X,O,O,X
TILSJOZ,O,O,X,X,O,X,X
TILSZJO,O,O,X,X,O,X,X
TILSZOJ,O,O,X,X,X,X,X
TILSOJZ,O,O,X,X,O,X,X
TILSOZJ,O,O,O,X,X,X,X
TILZJSO,X,O,X,X,O,O,X
TILZJOS,X,O,X,X,X,O,X
TILZSJO,O,O,X,X,X,O,X
TILZSOJ,O,O,X,X,X,X,X
TILZOJS,X,O,X,X,X,O,X
TILZOSJ,O,O,X,X,X,X,X
TILOJSZ,O,O,X,X,O,X,X
TILOJZS,X,O,X,X,X,O,X
TILOSJZ,O,O,X,X,X,X,X
TILOSZJ,O,O,O,X,X,X,X
TILOZJS,X,O,X,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X
TIJLSZO,O,O,X,X,O,O,X
TIJLSOZ,O,O,X,X,O,X,X
TIJLZSO,X,O,X,X,O,O,X
TIJLZOS,X,O,X,X,X,O,X
TIJLOSZ,O,O,X,X,O,X,X
TIJLOZS,X,O,X,X,X,O,X
TIJSLZO,O,O,X,X,O,O,X
TIJSLOZ,O,O,X,X,O,X,X
TIJSZLO,O,O,X,X,O,X,X
TIJSZOL,O,O,X,X,X,X,X
TIJSOLZ,O,O,X,X,O,X,X
TIJSOZL,O,O,X,X,X,X,X
