sequence,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeF7IvhFicBflB?5lBcmBTiBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeR7IvhFzcBflB?lgBSnB8qBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBUdB?xqB6rBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFRcBlgB?UiB/qBTmBSxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeC7IvhFehBXgB?5mBTiBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFCcB/iB?0hBRlBlqBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFzbBUdB?1mBxqB/qBSxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBylB?5mBTiBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8JeC7IvhFehBUdB?XgB5mBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFicBUlB?/rB5lBGsBFsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBUdB?ylB5mBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFRcBUhB?FlBCrBXsBGsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFWhBFlB?xmBCrB/sB0rB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFlcBKmB?UlB5lBGsBXsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez8IvhFRgBSnB?flBlgB8qBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFxgBTiB?3gB6rBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez6IvhFWhBRlB?CnBlqB/sB0rB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jez/IvhFRhBSnB?uqBFlB/rBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFUdBxgB?3gB6rBlqBTsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeq/IvhFRcBlgB?cmBTiB/qBWxB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhF3bBTiB?xqB6rBlqBUsB,v115@zgA8FeD8GeC8GeD8DeG8AeA8CeB8Jeu/IvhFRcBSnB?TlB/rBlqBUsB
TILJSZO,X,X,O,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TILJSOZ,X,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TILJZOS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TILJOSZ,X,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TILSJZO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TILSJOZ,X,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TILSZJO,X,X,O,X,X,X,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TILSZOJ,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILSOJZ,X,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TILSOZJ,X,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILZJSO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TILZJOS,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TILZSJO,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TILZSOJ,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILZOJS,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TILZOSJ,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILOJSZ,X,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TILOSJZ,X,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILOZJS,X,X,O,X,X,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TILOZSJ,X,X,O,X,X,X,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJLSZO,X,X,O,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJLSOZ,X,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJLZSO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJLZOS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJLOSZ,X,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJSLZO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
