sequence,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBxcBTeBlmBcs?BCsB,v115@AhB8FeC8DeG8CeG8BeC8Jex6IvhFXdBTeBifB+nBlm?B0rB,v115@AhB8FeC8DeG8CeG8BeC8Jex6IvhF0cBTeBifB+nBlm?BXsB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBxcBTeBFiBSs?B0rB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbB0cBSjBxmBln?BzrB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbB5iBTeB0mBas?BlrB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBlcBTeBxmBCs?BcsB,v115@AhB8FeC8DeG8CeG8BeC8JeO/IvhFXbBViBTeBxmBSs?B0rB
TILJSZO,X,O,O,X,O,X,X,X
TILJSOZ,X,O,O,O,O,X,X,O
TILJZSO,X,O,O,X,O,X,X,X
TILJZOS,X,O,O,X,X,X,X,X
TILJOSZ,X,O,O,O,O,X,X,O
TILJOZS,X,O,O,X,O,X,X,X
TILSJZO,X,O,O,X,O,X,X,X
TILSJOZ,X,O,O,O,O,X,X,O
TILSZJO,X,X,O,X,O,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,O,X,X,X,O
TILSOZJ,X,X,X,X,X,X,X,X
TILZJSO,X,O,O,X,O,X,X,X
TILZJOS,X,O,O,X,X,X,X,X
TILZSJO,X,X,O,X,O,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X
TILZOJS,X,X,O,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X
TILOJSZ,X,O,O,O,X,X,X,O
TILOJZS,X,O,O,X,X,X,X,X
TILOSJZ,X,X,X,O,X,X,X,O
TILOSZJ,X,X,X,X,X,X,X,X
TILOZJS,X,X,O,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X
TIJLSZO,X,O,O,X,O,X,O,X
TIJLSOZ,X,O,O,O,O,X,O,O
TIJLZSO,X,O,O,X,O,X,O,X
TIJLZOS,X,O,O,X,X,X,O,X
TIJLOSZ,X,O,O,O,O,X,O,O
TIJLOZS,X,O,O,X,O,X,O,X
TIJSLZO,X,O,X,X,O,X,O,X
TIJSLOZ,X,O,X,O,O,X,O,O
TIJSZLO,X,X,X,X,O,O,X,X
TIJSZOL,X,X,X,X,X,O,X,O
