sequence,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhFxbBmdBChB0?iBlmBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF6gBmdBxhBl?mB3nB0rB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF0bBxcBejBS?mBVsBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF6gBRdBmiBl?mBcsB/rB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhFxbBmdBChB0?mBlnBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhFlbBajBxhBU?iBGmBXsB,v115@8gA8BeA8FeD8FeF8CeG8BeC8JeT6IvhF0bBSiBejBR?mBlmBXsB
TILJSZO,X,X,O,X,X,O,X
TILJSOZ,X,X,O,X,X,O,X
TILJZSO,O,X,O,X,X,X,X
TILJZOS,O,X,O,X,X,O,X
TILJOSZ,X,X,O,X,X,O,X
TILJOZS,O,X,O,X,O,O,X
TILSJZO,X,O,O,X,X,X,X
TILSJOZ,X,O,O,X,X,X,X
TILSZJO,O,O,O,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X
TILSOJZ,X,O,O,X,X,X,X
TILSOZJ,O,O,O,X,X,X,X
TILZJSO,O,X,O,X,O,X,X
TILZJOS,O,X,O,X,O,X,X
TILZSJO,O,X,O,X,O,X,X
TILZSOJ,O,X,O,X,O,X,X
TILZOJS,O,X,O,X,O,X,X
TILZOSJ,O,X,O,X,O,X,X
TILOJSZ,X,X,O,X,X,O,X
TILOJZS,O,X,O,X,O,O,X
TILOSJZ,X,O,O,X,X,X,X
TILOSZJ,O,O,O,X,X,X,X
TILOZJS,O,X,O,X,O,X,X
TILOZSJ,O,X,O,X,O,X,X
TIJLSZO,X,X,O,X,X,O,X
TIJLSOZ,X,X,O,X,X,O,X
TIJLZSO,O,X,O,X,X,X,X
TIJLZOS,O,X,O,X,X,O,X
TIJLOSZ,X,X,O,X,X,O,X
TIJLOZS,O,X,O,X,O,O,X
TIJSLZO,X,X,X,X,X,X,O
TIJSLOZ,X,X,X,X,X,O,O
TIJSZLO,X,X,X,X,X,X,O
TIJSZOL,X,X,X,X,X,X,O
