sequence,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBFnB0rBirB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxdB?lhB3iB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBxdB?lhB3iBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxdBTfB?lhB3iBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBTcB?xdBliB3mBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxcB?XeBVnB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBVnBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Je2/IvhFxdB0hB?liB3fBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jei6IvhFxdB3fB?0hBliBmrBTrB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFXeBTfB?UiBqrBZmBFsB
TILJSZO,X,O,X,X,O,O,X,O,X,X
TILJSOZ,X,O,X,X,O,O,O,X,X,X
TILJZSO,X,X,X,X,O,O,X,O,X,X
TILJZOS,X,X,X,X,O,O,X,O,X,X
TILJOSZ,X,O,X,X,X,O,X,X,X,X
TILJOZS,X,X,X,X,O,O,X,O,X,X
TILSJZO,X,O,O,X,O,O,X,O,O,X
TILSJOZ,X,O,X,O,O,O,O,X,X,X
TILSZJO,X,X,O,X,O,X,X,O,O,X
TILSZOJ,X,O,O,O,O,O,X,X,O,X
TILSOJZ,X,O,X,O,O,O,O,X,X,X
TILSOZJ,X,O,O,O,O,O,X,X,O,X
TILZJSO,X,X,O,X,O,X,X,O,X,X
TILZJOS,X,X,X,X,O,X,X,O,X,X
TILZSJO,X,X,O,X,O,X,X,O,O,X
TILZSOJ,X,X,O,X,O,O,X,X,O,X
TILZOJS,X,X,X,X,O,X,X,O,X,X
TILZOSJ,X,X,X,X,O,O,X,X,X,X
TILOJSZ,X,O,X,O,X,O,O,X,X,X
TILOJZS,X,X,X,X,O,O,X,O,X,X
TILOSJZ,X,O,X,O,O,O,O,X,X,X
TILOSZJ,X,O,X,O,O,O,X,X,X,X
TILOZJS,X,X,X,X,O,X,X,O,X,X
TILOZSJ,X,X,X,X,O,O,X,X,X,X
TIJLSZO,X,O,X,X,O,X,X,O,O,X
TIJLSOZ,X,O,X,X,O,O,O,X,O,X
TIJLZSO,X,X,X,X,O,X,X,O,O,X
TIJLZOS,X,X,X,X,O,X,X,O,X,X
TIJLOSZ,X,O,X,X,X,O,X,X,X,X
TIJLOZS,X,X,X,X,O,X,X,O,X,X
TIJSLZO,X,O,X,X,X,X,X,O,O,X
TIJSLOZ,O,O,X,X,X,O,O,X,O,X
TIJSZLO,X,O,X,X,X,X,X,O,O,X
TIJSZOL,O,X,X,X,X,X,O,O,O,X
TIJSOLZ,O,O,X,X,X,X,O,X,O,X
TIJSOZL,O,X,X,X,X,X,O,X,O,X
TIJZLSO,X,X,X,X,O,X,X,O,O,X
TIJZLOS,X,X,X,X,O,X,X,O,X,X
TIJZSLO,X,X,X,X,O,X,X,O,O,X
TIJZSOL,X,X,X,X,O,X,O,O,O,X
TIJZOLS,X,X,X,X,O,X,X,X,X,X
TIJZOSL,X,X,X,X,O,X,X,O,O,X
TIJOLSZ,X,X,X,X,X,X,O,X,X,X
TIJOLZS,X,X,X,X,X,X,X,O,X,X
TIJOSLZ,X,X,X,X,X,X,O,X,O,X
TIJOSZL,X,X,X,X,X,X,O,X,O,X
TIJOZLS,X,X,X,X,O,X,X,X,X,X
TIJOZSL,X,X,X,X,O,X,O,O,O,X
TISLJZO,X,O,O,X,O,O,X,O,O,X
TISLJOZ,O,O,X,O,O,O,O,X,O,X
TISLZJO,X,X,O,X,O,X,X,O,O,X
TISLZOJ,X,O,O,O,O,O,X,X,O,X
TISLOJZ,O,O,X,O,O,O,O,X,X,X
TISLOZJ,X,O,O,O,O,O,X,X,O,X
TISJLZO,X,O,X,X,X,X,X,O,O,X
TISJLOZ,O,O,X,X,X,O,O,X,O,X
TISJZLO,X,O,O,X,X,X,X,O,O,X
TISJZOL,O,X,O,X,X,X,O,O,O,X
TISJOLZ,O,O,X,O,X,X,O,X,O,X
TISJOZL,O,X,X,O,X,X,O,X,O,X
TISZLJO,X,X,O,X,O,X,X,X,O,X
TISZLOJ,X,O,O,X,O,O,X,X,O,X
TISZJLO,X,X,O,X,O,X,X,O,O,X
TISZJOL,O,X,O,X,O,X,O,O,X,X
TISZOLJ,X,X,X,X,X,X,X,X,O,X
TISZOJL,O,X,O,O,O,X,O,X,X,X
TISOLJZ,O,O,X,O,X,O,O,X,X,X
TISOLZJ,X,O,X,O,X,O,O,X,O,X
TISOJLZ,O,X,X,O,X,X,O,X,X,X
TISOJZL,O,X,X,O,X,X,O,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X,O,X
TISOZJL,O,X,O,O,O,X,O,X,X,X
TIZLJSO,X,X,O,X,O,X,X,O,X,X
TIZLJOS,X,X,X,X,O,X,X,O,X,X
TIZLSJO,X,X,O,X,O,X,X,O,O,X
TIZLSOJ,X,X,O,X,O,O,X,X,O,X
TIZLOJS,X,X,X,X,O,X,X,O,X,X
