sequence,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBFiBO?oB6rBcsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBFiBO?oBSsB0rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxdBFhBXiBO?oBcsB6rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhF3dBcjBFhBR?sBCsBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxdBFhBXiBO?oBSsB0rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFCeBFhBXjBR?sB8rBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBcjBGiBR?sBlrBisB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBCeBOoBx?mBFsB8rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxcBFhB8mBC?jBOoBXsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBOoBl?mBcsBCsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhF3dBFhBRnBc?oBCsBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFVhB3dBcjBx?mBurBisB
TJZILSO,O,X,X,O,X,X,X,O,X,O,X,O
TJZILOS,O,X,X,O,X,X,X,O,X,O,X,O
TJZISLO,O,X,O,X,X,X,X,O,X,O,X,X
TJZISOL,O,X,O,O,X,X,X,O,X,O,X,O
TJZIOLS,O,X,X,O,X,X,X,O,X,O,X,O
TJZIOSL,O,X,O,O,X,X,X,O,X,O,X,O
TJZLISO,O,X,X,X,X,X,X,O,X,O,X,O
TJZLIOS,O,X,X,X,X,X,X,O,X,O,X,O
TJZLSIO,O,X,O,X,O,X,X,X,X,O,X,X
TJZLSOI,O,X,O,X,O,X,X,X,X,O,X,O
TJZLOIS,O,X,X,X,X,X,X,O,X,O,X,O
TJZLOSI,O,X,O,X,O,X,X,X,X,O,X,O
TJZSILO,O,X,O,X,X,X,X,X,X,O,X,X
TJZSIOL,O,X,O,X,X,X,X,X,X,O,X,X
TJZSLIO,O,X,O,X,X,X,X,X,X,O,X,X
TJZSLOI,O,X,O,X,X,X,X,X,X,O,X,X
TJZSOIL,O,X,O,O,X,X,X,X,X,O,X,O
TJZSOLI,O,X,O,X,X,X,X,X,X,O,X,O
TJZOILS,O,X,X,O,X,X,X,O,X,O,X,O
TJZOISL,O,X,O,O,X,X,X,O,X,O,X,O
TJZOLIS,O,X,X,X,X,X,X,O,X,O,X,O
TJZOLSI,O,X,O,X,O,X,X,X,X,O,X,O
TJZOSIL,O,X,O,O,X,X,X,X,X,O,X,O
TJZOSLI,O,X,O,X,X,X,X,X,X,O,X,O
TJOILSZ,O,O,X,X,O,X,X,O,X,X,X,X
TJOILZS,X,O,X,O,X,X,X,O,X,X,X,O
TJOISLZ,O,O,X,X,X,X,X,O,X,X,X,X
TJOISZL,O,X,X,X,X,X,X,O,X,O,X,X
TJOIZLS,O,X,X,O,X,X,X,O,X,O,X,O
TJOIZSL,O,X,O,O,X,O,X,O,X,O,X,O
TJOLISZ,O,O,X,X,O,X,X,O,X,X,X,X
TJOLIZS,X,O,X,X,X,X,X,O,X,X,O,O
TJOLSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJOLSZI,O,O,X,X,O,X,X,X,X,X,X,X
TJOLZIS,O,O,X,X,X,X,X,O,X,X,X,O
TJOLZSI,O,O,O,X,O,X,X,X,X,X,X,O
TJOSILZ,O,O,X,X,X,X,X,O,X,X,X,X
TJOSIZL,O,X,X,X,X,X,X,O,X,O,X,X
TJOSLIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJOSLZI,O,O,X,X,O,X,X,X,X,X,X,X
TJOSZIL,O,X,O,X,X,X,X,X,X,O,X,X
TJOSZLI,O,X,O,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,X,O,X,X,X,O,X,O,X,O
TJOZISL,O,X,O,O,X,X,X,O,X,O,X,O
TJOZLIS,O,X,X,X,X,X,X,O,X,O,X,O
TJOZLSI,O,X,O,X,O,X,X,X,X,O,X,O
TJOZSIL,O,X,O,O,X,X,X,X,X,O,X,O
TJOZSLI,O,X,O,X,X,X,X,X,X,O,X,O
TSILJZO,X,X,X,X,X,X,O,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,O,X,X,X,X,X
TSILZJO,X,X,X,O,X,O,O,X,X,X,X,O
TSILZOJ,X,X,X,O,X,O,O,X,X,X,X,O
TSILOJZ,X,X,X,X,X,X,O,X,X,X,X,X
TSILOZJ,X,X,X,O,X,O,O,X,X,X,X,O
TSIJLZO,X,X,X,X,X,X,O,O,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,O,O,X,X,X,X
TSIJZLO,X,X,X,X,X,X,O,O,X,X,X,X
TSIJZOL,X,X,X,X,X,X,O,O,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,O,O,X,X,X,X
TSIJOZL,X,X,X,X,X,X,O,O,X,X,X,X
TSIZLJO,X,X,X,O,X,O,O,X,X,X,X,O
TSIZLOJ,X,X,X,O,X,O,O,X,X,X,X,O
TSIZJLO,X,X,X,X,X,O,O,X,X,X,X,X
TSIZJOL,X,X,X,O,X,O,O,X,X,X,X,O
TSIZOLJ,X,X,X,O,X,O,O,X,X,X,X,O
TSIZOJL,X,X,X,O,X,O,O,X,X,X,X,O
TSIOLJZ,X,X,X,X,X,X,O,X,X,X,X,X
TSIOLZJ,X,X,X,O,X,O,O,X,X,X,X,O
TSIOJLZ,X,X,X,X,X,X,O,O,X,X,X,X
TSIOJZL,X,X,X,X,X,X,O,O,X,X,X,X
TSIOZLJ,X,X,X,O,X,O,O,X,X,X,X,O
TSIOZJL,X,X,X,O,X,O,O,X,X,X,X,O
TSLIJZO,X,O,X,X,O,X,X,X,X,X,X,X
TSLIJOZ,O,O,X,X,O,X,X,X,X,X,X,X
TSLIZJO,X,X,X,X,X,O,X,X,X,X,O,O
TSLIZOJ,X,O,X,X,X,O,X,X,X,X,O,O
TSLIOJZ,O,O,X,X,O,X,X,X,X,X,X,X
TSLIOZJ,X,O,X,X,X,O,X,X,X,X,O,O
TSLJIZO,X,O,X,X,O,X,X,X,X,X,X,X
TSLJIOZ,O,O,X,X,O,X,X,X,X,X,X,X
TSLJZIO,O,O,X,X,O,X,X,X,X,X,X,X
TSLJZOI,O,O,X,X,O,X,X,X,X,X,X,X
TSLJOIZ,O,O,X,X,O,X,X,X,X,X,X,X
TSLJOZI,O,O,X,X,O,X,X,X,X,X,X,X
TSLZIJO,O,X,X,X,X,X,X,X,O,X,X,O
TSLZIOJ,O,O,X,X,X,X,X,X,O,X,X,O
TSLZJIO,O,O,X,X,O,X,X,X,O,X,X,X
TSLZJOI,O,O,X,X,O,X,X,X,O,X,X,O
TSLZOIJ,O,O,X,X,X,X,X,X,O,X,X,O
TSLZOJI,O,O,X,X,O,X,X,X,O,X,X,O
TSLOIJZ,O,O,X,X,O,X,X,X,X,X,X,X
TSLOIZJ,X,O,X,X,X,O,X,X,X,X,O,O
TSLOJIZ,O,O,X,X,O,X,X,X,X,X,X,X
TSLOJZI,O,O,X,X,O,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X,O,X,X,O
TSLOZJI,O,O,X,X,O,X,X,X,O,X,X,O
TSJILZO,X,X,X,X,X,X,X,O,X,X,X,X
TSJILOZ,X,X,X,X,X,X,X,O,X,X,X,X
TSJIZLO,X,X,X,X,X,X,X,O,X,X,X,X
TSJIZOL,X,X,X,X,X,X,X,O,X,X,X,X
TSJIOLZ,O,O,X,X,X,X,X,O,X,X,X,X
TSJIOZL,O,X,X,X,X,X,X,O,X,O,X,X
TSJLIZO,X,O,X,X,O,X,X,O,X,X,X,X
TSJLIOZ,O,O,X,X,O,X,X,O,X,X,X,X
TSJLZIO,O,O,X,X,O,X,X,X,X,X,X,X
TSJLZOI,O,O,X,X,O,X,X,X,X,X,X,X
TSJLOIZ,O,O,X,X,O,X,X,O,X,X,X,X
TSJLOZI,O,O,X,X,O,X,X,X,X,X,X,X
TSJZILO,O,X,O,X,X,X,X,X,X,X,X,X
TSJZIOL,O,X,O,X,X,X,X,X,X,O,X,X
TSJZLIO,O,X,O,X,X,X,X,X,X,X,X,X
TSJZLOI,O,X,O,X,X,X,X,X,X,X,X,X
TSJZOIL,O,X,O,X,X,X,X,X,X,O,X,X
TSJZOLI,O,X,O,X,X,X,X,X,X,X,X,X
TSJOILZ,O,O,X,X,X,X,X,O,X,X,X,X
TSJOIZL,O,X,X,X,X,X,X,O,X,O,X,X
TSJOLIZ,O,O,X,X,O,X,X,O,X,X,X,X
TSJOLZI,O,O,X,X,O,X,X,X,X,X,X,X
TSJOZIL,O,X,O,X,X,X,X,X,X,O,X,X
TSJOZLI,O,X,O,X,X,X,X,X,X,X,X,X
TSZILJO,X,X,X,O,X,X,O,X,O,X,X,O
TSZILOJ,O,X,X,O,X,X,O,X,O,X,X,O
TSZIJLO,O,X,O,X,X,X,O,X,O,X,X,X
TSZIJOL,O,X,O,O,X,X,O,X,O,X,X,O
TSZIOLJ,O,X,X,O,X,X,O,X,O,X,X,O
TSZIOJL,O,X,O,O,X,X,O,X,O,X,X,O
TSZLIJO,X,X,X,X,X,X,X,X,O,X,X,O
TSZLIOJ,O,X,X,X,X,X,X,X,O,X,X,O
TSZLJIO,O,X,O,X,X,X,X,X,O,X,X,X
TSZLJOI,O,X,O,X,X,X,X,X,O,X,X,O
TSZLOIJ,O,X,X,O,X,X,X,X,O,X,X,O
TSZLOJI,O,X,O,X,X,X,X,X,O,X,X,O
TSZJILO,O,X,O,X,X,X,X,X,O,X,X,X
TSZJIOL,O,X,O,X,X,X,X,X,O,O,X,X
TSZJLIO,O,X,O,X,X,X,X,X,O,X,X,X
TSZJLOI,O,X,O,X,X,X,X,X,O,X,X,X
TSZJOIL,O,X,O,O,X,X,X,X,O,O,X,O
TSZJOLI,O,X,O,X,X,X,X,X,O,X,X,O
TSZOILJ,O,X,X,O,X,X,O,X,O,X,X,O
TSZOIJL,O,X,O,O,X,X,O,X,O,X,X,O
TSZOLIJ,O,X,X,O,X,X,X,X,O,X,X,O
TSZOLJI,O,X,O,X,X,X,X,X,O,X,X,O
TSZOJIL,O,X,O,O,X,X,X,X,O,O,X,O
TSZOJLI,O,X,O,X,X,X,X,X,O,X,X,O
TSOILJZ,X,X,X,X,X,X,O,X,X,X,X,X
TSOILZJ,X,X,X,O,X,O,O,X,X,X,X,O
TSOIJLZ,X,X,X,X,X,X,O,O,X,X,X,X
TSOIJZL,X,X,X,X,X,X,O,O,X,X,X,X
TSOIZLJ,X,X,X,O,X,O,O,X,X,X,X,O
TSOIZJL,X,X,X,O,X,O,O,X,X,X,X,O
TSOLIJZ,O,O,X,X,O,X,X,X,X,X,X,X
TSOLIZJ,X,O,X,X,X,O,X,X,X,X,O,O
TSOLJIZ,O,O,X,X,O,X,X,X,X,X,X,X
TSOLJZI,O,O,X,X,O,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,X,X,O,X,X,O
TSOLZJI,O,O,X,X,O,X,X,X,O,X,X,O
TSOJILZ,O,O,X,X,X,X,X,O,X,X,X,X
TSOJIZL,O,X,X,X,X,X,X,O,X,O,X,X
TSOJLIZ,O,O,X,X,O,X,X,O,X,X,X,X
TSOJLZI,O,O,X,X,O,X,X,X,X,X,X,X
TSOJZIL,O,X,O,X,X,X,X,X,X,O,X,X
TSOJZLI,O,X,O,X,X,X,X,X,X,X,X,X
TSOZILJ,O,X,X,O,X,X,O,X,O,X,X,O
TSOZIJL,O,X,O,O,X,X,O,X,O,X,X,O
TSOZLIJ,O,X,X,O,X,X,X,X,O,X,X,O
TSOZLJI,O,X,O,X,X,X,X,X,O,X,X,O
TSOZJIL,O,X,O,O,X,X,X,X,O,O,X,O
TSOZJLI,O,X,O,X,X,X,X,X,O,X,X,O
TZILJSO,X,X,X,O,X,X,O,X,X,X,X,O
TZILJOS,X,X,X,O,X,X,O,X,X,X,X,O
TZILSJO,X,X,X,O,X,O,O,X,X,X,X,O
TZILSOJ,O,X,X,O,X,O,O,X,X,X,X,O
TZILOJS,X,X,X,O,X,X,O,X,X,X,X,O
TZILOSJ,O,X,X,O,X,O,O,X,X,X,X,O
TZIJLSO,O,X,X,O,X,X,O,O,X,O,X,O
TZIJLOS,O,X,X,O,X,X,O,O,X,O,X,O
TZIJSLO,O,X,O,X,X,O,O,O,X,O,X,X
TZIJSOL,O,X,O,O,X,O,O,O,X,O,X,O
TZIJOLS,O,X,X,O,X,X,O,O,X,O,X,O
TZIJOSL,O,X,O,O,X,O,O,O,X,O,X,O
TZISLJO,X,X,X,O,X,O,O,X,X,X,X,O
TZISLOJ,O,X,X,O,X,O,O,X,X,X,X,O
TZISJLO,O,X,O,X,X,O,O,X,X,O,X,X
TZISJOL,O,X,O,O,X,O,O,X,X,O,X,O
TZISOLJ,O,X,X,O,X,O,O,X,X,X,X,O
TZISOJL,O,X,O,O,X,O,O,X,X,O,X,O
TZIOLJS,X,X,X,O,X,X,O,X,X,X,X,O
TZIOLSJ,O,X,X,O,X,O,O,X,X,X,X,O
TZIOJLS,O,X,X,O,X,X,O,O,X,O,X,O
TZIOJSL,O,X,O,O,X,O,O,O,X,O,X,O
TZIOSLJ,O,X,X,O,X,O,O,X,X,X,X,O
TZIOSJL,O,X,O,O,X,O,O,X,X,O,X,O
TZLIJSO,O,X,X,O,X,X,X,X,X,X,O,O
TZLIJOS,O,X,X,O,X,X,X,X,X,X,O,O
TZLISJO,O,X,X,O,X,X,X,X,X,X,O,O
TZLISOJ,O,X,X,O,X,X,X,X,X,X,O,O
TZLIOJS,O,X,X,O,X,X,X,X,X,X,O,O
TZLIOSJ,O,X,X,O,X,X,X,X,X,X,O,O
TZLJISO,O,X,X,X,X,X,X,X,X,O,X,O
TZLJIOS,O,X,X,X,X,X,X,X,X,O,X,O
TZLJSIO,O,X,O,X,O,X,X,X,X,O,X,X
TZLJSOI,O,X,O,X,O,X,X,X,X,O,X,O
TZLJOIS,O,X,X,X,X,X,X,X,X,O,X,O
TZLJOSI,O,X,O,X,O,X,X,X,X,O,X,O
TZLSIJO,O,X,X,X,X,X,X,X,X,X,X,O
TZLSIOJ,O,X,X,X,X,X,X,X,X,X,X,O
TZLSJIO,O,X,O,X,O,X,X,X,X,O,X,X
TZLSJOI,O,X,O,X,O,X,X,X,X,O,X,O
TZLSOIJ,O,X,X,O,X,X,X,X,X,X,X,O
TZLSOJI,O,X,O,X,O,X,X,X,X,O,X,O
TZLOIJS,O,X,X,O,X,X,X,X,X,X,O,O
TZLOISJ,O,X,X,O,X,X,X,X,X,X,O,O
TZLOJIS,O,X,X,X,X,X,X,X,X,O,X,O
TZLOJSI,O,X,O,X,O,X,X,X,X,O,X,O
TZLOSIJ,O,X,X,O,X,X,X,X,X,X,X,O
TZLOSJI,O,X,O,X,O,X,X,X,X,O,X,O
TZJILSO,O,X,X,O,X,X,X,O,X,O,X,O
TZJILOS,O,X,X,O,X,X,X,O,X,O,X,O
TZJISLO,O,X,O,X,X,X,X,O,X,O,X,X
TZJISOL,O,X,O,O,X,X,X,O,X,O,X,O
TZJIOLS,O,X,X,O,X,X,X,O,X,O,X,O
TZJIOSL,O,X,O,O,X,X,X,O,X,O,X,O
TZJLISO,O,X,X,X,X,X,X,O,X,O,X,O
TZJLIOS,O,X,X,X,X,X,X,O,X,O,X,O
TZJLSIO,O,X,O,X,O,X,X,X,X,O,X,X
TZJLSOI,O,X,O,X,O,X,X,X,X,O,X,O
TZJLOIS,O,X,X,X,X,X,X,O,X,O,X,O
TZJLOSI,O,X,O,X,O,X,X,X,X,O,X,O
TZJSILO,O,X,O,X,X,X,X,X,X,O,X,X
TZJSIOL,O,X,O,X,X,X,X,X,X,O,X,X
TZJSLIO,O,X,O,X,X,X,X,X,X,O,X,X
TZJSLOI,O,X,O,X,X,X,X,X,X,O,X,X
TZJSOIL,O,X,O,O,X,X,X,X,X,O,X,O
TZJSOLI,O,X,O,X,X,X,X,X,X,O,X,O
TZJOILS,O,X,X,O,X,X,X,O,X,O,X,O
TZJOISL,O,X,O,O,X,X,X,O,X,O,X,O
TZJOLIS,O,X,X,X,X,X,X,O,X,O,X,O
TZJOLSI,O,X,O,X,O,X,X,X,X,O,X,O
TZJOSIL,O,X,O,O,X,X,X,X,X,O,X,O
TZJOSLI,O,X,O,X,X,X,X,X,X,O,X,O
TZSILJO,X,X,X,O,X,X,O,X,X,X,X,O
TZSILOJ,O,X,X,O,X,X,O,X,X,X,X,O
TZSIJLO,O,X,O,X,X,X,O,X,X,O,X,X
TZSIJOL,O,X,O,O,X,X,O,X,X,O,X,O
TZSIOLJ,O,X,X,O,X,X,O,X,X,X,X,O
TZSIOJL,O,X,O,O,X,X,O,X,X,O,X,O
TZSLIJO,X,X,X,X,X,X,X,X,X,X,X,O
TZSLIOJ,O,X,X,X,X,X,X,X,X,X,X,O
TZSLJIO,O,X,O,X,X,X,X,X,X,O,X,X
TZSLJOI,O,X,O,X,X,X,X,X,X,O,X,O
TZSLOIJ,O,X,X,O,X,X,X,X,X,X,X,O
TZSLOJI,O,X,O,X,X,X,X,X,X,O,X,O
TZSJILO,O,X,O,X,X,X,X,X,X,O,X,X
TZSJIOL,O,X,O,X,X,X,X,X,X,O,X,X
TZSJLIO,O,X,O,X,X,X,X,X,X,O,X,X
TZSJLOI,O,X,O,X,X,X,X,X,X,O,X,X
TZSJOIL,O,X,O,O,X,X,X,X,X,O,X,O
TZSJOLI,O,X,O,X,X,X,X,X,X,O,X,O
TZSOILJ,O,X,X,O,X,X,O,X,X,X,X,O
TZSOIJL,O,X,O,O,X,X,O,X,X,O,X,O
TZSOLIJ,O,X,X,O,X,X,X,X,X,X,X,O
TZSOLJI,O,X,O,X,X,X,X,X,X,O,X,O
TZSOJIL,O,X,O,O,X,X,X,X,X,O,X,O
TZSOJLI,O,X,O,X,X,X,X,X,X,O,X,O
TZOILJS,X,X,X,O,X,X,O,X,X,X,X,O
TZOILSJ,O,X,X,O,X,O,O,X,X,X,X,O
TZOIJLS,O,X,X,O,X,X,O,O,X,O,X,O
TZOIJSL,O,X,O,O,X,O,O,O,X,O,X,O
TZOISLJ,O,X,X,O,X,O,O,X,X,X,X,O
TZOISJL,O,X,O,O,X,O,O,X,X,O,X,O
TZOLIJS,O,X,X,O,X,X,X,X,X,X,O,O
TZOLISJ,O,X,X,O,X,X,X,X,X,X,O,O
TZOLJIS,O,X,X,X,X,X,X,X,X,O,X,O
TZOLJSI,O,X,O,X,O,X,X,X,X,O,X,O
TZOLSIJ,O,X,X,O,X,X,X,X,X,X,X,O
TZOLSJI,O,X,O,X,O,X,X,X,X,O,X,O
TZOJILS,O,X,X,O,X,X,X,O,X,O,X,O
TZOJISL,O,X,O,O,X,X,X,O,X,O,X,O
TZOJLIS,O,X,X,X,X,X,X,O,X,O,X,O
TZOJLSI,O,X,O,X,O,X,X,X,X,O,X,O
TZOJSIL,O,X,O,O,X,X,X,X,X,O,X,O
TZOJSLI,O,X,O,X,X,X,X,X,X,O,X,O
TZOSILJ,O,X,X,O,X,X,O,X,X,X,X,O
TZOSIJL,O,X,O,O,X,X,O,X,X,O,X,O
TZOSLIJ,O,X,X,O,X,X,X,X,X,X,X,O
TZOSLJI,O,X,O,X,X,X,X,X,X,O,X,O
TZOSJIL,O,X,O,O,X,X,X,X,X,O,X,O
TZOSJLI,O,X,O,X,X,X,X,X,X,O,X,O
TOILJSZ,X,X,X,X,O,X,O,O,X,X,X,X
TOILJZS,X,X,X,O,X,X,O,O,X,X,O,O
TOILSJZ,X,X,X,X,O,X,O,X,X,X,X,X
TOILSZJ,X,X,X,O,X,X,O,X,X,X,O,O
TOILZJS,X,X,X,O,X,X,O,X,X,X,O,O
TOILZSJ,X,X,X,O,X,O,O,X,X,X,O,O
TOIJLSZ,X,X,X,X,O,X,O,O,X,X,X,X
TOIJLZS,X,X,X,O,X,X,O,O,X,X,X,O
TOIJSLZ,X,X,X,X,X,X,O,O,X,X,X,X
TOIJSZL,X,X,X,X,X,X,O,O,X,X,X,X
TOIJZLS,X,X,X,O,X,X,O,O,X,X,X,O
TOIJZSL,X,X,O,O,X,O,O,O,X,X,X,O
TOISLJZ,X,X,X,X,X,X,O,X,X,X,X,X
TOISLZJ,X,X,X,O,X,O,O,X,X,X,X,O
TOISJLZ,X,X,X,X,X,X,O,O,X,X,X,X
TOISJZL,X,X,X,X,X,X,O,O,X,X,X,X
TOISZLJ,X,X,X,O,X,O,O,X,X,X,X,O
TOISZJL,X,X,X,O,X,O,O,X,X,X,X,O
TOIZLJS,X,X,X,O,X,X,O,X,X,X,X,O
TOIZLSJ,X,X,X,O,X,O,O,X,X,X,X,O
TOIZJLS,X,X,X,O,X,X,O,O,X,X,X,O
TOIZJSL,X,X,O,O,X,O,O,O,X,X,X,O
TOIZSLJ,X,X,X,O,X,O,O,X,X,X,X,O
TOIZSJL,X,X,O,O,X,O,O,X,X,X,X,O
TOLIJSZ,O,O,X,X,O,X,X,O,X,X,X,X
TOLIJZS,X,O,X,O,X,X,X,O,X,X,O,O
TOLISJZ,O,O,X,X,O,X,X,X,X,X,X,X
TOLISZJ,X,O,X,O,X,X,X,X,X,X,O,O
TOLIZJS,X,X,X,O,X,X,X,X,X,X,O,O
TOLIZSJ,X,O,X,O,X,O,X,X,X,X,O,O
TOLJISZ,O,O,X,X,O,X,X,O,X,X,X,X
TOLJIZS,X,O,X,X,X,X,X,O,X,X,O,O
TOLJSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TOLJSZI,O,O,X,X,O,X,X,X,X,X,X,X
TOLJZIS,O,O,X,X,X,X,X,O,X,X,X,O
TOLJZSI,O,O,O,X,O,X,X,X,X,X,X,O
TOLSIJZ,O,O,X,X,O,X,X,X,X,X,X,X
TOLSIZJ,X,O,X,X,X,X,X,X,X,X,O,O
TOLSJIZ,O,O,X,X,O,X,X,X,X,X,X,X
TOLSJZI,O,O,X,X,O,X,X,X,X,X,X,X
TOLSZIJ,O,O,X,X,X,X,X,X,O,X,X,O
TOLSZJI,O,O,X,X,O,X,X,X,O,X,X,O
TOLZIJS,O,X,X,O,X,X,X,X,X,X,O,O
TOLZISJ,O,O,X,O,X,X,X,X,X,X,O,O
TOLZJIS,O,O,X,X,X,X,X,X,X,X,X,O
TOLZJSI,O,O,O,X,O,X,X,X,X,X,X,O
TOLZSIJ,O,O,X,O,X,X,X,X,X,X,X,O
TOLZSJI,O,O,O,X,O,X,X,X,X,X,X,O
TOJILSZ,O,O,X,X,O,X,X,O,X,X,X,X
TOJILZS,X,O,X,O,X,X,X,O,X,X,X,O
TOJISLZ,O,O,X,X,X,X,X,O,X,X,X,X
TOJISZL,O,X,X,X,X,X,X,O,X,O,X,X
TOJIZLS,O,X,X,O,X,X,X,O,X,O,X,O
TOJIZSL,O,X,O,O,X,O,X,O,X,O,X,O
TOJLISZ,O,O,X,X,O,X,X,O,X,X,X,X
TOJLIZS,X,O,X,X,X,X,X,O,X,X,O,O
TOJLSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TOJLSZI,O,O,X,X,O,X,X,X,X,X,X,X
TOJLZIS,O,O,X,X,X,X,X,O,X,X,X,O
TOJLZSI,O,O,O,X,O,X,X,X,X,X,X,O
TOJSILZ,O,O,X,X,X,X,X,O,X,X,X,X
TOJSIZL,O,X,X,X,X,X,X,O,X,O,X,X
TOJSLIZ,O,O,X,X,O,X,X,O,X,X,X,X
TOJSLZI,O,O,X,X,O,X,X,X,X,X,X,X
TOJSZIL,O,X,O,X,X,X,X,X,X,O,X,X
TOJSZLI,O,X,O,X,X,X,X,X,X,X,X,X
TOJZILS,O,X,X,O,X,X,X,O,X,O,X,O
TOJZISL,O,X,O,O,X,X,X,O,X,O,X,O
TOJZLIS,O,X,X,X,X,X,X,O,X,O,X,O
TOJZLSI,O,X,O,X,O,X,X,X,X,O,X,O
TOJZSIL,O,X,O,O,X,X,X,X,X,O,X,O
TOJZSLI,O,X,O,X,X,X,X,X,X,O,X,O
TOSILJZ,X,X,X,X,X,X,O,X,X,X,X,X
TOSILZJ,X,X,X,O,X,O,O,X,X,X,X,O
TOSIJLZ,X,X,X,X,X,X,O,O,X,X,X,X
TOSIJZL,X,X,X,X,X,X,O,O,X,X,X,X
TOSIZLJ,X,X,X,O,X,O,O,X,X,X,X,O
TOSIZJL,X,X,X,O,X,O,O,X,X,X,X,O
TOSLIJZ,O,O,X,X,O,X,X,X,X,X,X,X
TOSLIZJ,X,O,X,X,X,O,X,X,X,X,O,O
TOSLJIZ,O,O,X,X,O,X,X,X,X,X,X,X
TOSLJZI,O,O,X,X,O,X,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X,O,X,X,O
TOSLZJI,O,O,X,X,O,X,X,X,O,X,X,O
TOSJILZ,O,O,X,X,X,X,X,O,X,X,X,X
TOSJIZL,O,X,X,X,X,X,X,O,X,O,X,X
TOSJLIZ,O,O,X,X,O,X,X,O,X,X,X,X
TOSJLZI,O,O,X,X,O,X,X,X,X,X,X,X
TOSJZIL,O,X,O,X,X,X,X,X,X,O,X,X
TOSJZLI,O,X,O,X,X,X,X,X,X,X,X,X
TOSZILJ,O,X,X,O,X,X,O,X,O,X,X,O
TOSZIJL,O,X,O,O,X,X,O,X,O,X,X,O
TOSZLIJ,O,X,X,O,X,X,X,X,O,X,X,O
TOSZLJI,O,X,O,X,X,X,X,X,O,X,X,O
TOSZJIL,O,X,O,O,X,X,X,X,O,O,X,O
TOSZJLI,O,X,O,X,X,X,X,X,O,X,X,O
TOZILJS,X,X,X,O,X,X,O,X,X,X,X,O
TOZILSJ,O,X,X,O,X,O,O,X,X,X,X,O
TOZIJLS,O,X,X,O,X,X,O,O,X,O,X,O
TOZIJSL,O,X,O,O,X,O,O,O,X,O,X,O
TOZISLJ,O,X,X,O,X,O,O,X,X,X,X,O
TOZISJL,O,X,O,O,X,O,O,X,X,O,X,O
TOZLIJS,O,X,X,O,X,X,X,X,X,X,O,O
TOZLISJ,O,X,X,O,X,X,X,X,X,X,O,O
TOZLJIS,O,X,X,X,X,X,X,X,X,O,X,O
TOZLJSI,O,X,O,X,O,X,X,X,X,O,X,O
TOZLSIJ,O,X,X,O,X,X,X,X,X,X,X,O
TOZLSJI,O,X,O,X,O,X,X,X,X,O,X,O
TOZJILS,O,X,X,O,X,X,X,O,X,O,X,O
TOZJISL,O,X,O,O,X,X,X,O,X,O,X,O
TOZJLIS,O,X,X,X,X,X,X,O,X,O,X,O
TOZJLSI,O,X,O,X,O,X,X,X,X,O,X,O
TOZJSIL,O,X,O,O,X,X,X,X,X,O,X,O
TOZJSLI,O,X,O,X,X,X,X,X,X,O,X,O
TOZSILJ,O,X,X,O,X,X,O,X,X,X,X,O
TOZSIJL,O,X,O,O,X,X,O,X,X,O,X,O
TOZSLIJ,O,X,X,O,X,X,X,X,X,X,X,O
TOZSLJI,O,X,O,X,X,X,X,X,X,O,X,O
TOZSJIL,O,X,O,O,X,X,X,X,X,O,X,O
TOZSJLI,O,X,O,X,X,X,X,X,X,O,X,O
ITLJSZO,X,X,X,X,O,X,O,O,X,X,X,X
ITLJSOZ,X,X,X,X,O,X,O,O,X,X,X,X
ITLJZSO,X,X,X,O,X,X,O,O,X,X,O,O
ITLJZOS,X,X,X,O,X,X,O,O,X,X,O,O
ITLJOSZ,X,X,X,X,O,X,O,O,X,X,X,X
ITLJOZS,X,X,X,O,X,X,O,O,X,X,O,O
ITLSJZO,X,X,X,X,O,X,O,X,X,X,X,X
ITLSJOZ,X,X,X,X,O,X,O,X,X,X,X,X
