sequence,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBFiBO?oB6rBcsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBFiBO?oBSsB0rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxdBFhBXiBO?oBcsB6rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhF3dBcjBFhBR?sBCsBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxdBFhBXiBO?oBSsB0rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFCeBFhBXjBR?sB8rBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBcjBGiBR?sBlrBisB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBCeBOoBx?mBFsB8rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxcBFhB8mBC?jBOoBXsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBOoBl?mBcsBCsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhF3dBFhBRnBc?oBCsBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFVhB3dBcjBx?mBurBisB
TIZJLOS,X,X,X,O,X,X,O,O,X,X,X,O
TIZJSLO,X,X,O,X,X,O,O,O,X,X,X,X
TIZJSOL,X,X,O,O,X,O,O,O,X,X,X,O
TIZJOLS,X,X,X,O,X,X,O,O,X,X,X,O
TIZJOSL,X,X,O,O,X,O,O,O,X,X,X,O
TIZSLJO,X,X,X,O,X,O,O,X,X,X,X,O
TIZSLOJ,X,X,X,O,X,O,O,X,X,X,X,O
TIZSJLO,X,X,O,X,X,O,O,X,X,X,X,X
TIZSJOL,X,X,O,O,X,O,O,X,X,X,X,O
TIZSOLJ,X,X,X,O,X,O,O,X,X,X,X,O
TIZSOJL,X,X,O,O,X,O,O,X,X,X,X,O
TIZOLJS,X,X,X,O,X,X,O,X,X,X,X,O
TIZOLSJ,X,X,X,O,X,O,O,X,X,X,X,O
TIZOJLS,X,X,X,O,X,X,O,O,X,X,X,O
TIZOJSL,X,X,O,O,X,O,O,O,X,X,X,O
TIZOSLJ,X,X,X,O,X,O,O,X,X,X,X,O
TIZOSJL,X,X,O,O,X,O,O,X,X,X,X,O
TIOLJSZ,X,X,X,X,O,X,O,O,X,X,X,X
TIOLJZS,X,X,X,O,X,X,O,O,X,X,O,O
TIOLSJZ,X,X,X,X,O,X,O,X,X,X,X,X
TIOLSZJ,X,X,X,O,X,X,O,X,X,X,O,O
TIOLZJS,X,X,X,O,X,X,O,X,X,X,O,O
TIOLZSJ,X,X,X,O,X,O,O,X,X,X,O,O
TIOJLSZ,X,X,X,X,O,X,O,O,X,X,X,X
TIOJLZS,X,X,X,O,X,X,O,O,X,X,X,O
TIOJSLZ,X,X,X,X,X,X,O,O,X,X,X,X
TIOJSZL,X,X,X,X,X,X,O,O,X,X,X,X
TIOJZLS,X,X,X,O,X,X,O,O,X,X,X,O
TIOJZSL,X,X,O,O,X,O,O,O,X,X,X,O
TIOSLJZ,X,X,X,X,X,X,O,X,X,X,X,X
