sequence,v115@7gB8GeC8AeA8EeC8AeA8EeF8AeF8JeZ/IvhFfgB6gB?TcBOiB0mBlqB,v115@7gB8GeC8AeA8EeC8AeA8EeF8AeF8JeZ/IvhFzaBFcB?XdBclBmmBCrB,v115@7gB8GeC8AeA8EeC8AeA8EeF8AeF8JeZ/IvhFSgBOhB?XdBUgBzmBlqB,v115@7gB8GeC8AeA8EeC8AeA8EeF8AeF8JeZ/IvhFCbBTcB?OiB0gB/qB1wB,v115@7gB8GeC8AeA8EeC8AeA8EeF8AeF8JeZ/IvhFfgB6gB?OiBThB0mBlqB,v115@7gB8GeC8AeA8EeC8AeA8EeF8AeF8JeZ/IvhFCbB0cB?TgB/mBOnBlqB
TOJSIZL,X,X,X,X,X,X
TOJSLIZ,X,X,O,O,O,X
TOJSLZI,X,X,X,X,X,X
TOJSZIL,X,X,X,X,X,X
TOJSZLI,X,X,X,X,X,X
TOJZILS,X,X,X,X,X,X
TOJZISL,X,X,X,X,X,X
TOJZLIS,X,X,X,X,X,X
TOJZLSI,X,X,X,X,X,X
TOJZSIL,X,X,X,X,X,X
TOJZSLI,X,X,X,X,X,X
TOSILJZ,X,X,O,O,O,X
TOSILZJ,X,X,X,X,X,O
TOSIJLZ,X,X,O,O,O,X
TOSIJZL,X,X,X,X,X,X
TOSIZLJ,X,X,X,X,X,O
TOSIZJL,X,X,X,X,X,X
TOSLIJZ,X,X,O,O,O,X
TOSLIZJ,X,X,X,X,X,O
TOSLJIZ,X,X,O,O,O,X
TOSLJZI,X,X,X,X,X,X
TOSLZIJ,X,X,X,X,X,O
TOSLZJI,X,X,X,X,X,X
TOSJILZ,X,X,O,O,O,X
TOSJIZL,X,X,X,X,X,X
TOSJLIZ,X,X,O,O,O,X
TOSJLZI,X,X,X,X,X,X
TOSJZIL,X,X,X,X,X,X
TOSJZLI,X,X,X,X,X,X
TOSZILJ,X,X,X,X,X,O
TOSZIJL,X,X,X,X,X,X
TOSZLIJ,X,X,X,X,X,O
TOSZLJI,X,X,X,X,X,X
TOSZJIL,X,X,X,X,X,X
TOSZJLI,X,X,X,X,X,X
TOZILJS,X,X,X,X,X,X
TOZILSJ,X,X,X,X,X,X
TOZIJLS,X,X,X,X,X,X
TOZIJSL,X,X,X,X,X,X
TOZISLJ,X,X,X,X,X,X
TOZISJL,X,X,X,X,X,X
TOZLIJS,X,X,X,X,X,X
TOZLISJ,X,X,X,X,X,X
TOZLJIS,X,X,X,X,X,X
TOZLJSI,X,X,X,X,X,X
TOZLSIJ,X,X,X,X,X,X
TOZLSJI,X,X,X,X,X,X
TOZJILS,X,X,X,X,X,X
TOZJISL,X,X,X,X,X,X
TOZJLIS,X,X,X,X,X,X
TOZJLSI,X,X,X,X,X,X
TOZJSIL,X,X,X,X,X,X
TOZJSLI,X,X,X,X,X,X
TOZSILJ,X,X,X,X,X,X
TOZSIJL,X,X,X,X,X,X
TOZSLIJ,X,X,X,X,X,X
TOZSLJI,X,X,X,X,X,X
TOZSJIL,X,X,X,X,X,X
TOZSJLI,X,X,X,X,X,X
ITLJSZO,X,X,O,O,X,X
ITLJSOZ,X,X,X,O,X,X
ITLJZSO,X,X,X,X,X,X
ITLJZOS,X,X,X,X,X,X
ITLJOSZ,X,X,X,O,X,X
ITLJOZS,X,X,X,X,X,X
ITLSJZO,X,X,O,O,X,X
ITLSJOZ,X,X,X,O,X,X
ITLSZJO,X,X,X,O,X,X
ITLSZOJ,X,X,X,O,X,X
ITLSOJZ,X,X,X,O,X,X
ITLSOZJ,X,X,X,X,X,X
ITLZJSO,X,X,X,X,X,X
ITLZJOS,X,X,X,X,X,X
ITLZSJO,X,X,X,X,X,X
ITLZSOJ,X,X,X,X,X,X
ITLZOJS,X,X,X,X,X,X
ITLZOSJ,X,X,X,X,X,X
ITLOJSZ,X,X,O,O,X,X
ITLOJZS,X,X,X,X,X,X
ITLOSJZ,X,X,O,X,X,X
ITLOSZJ,X,X,X,X,X,O
ITLOZJS,X,X,X,X,X,X
ITLOZSJ,X,X,X,X,X,X
ITJLSZO,X,X,O,O,X,X
ITJLSOZ,X,X,X,O,X,X
ITJLZSO,X,X,X,X,X,X
ITJLZOS,X,X,X,X,X,X
ITJLOSZ,X,X,X,O,X,X
ITJLOZS,X,X,X,X,X,X
ITJSLZO,O,X,O,O,X,X
ITJSLOZ,X,X,X,O,O,X
ITJSZLO,X,X,X,O,X,X
ITJSZOL,X,X,X,O,X,X
ITJSOLZ,X,X,X,O,O,X
ITJSOZL,X,X,X,X,X,X
ITJZLSO,X,X,X,X,X,X
ITJZLOS,X,X,X,X,X,X
ITJZSLO,X,X,X,X,X,X
ITJZSOL,X,X,X,X,X,X
ITJZOLS,X,X,X,X,X,X
ITJZOSL,X,X,X,X,X,X
ITJOLSZ,X,X,X,O,X,X
ITJOLZS,X,X,X,X,X,X
ITJOSLZ,X,X,X,O,O,X
ITJOSZL,X,X,X,X,X,X
ITJOZLS,X,X,X,X,X,X
ITJOZSL,X,X,X,X,X,X
ITSLJZO,O,X,O,O,X,X
ITSLJOZ,X,X,X,O,O,X
ITSLZJO,O,X,X,O,X,X
ITSLZOJ,O,X,X,O,X,X
ITSLOJZ,X,X,X,O,O,X
ITSLOZJ,X,X,X,X,X,X
ITSJLZO,O,X,O,O,X,X
ITSJLOZ,X,X,X,O,O,X
ITSJZLO,X,X,X,O,X,X
ITSJZOL,X,X,X,O,X,X
ITSJOLZ,X,X,X,O,O,X
ITSJOZL,X,X,X,X,X,X
ITSZLJO,O,X,X,O,X,X
ITSZLOJ,O,X,X,O,X,X
ITSZJLO,O,X,X,O,X,X
ITSZJOL,O,X,X,O,X,X
ITSZOLJ,O,X,X,O,X,O
ITSZOJL,O,X,X,O,X,X
ITSOLJZ,X,X,X,O,O,X
ITSOLZJ,X,X,X,X,X,O
ITSOJLZ,X,X,X,O,O,X
ITSOJZL,X,X,X,X,X,X
ITSOZLJ,X,X,X,X,X,O
ITSOZJL,X,X,X,X,X,X
ITZLJSO,X,X,X,X,X,X
ITZLJOS,X,X,X,X,X,X
ITZLSJO,X,X,X,X,X,X
ITZLSOJ,X,X,X,X,X,X
ITZLOJS,X,X,X,X,X,X
ITZLOSJ,X,X,X,X,X,X
ITZJLSO,X,X,X,X,X,X
ITZJLOS,X,X,X,X,X,X
ITZJSLO,O,X,X,X,X,X
ITZJSOL,O,X,X,X,X,X
ITZJOLS,X,X,X,X,X,X
ITZJOSL,O,X,X,X,X,X
ITZSLJO,O,X,X,X,X,X
ITZSLOJ,O,X,X,X,X,X
ITZSJLO,O,X,X,X,X,X
ITZSJOL,O,X,X,X,X,X
ITZSOLJ,O,X,X,X,X,X
ITZSOJL,O,X,X,X,X,X
ITZOLJS,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,X,X
ITZOJLS,X,X,X,X,X,X
ITZOJSL,O,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X
ITOLJSZ,X,X,O,O,X,X
ITOLJZS,X,X,X,X,X,X
ITOLSJZ,X,X,O,X,X,X
ITOLSZJ,X,X,X,X,X,O
ITOLZJS,X,X,X,X,X,X
ITOLZSJ,X,X,X,X,X,X
ITOJLSZ,X,X,O,O,X,X
ITOJLZS,X,X,X,X,X,X
ITOJSLZ,X,X,O,O,O,X
ITOJSZL,X,X,X,X,X,X
ITOJZLS,X,X,X,X,X,X
ITOJZSL,X,X,X,X,X,X
ITOSLJZ,X,X,O,O,O,X
ITOSLZJ,X,X,X,X,X,O
ITOSJLZ,X,X,O,O,O,X
ITOSJZL,X,X,X,X,X,X
ITOSZLJ,X,X,X,X,X,O
ITOSZJL,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,X
ITOZLSJ,X,X,X,X,X,X
ITOZJLS,X,X,X,X,X,X
ITOZJSL,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,X,X
ITOZSJL,X,X,X,X,X,X
ILTJSZO,X,X,O,O,X,X
ILTJSOZ,X,X,X,O,X,X
ILTJZSO,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,X
ILTJOSZ,X,X,X,O,X,X
ILTJOZS,X,X,X,X,X,X
ILTSJZO,X,X,O,O,X,X
ILTSJOZ,X,X,X,O,X,X
ILTSZJO,X,X,X,O,X,X
ILTSZOJ,X,X,X,O,X,X
ILTSOJZ,X,X,X,O,X,X
ILTSOZJ,X,X,X,X,X,X
ILTZJSO,X,X,X,X,X,X
ILTZJOS,X,X,X,X,X,X
ILTZSJO,X,X,X,X,X,X
ILTZSOJ,X,X,X,X,X,X
ILTZOJS,X,X,X,X,X,X
ILTZOSJ,X,X,X,X,X,X
ILTOJSZ,X,X,O,O,X,X
ILTOJZS,X,X,X,X,X,X
ILTOSJZ,X,X,O,X,X,X
ILTOSZJ,X,X,X,X,X,O
ILTOZJS,X,X,X,X,X,X
ILTOZSJ,X,X,X,X,X,X
ILJTSZO,X,O,X,O,X,X
ILJTSOZ,X,X,X,O,X,X
ILJTZSO,X,O,X,X,X,X
ILJTZOS,X,O,X,X,X,X
ILJTOSZ,X,X,X,O,X,X
ILJTOZS,X,X,X,X,X,X
ILJSTZO,X,O,X,X,X,X
ILJSTOZ,X,X,X,X,X,X
ILJSZTO,X,O,X,X,X,X
ILJSZOT,X,O,X,X,X,X
ILJSOTZ,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X
ILJZTSO,X,O,X,X,X,X
ILJZTOS,X,O,X,X,X,X
ILJZSTO,X,O,X,X,X,X
ILJZSOT,X,O,X,X,X,X
ILJZOTS,X,O,X,X,X,X
ILJZOST,X,O,X,X,X,X
ILJOTSZ,X,X,X,X,X,X
ILJOTZS,X,X,X,X,X,X
ILJOSTZ,X,X,X,X,X,X
ILJOSZT,X,X,X,X,X,X
ILJOZTS,X,X,X,X,X,X
ILJOZST,X,X,X,X,X,X
ILSTJZO,X,X,X,O,X,X
ILSTJOZ,X,X,X,O,X,X
ILSTZJO,X,X,X,O,X,X
ILSTZOJ,X,O,X,O,X,X
ILSTOJZ,X,X,X,O,X,X
ILSTOZJ,X,X,X,X,X,X
ILSJTZO,X,O,X,X,X,X
ILSJTOZ,X,X,X,X,X,X
ILSJZTO,X,O,X,X,X,X
ILSJZOT,X,O,O,X,X,X
ILSJOTZ,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X
ILSZTJO,X,X,X,O,X,X
ILSZTOJ,X,O,X,O,X,X
ILSZJTO,X,O,X,X,X,X
ILSZJOT,X,O,X,X,X,X
ILSZOTJ,X,O,X,X,X,X
ILSZOJT,X,O,X,X,X,X
ILSOTJZ,X,X,X,X,X,X
ILSOTZJ,X,X,X,X,X,X
ILSOJTZ,X,X,X,X,X,X
ILSOJZT,X,X,X,X,X,X
ILSOZTJ,X,X,X,X,X,X
ILSOZJT,X,X,X,X,X,X
ILZTJSO,X,O,X,X,X,X
ILZTJOS,X,O,X,X,X,X
ILZTSJO,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,X
ILZTOJS,X,O,X,X,X,X
ILZTOSJ,X,O,X,X,X,X
ILZJTSO,X,O,X,X,X,X
ILZJTOS,X,O,X,X,X,X
ILZJSTO,X,O,X,X,X,X
ILZJSOT,X,O,X,X,X,X
ILZJOTS,X,O,X,X,X,X
ILZJOST,X,O,X,X,X,X
ILZSTJO,X,X,X,X,X,X
ILZSTOJ,X,O,X,X,X,X
ILZSJTO,X,O,X,X,X,X
ILZSJOT,X,O,X,X,X,X
ILZSOTJ,X,O,X,X,X,X
ILZSOJT,X,O,X,X,X,X
ILZOTJS,X,O,X,X,X,X
ILZOTSJ,X,O,X,X,X,X
ILZOJTS,X,O,X,X,X,X
ILZOJST,X,O,X,X,X,X
ILZOSTJ,X,O,X,X,X,X
ILZOSJT,X,O,X,X,X,X
ILOTJSZ,X,X,X,X,X,X
ILOTJZS,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,X
ILOTSZJ,X,X,X,X,X,X
ILOTZJS,X,X,X,X,X,X
ILOTZSJ,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,X
ILOJTZS,X,X,X,X,X,X
ILOJSTZ,X,X,X,X,X,X
ILOJSZT,X,X,X,X,X,X
ILOJZTS,X,X,X,X,X,X
ILOJZST,X,X,X,X,X,X
ILOSTJZ,X,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,X
ILOSJTZ,X,X,X,X,X,X
ILOSJZT,X,X,O,X,X,X
ILOSZTJ,X,X,X,X,X,X
ILOSZJT,X,X,X,X,X,X
ILOZTJS,X,X,X,X,X,X
ILOZTSJ,X,X,X,X,X,X
ILOZJTS,X,X,X,X,X,X
ILOZJST,X,X,X,X,X,X
ILOZSTJ,X,X,X,X,X,X
ILOZSJT,X,X,X,X,X,X
IJTLSZO,X,O,X,O,X,X
IJTLSOZ,X,X,X,O,X,X
IJTLZSO,X,O,X,X,X,X
IJTLZOS,X,O,X,X,X,X
IJTLOSZ,X,X,X,O,X,X
IJTLOZS,X,X,X,X,X,X
IJTSLZO,O,O,X,O,X,X
IJTSLOZ,X,X,X,O,O,X
IJTSZLO,X,X,X,O,X,X
IJTSZOL,X,O,X,O,X,X
IJTSOLZ,X,X,X,O,O,X
IJTSOZL,X,X,X,X,X,X
IJTZLSO,X,X,X,X,X,X
IJTZLOS,X,X,X,X,X,X
IJTZSLO,X,X,X,X,X,X
IJTZSOL,X,O,X,X,X,X
IJTZOLS,X,X,X,X,X,X
IJTZOSL,X,O,X,X,X,X
IJTOLSZ,X,X,X,O,X,X
IJTOLZS,X,X,X,X,X,X
IJTOSLZ,X,X,X,O,O,X
IJTOSZL,X,X,X,X,X,X
IJTOZLS,X,X,X,X,X,X
IJTOZSL,X,X,X,X,X,X
IJLTSZO,X,O,X,O,X,X
IJLTSOZ,X,X,X,O,X,X
IJLTZSO,X,O,X,X,X,X
IJLTZOS,X,O,X,X,X,X
IJLTOSZ,X,X,X,O,X,X
IJLTOZS,X,X,X,X,X,X
IJLSTZO,X,O,X,X,X,X
IJLSTOZ,X,X,X,X,X,X
IJLSZTO,X,O,X,X,X,X
IJLSZOT,X,O,X,X,X,X
IJLSOTZ,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X
IJLZTSO,X,O,X,X,X,X
IJLZTOS,X,O,X,X,X,X
IJLZSTO,X,O,X,X,X,X
IJLZSOT,X,O,X,X,X,X
IJLZOTS,X,O,X,X,X,X
IJLZOST,X,O,X,X,X,X
IJLOTSZ,X,X,X,X,X,X
IJLOTZS,X,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,X
IJLOSZT,X,X,X,X,X,X
IJLOZTS,X,X,X,X,X,X
IJLOZST,X,X,X,X,X,X
IJSTLZO,O,O,X,X,X,X
IJSTLOZ,X,X,X,X,O,X
IJSTZLO,X,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X
IJSTOLZ,X,X,X,X,O,X
IJSTOZL,X,X,X,X,X,X
IJSLTZO,O,O,X,X,X,X
IJSLTOZ,X,X,X,X,O,X
IJSLZTO,X,O,X,X,X,X
IJSLZOT,O,O,X,X,X,X
IJSLOTZ,X,X,X,X,X,X
IJSLOZT,X,X,X,X,X,X
IJSZTLO,X,X,X,X,X,X
IJSZTOL,X,O,X,X,X,X
IJSZLTO,X,X,X,X,X,X
IJSZLOT,O,X,X,X,X,X
IJSZOTL,X,O,X,X,X,X
IJSZOLT,O,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,X
IJSOTZL,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,X
IJSOLZT,X,X,X,X,X,X
IJSOZTL,X,O,X,X,X,X
IJSOZLT,X,X,X,X,X,X
IJZTLSO,X,X,X,X,X,X
IJZTLOS,X,X,X,X,X,X
IJZTSLO,O,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X
IJZTOLS,X,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X
IJZLTSO,X,X,X,X,X,X
IJZLTOS,X,X,X,X,X,X
IJZLSTO,X,X,X,X,X,X
IJZLSOT,X,X,X,X,X,X
IJZLOTS,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,X
IJZSTLO,X,X,X,X,X,X
IJZSTOL,X,O,X,X,X,X
IJZSLTO,X,X,X,X,X,X
IJZSLOT,O,X,X,X,X,X
IJZSOTL,X,O,X,X,X,X
IJZSOLT,O,X,X,X,X,X
IJZOTLS,X,X,X,X,X,X
IJZOTSL,O,O,X,X,X,X
IJZOLTS,X,X,X,X,X,X
IJZOLST,X,X,X,X,X,X
IJZOSTL,X,O,X,X,X,X
IJZOSLT,O,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X
IJOTSLZ,X,X,X,X,X,X
IJOTSZL,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X
IJOTZSL,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X
IJOLZTS,X,X,X,X,X,X
IJOLZST,X,X,X,X,X,X
IJOSTLZ,X,X,X,X,X,X
IJOSTZL,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,X,X
IJOSLZT,X,X,X,X,X,X
IJOSZTL,X,O,X,X,X,X
IJOSZLT,X,X,X,X,X,X
IJOZTLS,X,X,X,X,X,X
IJOZTSL,X,O,X,X,X,X
IJOZLTS,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,X
IJOZSTL,X,O,X,X,X,X
IJOZSLT,X,X,X,X,X,X
ISTLJZO,O,X,O,O,X,X
ISTLJOZ,X,X,X,O,O,X
ISTLZJO,O,X,X,O,X,X
ISTLZOJ,O,O,X,O,X,X
ISTLOJZ,X,X,X,O,O,X
ISTLOZJ,X,X,X,X,X,X
ISTJLZO,O,X,O,O,X,X
ISTJLOZ,X,X,X,O,O,X
ISTJZLO,X,X,X,O,X,X
ISTJZOL,X,X,X,O,X,X
ISTJOLZ,X,X,X,O,O,X
ISTJOZL,X,X,X,X,X,X
ISTZLJO,O,X,X,O,X,X
ISTZLOJ,O,X,X,O,X,X
ISTZJLO,O,X,X,O,X,X
ISTZJOL,O,X,X,O,X,X
ISTZOLJ,O,O,X,O,X,O
ISTZOJL,O,O,X,O,X,X
ISTOLJZ,X,X,X,O,O,X
ISTOLZJ,X,X,X,X,X,O
ISTOJLZ,X,X,X,O,O,X
ISTOJZL,X,X,X,X,X,X
ISTOZLJ,X,X,X,X,X,O
ISTOZJL,X,X,X,X,X,X
ISLTJZO,X,X,X,O,X,X
ISLTJOZ,X,X,X,O,X,X
ISLTZJO,X,X,X,O,X,X
ISLTZOJ,X,O,X,O,X,X
ISLTOJZ,X,X,X,O,X,X
ISLTOZJ,X,X,X,X,X,X
ISLJTZO,O,O,X,X,X,X
ISLJTOZ,X,X,X,X,O,X
ISLJZTO,X,O,X,X,X,X
ISLJZOT,O,O,O,X,X,X
ISLJOTZ,X,X,X,X,X,X
ISLJOZT,X,X,X,X,X,X
ISLZTJO,X,X,X,O,X,X
ISLZTOJ,X,O,X,O,X,X
ISLZJTO,X,O,X,X,X,X
ISLZJOT,O,O,X,X,X,X
ISLZOTJ,X,O,X,X,X,X
ISLZOJT,O,O,X,X,X,X
ISLOTJZ,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,X,X
ISLOJTZ,X,X,X,X,X,X
ISLOJZT,X,X,X,X,X,X
ISLOZTJ,X,X,X,X,X,X
ISLOZJT,X,X,X,X,X,X
ISJTLZO,O,O,O,X,X,X
ISJTLOZ,X,X,X,X,O,X
ISJTZLO,X,X,X,X,X,X
ISJTZOL,X,O,X,X,X,X
ISJTOLZ,X,X,X,X,O,X
ISJTOZL,X,X,X,X,X,X
ISJLTZO,O,O,X,X,X,X
ISJLTOZ,X,X,X,X,O,X
ISJLZTO,X,O,X,X,X,X
ISJLZOT,O,O,O,X,X,X
ISJLOTZ,X,X,X,X,X,X
ISJLOZT,X,X,X,X,X,X
ISJZTLO,X,X,X,X,X,X
ISJZTOL,X,O,X,X,X,X
ISJZLTO,X,X,X,X,X,X
ISJZLOT,O,X,X,X,X,X
ISJZOTL,X,O,X,X,X,X
ISJZOLT,O,X,X,X,X,X
ISJOTLZ,X,X,X,X,X,X
ISJOTZL,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,X,X
ISJOLZT,X,X,X,X,X,X
ISJOZTL,X,O,X,X,X,X
ISJOZLT,X,X,X,X,X,X
ISZTLJO,X,X,X,O,X,X
ISZTLOJ,X,X,X,O,X,X
ISZTJLO,X,X,X,O,X,X
ISZTJOL,X,X,X,O,X,X
ISZTOLJ,X,O,X,O,X,O
ISZTOJL,X,O,X,O,X,X
ISZLTJO,X,X,X,O,X,X
ISZLTOJ,X,O,X,O,X,X
ISZLJTO,X,O,X,X,X,X
ISZLJOT,O,O,X,X,X,X
ISZLOTJ,X,O,X,X,X,X
ISZLOJT,O,O,X,X,X,X
ISZJTLO,X,X,X,X,X,X
ISZJTOL,X,O,X,X,X,X
ISZJLTO,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,X
ISZJOTL,X,O,X,X,X,X
ISZJOLT,O,X,X,X,X,X
ISZOTLJ,X,O,X,X,X,X
ISZOTJL,X,O,X,X,X,X
ISZOLTJ,X,O,X,X,X,X
ISZOLJT,O,O,X,X,X,X
ISZOJTL,X,O,X,X,X,X
ISZOJLT,O,X,X,X,X,X
ISOTLJZ,X,X,O,X,X,X
ISOTLZJ,X,X,X,X,X,X
ISOTJLZ,X,X,O,X,X,X
ISOTJZL,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,X,X
ISOTZJL,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,X
ISOLJZT,X,X,O,X,X,X
ISOLZTJ,X,X,X,X,X,X
ISOLZJT,X,X,X,X,X,X
ISOJTLZ,X,X,O,X,X,X
ISOJTZL,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,X,X
ISOJLZT,X,X,O,X,X,X
ISOJZTL,X,O,X,X,X,X
ISOJZLT,X,X,X,X,X,X
ISOZTLJ,X,O,X,X,X,X
ISOZTJL,X,O,X,X,X,X
ISOZLTJ,X,O,X,X,X,X
ISOZLJT,X,O,X,X,X,X
ISOZJTL,X,O,X,X,X,X
ISOZJLT,X,X,X,X,X,X
IZTLJSO,X,X,X,X,X,X
IZTLJOS,X,X,X,X,X,X
IZTLSJO,X,X,X,X,X,X
IZTLSOJ,X,X,X,X,X,X
IZTLOJS,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,X,X
IZTJLSO,X,X,X,X,X,X
IZTJLOS,X,X,X,X,X,X
IZTJSLO,O,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X
IZTJOLS,X,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X
IZTSLJO,O,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X
IZTSJLO,O,X,X,X,X,X
IZTSJOL,O,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X
IZTSOJL,O,O,X,X,X,X
IZTOLJS,X,X,X,X,X,X
IZTOLSJ,X,X,X,X,X,X
IZTOJLS,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X
IZTOSLJ,O,O,X,X,X,X
IZTOSJL,O,O,X,X,X,X
IZLTJSO,X,O,X,X,X,X
IZLTJOS,X,O,X,X,X,X
IZLTSJO,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X
IZLTOJS,X,O,X,X,X,X
IZLTOSJ,X,O,X,X,X,X
IZLJTSO,X,O,X,X,X,X
IZLJTOS,X,O,X,X,X,X
IZLJSTO,X,O,X,X,X,X
IZLJSOT,X,O,X,X,X,X
IZLJOTS,X,O,X,X,X,X
IZLJOST,X,O,X,X,X,X
IZLSTJO,X,X,X,X,X,X
IZLSTOJ,X,O,X,X,X,X
IZLSJTO,X,O,X,X,X,X
IZLSJOT,X,O,X,X,X,X
IZLSOTJ,X,O,X,X,X,X
IZLSOJT,X,O,X,X,X,X
IZLOTJS,X,O,X,X,X,X
IZLOTSJ,X,O,X,X,X,X
IZLOJTS,X,O,X,X,X,X
IZLOJST,X,O,X,X,X,X
IZLOSTJ,X,O,X,X,X,X
IZLOSJT,X,O,X,X,X,X
IZJTLSO,X,X,X,X,X,X
IZJTLOS,X,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X
IZJTOLS,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X
IZJLTSO,X,X,X,X,X,X
IZJLTOS,X,X,X,X,X,X
IZJLSTO,X,X,X,X,X,X
IZJLSOT,X,X,X,X,X,X
IZJLOTS,X,X,X,X,X,X
IZJLOST,X,X,X,X,X,X
IZJSTLO,X,X,X,X,X,X
IZJSTOL,X,O,X,X,X,X
IZJSLTO,X,X,X,X,X,X
IZJSLOT,O,X,X,X,X,X
IZJSOTL,X,O,X,X,X,X
IZJSOLT,O,X,X,X,X,X
IZJOTLS,X,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X
IZJOLTS,X,X,X,X,X,X
IZJOLST,X,X,X,X,X,X
IZJOSTL,X,O,X,X,X,X
IZJOSLT,O,X,X,X,X,X
IZSTLJO,X,X,X,X,X,X
IZSTLOJ,X,X,X,X,X,X
IZSTJLO,X,X,X,X,X,X
IZSTJOL,X,X,X,X,X,X
IZSTOLJ,X,O,X,X,X,X
IZSTOJL,X,O,X,X,X,X
IZSLTJO,X,X,X,X,X,X
IZSLTOJ,X,O,X,X,X,X
IZSLJTO,X,O,X,X,X,X
IZSLJOT,O,O,X,X,X,X
IZSLOTJ,X,O,X,X,X,X
IZSLOJT,O,O,X,X,X,X
IZSJTLO,X,X,X,X,X,X
IZSJTOL,X,O,X,X,X,X
IZSJLTO,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X
IZSJOLT,O,X,X,X,X,X
IZSOTLJ,X,O,X,X,X,X
IZSOTJL,X,O,X,X,X,X
IZSOLTJ,X,O,X,X,X,X
IZSOLJT,O,O,X,X,X,X
IZSOJTL,X,O,X,X,X,X
IZSOJLT,O,X,X,X,X,X
IZOTLJS,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,X,X
IZOTJLS,X,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X
IZOTSLJ,O,O,X,X,X,X
IZOTSJL,O,O,X,X,X,X
IZOLTJS,X,O,X,X,X,X
IZOLTSJ,X,O,X,X,X,X
IZOLJTS,X,O,X,X,X,X
IZOLJST,X,O,X,X,X,X
IZOLSTJ,X,O,X,X,X,X
IZOLSJT,X,O,X,X,X,X
IZOJTLS,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X
IZOJLTS,X,X,X,X,X,X
IZOJLST,X,X,X,X,X,X
IZOJSTL,X,O,X,X,X,X
IZOJSLT,O,X,X,X,X,X
IZOSTLJ,X,O,X,X,X,X
IZOSTJL,X,O,X,X,X,X
IZOSLTJ,X,O,X,X,X,X
IZOSLJT,O,O,X,X,X,X
IZOSJTL,X,O,X,X,X,X
IZOSJLT,O,X,X,X,X,X
IOTLJSZ,X,X,O,X,X,X
IOTLJZS,X,X,X,X,X,X
IOTLSJZ,X,X,O,X,X,X
IOTLSZJ,X,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,X
IOTJLSZ,X,X,O,X,X,X
IOTJLZS,X,X,X,X,X,X
IOTJSLZ,X,X,O,X,X,X
IOTJSZL,X,X,X,X,X,X
IOTJZLS,X,X,X,X,X,X
IOTJZSL,X,X,X,X,X,X
IOTSLJZ,X,X,O,X,X,X
