sequence,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jex6IvhFygBuhB0fBT?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBUdBKlBz?gBWnBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBmgBCiBU?iBTlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je//IvhFRbBzcBOlB8?lBSnBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFibBUdBWnBR?lB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem7IvhFzcBxfBSnB0?fB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFegBUdBChBx?mB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFRbBqhB/iBz?gBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFRbBChBTiB3?hBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jex6IvhFmcB0fBXhBS?nBTlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhF2gBCiBUiBR?lB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem6IvhFRcB0fBSmBT?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jei6IvhFzfBWmBxhBU?iB3lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Je2/IvhFzbBqhB/iBR?lBUlBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8JeT6IvhFqhB/iBRlBO?lB8lBlsB,v115@6gC8HeC8GeD8BeB8CeH8AeB8Jem8IvhFxfBXhBSnB0?fBTlBlsB
TILJSZO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
TILJSOZ,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TILJZSO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TILJZOS,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X
TILJOSZ,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILJOZS,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILSJZO,X,O,O,X,O,O,O,X,X,O,X,X,X,O,O,O
TILSJOZ,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O
TILSZJO,X,O,X,O,X,O,O,X,X,O,X,O,X,O,O,O
TILSZOJ,X,O,X,O,X,O,O,X,X,O,X,X,X,O,O,X
TILSOJZ,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O
TILSOZJ,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X
TILZJSO,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
TILZJOS,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TILZSJO,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O
TILZSOJ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TILZOJS,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TILZOSJ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TILOJSZ,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TILOJZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TILOSJZ,X,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O
TILOSZJ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
