sequence,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhF6gBxcBXeBemBzh?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFxbBOiBXeBqlBTh?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFlbBXeB6mBZnBzq?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Jel6IvhFUcBXeB6lBZnBTr?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFehBXeBzhB6lBxr?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFVhBXeBZnB6qBTr?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFTcBFeBRmB6lB/n?BmrB,v115@9gA8HeD8DeF8EeH8AeC8Jex6IvhFTcBFeBUmBasB/s?BGqB
TZISOJL,O,O,X,X,O,O,X,X
TZIOLJS,X,O,O,X,X,X,X,X
TZIOLSJ,X,O,O,X,X,O,X,X
TZIOJLS,O,X,X,X,O,X,X,X
TZIOJSL,O,O,X,X,O,O,X,X
TZIOSLJ,X,O,O,X,X,O,X,X
TZIOSJL,O,O,X,X,O,O,X,X
TZLIJSO,O,O,X,X,X,X,X,X
TZLIJOS,O,O,X,X,X,X,X,X
TZLISJO,O,O,X,X,X,X,X,O
TZLISOJ,O,O,X,O,X,X,X,O
TZLIOJS,X,O,X,O,X,X,X,X
TZLIOSJ,X,O,X,O,X,X,X,O
TZLJISO,O,O,X,X,X,X,X,O
TZLJIOS,O,O,X,X,X,X,X,O
TZLJSIO,O,O,X,X,X,X,X,O
TZLJSOI,O,O,X,X,X,X,X,O
TZLJOIS,O,O,X,X,X,X,X,O
TZLJOSI,O,O,X,X,X,X,X,O
TZLSIJO,O,O,X,X,X,X,X,O
TZLSIOJ,O,O,X,O,X,X,X,O
TZLSJIO,O,O,X,X,X,X,X,O
TZLSJOI,O,O,X,X,X,X,X,O
TZLSOIJ,O,O,O,O,X,X,X,O
TZLSOJI,O,O,O,O,X,X,X,O
TZLOIJS,X,O,O,O,X,X,X,X
TZLOISJ,X,O,O,O,X,X,X,O
TZLOJIS,O,O,O,O,X,X,X,O
TZLOJSI,O,O,O,O,X,X,X,O
TZLOSIJ,O,O,O,O,X,X,X,O
TZLOSJI,O,O,O,O,X,X,X,O
TZJILSO,O,O,X,X,X,X,O,X
TZJILOS,O,O,X,X,X,X,O,X
TZJISLO,O,O,X,X,X,X,O,X
TZJISOL,O,O,X,X,X,X,O,X
TZJIOLS,O,X,X,X,X,X,O,X
TZJIOSL,O,O,X,X,X,X,O,X
TZJLISO,O,O,X,X,X,X,X,X
TZJLIOS,O,O,X,X,X,X,X,X
TZJLSIO,O,O,X,X,X,X,X,X
TZJLSOI,O,O,X,X,X,X,X,X
TZJLOIS,O,O,X,X,X,X,X,X
TZJLOSI,O,O,X,X,X,X,X,X
TZJSILO,O,O,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,X
TZJSLOI,O,O,X,X,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X
TZJSOLI,O,O,O,X,X,X,X,X
TZJOILS,O,X,X,X,X,X,X,X
TZJOISL,O,O,X,X,X,X,X,X
TZJOLIS,O,O,O,X,X,X,X,X
TZJOLSI,O,O,O,X,X,X,X,X
TZJOSIL,O,O,X,X,X,X,X,X
TZJOSLI,O,O,O,X,X,X,X,X
TZSILJO,O,O,X,X,X,X,X,X
TZSILOJ,O,O,X,O,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,X
TZSIJOL,O,O,X,X,O,X,X,X
TZSIOLJ,O,O,O,X,X,O,X,X
TZSIOJL,O,O,X,X,O,O,X,X
TZSLIJO,O,O,X,X,X,X,X,X
TZSLIOJ,O,O,X,O,X,X,X,X
TZSLJIO,O,O,X,X,X,X,X,X
TZSLJOI,O,O,X,X,X,X,X,X
TZSLOIJ,O,O,O,O,X,X,X,X
TZSLOJI,O,O,O,O,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,X
TZSJIOL,O,O,X,X,X,X,X,X
TZSJLIO,O,O,X,X,X,X,X,X
TZSJLOI,O,O,X,X,X,X,X,X
TZSJOIL,O,O,X,X,X,X,X,X
TZSJOLI,O,O,O,X,X,X,X,X
TZSOILJ,O,O,O,X,X,O,X,X
TZSOIJL,O,O,X,X,X,O,X,X
TZSOLIJ,O,O,O,X,X,O,X,X
TZSOLJI,O,O,O,X,X,X,X,X
TZSOJIL,O,O,X,X,X,O,X,X
TZSOJLI,O,O,O,X,X,X,X,X
TZOILJS,X,O,O,X,X,X,X,X
TZOILSJ,X,O,O,X,X,O,X,X
TZOIJLS,O,X,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,O,X,X
TZOISLJ,X,O,O,X,X,O,X,X
TZOISJL,O,O,X,X,X,O,X,X
TZOLIJS,X,O,O,X,X,X,X,X
TZOLISJ,X,O,O,X,X,O,X,X
TZOLJIS,O,O,O,X,X,X,X,X
TZOLJSI,O,O,O,X,X,X,X,X
TZOLSIJ,O,O,O,X,X,O,X,X
TZOLSJI,O,O,O,X,X,X,X,X
TZOJILS,O,X,X,X,X,X,X,X
TZOJISL,O,O,X,X,X,O,X,X
TZOJLIS,O,O,O,X,X,X,X,X
TZOJLSI,O,O,O,X,X,X,X,X
TZOJSIL,O,O,X,X,X,O,X,X
TZOJSLI,O,O,O,X,X,X,X,X
TZOSILJ,O,O,O,X,X,O,X,X
TZOSIJL,O,O,X,X,X,O,X,X
TZOSLIJ,O,O,O,X,X,O,X,X
TZOSLJI,O,O,O,X,X,X,X,X
TZOSJIL,O,O,X,X,X,O,X,X
TZOSJLI,O,O,O,X,X,X,X,X
TOILJSZ,X,O,O,O,X,X,X,X
TOILJZS,X,O,O,O,X,X,X,X
TOILSJZ,X,O,O,O,X,X,X,X
TOILSZJ,X,O,O,O,X,O,X,X
TOILZJS,X,O,O,O,X,X,X,X
TOILZSJ,X,O,O,O,X,O,X,X
TOIJLSZ,O,O,X,X,X,X,X,X
TOIJLZS,O,O,X,X,X,X,X,X
TOIJSLZ,O,O,X,X,X,X,X,X
TOIJSZL,O,X,X,X,X,O,X,X
TOIJZLS,O,X,X,X,X,X,X,X
TOIJZSL,O,X,X,X,X,O,X,X
TOISLJZ,X,O,O,O,X,X,X,X
TOISLZJ,X,O,O,O,X,O,X,X
TOISJLZ,O,O,X,X,X,X,X,X
TOISJZL,O,X,X,X,X,O,X,X
TOISZLJ,X,X,O,X,X,O,X,X
TOISZJL,O,X,X,X,X,O,X,X
TOIZLJS,X,X,O,X,X,X,X,X
TOIZLSJ,X,X,O,X,X,O,X,X
TOIZJLS,O,X,X,X,X,X,X,X
TOIZJSL,O,X,X,X,X,O,X,X
TOIZSLJ,X,X,O,X,X,O,X,X
TOIZSJL,O,X,X,X,X,O,X,X
TOLIJSZ,X,O,O,O,X,X,X,X
TOLIJZS,X,O,O,O,X,X,X,X
TOLISJZ,X,O,O,O,X,X,X,X
TOLISZJ,X,O,O,O,X,O,X,X
TOLIZJS,X,O,O,O,X,X,X,X
TOLIZSJ,X,O,O,O,X,O,X,X
TOLJISZ,O,O,O,O,X,X,X,X
TOLJIZS,O,O,O,O,X,X,X,X
TOLJSIZ,O,O,O,O,X,X,X,X
TOLJSZI,O,O,O,O,X,X,X,X
TOLJZIS,O,O,O,O,X,X,X,X
TOLJZSI,O,O,O,O,X,X,X,X
TOLSIJZ,X,O,O,O,X,X,X,X
TOLSIZJ,X,O,O,O,X,O,X,X
TOLSJIZ,O,O,O,O,X,X,X,X
TOLSJZI,O,O,O,O,X,X,X,X
TOLSZIJ,X,O,O,O,X,O,X,X
TOLSZJI,O,O,O,O,X,X,X,X
TOLZIJS,X,O,O,O,X,X,X,X
TOLZISJ,X,O,O,O,X,O,X,X
TOLZJIS,O,O,O,O,X,X,X,X
TOLZJSI,O,O,O,O,X,X,X,X
TOLZSIJ,X,O,O,O,X,O,X,X
TOLZSJI,O,O,O,O,X,X,X,X
TOJILSZ,O,O,X,X,X,X,X,X
TOJILZS,O,O,X,X,X,X,X,X
TOJISLZ,O,O,X,X,X,X,X,X
TOJISZL,O,X,X,X,X,O,X,X
TOJIZLS,O,X,X,X,X,X,X,X
TOJIZSL,O,X,X,X,X,O,X,X
TOJLISZ,O,O,O,X,X,X,X,X
TOJLIZS,O,O,O,X,X,X,X,X
TOJLSIZ,O,O,O,X,X,X,X,X
TOJLSZI,O,O,O,X,X,X,X,X
TOJLZIS,O,O,O,X,X,X,X,X
TOJLZSI,O,O,O,X,X,X,X,X
TOJSILZ,O,O,X,X,X,X,X,X
TOJSIZL,O,X,X,X,X,O,X,X
TOJSLIZ,O,O,O,X,X,X,X,X
TOJSLZI,O,O,O,X,X,X,X,X
TOJSZIL,O,O,X,X,X,O,X,X
TOJSZLI,O,O,O,X,X,X,X,X
TOJZILS,O,X,X,X,X,X,X,X
TOJZISL,O,O,X,X,X,O,X,X
TOJZLIS,O,O,O,X,X,X,X,X
TOJZLSI,O,O,O,X,X,X,X,X
TOJZSIL,O,O,X,X,X,O,X,X
TOJZSLI,O,O,O,X,X,X,X,X
TOSILJZ,X,O,O,O,X,X,X,X
TOSILZJ,X,O,O,O,X,O,X,X
TOSIJLZ,O,O,X,X,X,X,X,X
TOSIJZL,O,X,X,X,X,O,X,X
TOSIZLJ,O,X,O,X,X,O,X,X
TOSIZJL,O,X,X,X,X,O,X,X
TOSLIJZ,X,O,O,O,X,X,X,X
TOSLIZJ,X,O,O,O,X,O,X,X
TOSLJIZ,O,O,O,O,X,X,X,X
TOSLJZI,O,O,O,O,X,X,X,X
TOSLZIJ,X,O,O,O,X,O,X,X
TOSLZJI,O,O,O,O,X,X,X,X
TOSJILZ,O,O,X,X,X,X,X,X
TOSJIZL,O,X,X,X,X,O,X,X
TOSJLIZ,O,O,O,X,X,X,X,X
TOSJLZI,O,O,O,X,X,X,X,X
TOSJZIL,O,O,X,X,X,O,X,X
TOSJZLI,O,O,O,X,X,X,X,X
TOSZILJ,O,O,O,X,X,O,X,X
TOSZIJL,O,O,X,X,X,O,X,X
TOSZLIJ,O,O,O,X,X,O,X,X
TOSZLJI,O,O,O,X,X,X,X,X
TOSZJIL,O,O,X,X,X,O,X,X
TOSZJLI,O,O,O,X,X,X,X,X
TOZILJS,X,O,O,X,X,X,X,X
TOZILSJ,X,O,O,X,X,O,X,X
TOZIJLS,O,X,X,X,X,X,X,X
TOZIJSL,O,O,X,X,X,O,X,X
TOZISLJ,X,O,O,X,X,O,X,X
TOZISJL,O,O,X,X,X,O,X,X
TOZLIJS,X,O,O,X,X,X,X,X
TOZLISJ,X,O,O,X,X,O,X,X
TOZLJIS,O,O,O,X,X,X,X,X
TOZLJSI,O,O,O,X,X,X,X,X
TOZLSIJ,O,O,O,X,X,O,X,X
TOZLSJI,O,O,O,X,X,X,X,X
TOZJILS,O,X,X,X,X,X,X,X
TOZJISL,O,O,X,X,X,O,X,X
TOZJLIS,O,O,O,X,X,X,X,X
TOZJLSI,O,O,O,X,X,X,X,X
TOZJSIL,O,O,X,X,X,O,X,X
TOZJSLI,O,O,O,X,X,X,X,X
TOZSILJ,O,O,O,X,X,O,X,X
TOZSIJL,O,O,X,X,X,O,X,X
TOZSLIJ,O,O,O,X,X,O,X,X
TOZSLJI,O,O,O,X,X,X,X,X
TOZSJIL,O,O,X,X,X,O,X,X
TOZSJLI,O,O,O,X,X,X,X,X
ITLJSZO,X,O,X,X,X,X,X,X
ITLJSOZ,X,O,X,O,X,X,X,X
ITLJZSO,X,O,X,X,X,X,X,X
ITLJZOS,X,O,X,X,X,X,X,X
ITLJOSZ,X,O,X,O,X,X,X,X
ITLJOZS,X,O,X,O,X,X,X,X
ITLSJZO,X,O,X,X,X,X,X,X
ITLSJOZ,X,O,X,O,X,X,X,X
ITLSZJO,X,O,X,X,X,X,X,X
ITLSZOJ,X,O,X,O,X,X,X,X
ITLSOJZ,X,O,X,O,X,X,X,X
ITLSOZJ,X,O,X,O,X,X,X,X
ITLZJSO,X,O,X,X,X,X,X,X
ITLZJOS,X,O,X,X,X,X,X,X
ITLZSJO,X,O,X,X,X,X,X,O
ITLZSOJ,X,O,X,O,X,X,X,O
ITLZOJS,X,O,X,O,X,X,X,X
ITLZOSJ,X,O,X,O,X,X,X,O
ITLOJSZ,X,O,X,O,X,X,X,X
ITLOJZS,X,O,X,O,X,X,X,X
ITLOSJZ,X,O,X,O,X,X,X,X
ITLOSZJ,X,O,X,O,X,X,X,X
ITLOZJS,X,O,X,O,X,X,X,X
ITLOZSJ,X,O,X,O,X,X,X,X
ITJLSZO,O,O,X,X,X,X,X,X
ITJLSOZ,O,O,X,O,X,X,X,X
ITJLZSO,O,O,X,X,X,X,X,X
ITJLZOS,O,O,X,X,X,X,X,X
ITJLOSZ,O,O,X,O,X,X,X,X
ITJLOZS,O,O,X,O,X,X,X,X
ITJSLZO,O,O,X,X,X,X,X,X
ITJSLOZ,O,O,X,O,X,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X
ITJSZOL,O,O,X,X,O,X,X,X
ITJSOLZ,O,O,X,X,O,X,X,X
ITJSOZL,O,X,X,X,O,X,X,X
ITJZLSO,O,O,X,X,X,X,X,X
ITJZLOS,O,O,X,X,X,X,X,X
ITJZSLO,O,O,X,X,X,X,X,X
ITJZSOL,O,O,X,X,O,X,X,X
ITJZOLS,O,X,X,X,O,X,X,X
ITJZOSL,O,O,X,X,O,X,X,X
ITJOLSZ,O,O,X,X,O,X,X,X
ITJOLZS,O,O,X,X,O,X,X,X
ITJOSLZ,O,O,X,X,O,X,X,X
ITJOSZL,O,X,X,X,O,X,X,X
ITJOZLS,O,X,X,X,O,X,X,X
ITJOZSL,O,X,X,X,O,X,X,X
ITSLJZO,O,O,X,X,X,X,X,X
ITSLJOZ,O,O,X,O,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X
ITSLZOJ,O,O,X,O,X,X,X,X
ITSLOJZ,X,O,X,O,X,X,X,X
ITSLOZJ,X,O,X,O,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X,X
ITSJLOZ,O,O,X,O,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X
ITSJZOL,O,O,X,X,O,X,X,X
ITSJOLZ,O,O,X,X,O,X,X,X
ITSJOZL,O,X,X,X,O,X,X,X
ITSZLJO,O,O,X,X,X,X,X,X
ITSZLOJ,O,O,X,O,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X
ITSZJOL,O,O,X,X,O,X,X,X
ITSZOLJ,O,O,O,X,X,O,X,X
ITSZOJL,O,O,X,X,O,O,X,X
ITSOLJZ,X,O,O,O,X,X,X,X
ITSOLZJ,X,O,O,O,X,O,X,X
ITSOJLZ,O,O,X,X,O,X,X,X
ITSOJZL,O,X,X,X,O,O,X,X
ITSOZLJ,O,X,O,X,X,O,X,X
ITSOZJL,O,X,X,X,O,O,X,X
ITZLJSO,O,O,X,X,X,X,X,X
ITZLJOS,O,O,X,X,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X,O
ITZLSOJ,O,O,X,O,X,X,X,O
ITZLOJS,X,O,X,O,X,X,X,X
ITZLOSJ,X,O,X,O,X,X,X,O
ITZJLSO,O,O,X,X,X,X,X,X
ITZJLOS,O,O,X,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X
ITZJSOL,O,O,X,X,O,X,X,X
ITZJOLS,O,X,X,X,O,X,X,X
ITZJOSL,O,O,X,X,O,X,X,X
ITZSLJO,O,O,X,X,X,X,X,X
ITZSLOJ,O,O,X,O,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X
ITZSJOL,O,O,X,X,O,X,X,X
ITZSOLJ,O,O,O,X,X,O,X,X
ITZSOJL,O,O,X,X,O,O,X,X
ITZOLJS,X,O,O,X,X,X,X,X
ITZOLSJ,X,O,O,X,X,O,X,X
ITZOJLS,O,X,X,X,O,X,X,X
ITZOJSL,O,O,X,X,O,O,X,X
ITZOSLJ,X,O,O,X,X,O,X,X
ITZOSJL,O,O,X,X,O,O,X,X
ITOLJSZ,X,O,O,O,X,X,X,X
ITOLJZS,X,O,O,O,X,X,X,X
ITOLSJZ,X,O,O,O,X,X,X,X
ITOLSZJ,X,O,O,O,X,O,X,X
ITOLZJS,X,O,O,O,X,X,X,X
ITOLZSJ,X,O,O,O,X,O,X,X
ITOJLSZ,O,O,X,X,O,X,X,X
ITOJLZS,O,O,X,X,O,X,X,X
ITOJSLZ,O,O,X,X,O,X,X,X
ITOJSZL,O,X,X,X,O,O,X,X
ITOJZLS,O,X,X,X,O,X,X,X
ITOJZSL,O,X,X,X,O,O,X,X
ITOSLJZ,X,O,O,O,X,X,X,X
ITOSLZJ,X,O,O,O,X,O,X,X
ITOSJLZ,O,O,X,X,O,X,X,X
ITOSJZL,O,X,X,X,O,O,X,X
ITOSZLJ,X,X,O,X,X,O,X,X
ITOSZJL,O,X,X,X,O,O,X,X
ITOZLJS,X,X,O,X,X,X,X,X
ITOZLSJ,X,X,O,X,X,O,X,X
ITOZJLS,O,X,X,X,O,X,X,X
ITOZJSL,O,X,X,X,O,O,X,X
ITOZSLJ,X,X,O,X,X,O,X,X
ITOZSJL,O,X,X,X,O,O,X,X
ILTJSZO,X,O,X,X,X,X,X,X
ILTJSOZ,X,O,X,O,X,X,X,X
ILTJZSO,X,O,X,X,X,X,X,X
ILTJZOS,X,O,X,X,X,X,X,X
ILTJOSZ,X,O,X,O,X,X,X,X
ILTJOZS,X,O,X,O,X,X,X,X
ILTSJZO,X,O,X,X,X,X,X,X
ILTSJOZ,X,O,X,O,X,X,X,X
ILTSZJO,X,O,X,X,X,X,X,X
ILTSZOJ,X,O,X,O,X,X,X,X
ILTSOJZ,X,O,X,O,X,X,X,X
ILTSOZJ,X,O,X,O,X,X,X,X
ILTZJSO,X,O,X,X,X,X,X,X
ILTZJOS,X,O,X,X,X,X,X,X
ILTZSJO,X,O,X,X,X,X,X,O
ILTZSOJ,X,O,X,O,X,X,X,O
ILTZOJS,X,O,X,O,X,X,X,X
ILTZOSJ,X,O,X,O,X,X,X,O
ILTOJSZ,X,O,X,O,X,X,X,X
ILTOJZS,X,O,X,O,X,X,X,X
ILTOSJZ,X,O,X,O,X,X,X,X
ILTOSZJ,X,O,X,O,X,X,X,X
ILTOZJS,X,O,X,O,X,X,X,X
ILTOZSJ,X,O,X,O,X,X,X,X
ILJTSZO,X,O,X,X,X,X,X,X
ILJTSOZ,X,O,X,O,X,X,X,X
ILJTZSO,X,O,X,X,X,X,X,X
ILJTZOS,X,O,X,X,X,X,X,X
ILJTOSZ,X,O,X,O,X,X,X,X
ILJTOZS,X,O,X,O,X,X,X,X
ILJSTZO,X,O,X,X,X,X,X,X
ILJSTOZ,X,X,X,O,X,X,X,X
ILJSZTO,X,O,X,X,X,X,X,X
ILJSZOT,X,O,X,X,O,X,X,X
ILJSOTZ,X,X,X,O,O,X,X,X
ILJSOZT,X,O,X,O,O,X,X,X
ILJZTSO,X,O,X,X,X,X,X,X
ILJZTOS,X,O,X,X,X,X,X,X
ILJZSTO,X,O,X,X,X,X,X,O
ILJZSOT,X,O,X,X,O,X,X,O
ILJZOTS,X,X,X,X,O,X,X,X
ILJZOST,X,X,X,X,O,X,X,O
ILJOTSZ,X,X,X,O,O,X,X,X
ILJOTZS,X,X,X,O,O,X,X,X
ILJOSTZ,X,X,X,O,O,X,X,X
ILJOSZT,X,X,X,O,O,X,X,X
ILJOZTS,X,X,X,O,O,X,X,X
ILJOZST,X,X,X,O,O,X,X,X
ILSTJZO,X,O,X,X,X,X,X,X
ILSTJOZ,X,O,X,O,X,X,X,X
ILSTZJO,X,O,X,X,X,X,X,X
ILSTZOJ,X,O,X,O,X,X,X,X
ILSTOJZ,X,O,X,O,X,X,X,X
ILSTOZJ,X,O,X,O,X,X,X,X
ILSJTZO,X,O,X,X,X,X,X,X
ILSJTOZ,X,X,X,O,X,X,X,X
ILSJZTO,X,O,X,X,X,X,X,X
ILSJZOT,X,O,X,X,O,X,X,X
ILSJOTZ,X,O,X,O,O,X,X,X
ILSJOZT,X,O,X,O,O,X,X,X
ILSZTJO,X,O,X,X,X,X,X,O
ILSZTOJ,X,O,X,O,X,X,X,O
ILSZJTO,X,O,X,X,X,X,X,O
ILSZJOT,X,O,X,X,O,X,X,O
ILSZOTJ,X,O,O,O,X,O,X,O
ILSZOJT,X,O,O,O,O,X,X,O
ILSOTJZ,X,O,O,O,X,X,X,X
ILSOTZJ,X,O,O,O,X,O,X,X
ILSOJTZ,X,O,O,O,O,X,X,X
ILSOJZT,X,O,O,O,O,X,X,X
ILSOZTJ,X,O,O,O,X,O,X,X
ILSOZJT,X,O,O,O,O,X,X,X
ILZTJSO,X,O,X,X,X,X,X,X
ILZTJOS,X,O,X,X,X,X,X,X
ILZTSJO,X,O,X,X,X,X,X,O
ILZTSOJ,X,O,X,O,X,X,X,O
ILZTOJS,X,O,X,O,X,X,X,X
ILZTOSJ,X,O,X,O,X,X,X,O
ILZJTSO,X,O,X,X,X,X,X,O
ILZJTOS,X,O,X,X,X,X,X,O
ILZJSTO,X,O,X,X,X,X,X,O
ILZJSOT,X,O,X,X,O,X,X,O
ILZJOTS,X,X,X,X,O,X,X,O
ILZJOST,X,X,X,X,O,X,X,O
ILZSTJO,X,O,X,X,X,X,X,O
ILZSTOJ,X,O,X,O,X,X,X,O
ILZSJTO,X,O,X,X,X,X,X,O
ILZSJOT,X,O,X,X,O,X,X,O
ILZSOTJ,X,O,O,O,X,O,X,O
ILZSOJT,X,O,O,O,O,X,X,O
ILZOTJS,X,O,O,O,X,X,X,X
ILZOTSJ,X,O,O,O,X,O,X,O
ILZOJTS,X,X,O,O,O,X,X,O
ILZOJST,X,O,O,O,O,X,X,O
ILZOSTJ,X,O,O,O,X,O,X,O
ILZOSJT,X,O,O,O,O,X,X,O
ILOTJSZ,X,O,O,O,X,X,X,X
ILOTJZS,X,O,O,O,X,X,X,X
ILOTSJZ,X,O,O,O,X,X,X,X
ILOTSZJ,X,O,O,O,X,O,X,X
ILOTZJS,X,O,O,O,X,X,X,X
ILOTZSJ,X,O,O,O,X,O,X,X
ILOJTSZ,X,X,O,O,O,X,X,X
ILOJTZS,X,X,O,O,O,X,X,X
ILOJSTZ,X,O,O,O,O,X,X,X
ILOJSZT,X,O,O,O,O,X,X,X
ILOJZTS,X,X,O,O,O,X,X,X
ILOJZST,X,O,O,O,O,X,X,X
ILOSTJZ,X,O,O,O,X,X,X,X
ILOSTZJ,X,O,O,O,X,O,X,X
ILOSJTZ,X,O,O,O,O,X,X,X
ILOSJZT,X,O,O,O,O,X,X,X
ILOSZTJ,X,O,O,O,X,O,X,X
ILOSZJT,X,O,O,O,O,X,X,X
ILOZTJS,X,O,O,O,X,X,X,X
ILOZTSJ,X,O,O,O,X,O,X,O
ILOZJTS,X,X,O,O,O,X,X,X
ILOZJST,X,O,O,O,O,X,X,O
ILOZSTJ,X,O,O,O,X,O,X,O
ILOZSJT,X,O,O,O,O,X,X,O
IJTLSZO,O,X,X,X,X,X,O,X
IJTLSOZ,O,X,X,O,X,X,O,X
IJTLZSO,O,X,X,X,X,X,O,X
IJTLZOS,O,X,X,X,X,X,O,X
IJTLOSZ,O,X,X,O,X,X,O,X
IJTLOZS,O,X,X,O,X,X,O,X
IJTSLZO,O,X,X,X,X,X,O,X
IJTSLOZ,O,X,X,O,X,X,O,X
IJTSZLO,O,X,X,X,X,X,O,X
IJTSZOL,O,X,X,X,O,X,O,X
IJTSOLZ,O,X,X,X,O,X,O,X
IJTSOZL,O,X,X,X,O,X,O,X
IJTZLSO,O,X,X,X,X,X,O,X
IJTZLOS,O,X,X,X,X,X,O,X
IJTZSLO,O,X,X,X,X,X,O,X
IJTZSOL,O,X,X,X,O,X,O,X
IJTZOLS,O,X,X,X,O,X,O,X
IJTZOSL,O,X,X,X,O,X,O,X
IJTOLSZ,O,X,X,X,O,X,O,X
IJTOLZS,O,X,X,X,O,X,O,X
IJTOSLZ,O,X,X,X,O,X,O,X
IJTOSZL,O,X,X,X,O,X,O,X
IJTOZLS,O,X,X,X,O,X,O,X
IJTOZSL,O,X,X,X,O,X,O,X
IJLTSZO,O,X,X,X,X,X,O,X
IJLTSOZ,O,X,X,O,X,X,O,X
IJLTZSO,O,X,X,X,X,X,O,X
IJLTZOS,O,X,X,X,X,X,O,X
IJLTOSZ,O,X,X,O,X,X,O,X
IJLTOZS,O,X,X,O,X,X,O,X
IJLSTZO,O,X,X,X,X,X,O,X
IJLSTOZ,O,X,X,O,X,X,O,X
IJLSZTO,O,X,X,X,X,X,O,X
IJLSZOT,O,X,X,X,O,X,O,X
IJLSOTZ,X,X,X,O,O,X,O,X
IJLSOZT,O,X,X,O,O,X,O,X
IJLZTSO,O,X,X,X,X,X,O,X
IJLZTOS,O,X,X,X,X,X,O,X
IJLZSTO,O,X,X,X,X,X,O,O
IJLZSOT,O,X,X,X,O,X,O,O
IJLZOTS,X,X,X,X,O,X,O,X
IJLZOST,O,X,X,X,O,X,O,O
IJLOTSZ,X,X,X,O,O,X,O,X
IJLOTZS,X,X,X,O,O,X,O,X
IJLOSTZ,X,X,X,O,O,X,O,X
IJLOSZT,O,X,X,O,O,X,O,X
IJLOZTS,X,X,X,O,O,X,O,X
IJLOZST,O,X,X,O,O,X,O,X
IJSTLZO,O,X,X,X,X,X,O,X
IJSTLOZ,O,X,X,O,X,X,O,X
IJSTZLO,O,X,X,X,X,X,O,X
IJSTZOL,O,X,X,X,O,X,O,X
IJSTOLZ,O,X,X,X,O,X,O,X
IJSTOZL,O,X,X,X,O,X,O,X
IJSLTZO,O,X,X,X,X,X,O,X
IJSLTOZ,O,X,X,O,X,X,O,X
IJSLZTO,O,X,X,X,X,X,O,X
IJSLZOT,O,X,X,X,O,X,O,X
IJSLOTZ,X,X,X,O,O,X,O,X
IJSLOZT,O,X,X,O,O,X,O,X
IJSZTLO,O,X,X,X,X,X,O,X
IJSZTOL,O,X,X,X,O,X,O,X
IJSZLTO,O,X,X,X,X,X,O,X
IJSZLOT,O,X,X,X,O,X,O,X
IJSZOTL,X,X,X,X,O,O,O,X
IJSZOLT,O,X,O,X,O,X,O,X
IJSOTLZ,X,X,X,X,O,X,O,X
IJSOTZL,X,X,X,X,O,O,O,X
IJSOLTZ,X,X,O,O,O,X,O,X
IJSOLZT,O,X,O,O,O,X,O,X
IJSOZTL,X,X,X,X,O,O,O,X
IJSOZLT,O,X,O,X,O,X,O,X
IJZTLSO,O,X,X,X,X,X,O,X
IJZTLOS,O,X,X,X,X,X,O,X
IJZTSLO,O,X,X,X,X,X,O,X
IJZTSOL,O,X,X,X,O,X,O,X
IJZTOLS,O,X,X,X,O,X,O,X
IJZTOSL,O,X,X,X,O,X,O,X
IJZLTSO,O,X,X,X,X,X,O,X
IJZLTOS,O,X,X,X,X,X,O,X
IJZLSTO,O,X,X,X,X,X,O,O
IJZLSOT,O,X,X,X,O,X,O,O
IJZLOTS,X,X,X,X,O,X,O,X
IJZLOST,O,X,X,X,O,X,O,O
IJZSTLO,O,X,X,X,X,X,O,X
IJZSTOL,O,X,X,X,O,X,O,X
IJZSLTO,O,X,X,X,X,X,O,X
IJZSLOT,O,X,X,X,O,X,O,X
IJZSOTL,X,X,X,X,O,O,O,X
IJZSOLT,O,X,O,X,O,X,O,X
IJZOTLS,X,X,X,X,O,X,O,X
IJZOTSL,X,X,X,X,O,O,O,X
IJZOLTS,X,X,O,X,O,X,O,X
IJZOLST,O,X,O,X,O,X,O,X
IJZOSTL,X,X,X,X,O,O,O,X
IJZOSLT,O,X,O,X,O,X,O,X
IJOTLSZ,X,X,X,X,O,X,O,X
IJOTLZS,X,X,X,X,O,X,O,X
