sequence,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhF0bBxcB2lBFnBXr?BzrB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFmbBFdBTgBcmBXn?BRwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFOgBxcBzgBUiBfs?BVwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFxbBXdB2lBFnB0r?BzqB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFXcBzfBUmBFnBOs?BSwB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFXcBzfBUiBFmBOs?BSwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFxbBXdBTgBFnB0r?BerB,v115@7gC8FeD8GeF8CeF8DeC8Jel6IvhFUcBXgBZnBGiBTr?BCrB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFOhBXdBzfBFnB0r?BqqB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFTbBxcB/rBFnB0q?BmrB,v115@7gC8FeD8GeF8CeF8DeC8Jez7IvhFXdBUgBlfBxmBmr?BSwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhF0bBXdB2lBFnBTm?BRwB,v115@7gC8FeD8GeF8CeF8DeC8Je6/IvhFxcBTgB/rBFnBmr?B0qB,v115@7gC8FeD8GeF8CeF8DeC8Jex6IvhFzfBUiBirBuqB/r?BFsB,v115@7gC8FeD8GeF8CeF8DeC8Je06IvhFCdBzgBVnBXgB2r?BRwB,v115@7gC8FeD8GeF8CeF8DeC8JeX7IvhFCdBzgBVnB0fB2r?BRwB
TILJSZO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TILJSOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILJZSO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TILJZOS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TILJOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TILJOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TILSJZO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TILSJOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSZJO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TILSOJZ,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O
TILSOZJ,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O
TILZJSO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZJOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TILZSJO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TILZSOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TILZOJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TILOJSZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TILOJZS,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
