sequence,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhFicB9iBfnB5oB8s?BOtB,v115@zgB8HeB8HeE8EeF8DeG8Me2AJvhFRcBCeBzhBXjB9t?B0sB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF/hBRdBcjBOnBqs?B9tB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF/hBRdBSjBNnB8s?B+tB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF2hBRdB9jBfoBUn?BSyB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhF2hBXeBxsB9tBCn?B0sB,v115@zgB8HeB8HeE8EeF8DeG8Me2AJvhFRcB9iBfnB6oB8s?BTtB,v115@zgB8HeB8HeE8EeF8DeG8MeT7IvhFxcB6jB0hB9sB/t?BmsB
TILJSZO,X,X,O,X,X,X,X,X
TILJSOZ,X,X,O,X,X,O,X,X
TILJZSO,X,X,O,X,X,O,X,X
TILJZOS,X,X,O,X,X,O,X,X
TILJOSZ,X,X,O,X,X,O,X,X
TILJOZS,X,X,O,X,X,O,X,X
TILSJZO,X,X,O,X,X,X,X,X
TILSJOZ,X,X,O,X,X,O,X,X
TILSZJO,O,X,O,X,X,X,X,X
TILSZOJ,O,X,O,X,X,X,X,X
TILSOJZ,X,X,O,X,X,O,X,X
TILSOZJ,O,X,O,X,X,X,X,X
TILZJSO,X,X,O,X,X,O,X,X
TILZJOS,X,X,O,X,X,O,X,X
TILZSJO,O,X,O,X,X,O,X,X
TILZSOJ,O,X,O,X,X,O,X,X
TILZOJS,X,X,O,X,X,O,X,X
TILZOSJ,O,X,O,X,X,O,X,X
TILOJSZ,X,X,O,X,X,O,X,X
TILOJZS,X,X,O,X,X,O,X,X
TILOSJZ,X,X,O,X,X,O,X,X
TILOSZJ,O,X,O,X,X,X,X,X
TILOZJS,X,X,O,X,X,O,X,X
TILOZSJ,O,X,O,X,X,O,X,X
TIJLSZO,X,O,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,O,X,X
TIJLZSO,X,O,X,X,X,O,X,X
TIJLZOS,X,O,X,X,X,O,X,X
TIJLOSZ,X,O,X,X,X,O,X,X
TIJLOZS,X,O,X,X,X,O,X,X
TIJSLZO,X,O,X,X,X,X,X,X
TIJSLOZ,X,O,X,X,X,O,X,X
TIJSZLO,X,O,X,O,X,O,X,X
TIJSZOL,X,O,X,O,X,O,X,X
TIJSOLZ,X,O,X,X,X,O,X,X
TIJSOZL,X,O,X,O,X,O,X,X
TIJZLSO,X,O,X,O,X,O,X,X
TIJZLOS,X,O,X,O,X,O,X,X
TIJZSLO,X,O,X,O,X,O,X,X
TIJZSOL,X,O,X,O,X,O,X,X
TIJZOLS,X,O,X,O,X,O,X,X
TIJZOSL,X,O,X,O,X,O,X,X
TIJOLSZ,X,O,X,X,X,O,X,X
TIJOLZS,X,O,X,X,X,O,X,X
TIJOSLZ,X,O,X,X,X,O,X,X
TIJOSZL,X,O,X,O,X,O,X,X
TIJOZLS,X,O,X,O,X,O,X,X
TIJOZSL,X,O,X,O,X,O,X,X
TISLJZO,X,O,O,X,X,X,X,X
TISLJOZ,X,O,O,X,X,O,X,X
TISLZJO,O,X,O,X,X,X,X,O
TISLZOJ,O,X,O,X,X,X,X,O
TISLOJZ,X,O,O,X,X,O,X,X
TISLOZJ,O,O,O,X,X,X,X,O
TISJLZO,X,O,X,X,X,X,X,X
TISJLOZ,X,O,X,X,X,O,X,X
TISJZLO,X,O,X,O,X,O,X,X
TISJZOL,X,X,X,O,X,O,X,X
TISJOLZ,X,O,X,X,X,O,X,X
TISJOZL,X,O,X,O,X,O,X,X
TISZLJO,O,X,O,X,X,O,X,O
TISZLOJ,O,X,O,X,X,O,X,O
TISZJLO,O,X,X,X,X,O,X,O
TISZJOL,O,X,O,X,X,O,X,O
TISZOLJ,O,X,O,X,X,O,X,O
TISZOJL,O,X,O,X,X,O,X,O
TISOLJZ,X,O,O,X,X,O,X,X
TISOLZJ,O,O,O,X,X,X,X,O
TISOJLZ,X,O,X,X,X,O,X,X
TISOJZL,X,O,X,O,X,O,X,X
TISOZLJ,O,O,O,X,X,O,X,O
TISOZJL,O,O,O,X,X,O,X,O
TIZLJSO,X,X,O,X,X,O,X,X
TIZLJOS,X,X,O,X,X,O,X,X
TIZLSJO,O,X,O,X,X,O,X,O
TIZLSOJ,O,X,O,X,X,O,X,O
TIZLOJS,X,X,O,X,X,O,X,X
TIZLOSJ,O,X,O,X,X,O,X,O
TIZJLSO,X,O,X,X,X,O,X,X
TIZJLOS,X,O,X,X,X,O,X,X
TIZJSLO,O,O,X,X,X,O,X,O
TIZJSOL,O,O,X,X,X,O,X,O
TIZJOLS,X,O,X,X,X,O,X,X
TIZJOSL,O,O,X,X,X,O,X,O
TIZSLJO,O,O,O,X,X,O,X,O
TIZSLOJ,O,O,O,X,X,O,X,O
TIZSJLO,O,O,X,X,X,O,X,O
TIZSJOL,O,O,O,X,X,O,X,O
TIZSOLJ,O,O,O,X,X,O,X,O
TIZSOJL,O,O,O,X,X,O,X,O
TIZOLJS,X,O,O,X,X,O,X,X
TIZOLSJ,O,O,O,X,X,O,X,O
TIZOJLS,X,O,X,X,X,O,X,X
TIZOJSL,O,O,X,X,X,O,X,O
TIZOSLJ,O,O,O,X,X,O,X,O
TIZOSJL,O,O,O,X,X,O,X,O
TIOLJSZ,X,O,O,X,X,O,X,X
TIOLJZS,X,O,O,X,X,O,X,X
TIOLSJZ,X,O,O,X,X,O,X,X
TIOLSZJ,O,O,O,X,X,X,X,X
TIOLZJS,X,O,O,X,X,O,X,X
TIOLZSJ,O,O,O,X,X,O,X,X
TIOJLSZ,X,O,X,X,X,O,X,X
TIOJLZS,X,O,X,X,X,O,X,X
TIOJSLZ,X,O,X,X,X,O,X,X
TIOJSZL,X,O,X,O,X,O,X,X
TIOJZLS,X,O,X,O,X,O,X,X
TIOJZSL,X,O,X,O,X,O,X,X
TIOSLJZ,X,O,O,X,X,O,X,X
TIOSLZJ,O,O,O,X,X,X,X,O
TIOSJLZ,X,O,X,X,X,O,X,X
TIOSJZL,X,O,X,O,X,O,X,X
TIOSZLJ,O,O,O,X,X,O,X,O
TIOSZJL,O,O,O,X,X,O,X,O
TIOZLJS,X,O,O,X,X,O,X,X
TIOZLSJ,O,O,O,X,X,O,X,O
TIOZJLS,X,O,X,X,X,O,X,X
TIOZJSL,O,O,X,X,X,O,X,O
TIOZSLJ,O,O,O,X,X,O,X,O
TIOZSJL,O,O,O,X,X,O,X,O
TLIJSZO,X,X,O,X,O,X,X,X
TLIJSOZ,X,X,O,X,O,X,X,X
TLIJZSO,X,X,O,X,X,X,X,X
TLIJZOS,X,X,O,X,X,X,X,X
TLIJOSZ,X,X,O,X,O,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X
TLISJZO,X,X,O,X,O,X,X,X
TLISJOZ,X,X,O,X,O,X,X,X
TLISZJO,O,X,O,X,O,X,X,X
TLISZOJ,O,X,O,X,O,X,X,X
TLISOJZ,X,X,O,X,O,X,X,X
TLISOZJ,O,X,O,X,O,X,X,X
TLIZJSO,X,X,O,X,O,X,X,X
TLIZJOS,X,X,O,X,O,X,X,X
TLIZSJO,O,X,O,X,O,X,X,X
TLIZSOJ,O,X,O,X,O,X,X,X
TLIZOJS,X,X,O,X,O,X,X,X
TLIZOSJ,O,X,O,X,O,X,X,X
TLIOJSZ,X,X,O,X,O,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X
TLIOSJZ,X,X,O,X,O,X,X,X
TLIOSZJ,O,X,O,X,O,X,X,X
TLIOZJS,X,X,O,X,O,X,X,X
TLIOZSJ,O,X,O,X,O,X,X,X
TLJISZO,X,O,O,X,O,X,X,X
TLJISOZ,X,O,O,X,O,X,X,X
TLJIZSO,X,O,O,X,X,X,X,X
TLJIZOS,X,O,O,X,X,X,X,X
TLJIOSZ,X,O,O,X,O,X,X,X
TLJIOZS,X,O,O,X,X,X,X,X
TLJSIZO,X,O,O,X,O,X,X,X
TLJSIOZ,X,O,O,X,O,X,X,X
TLJSZIO,X,O,O,O,O,X,X,X
TLJSZOI,X,O,O,O,O,X,X,X
TLJSOIZ,X,O,O,X,O,X,X,X
TLJSOZI,X,O,O,O,O,X,X,X
TLJZISO,X,O,O,O,O,X,X,X
TLJZIOS,X,O,O,O,O,X,X,X
TLJZSIO,X,O,O,O,O,X,X,X
TLJZSOI,X,O,O,O,O,X,X,X
TLJZOIS,X,O,O,O,O,X,X,X
TLJZOSI,X,O,O,O,O,X,X,X
TLJOISZ,X,O,O,X,O,X,X,X
TLJOIZS,X,O,O,X,X,X,X,X
TLJOSIZ,X,O,O,X,O,X,X,X
TLJOSZI,X,O,O,O,O,X,X,X
TLJOZIS,X,O,O,O,O,X,X,X
TLJOZSI,X,O,O,O,O,X,X,X
TLSIJZO,X,O,O,X,O,X,X,X
TLSIJOZ,X,O,O,X,O,X,X,X
TLSIZJO,O,X,O,X,O,X,X,O
TLSIZOJ,O,X,O,X,O,X,X,O
TLSIOJZ,X,O,O,X,O,X,X,X
TLSIOZJ,O,O,O,X,O,X,X,O
TLSJIZO,X,O,O,X,O,X,X,X
TLSJIOZ,X,O,O,X,O,X,X,X
TLSJZIO,O,O,O,O,O,X,X,O
TLSJZOI,O,O,O,O,O,X,X,O
TLSJOIZ,X,O,O,X,O,X,X,X
TLSJOZI,O,O,O,O,O,X,X,O
TLSZIJO,O,X,O,X,O,X,X,O
TLSZIOJ,O,X,O,X,O,X,X,O
TLSZJIO,O,O,O,X,O,X,X,O
TLSZJOI,O,O,O,X,O,X,X,O
TLSZOIJ,O,O,O,X,O,X,X,O
TLSZOJI,O,O,O,X,O,X,X,O
TLSOIJZ,X,O,O,X,O,X,X,X
TLSOIZJ,O,O,O,X,O,X,X,O
TLSOJIZ,X,O,O,X,O,X,X,X
TLSOJZI,O,O,O,O,O,X,X,O
TLSOZIJ,O,O,O,X,O,X,X,O
TLSOZJI,O,O,O,X,O,X,X,O
TLZIJSO,X,X,O,X,O,X,X,X
TLZIJOS,X,X,O,X,O,X,X,X
TLZISJO,O,X,O,X,O,X,X,O
TLZISOJ,O,X,O,X,O,X,X,O
TLZIOJS,X,X,O,X,O,X,X,X
TLZIOSJ,O,X,O,X,O,X,X,O
TLZJISO,X,O,O,X,O,X,X,X
TLZJIOS,X,O,O,X,O,X,X,X
TLZJSIO,X,O,O,X,O,X,X,X
TLZJSOI,X,O,O,X,O,X,X,X
TLZJOIS,X,O,O,X,O,X,X,X
TLZJOSI,X,O,O,X,O,X,X,X
TLZSIJO,O,O,O,X,O,X,X,O
TLZSIOJ,O,O,O,X,O,X,X,O
TLZSJIO,O,O,O,X,O,X,X,O
TLZSJOI,O,O,O,X,O,X,X,O
TLZSOIJ,O,O,O,X,O,X,X,O
TLZSOJI,O,O,O,X,O,X,X,O
TLZOIJS,X,O,O,X,O,X,X,X
TLZOISJ,O,O,O,X,O,X,X,O
TLZOJIS,X,O,O,X,O,X,X,X
TLZOJSI,X,O,O,X,O,X,X,X
TLZOSIJ,O,O,O,X,O,X,X,O
TLZOSJI,O,O,O,X,O,X,X,O
TLOIJSZ,X,O,O,X,O,X,X,X
TLOIJZS,X,O,O,X,X,X,X,X
TLOISJZ,X,O,O,X,O,X,X,X
TLOISZJ,O,O,O,X,O,X,X,X
TLOIZJS,X,O,O,X,O,X,X,X
TLOIZSJ,O,O,O,X,O,X,X,X
TLOJISZ,X,O,O,X,O,X,X,X
TLOJIZS,X,O,O,X,X,X,X,X
TLOJSIZ,X,O,O,X,O,X,X,X
TLOJSZI,X,O,O,O,O,X,X,X
TLOJZIS,X,O,O,O,O,X,X,X
TLOJZSI,X,O,O,O,O,X,X,X
TLOSIJZ,X,O,O,X,O,X,X,X
TLOSIZJ,O,O,O,X,O,X,X,O
TLOSJIZ,X,O,O,X,O,X,X,X
TLOSJZI,O,O,O,O,O,X,X,O
TLOSZIJ,O,O,O,X,O,X,X,O
TLOSZJI,O,O,O,X,O,X,X,O
TLOZIJS,X,O,O,X,O,X,X,X
TLOZISJ,O,O,O,X,O,X,X,O
TLOZJIS,X,O,O,X,O,X,X,X
TLOZJSI,X,O,O,X,O,X,X,X
TLOZSIJ,O,O,O,X,O,X,X,O
