sequence,v115@zgB8HeC8GeB8FeD8FeF8AeE8Je07IvhFmcB5iBTeBf?nBilBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jem7IvhFRdBSjBclB3?hBTnBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jem7IvhF5iBTeBclBa?nB3hBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jex7IvhFTeBclBihB+?nBXiBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8JeR9IvhFSjB/nBTlB0?mBFmBmqB,v115@zgB8HeC8GeB8FeD8FeF8AeE8JefCJvhF6iBTeBclBZ?mBWxBlqB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jex7IvhFGeBclBThB3?iBKnBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Je08IvhFxdB3gBCjBO?rBVxBTqB
TILJSZO,O,O,X,X,X,X,X,O
TILJSOZ,O,X,X,X,X,X,X,O
TILJZSO,O,O,O,O,X,X,X,O
TILJZOS,O,O,O,O,X,X,X,O
TILJOSZ,O,X,X,X,X,X,X,O
TILJOZS,O,X,O,O,X,X,X,O
TILSJZO,O,O,X,X,X,X,X,O
TILSJOZ,O,X,X,X,X,X,X,O
TILSZJO,O,O,O,X,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X
TILSOZJ,O,O,O,X,X,X,X,X
TILZJSO,O,O,O,O,X,X,X,O
TILZJOS,O,O,O,O,X,X,X,O
TILZSJO,O,O,O,O,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X,X
TILZOJS,O,O,O,O,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,O
TILOJZS,O,X,O,X,X,X,X,O
TILOSJZ,O,X,X,X,X,X,X,X
TILOSZJ,O,O,O,X,X,X,X,X
TILOZJS,O,O,O,X,X,X,X,X
TILOZSJ,O,X,O,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,X,O
TIJLSOZ,O,X,X,X,X,X,X,O
TIJLZSO,O,X,O,O,X,X,X,O
TIJLZOS,O,X,O,O,X,X,X,O
TIJLOSZ,O,X,X,X,X,X,X,O
TIJLOZS,O,X,O,O,X,X,X,O
TIJSLZO,O,X,X,X,X,O,X,O
TIJSLOZ,O,X,X,X,X,O,X,O
TIJSZLO,O,X,X,X,X,O,X,O
TIJSZOL,O,X,X,X,X,O,O,X
TIJSOLZ,O,X,X,X,X,O,X,X
TIJSOZL,O,X,X,X,X,O,O,X
TIJZLSO,O,X,O,O,X,X,X,O
TIJZLOS,O,X,O,O,X,X,X,O
TIJZSLO,O,X,O,O,X,O,X,O
TIJZSOL,O,X,O,O,X,O,O,X
TIJZOLS,O,X,O,O,X,X,X,X
TIJZOSL,O,X,O,O,X,O,X,X
TIJOLSZ,O,X,X,X,X,X,X,X
TIJOLZS,O,X,O,O,X,X,X,X
TIJOSLZ,O,X,X,X,X,O,X,X
TIJOSZL,O,X,X,X,X,O,X,X
TIJOZLS,O,X,O,O,X,X,X,X
TIJOZSL,O,X,O,O,X,O,X,X
TISLJZO,O,O,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X
TISLZJO,O,O,O,X,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X
TISLOZJ,O,O,O,X,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,O,X
TISJOLZ,O,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,O,X
TISZLJO,O,O,O,X,X,X,X,X
TISZLOJ,O,O,O,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X
TISZJOL,O,O,O,X,X,X,O,X
TISZOLJ,O,O,O,X,X,X,O,X
TISZOJL,O,O,O,X,X,X,O,X
TISOLJZ,O,X,X,X,X,X,X,X
TISOLZJ,O,O,O,X,X,X,X,X
TISOJLZ,O,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,O,X
TISOZLJ,O,O,O,X,X,X,O,X
TISOZJL,O,O,O,X,X,X,O,X
TIZLJSO,O,O,O,O,X,X,X,X
TIZLJOS,O,O,O,O,X,X,X,X
TIZLSJO,O,O,O,O,X,X,X,X
TIZLSOJ,O,O,O,X,X,X,X,X
TIZLOJS,O,O,O,O,X,X,X,X
TIZLOSJ,O,X,O,X,X,X,X,X
TIZJLSO,O,O,O,O,X,X,X,X
TIZJLOS,O,O,O,O,X,X,X,X
TIZJSLO,O,O,O,O,X,O,X,X
TIZJSOL,O,O,O,O,X,O,O,X
TIZJOLS,O,O,O,O,X,X,X,X
TIZJOSL,O,X,O,O,X,O,X,X
TIZSLJO,O,O,O,O,X,X,X,X
TIZSLOJ,O,O,O,X,X,X,X,X
TIZSJLO,O,O,O,O,X,X,X,X
TIZSJOL,O,O,O,O,X,X,O,X
TIZSOLJ,O,O,O,X,X,X,O,X
TIZSOJL,O,O,O,O,X,X,O,X
TIZOLJS,O,O,O,O,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X
TIZOJLS,O,O,O,O,X,X,X,X
TIZOJSL,O,X,O,O,X,O,X,X
TIZOSLJ,O,O,O,X,X,X,O,X
TIZOSJL,O,O,O,O,X,X,O,X
TIOLJSZ,O,O,X,X,X,X,X,X
TIOLJZS,O,O,O,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,X
TIOLZJS,O,O,O,X,X,X,X,X
TIOLZSJ,O,O,O,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,X,X
TIOJLZS,O,X,O,O,X,X,X,X
TIOJSLZ,O,X,X,X,X,O,X,X
TIOJSZL,O,X,X,X,X,O,X,X
TIOJZLS,O,X,O,O,X,X,X,X
TIOJZSL,O,X,O,O,X,O,X,X
TIOSLJZ,O,O,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,O,X
TIOSZLJ,O,O,O,X,X,X,O,X
TIOSZJL,O,O,O,X,X,X,O,X
TIOZLJS,O,O,O,O,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,X,X
TIOZJLS,O,O,O,O,X,X,X,X
TIOZJSL,O,X,O,O,X,O,X,X
TIOZSLJ,O,O,O,X,X,X,O,X
TIOZSJL,O,O,O,O,X,X,O,X
TLIJSZO,O,O,X,X,X,X,X,O
TLIJSOZ,O,X,X,X,X,X,X,O
TLIJZSO,O,O,O,O,X,X,X,O
TLIJZOS,O,O,O,O,X,X,X,O
TLIJOSZ,O,X,X,X,X,X,X,O
TLIJOZS,O,X,O,O,X,X,X,O
TLISJZO,O,O,X,X,X,X,X,O
TLISJOZ,O,X,X,X,X,X,X,O
TLISZJO,O,O,O,X,X,X,X,X
TLISZOJ,O,O,O,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,X,X
TLISOZJ,O,O,O,X,O,X,X,X
TLIZJSO,O,O,O,O,X,X,X,O
TLIZJOS,O,O,O,O,X,X,X,O
TLIZSJO,O,O,O,O,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,X,X
TLIZOJS,O,O,O,O,X,X,X,X
TLIZOSJ,O,X,O,X,X,X,X,X
TLIOJSZ,O,O,X,X,X,X,X,O
