sequence,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBTcBxdBSlB0mBlqB,v115@DhD8FeF8EeF8AeF8JeK/IvhFzaBGcBxdB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXcBxdBzfBqmB0gBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFShBxdBTfB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFxdBTfBChB/qB0rBFrB,v115@DhD8FeF8EeF8AeF8JeO/IvhFTcBxdBCgB0gB/qB1wB,v115@DhD8FeF8EeF8AeF8Jei6IvhFchBxdB3fBTlB1rBuqB
TILJSZO,O,O,X,X,X,O,X
TILJSOZ,O,O,O,X,X,O,X
TILJZSO,O,X,X,X,X,X,X
TILJZOS,O,X,O,X,X,O,X
TILJOSZ,O,O,O,X,X,O,X
TILJOZS,O,X,O,X,X,O,X
TILSJZO,O,O,X,X,X,O,X
TILSJOZ,O,O,O,X,X,O,X
TILSZJO,O,O,X,X,X,O,X
TILSZOJ,O,O,O,X,X,O,X
TILSOJZ,O,O,O,X,X,O,X
TILSOZJ,O,O,O,X,X,O,X
TILZJSO,O,O,X,X,X,X,X
TILZJOS,O,O,O,X,X,O,X
TILZSJO,O,O,X,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X
TILZOJS,O,O,O,X,X,O,X
TILZOSJ,O,O,O,X,X,X,O
TILOJSZ,O,O,O,X,X,O,X
TILOJZS,O,X,O,X,X,O,X
TILOSJZ,O,O,O,X,X,O,O
TILOSZJ,O,O,O,X,X,O,O
TILOZJS,O,O,O,X,X,O,X
TILOZSJ,O,O,O,X,X,X,O
TIJLSZO,O,O,X,X,X,O,X
TIJLSOZ,O,O,O,X,X,O,X
TIJLZSO,O,X,X,X,X,X,X
TIJLZOS,O,X,O,X,X,O,X
TIJLOSZ,O,O,O,X,X,O,X
TIJLOZS,O,X,O,X,X,O,X
TIJSLZO,O,O,X,X,X,O,X
TIJSLOZ,O,O,O,X,X,O,X
TIJSZLO,X,O,X,X,X,O,X
TIJSZOL,X,X,X,X,X,O,X
TIJSOLZ,X,O,O,X,X,O,X
TIJSOZL,X,X,X,X,X,O,X
TIJZLSO,O,X,X,X,X,X,X
TIJZLOS,O,X,O,X,X,O,X
TIJZSLO,O,X,X,X,X,O,X
TIJZSOL,O,X,X,X,X,O,X
TIJZOLS,O,X,O,X,X,O,X
TIJZOSL,O,X,X,X,X,O,O
TIJOLSZ,O,X,O,X,X,O,X
TIJOLZS,O,X,O,X,X,O,X
TIJOSLZ,X,X,O,X,X,O,O
TIJOSZL,X,X,X,X,X,O,O
TIJOZLS,X,X,O,X,X,O,X
TIJOZSL,X,X,X,X,X,O,O
TISLJZO,O,O,X,X,X,O,X
TISLJOZ,O,O,O,X,X,O,X
TISLZJO,O,O,X,X,X,O,X
TISLZOJ,O,O,O,X,X,O,X
