sequence,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgB3hBOsB0?lBzpBSwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBmgBqqBF?nBzpB0rB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je/AJvhFUcBFdBTmBO?sBCqBxvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jei7IvhFFdBulBcmBX?nBzpBRwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeT7IvhFxcB3lBFnBW?vB0rBirB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBOrBX?lBSvBzrB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBKrBf?sBTlBWvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBXlBO?sBSvBTrB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBXnBC?qB2wBTqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdB0gBFnBz?pBCrB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmB6qBX?nBzpB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je08IvhFlgBxmBTlBW?vBirBXsB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeT7IvhFOhBXdBSqBF?nB0rBRvB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Je2AJvhFXdBUmBFnBC?mBzpBRwB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBzgBFnBC?qB0rB2vB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhFlgBUiBTmBG?qBywBXqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8JeC9IvhF0gBVnBZmBG?qBzrBXqB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex7IvhFXdBUmBFnBC?qBTqB2wB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jei7IvhF5lB/rBFnBz?pBcrBOsB,v115@zgB8FeD8EeF8EeC8FeD8FeC8Jex8IvhF6lB/rBFnBz?pBmrB0qB
TILJSZO,X,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TILJSOZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJZSO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TILJZOS,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TILJOSZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSZJO,X,O,O,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TILSZOJ,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILSOJZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSOZJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TILZJSO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,O,X,X
TILZJOS,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X
TILZSJO,X,X,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X
TILZSOJ,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X
TILZOJS,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,O,X,O,X,X
TILZOSJ,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X
TILOJSZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOJZS,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TILOSJZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOSZJ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,X,O,X,O,O,X,O,O,O,X,O,X,O,X,X,X
