sequence,v115@5gB8GeC8HeD8FeG8AeF8JeZ/IvhFCbBXcBTeB8kBGm?BlqB,v115@5gB8GeC8HeD8FeG8AeF8JeZ/IvhFCcBTeBukB/mBUg?BlqB,v115@5gB8GeC8HeD8FeG8AeF8Jex7IvhFTeBKkBGgB/mB0f?BlqB,v115@5gB8GeC8HeD8FeG8AeF8Je//IvhFUbBFcBTeB2pBxl?BCrB,v115@5gB8GeC8HeD8FeG8AeF8JeO/IvhF8fBTeB5lB/rByu?BFrB,v115@5gB8GeC8HeD8FeG8AeF8JeO/IvhFTeBRgB0gB6mB3k?BlqB
TILJSZO,O,O,O,O,X,X
TILJSOZ,O,O,O,O,X,X
TILJZSO,O,X,X,O,X,X
TILJZOS,O,X,X,O,X,X
TILJOSZ,O,O,O,O,X,X
TILJOZS,O,X,X,O,X,X
TILSJZO,O,O,O,O,X,X
TILSJOZ,O,O,O,O,X,X
TILSZJO,O,O,O,X,O,X
TILSZOJ,O,O,O,X,O,X
TILSOJZ,O,O,O,O,X,X
TILSOZJ,O,O,O,X,O,X
TILZJSO,O,X,X,O,O,X
TILZJOS,O,X,X,O,O,X
TILZSJO,O,X,X,X,O,X
TILZSOJ,O,X,X,X,O,X
TILZOJS,O,X,X,O,O,X
TILZOSJ,O,X,X,X,O,X
TILOJSZ,O,O,O,O,X,X
TILOJZS,O,X,X,O,X,X
TILOSJZ,O,O,O,O,X,X
TILOSZJ,O,O,O,X,O,X
TILOZJS,O,X,X,O,O,X
TILOZSJ,O,X,X,X,O,X
TIJLSZO,O,O,X,O,X,X
TIJLSOZ,O,O,X,O,X,X
TIJLZSO,O,X,X,O,X,X
TIJLZOS,O,X,X,O,X,X
TIJLOSZ,O,O,X,O,X,X
TIJLOZS,O,X,X,O,X,X
TIJSLZO,O,O,X,O,X,X
TIJSLOZ,O,O,X,O,X,X
TIJSZLO,O,O,X,O,X,X
TIJSZOL,O,O,X,O,X,X
TIJSOLZ,O,O,X,O,X,X
TIJSOZL,O,O,X,O,X,X
TIJZLSO,O,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X
TIJZSLO,O,O,X,O,X,X
TIJZSOL,O,O,X,O,X,X
TIJZOLS,O,X,X,X,X,X
TIJZOSL,O,O,X,O,X,X
TIJOLSZ,O,O,X,O,X,X
TIJOLZS,O,X,X,O,X,X
TIJOSLZ,O,O,X,O,X,X
TIJOSZL,O,O,X,O,X,X
TIJOZLS,O,X,X,X,X,X
TIJOZSL,O,O,X,O,X,X
TISLJZO,O,O,O,X,X,X
TISLJOZ,O,O,O,X,X,O
TISLZJO,O,O,O,X,O,X
TISLZOJ,O,O,O,X,O,X
TISLOJZ,O,O,O,X,X,O
TISLOZJ,O,O,O,X,O,X
TISJLZO,O,O,O,X,X,X
TISJLOZ,O,O,O,X,X,O
TISJZLO,O,O,X,X,X,X
TISJZOL,O,O,X,X,X,O
TISJOLZ,O,O,O,X,X,O
TISJOZL,O,O,X,X,X,O
TISZLJO,O,O,O,X,X,X
TISZLOJ,O,O,O,X,X,X
TISZJLO,O,O,X,X,X,X
TISZJOL,O,O,X,X,X,O
TISZOLJ,O,O,O,X,X,X
TISZOJL,O,O,X,X,X,O
TISOLJZ,O,O,O,X,X,O
TISOLZJ,O,O,O,X,O,X
TISOJLZ,O,O,O,X,X,O
TISOJZL,O,O,X,X,X,O
TISOZLJ,O,O,O,X,X,X
TISOZJL,O,O,X,X,X,O
TIZLJSO,O,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X
TIZJSOL,O,O,X,X,X,X
TIZJOLS,O,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X
TIZSLJO,O,O,X,X,X,X
TIZSLOJ,O,O,X,X,X,X
TIZSJLO,O,O,X,X,X,X
TIZSJOL,O,O,X,X,X,X
TIZSOLJ,O,O,X,X,X,X
TIZSOJL,O,O,X,X,X,X
TIZOLJS,O,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X
TIZOJLS,O,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X
TIZOSLJ,O,O,X,X,X,X
TIZOSJL,O,O,X,X,X,X
TIOLJSZ,O,O,O,O,X,X
TIOLJZS,O,X,X,O,X,X
TIOLSJZ,O,O,O,O,X,X
TIOLSZJ,O,O,O,X,O,X
TIOLZJS,O,X,X,O,O,X
TIOLZSJ,O,X,X,X,O,X
TIOJLSZ,O,O,X,O,X,X
TIOJLZS,O,X,X,O,X,X
TIOJSLZ,O,O,X,O,X,X
TIOJSZL,O,O,X,O,X,X
