sequence,v115@7gB8HeB8EeE8DeF8CeG8JeNAJvhFGcBTdBZkB8lBfq?B6pB,v115@7gB8HeB8EeE8DeF8CeG8Jem6IvhFRcBSiB0fBzgBNp?BXqB,v115@7gB8HeB8EeE8DeF8CeG8Je//IvhFRbBchBTdB6lBNp?BeqB,v115@7gB8HeB8EeE8DeF8CeG8Je2/IvhFRbBchBTdB9lBKp?BfqB,v115@7gB8HeB8EeE8DeF8CeG8JeN/IvhFRbBShBTdB8kB3l?B2uB,v115@7gB8HeB8EeE8DeF8CeG8Je06IvhFShBTdBxpBNpBml?BXqB,v115@7gB8HeB8EeE8DeF8CeG8JeNAJvhFRcBSiBOkB8lBfq?BTpB,v115@7gB8HeB8EeE8DeF8CeG8JeO/IvhFxbBTdBXhBcpBNq?BCqB
TJSZLOI,O,O,O,X,O,X,X,O
TJSZOIL,O,O,O,X,O,X,X,O
TJSZOLI,O,O,O,X,O,X,X,O
TJSOILZ,X,O,O,X,O,X,X,X
TJSOIZL,O,O,O,X,O,X,X,O
TJSOLIZ,X,O,O,X,O,X,X,X
TJSOLZI,X,O,O,X,O,X,X,X
TJSOZIL,O,O,O,X,O,X,X,O
TJSOZLI,O,O,O,X,O,X,X,O
TJZILSO,X,O,O,X,O,X,X,X
TJZILOS,X,O,O,X,O,X,X,X
TJZISLO,O,X,O,X,O,X,X,O
TJZISOL,O,X,O,X,O,X,X,O
TJZIOLS,X,O,O,X,O,X,X,X
TJZIOSL,O,O,O,X,O,X,X,O
TJZLISO,X,O,O,X,O,X,X,X
TJZLIOS,X,O,O,X,O,X,X,X
TJZLSIO,O,O,O,O,O,X,X,O
TJZLSOI,O,O,O,O,O,X,X,O
TJZLOIS,X,O,O,X,O,X,X,X
TJZLOSI,O,O,O,O,O,X,X,O
TJZSILO,O,X,O,X,O,X,X,O
TJZSIOL,O,X,O,X,O,X,X,O
TJZSLIO,O,O,O,X,O,X,X,O
TJZSLOI,O,O,O,X,O,X,X,O
TJZSOIL,O,O,O,X,O,X,X,O
TJZSOLI,O,O,O,X,O,X,X,O
TJZOILS,X,O,O,X,O,X,X,X
TJZOISL,O,O,O,X,O,X,X,O
TJZOLIS,X,O,O,X,O,X,X,X
TJZOLSI,O,O,O,O,O,X,X,O
TJZOSIL,O,O,O,X,O,X,X,O
TJZOSLI,O,O,O,X,O,X,X,O
TJOILSZ,X,O,O,X,X,X,X,X
TJOILZS,X,O,O,X,O,X,X,X
TJOISLZ,X,O,O,X,O,X,X,X
TJOISZL,O,O,O,X,O,X,X,X
