sequence,v115@7gB8HeB8EeE8DeF8CeG8JeNAJvhFGcBTdBZkB8lBfq?B6pB,v115@7gB8HeB8EeE8DeF8CeG8Jem6IvhFRcBSiB0fBzgBNp?BXqB,v115@7gB8HeB8EeE8DeF8CeG8Je//IvhFRbBchBTdB6lBNp?BeqB,v115@7gB8HeB8EeE8DeF8CeG8Je2/IvhFRbBchBTdB9lBKp?BfqB,v115@7gB8HeB8EeE8DeF8CeG8JeN/IvhFRbBShBTdB8kB3l?B2uB,v115@7gB8HeB8EeE8DeF8CeG8Je06IvhFShBTdBxpBNpBml?BXqB,v115@7gB8HeB8EeE8DeF8CeG8JeNAJvhFRcBSiBOkB8lBfq?BTpB,v115@7gB8HeB8EeE8DeF8CeG8JeO/IvhFxbBTdBXhBcpBNq?BCqB
TZLJOIS,X,O,O,X,X,X,X,X
TZLJOSI,O,O,O,O,X,X,X,O
TZLSIJO,O,O,X,O,X,X,O,O
TZLSIOJ,O,O,O,O,X,X,O,O
TZLSJIO,O,O,O,O,X,X,O,O
TZLSJOI,O,O,O,O,X,X,O,O
TZLSOIJ,O,O,O,O,X,X,O,O
TZLSOJI,O,O,O,O,X,X,O,O
TZLOIJS,X,O,X,X,X,X,X,X
TZLOISJ,X,O,X,O,X,X,O,X
TZLOJIS,X,O,O,X,X,X,X,X
TZLOJSI,O,O,O,O,X,X,X,O
TZLOSIJ,O,O,O,O,X,X,O,O
TZLOSJI,O,O,O,O,X,X,O,O
TZJILSO,X,O,O,X,X,X,O,X
TZJILOS,X,O,O,X,X,X,X,X
TZJISLO,O,X,O,X,X,X,O,O
TZJISOL,O,X,O,X,X,X,O,O
TZJIOLS,X,O,O,X,X,X,X,X
TZJIOSL,O,O,O,X,X,X,X,O
TZJLISO,X,O,O,X,X,X,O,X
TZJLIOS,X,O,O,X,X,X,X,X
TZJLSIO,O,O,O,O,X,X,O,O
TZJLSOI,O,O,O,O,X,X,O,O
TZJLOIS,X,O,O,X,X,X,X,X
TZJLOSI,O,O,O,O,X,X,X,O
TZJSILO,O,X,O,X,X,X,O,O
TZJSIOL,O,X,O,X,X,X,O,O
TZJSLIO,O,O,O,X,X,X,O,O
TZJSLOI,O,O,O,X,X,X,O,O
TZJSOIL,O,O,O,X,X,X,O,O
TZJSOLI,O,O,O,X,X,X,O,O
TZJOILS,X,O,O,X,X,X,X,X
TZJOISL,O,O,O,X,X,X,X,O
TZJOLIS,X,O,O,X,X,X,X,X
TZJOLSI,O,O,O,O,X,X,X,O
TZJOSIL,O,O,O,X,X,X,X,O
TZJOSLI,O,O,O,X,X,X,X,O
TZSILJO,O,O,X,X,X,X,O,O
TZSILOJ,O,O,O,X,X,X,O,O
TZSIJLO,O,O,O,X,X,X,O,O
TZSIJOL,O,O,O,X,X,X,O,O
TZSIOLJ,O,O,O,X,X,X,O,O
TZSIOJL,O,O,O,X,X,X,O,O
TZSLIJO,O,O,X,O,X,X,O,O
TZSLIOJ,O,O,O,O,X,X,O,O
TZSLJIO,O,O,O,O,X,X,O,O
TZSLJOI,O,O,O,O,X,X,O,O
TZSLOIJ,O,O,O,O,X,X,O,O
TZSLOJI,O,O,O,O,X,X,O,O
TZSJILO,O,O,O,X,X,X,O,O
TZSJIOL,O,O,O,X,X,X,O,O
TZSJLIO,O,O,O,X,X,X,O,O
TZSJLOI,O,O,O,X,X,X,O,O
TZSJOIL,O,O,O,X,X,X,O,O
TZSJOLI,O,O,O,X,X,X,O,O
TZSOILJ,O,O,O,X,X,X,O,O
TZSOIJL,O,O,O,X,X,X,O,O
TZSOLIJ,O,O,O,O,X,X,O,O
TZSOLJI,O,O,O,O,X,X,O,O
TZSOJIL,O,O,O,X,X,X,O,O
TZSOJLI,O,O,O,X,X,X,O,O
TZOILJS,X,O,X,X,X,X,X,X
TZOILSJ,X,O,X,O,X,X,O,X
TZOIJLS,X,O,O,X,X,X,X,X
TZOIJSL,O,O,O,X,X,X,X,O
TZOISLJ,O,O,O,X,X,X,O,O
TZOISJL,O,O,O,X,X,X,O,O
TZOLIJS,X,O,X,X,X,X,X,X
TZOLISJ,X,O,X,O,X,X,O,X
TZOLJIS,X,O,O,X,X,X,X,X
TZOLJSI,O,O,O,O,X,X,X,O
TZOLSIJ,O,O,O,O,X,X,O,O
TZOLSJI,O,O,O,O,X,X,O,O
TZOJILS,X,O,O,X,X,X,X,X
TZOJISL,O,O,O,X,X,X,X,O
TZOJLIS,X,O,O,X,X,X,X,X
TZOJLSI,O,O,O,O,X,X,X,O
TZOJSIL,O,O,O,X,X,X,X,O
TZOJSLI,O,O,O,X,X,X,X,O
TZOSILJ,O,O,O,X,X,X,O,O
TZOSIJL,O,O,O,X,X,X,O,O
TZOSLIJ,O,O,O,O,X,X,O,O
TZOSLJI,O,O,O,O,X,X,O,O
TZOSJIL,O,O,O,X,X,X,O,O
TZOSJLI,O,O,O,X,X,X,O,O
TOILJSZ,X,O,X,X,X,O,X,X
TOILJZS,X,O,X,X,X,O,X,X
TOILSJZ,X,O,X,O,X,O,X,X
TOILSZJ,X,O,X,O,X,O,X,X
TOILZJS,X,O,X,X,X,O,X,X
TOILZSJ,X,O,X,O,X,O,X,X
TOIJLSZ,X,O,O,X,X,O,X,X
TOIJLZS,X,O,O,X,X,O,X,X
TOIJSLZ,X,O,O,X,X,O,X,X
TOIJSZL,O,O,O,X,X,O,X,X
TOIJZLS,X,O,O,X,X,O,X,X
TOIJZSL,O,O,O,X,X,X,X,X
TOISLJZ,X,O,X,X,X,O,X,X
TOISLZJ,O,O,X,X,X,O,X,O
TOISJLZ,X,O,O,X,X,O,X,X
TOISJZL,O,O,O,X,X,O,X,O
TOISZLJ,O,O,O,X,X,O,X,O
TOISZJL,O,O,O,X,X,O,X,O
TOIZLJS,X,O,X,X,X,O,X,X
TOIZLSJ,X,O,X,O,X,O,X,X
TOIZJLS,X,O,O,X,X,O,X,X
TOIZJSL,O,O,O,X,X,X,X,O
TOIZSLJ,O,O,O,X,X,O,X,O
TOIZSJL,O,O,O,X,X,O,X,O
TOLIJSZ,X,O,X,X,X,O,X,X
TOLIJZS,X,O,X,X,X,O,X,X
TOLISJZ,X,O,X,O,X,O,X,X
TOLISZJ,X,O,X,O,X,O,X,X
TOLIZJS,X,O,X,X,X,O,X,X
TOLIZSJ,X,O,X,O,X,O,X,X
TOLJISZ,X,O,O,X,X,X,X,X
TOLJIZS,X,O,O,X,O,X,X,X
TOLJSIZ,X,O,O,O,O,X,X,X
TOLJSZI,X,O,O,O,O,X,X,X
TOLJZIS,X,O,O,X,O,X,X,X
TOLJZSI,X,O,O,O,O,X,X,X
TOLSIJZ,X,O,X,O,X,X,X,X
TOLSIZJ,X,O,X,O,X,X,X,O
TOLSJIZ,X,O,O,O,O,X,X,X
TOLSJZI,X,O,O,O,O,X,X,X
TOLSZIJ,X,O,O,O,O,X,X,O
TOLSZJI,X,O,O,O,O,X,X,O
TOLZIJS,X,O,X,X,X,X,X,X
TOLZISJ,X,O,X,O,X,X,X,X
TOLZJIS,X,O,O,X,X,X,X,X
TOLZJSI,X,O,O,O,X,X,X,O
TOLZSIJ,X,O,O,O,X,X,X,O
TOLZSJI,X,O,O,O,X,X,X,O
TOJILSZ,X,O,O,X,X,X,X,X
TOJILZS,X,O,O,X,O,X,X,X
TOJISLZ,X,O,O,X,O,X,X,X
TOJISZL,O,O,O,X,O,X,X,X
TOJIZLS,X,O,O,X,O,X,X,X
TOJIZSL,O,O,O,X,O,X,X,X
TOJLISZ,X,O,O,X,X,X,X,X
TOJLIZS,X,O,O,X,O,X,X,X
TOJLSIZ,X,O,O,O,O,X,X,X
TOJLSZI,X,O,O,O,O,X,X,X
TOJLZIS,X,O,O,X,O,X,X,X
TOJLZSI,X,O,O,O,O,X,X,X
TOJSILZ,X,O,O,X,O,X,X,X
TOJSIZL,O,O,O,X,O,X,X,O
TOJSLIZ,X,O,O,X,O,X,X,X
TOJSLZI,X,O,O,X,O,X,X,X
TOJSZIL,O,O,O,X,O,X,X,O
TOJSZLI,O,O,O,X,O,X,X,O
TOJZILS,X,O,O,X,O,X,X,X
TOJZISL,O,O,O,X,O,X,X,O
TOJZLIS,X,O,O,X,O,X,X,X
TOJZLSI,O,O,O,O,O,X,X,O
TOJZSIL,O,O,O,X,O,X,X,O
TOJZSLI,O,O,O,X,O,X,X,O
TOSILJZ,X,O,X,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X,O
TOSIJLZ,X,O,O,X,X,X,X,X
TOSIJZL,O,O,O,X,X,X,X,O
TOSIZLJ,O,O,O,X,X,X,X,O
TOSIZJL,O,O,O,X,X,X,X,O
TOSLIJZ,X,O,X,O,X,X,X,X
TOSLIZJ,O,O,X,O,X,X,X,O
TOSLJIZ,X,O,O,O,O,X,X,X
TOSLJZI,X,O,O,O,O,X,X,X
TOSLZIJ,O,O,O,O,O,X,X,O
TOSLZJI,O,O,O,O,O,X,X,O
TOSJILZ,X,O,O,X,O,X,X,X
TOSJIZL,O,O,O,X,O,X,X,O
TOSJLIZ,X,O,O,X,O,X,X,X
TOSJLZI,X,O,O,X,O,X,X,X
TOSJZIL,O,O,O,X,O,X,X,O
TOSJZLI,O,O,O,X,O,X,X,O
TOSZILJ,O,O,O,X,O,X,X,O
TOSZIJL,O,O,O,X,O,X,X,O
TOSZLIJ,O,O,O,O,O,X,X,O
TOSZLJI,O,O,O,O,O,X,X,O
TOSZJIL,O,O,O,X,O,X,X,O
TOSZJLI,O,O,O,X,O,X,X,O
TOZILJS,X,O,X,X,X,X,X,X
TOZILSJ,X,O,X,O,X,X,X,X
TOZIJLS,X,O,O,X,X,X,X,X
TOZIJSL,O,O,O,X,X,X,X,O
TOZISLJ,O,O,O,X,X,X,X,O
TOZISJL,O,O,O,X,X,X,X,O
TOZLIJS,X,O,X,X,X,X,X,X
TOZLISJ,X,O,X,O,X,X,X,X
TOZLJIS,X,O,O,X,X,X,X,X
TOZLJSI,O,O,O,O,X,X,X,O
TOZLSIJ,O,O,O,O,X,X,X,O
TOZLSJI,O,O,O,O,X,X,X,O
TOZJILS,X,O,O,X,X,X,X,X
TOZJISL,O,O,O,X,X,X,X,O
TOZJLIS,X,O,O,X,X,X,X,X
TOZJLSI,O,O,O,O,X,X,X,O
TOZJSIL,O,O,O,X,X,X,X,O
TOZJSLI,O,O,O,X,X,X,X,O
TOZSILJ,O,O,O,X,X,X,X,O
TOZSIJL,O,O,O,X,X,X,X,O
TOZSLIJ,O,O,O,O,X,X,X,O
TOZSLJI,O,O,O,O,X,X,X,O
TOZSJIL,O,O,O,X,X,X,X,O
TOZSJLI,O,O,O,X,X,X,X,O
ITLJSZO,X,O,X,X,X,O,X,X
ITLJSOZ,X,O,X,X,X,O,X,X
ITLJZSO,X,O,X,X,X,X,X,X
ITLJZOS,X,O,X,X,X,O,X,X
ITLJOSZ,X,O,X,X,X,O,X,X
ITLJOZS,X,O,X,X,X,O,X,X
ITLSJZO,X,O,X,O,X,O,X,X
ITLSJOZ,X,O,X,O,X,O,X,X
ITLSZJO,X,O,X,O,X,O,X,X
ITLSZOJ,X,O,X,O,X,O,X,X
ITLSOJZ,X,O,X,O,X,O,X,X
ITLSOZJ,X,O,X,O,X,O,X,X
ITLZJSO,X,O,X,X,X,X,X,X
ITLZJOS,X,O,X,X,X,O,X,X
ITLZSJO,X,O,X,O,X,O,X,X
ITLZSOJ,X,O,X,O,X,O,X,X
ITLZOJS,X,O,X,X,X,O,X,X
ITLZOSJ,X,O,X,O,X,O,X,X
ITLOJSZ,X,O,X,X,X,O,X,X
ITLOJZS,X,O,X,X,X,O,X,X
ITLOSJZ,X,O,X,O,X,O,X,X
ITLOSZJ,X,O,X,O,X,O,X,X
ITLOZJS,X,O,X,X,X,O,X,X
ITLOZSJ,X,O,X,O,X,O,X,X
ITJLSZO,X,X,O,X,X,O,X,X
ITJLSOZ,X,X,O,X,X,O,X,X
ITJLZSO,X,X,O,X,X,X,X,X
ITJLZOS,X,X,O,X,X,O,X,X
ITJLOSZ,X,X,O,X,X,O,X,X
ITJLOZS,X,X,O,X,X,O,X,X
ITJSLZO,X,X,O,X,X,O,X,X
ITJSLOZ,X,X,O,X,X,O,X,X
ITJSZLO,O,X,O,X,X,O,X,X
ITJSZOL,O,X,O,X,X,O,X,X
ITJSOLZ,X,X,O,X,X,O,X,X
ITJSOZL,O,X,O,X,X,O,X,X
ITJZLSO,X,X,O,X,X,X,X,X
ITJZLOS,X,X,O,X,X,O,X,X
ITJZSLO,O,X,O,X,X,X,X,X
ITJZSOL,O,X,O,X,X,X,X,X
ITJZOLS,X,X,O,X,X,O,X,X
ITJZOSL,O,X,O,X,X,X,X,X
ITJOLSZ,X,X,O,X,X,O,X,X
ITJOLZS,X,X,O,X,X,O,X,X
ITJOSLZ,X,X,O,X,X,O,X,X
ITJOSZL,O,X,O,X,X,O,X,X
ITJOZLS,X,X,O,X,X,O,X,X
ITJOZSL,O,X,O,X,X,X,X,X
ITSLJZO,X,O,X,X,X,O,X,X
ITSLJOZ,X,O,X,X,X,O,X,X
ITSLZJO,O,O,X,X,X,O,X,O
ITSLZOJ,O,O,X,X,X,O,X,O
ITSLOJZ,X,O,X,X,X,O,X,X
ITSLOZJ,O,O,X,X,X,O,X,O
ITSJLZO,X,X,O,X,X,O,X,X
ITSJLOZ,X,X,O,X,X,O,X,X
ITSJZLO,O,X,O,X,X,O,X,O
ITSJZOL,O,X,O,X,X,O,X,O
ITSJOLZ,X,X,O,X,X,O,X,X
ITSJOZL,O,X,O,X,X,O,X,O
ITSZLJO,O,O,X,X,X,O,X,O
ITSZLOJ,O,O,O,X,X,O,X,O
ITSZJLO,O,O,O,X,X,O,X,O
ITSZJOL,O,O,O,X,X,O,X,O
ITSZOLJ,O,O,O,X,X,O,X,O
ITSZOJL,O,O,O,X,X,O,X,O
ITSOLJZ,X,O,X,X,X,O,X,X
ITSOLZJ,O,O,X,X,X,O,X,O
ITSOJLZ,X,O,O,X,X,O,X,X
ITSOJZL,O,O,O,X,X,O,X,O
ITSOZLJ,O,O,O,X,X,O,X,O
ITSOZJL,O,O,O,X,X,O,X,O
ITZLJSO,X,O,X,X,X,X,X,X
ITZLJOS,X,O,X,X,X,O,X,X
ITZLSJO,X,O,X,O,X,O,X,X
ITZLSOJ,X,X,X,O,X,O,X,X
ITZLOJS,X,O,X,X,X,O,X,X
ITZLOSJ,X,O,X,O,X,O,X,X
ITZJLSO,X,O,O,X,X,X,X,X
ITZJLOS,X,O,O,X,X,O,X,X
ITZJSLO,O,X,O,X,X,X,X,O
ITZJSOL,O,X,O,X,X,X,X,O
ITZJOLS,X,O,O,X,X,O,X,X
ITZJOSL,O,O,O,X,X,X,X,O
ITZSLJO,O,X,X,X,X,O,X,O
ITZSLOJ,O,X,O,X,X,O,X,O
ITZSJLO,O,X,O,X,X,O,X,O
ITZSJOL,O,X,O,X,X,O,X,O
ITZSOLJ,O,X,O,X,X,O,X,O
ITZSOJL,O,X,O,X,X,O,X,O
ITZOLJS,X,O,X,X,X,O,X,X
ITZOLSJ,X,O,X,O,X,O,X,X
ITZOJLS,X,O,O,X,X,O,X,X
ITZOJSL,O,O,O,X,X,X,X,O
ITZOSLJ,O,O,O,X,X,O,X,O
ITZOSJL,O,O,O,X,X,O,X,O
ITOLJSZ,X,O,X,X,X,O,X,X
ITOLJZS,X,O,X,X,X,O,X,X
ITOLSJZ,X,O,X,O,X,O,X,X
ITOLSZJ,X,O,X,O,X,O,X,X
ITOLZJS,X,O,X,X,X,O,X,X
ITOLZSJ,X,O,X,O,X,O,X,X
ITOJLSZ,X,O,O,X,X,O,X,X
ITOJLZS,X,O,O,X,X,O,X,X
ITOJSLZ,X,O,O,X,X,O,X,X
ITOJSZL,O,O,O,X,X,O,X,X
ITOJZLS,X,O,O,X,X,O,X,X
ITOJZSL,O,O,O,X,X,X,X,X
ITOSLJZ,X,O,X,X,X,O,X,X
ITOSLZJ,O,O,X,X,X,O,X,O
ITOSJLZ,X,O,O,X,X,O,X,X
ITOSJZL,O,O,O,X,X,O,X,O
ITOSZLJ,O,O,O,X,X,O,X,O
ITOSZJL,O,O,O,X,X,O,X,O
ITOZLJS,X,O,X,X,X,O,X,X
ITOZLSJ,X,O,X,O,X,O,X,X
ITOZJLS,X,O,O,X,X,O,X,X
ITOZJSL,O,O,O,X,X,X,X,O
ITOZSLJ,O,O,O,X,X,O,X,O
ITOZSJL,O,O,O,X,X,O,X,O
ILTJSZO,X,O,X,X,X,O,X,X
ILTJSOZ,X,O,X,X,X,O,X,X
ILTJZSO,X,O,X,X,X,X,X,X
ILTJZOS,X,O,X,X,X,O,X,X
ILTJOSZ,X,O,X,X,X,O,X,X
ILTJOZS,X,O,X,X,X,O,X,X
ILTSJZO,X,O,X,O,X,O,X,X
ILTSJOZ,X,O,X,O,X,O,X,X
ILTSZJO,X,O,X,O,X,O,O,X
ILTSZOJ,X,O,X,O,X,O,O,X
ILTSOJZ,X,O,X,O,X,O,X,X
ILTSOZJ,X,O,X,O,X,O,X,X
ILTZJSO,X,O,X,X,X,X,O,X
ILTZJOS,X,O,X,X,X,O,X,X
ILTZSJO,X,O,X,O,X,O,O,X
ILTZSOJ,X,O,X,O,X,O,O,X
ILTZOJS,X,O,X,X,X,O,X,X
ILTZOSJ,X,O,X,O,X,O,O,X
ILTOJSZ,X,O,X,X,X,O,X,X
ILTOJZS,X,O,X,X,X,O,X,X
ILTOSJZ,X,O,X,O,X,O,X,X
ILTOSZJ,X,O,X,O,X,O,X,X
ILTOZJS,X,O,X,X,X,O,X,X
ILTOZSJ,X,O,X,O,X,O,X,X
ILJTSZO,X,O,O,X,X,O,X,X
ILJTSOZ,X,O,O,X,X,O,X,X
ILJTZSO,X,O,O,X,O,X,X,X
ILJTZOS,X,O,O,X,O,O,X,X
ILJTOSZ,X,O,O,X,X,O,X,X
ILJTOZS,X,O,O,X,O,O,X,X
ILJSTZO,X,O,X,O,O,O,X,X
ILJSTOZ,X,O,X,O,O,O,X,X
ILJSZTO,O,X,X,X,O,X,O,X
ILJSZOT,O,X,X,X,O,X,X,X
ILJSOTZ,X,O,X,O,O,O,X,X
ILJSOZT,O,X,X,X,O,X,X,X
ILJZTSO,X,X,O,X,O,X,O,X
ILJZTOS,X,X,O,X,O,X,X,X
ILJZSTO,O,X,X,X,X,X,O,X
ILJZSOT,O,X,X,X,X,X,X,X
ILJZOTS,X,X,O,X,O,X,X,X
ILJZOST,O,X,X,X,X,X,X,X
ILJOTSZ,X,O,O,X,X,O,X,X
ILJOTZS,X,O,O,X,O,O,X,X
ILJOSTZ,X,O,X,O,O,O,X,X
ILJOSZT,O,X,X,X,O,X,X,X
ILJOZTS,X,X,O,X,O,X,X,X
ILJOZST,O,X,X,X,X,X,X,X
ILSTJZO,X,O,X,O,X,O,O,X
ILSTJOZ,X,O,X,O,X,O,X,X
ILSTZJO,O,O,X,O,X,O,O,X
ILSTZOJ,O,O,X,O,X,O,O,X
ILSTOJZ,X,O,X,O,X,O,X,X
ILSTOZJ,O,O,X,O,X,O,X,X
ILSJTZO,X,O,X,O,O,O,O,X
ILSJTOZ,X,O,X,O,O,O,X,X
ILSJZTO,O,X,X,X,O,X,O,X
ILSJZOT,O,X,X,X,O,X,X,X
ILSJOTZ,X,O,X,O,O,O,X,X
ILSJOZT,O,X,X,X,O,X,X,X
ILSZTJO,O,O,X,O,O,O,O,X
ILSZTOJ,O,O,X,O,O,O,O,X
ILSZJTO,O,X,X,X,X,X,O,X
ILSZJOT,O,X,X,X,X,X,X,X
ILSZOTJ,O,O,X,O,O,O,O,X
ILSZOJT,O,X,X,X,X,X,X,X
ILSOTJZ,X,O,X,O,X,O,X,X
ILSOTZJ,O,O,X,O,X,O,X,X
ILSOJTZ,X,O,X,O,O,O,X,X
ILSOJZT,O,X,X,X,O,X,X,X
ILSOZTJ,O,O,X,O,O,O,O,X
ILSOZJT,O,X,X,X,X,X,X,X
ILZTJSO,X,O,X,X,X,X,O,X
ILZTJOS,X,O,X,X,X,O,X,X
ILZTSJO,X,O,X,O,X,O,O,X
ILZTSOJ,X,O,X,O,X,O,O,X
ILZTOJS,X,O,X,X,X,O,X,X
ILZTOSJ,X,O,X,O,X,O,O,X
ILZJTSO,X,X,O,X,X,X,O,X
ILZJTOS,X,X,O,X,X,X,X,X
ILZJSTO,O,X,X,X,X,X,O,X
ILZJSOT,O,X,X,X,X,X,X,X
ILZJOTS,X,X,O,X,X,X,X,X
ILZJOST,O,X,X,X,X,X,X,X
ILZSTJO,O,O,X,O,X,O,O,X
ILZSTOJ,O,O,X,O,X,O,O,X
ILZSJTO,O,X,X,X,X,X,O,X
ILZSJOT,O,X,X,X,X,X,X,X
ILZSOTJ,O,O,X,O,X,O,O,X
ILZSOJT,O,X,X,X,X,X,X,X
ILZOTJS,X,O,X,X,X,O,X,X
ILZOTSJ,X,O,X,O,X,O,O,X
ILZOJTS,X,X,O,X,X,X,X,X
ILZOJST,O,X,X,X,X,X,X,X
ILZOSTJ,O,O,X,O,X,O,O,X
ILZOSJT,O,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,X,X,O,X,X
ILOTJZS,X,O,X,X,X,O,X,X
ILOTSJZ,X,O,X,O,X,O,X,X
ILOTSZJ,X,O,X,O,X,O,X,X
ILOTZJS,X,O,X,X,X,O,X,X
ILOTZSJ,X,O,X,O,X,O,X,X
ILOJTSZ,X,O,O,X,X,O,X,X
ILOJTZS,X,O,O,X,O,O,X,X
ILOJSTZ,X,O,X,O,O,O,X,X
ILOJSZT,O,X,X,X,O,X,X,X
ILOJZTS,X,X,O,X,O,X,X,X
ILOJZST,O,X,X,X,X,X,X,X
ILOSTJZ,X,O,X,O,X,O,X,X
ILOSTZJ,O,O,X,O,X,O,X,X
ILOSJTZ,X,O,X,O,O,O,X,X
ILOSJZT,O,X,X,X,O,X,X,X
ILOSZTJ,O,O,X,O,O,O,O,X
ILOSZJT,O,X,X,X,X,X,X,X
ILOZTJS,X,O,X,X,X,O,X,X
ILOZTSJ,X,O,X,O,X,O,O,X
ILOZJTS,X,X,O,X,X,X,X,X
ILOZJST,O,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,O,X,O,O,X
ILOZSJT,O,X,X,X,X,X,X,X
IJTLSZO,X,X,O,X,X,O,X,X
IJTLSOZ,X,X,O,X,X,O,X,X
IJTLZSO,X,X,O,X,O,X,X,X
IJTLZOS,X,X,O,X,O,O,X,X
IJTLOSZ,X,X,O,X,X,O,X,X
IJTLOZS,X,X,O,X,O,O,X,X
IJTSLZO,X,X,O,X,O,O,X,X
IJTSLOZ,X,X,O,X,O,O,X,X
IJTSZLO,O,X,O,X,O,O,X,X
IJTSZOL,O,X,O,X,O,O,X,X
IJTSOLZ,X,X,O,X,O,O,X,X
IJTSOZL,O,X,O,X,O,O,X,X
IJTZLSO,X,X,O,X,O,X,X,X
IJTZLOS,X,X,O,X,O,O,X,X
IJTZSLO,O,X,O,X,O,X,X,X
IJTZSOL,O,X,O,X,O,X,X,X
IJTZOLS,X,X,O,X,O,O,X,X
IJTZOSL,O,X,O,X,O,X,X,X
IJTOLSZ,X,X,O,X,X,O,X,X
IJTOLZS,X,X,O,X,O,O,X,X
IJTOSLZ,X,X,O,X,O,O,X,X
IJTOSZL,O,X,O,X,O,O,X,X
IJTOZLS,X,X,O,X,O,O,X,X
IJTOZSL,O,X,O,X,O,X,X,X
IJLTSZO,X,X,O,X,X,O,X,X
IJLTSOZ,X,X,O,X,X,O,X,X
IJLTZSO,X,X,O,X,O,X,X,X
IJLTZOS,X,X,O,X,O,O,X,X
IJLTOSZ,X,X,O,X,X,O,X,X
IJLTOZS,X,X,O,X,O,O,X,X
IJLSTZO,X,X,X,X,O,O,X,X
IJLSTOZ,X,X,X,X,O,O,X,X
IJLSZTO,O,X,X,X,O,X,X,X
IJLSZOT,O,X,X,X,O,X,X,X
IJLSOTZ,X,X,X,X,O,O,X,X
IJLSOZT,O,X,X,X,O,X,X,X
IJLZTSO,X,X,O,X,O,X,X,X
IJLZTOS,X,X,O,X,O,X,X,X
IJLZSTO,O,X,X,X,X,X,X,X
IJLZSOT,O,X,X,X,X,X,X,X
IJLZOTS,X,X,O,X,O,X,X,X
IJLZOST,O,X,X,X,X,X,X,X
IJLOTSZ,X,X,O,X,X,O,X,X
IJLOTZS,X,X,O,X,O,O,X,X
IJLOSTZ,X,X,X,X,O,O,X,X
IJLOSZT,O,X,X,X,O,X,X,X
IJLOZTS,X,X,O,X,O,X,X,X
IJLOZST,O,X,X,X,X,X,X,X
IJSTLZO,X,X,X,X,O,O,X,X
IJSTLOZ,X,X,X,X,O,O,X,X
IJSTZLO,O,X,X,X,O,O,X,X
IJSTZOL,O,X,X,X,O,O,X,X
IJSTOLZ,X,X,X,X,O,O,X,X
IJSTOZL,O,X,X,X,O,O,X,X
IJSLTZO,X,X,X,X,O,O,X,X
IJSLTOZ,X,X,X,X,O,O,X,X
IJSLZTO,O,X,X,X,O,X,X,X
IJSLZOT,O,X,X,X,O,X,X,X
IJSLOTZ,X,X,X,X,O,O,X,X
IJSLOZT,O,X,X,X,O,X,X,X
IJSZTLO,O,X,X,X,O,X,X,X
IJSZTOL,O,X,X,X,O,X,X,X
IJSZLTO,O,X,X,X,O,X,X,X
IJSZLOT,O,X,X,X,O,X,X,X
IJSZOTL,O,X,X,X,O,X,X,X
IJSZOLT,O,X,X,X,O,X,X,X
IJSOTLZ,X,X,X,X,O,O,X,X
IJSOTZL,O,X,X,X,O,O,X,X
IJSOLTZ,X,X,X,X,O,O,X,X
IJSOLZT,O,X,X,X,O,X,X,X
IJSOZTL,O,X,X,X,O,X,X,X
IJSOZLT,O,X,X,X,O,X,X,X
IJZTLSO,X,X,O,X,O,X,X,X
IJZTLOS,X,X,O,X,O,X,X,X
IJZTSLO,O,X,O,X,O,X,X,X
IJZTSOL,O,X,O,X,O,X,X,X
IJZTOLS,X,X,O,X,O,X,X,X
IJZTOSL,O,X,O,X,O,X,X,X
IJZLTSO,X,X,O,X,O,X,X,X
IJZLTOS,X,X,O,X,O,X,X,X
IJZLSTO,O,X,X,X,X,X,X,X
IJZLSOT,O,X,X,X,X,X,X,X
IJZLOTS,X,X,O,X,O,X,X,X
IJZLOST,O,X,X,X,X,X,X,X
IJZSTLO,O,X,X,X,X,X,X,X
IJZSTOL,O,X,X,X,X,X,X,X
IJZSLTO,O,X,X,X,X,X,X,X
IJZSLOT,O,X,X,X,X,X,X,X
IJZSOTL,O,X,X,X,X,X,X,X
IJZSOLT,O,X,X,X,X,X,X,X
IJZOTLS,X,X,O,X,O,X,X,X
IJZOTSL,O,X,O,X,O,X,X,X
IJZOLTS,X,X,O,X,O,X,X,X
IJZOLST,O,X,X,X,X,X,X,X
IJZOSTL,O,X,X,X,X,X,X,X
IJZOSLT,O,X,X,X,X,X,X,X
IJOTLSZ,X,X,O,X,X,O,X,X
IJOTLZS,X,X,O,X,O,O,X,X
IJOTSLZ,X,X,O,X,O,O,X,X
IJOTSZL,O,X,O,X,O,O,X,X
IJOTZLS,X,X,O,X,O,O,X,X
IJOTZSL,O,X,O,X,O,X,X,X
IJOLTSZ,X,X,O,X,X,O,X,X
IJOLTZS,X,X,O,X,O,O,X,X
IJOLSTZ,X,X,X,X,O,O,X,X
IJOLSZT,O,X,X,X,O,X,X,X
IJOLZTS,X,X,O,X,O,X,X,X
IJOLZST,O,X,X,X,X,X,X,X
IJOSTLZ,X,X,X,X,O,O,X,X
IJOSTZL,O,X,X,X,O,O,X,X
IJOSLTZ,X,X,X,X,O,O,X,X
IJOSLZT,O,X,X,X,O,X,X,X
IJOSZTL,O,X,X,X,O,X,X,X
IJOSZLT,O,X,X,X,O,X,X,X
IJOZTLS,X,X,O,X,O,X,X,X
