sequence,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFmcBqiBTeBFhBUn?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFlcBGeBUhBKnBzi?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFXcBTeBCiB0iBer?BVxB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFTeB2nB0mB6nBFm?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFGdBTeB3hBlnBir?B8qB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhFSiBTeBUhBlnBmm?BXrB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhF6hBldBcjB/nB2r?BzqB,v115@9gC8GeD8EeE8DeE8BeE8Jex6IvhF8hBGeBamBziBVs?BXrB
TILJSZO,X,O,O,X,O,X,X,X
TILJSOZ,O,O,O,X,O,X,X,X
TILJZSO,O,O,O,X,X,X,X,X
TILJZOS,O,O,O,X,X,O,X,O
TILJOSZ,O,O,O,X,O,X,X,O
TILJOZS,O,O,O,X,X,O,X,O
TILSJZO,X,O,X,X,O,O,X,X
TILSJOZ,O,O,X,X,O,O,X,X
TILSZJO,X,O,X,X,O,O,X,X
TILSZOJ,X,O,X,X,O,O,X,O
TILSOJZ,O,O,X,X,O,O,X,O
TILSOZJ,X,O,X,X,O,O,X,O
TILZJSO,O,O,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,O,X,O
TILZSJO,O,O,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,O,X,O
TILZOJS,O,O,X,X,X,O,X,O
TILZOSJ,O,O,X,X,X,O,X,O
TILOJSZ,O,O,O,X,O,X,X,O
TILOJZS,O,O,O,X,X,O,X,O
TILOSJZ,O,O,X,X,O,O,X,O
TILOSZJ,X,O,X,X,O,O,X,O
TILOZJS,O,O,X,X,X,O,X,O
TILOZSJ,O,O,X,X,X,O,X,O
TIJLSZO,X,O,O,X,O,X,O,X
TIJLSOZ,O,O,O,X,O,X,X,X
TIJLZSO,O,O,O,X,X,X,O,X
TIJLZOS,O,O,O,X,X,O,X,X
TIJLOSZ,O,O,O,X,O,X,X,O
TIJLOZS,O,O,O,X,X,O,X,O
TIJSLZO,X,X,O,X,O,O,O,X
TIJSLOZ,O,X,O,X,O,O,X,X
TIJSZLO,O,X,O,X,X,O,O,X
TIJSZOL,X,X,O,X,X,O,O,X
TIJSOLZ,X,X,O,X,O,O,X,X
TIJSOZL,X,X,O,X,X,O,X,X
TIJZLSO,O,O,O,O,X,X,O,X
TIJZLOS,O,O,O,O,X,O,X,X
TIJZSLO,O,O,O,O,X,X,O,X
TIJZSOL,X,X,O,O,X,X,O,X
TIJZOLS,O,O,O,O,X,O,X,X
TIJZOSL,X,X,O,O,X,X,X,X
TIJOLSZ,O,O,O,X,O,X,X,O
TIJOLZS,O,O,O,X,X,O,X,O
TIJOSLZ,X,X,O,X,O,O,X,X
TIJOSZL,X,X,O,X,X,O,X,X
TIJOZLS,O,O,O,O,X,O,X,X
TIJOZSL,X,X,O,O,X,X,X,X
TISLJZO,X,X,X,X,O,O,X,X
TISLJOZ,O,X,X,X,O,O,X,X
TISLZJO,X,X,X,X,O,O,X,X
TISLZOJ,X,X,X,X,O,O,X,X
TISLOJZ,O,X,X,X,O,O,X,X
TISLOZJ,X,X,X,X,O,O,X,X
TISJLZO,X,X,O,X,O,O,O,X
TISJLOZ,O,X,O,X,O,O,X,X
TISJZLO,O,X,O,X,X,O,O,X
TISJZOL,X,X,O,X,X,O,O,X
TISJOLZ,X,X,O,X,O,O,X,X
TISJOZL,X,X,O,X,X,O,X,X
TISZLJO,O,X,X,X,X,O,O,X
TISZLOJ,O,X,X,X,X,O,X,X
TISZJLO,O,X,X,X,X,O,O,X
TISZJOL,X,X,X,X,X,O,O,X
TISZOLJ,O,X,X,X,X,O,X,X
TISZOJL,X,X,X,X,X,O,O,X
TISOLJZ,O,X,X,X,O,O,X,X
TISOLZJ,X,X,X,X,O,O,X,X
TISOJLZ,X,X,O,X,O,O,X,X
TISOJZL,X,X,O,X,X,O,X,X
TISOZLJ,O,X,X,X,X,O,X,X
TISOZJL,X,X,X,X,X,O,X,X
TIZLJSO,O,O,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,O,X,O
TIZLSJO,O,O,X,X,X,X,O,X
TIZLSOJ,O,O,X,X,X,O,X,O
TIZLOJS,O,O,X,X,X,O,X,O
TIZLOSJ,O,O,X,X,X,O,X,O
TIZJLSO,O,O,O,O,X,X,O,X
TIZJLOS,O,O,O,O,X,O,X,X
TIZJSLO,O,O,O,O,X,X,O,X
TIZJSOL,X,X,O,O,X,X,O,X
TIZJOLS,O,O,O,O,X,O,X,X
TIZJOSL,X,X,O,O,X,X,X,X
TIZSLJO,O,O,X,X,X,O,O,X
TIZSLOJ,O,O,X,X,X,O,X,X
TIZSJLO,O,O,X,X,X,O,O,X
TIZSJOL,X,X,X,X,X,O,O,X
TIZSOLJ,O,X,X,X,X,O,X,X
TIZSOJL,X,X,X,X,X,O,O,X
TIZOLJS,O,O,X,X,X,O,X,O
TIZOLSJ,O,O,X,X,X,O,X,O
TIZOJLS,O,O,O,X,X,O,X,O
TIZOJSL,X,X,O,X,X,X,X,X
