sequence,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhF0cBTfBOlB/mBtq?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhFxbBzfBUhB9qB3m?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhF8fBqgBthB/qBZm?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFXcBTfBNlBumB8q?BywB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFygBthBTfB/qBmr?BUrB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhFXbBZhBthBSlB0q?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jei6IvhFzbB3fBxlB0qBmr?BtrB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFRbBthBUgBerB3l?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFXcBTfBNlB8qB+r?BasB,v115@5gD8GeC8FeF8EeF8DeC8Je06IvhFthB2kB3lBZmBzr?B6qB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFfgB8gBthB2rBTl?BRwB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhF0bBthBykB3lB2r?BRwB,v115@5gD8GeC8FeF8EeF8DeC8JeO/IvhFthBflB0gBZmB6q?BzrB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhF0cB/mBxkBOlBtq?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhFthBmgBxkB/qBUm?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhFxbBykB3hB9qBmr?BUrB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFRbBthB3gBerBUl?BzrB,v115@5gD8GeC8FeF8EeF8DeC8Jei6IvhFzbBxkBerBfsBUl?BtrB,v115@5gD8GeC8FeF8EeF8DeC8JeT6IvhFmbBxkByqBfsBtr?B0qB,v115@5gD8GeC8FeF8EeF8DeC8Jex6IvhFygBTfBmlBfsB0q?BtrB,v115@5gD8GeC8FeF8EeF8DeC8Jem7IvhFthBxfBTfB/qBUm?BywB,v115@5gD8GeC8FeF8EeF8DeC8JeK/IvhFzaBRhB3gB0qBmr?B9rB
TILJSZO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
TILJZSO,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TILJOZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
TILSJZO,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,O,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
TILSZJO,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TILSZOJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
TILSOZJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TILZSJO,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TILZOSJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
TILOJZS,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O
TILOSJZ,X,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TILOZJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TILOZSJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
TIJLZSO,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
TIJSLZO,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIJSZLO,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIJSZOL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJSOZL,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJZLSO,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,O,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJZOSL,X,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIJOZLS,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJOZSL,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,O,X,O,X
TISLJOZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X,O,X
TISLZJO,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X
TISLZOJ,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
TISLOJZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X,O,X
TISLOZJ,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
TISJLZO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X
TISJZLO,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TISJZOL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TISJOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TISJOZL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TISZLJO,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TISZJLO,O,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TISZOLJ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X
TISOLZJ,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
TISOJLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TISOJZL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TISOZLJ,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
TIZLSJO,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIZJSLO,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,O,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZJOSL,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZSLJO,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJSL,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X
TIOLJZS,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TIOJSZL,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOJZLS,X,O,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,O,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TIOSLZJ,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOSJLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSJZL,O,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLJS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X
TLIJZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TLIJOZS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
TLISJZO,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X
TLISJOZ,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,O,X
TLISZJO,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X
TLISZOJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
