sequence,v115@ChB8CeA8EeF8CeH8BeE8Je//IvhFRbBGdBTeBigBFm?B0qB,v115@ChB8CeA8EeF8CeH8BeE8JeT6IvhFmbBRdBSjBXgBFm?B0qB,v115@ChB8CeA8EeF8CeH8BeE8JeT6IvhFmbBRdBSjBFlBXm?B0qB,v115@ChB8CeA8EeF8CeH8BeE8Je//IvhFUbBGdBTeBxlBlq?BarB
ILTJZOS,X,O,X,X
ILTJOSZ,X,O,O,X
ILTJOZS,X,O,X,X
ILTSJZO,X,O,O,X
ILTSJOZ,X,O,O,X
ILTSZJO,X,O,O,X
ILTSZOJ,X,O,O,X
ILTSOJZ,X,O,O,X
ILTSOZJ,X,O,O,X
ILTZJSO,X,O,X,X
ILTZJOS,X,O,X,X
ILTZSJO,X,O,O,X
ILTZSOJ,X,O,O,X
ILTZOJS,X,O,X,X
ILTZOSJ,X,O,O,X
ILTOJSZ,X,O,O,X
ILTOJZS,X,O,X,X
ILTOSJZ,X,O,O,X
ILTOSZJ,X,O,O,X
ILTOZJS,X,O,X,X
ILTOZSJ,X,O,O,X
ILJTSZO,X,O,O,X
ILJTSOZ,X,O,O,X
ILJTZSO,X,O,X,X
ILJTZOS,X,O,X,X
ILJTOSZ,X,O,O,X
ILJTOZS,X,O,X,X
ILJSTZO,X,X,O,O
ILJSTOZ,X,O,O,O
ILJSZTO,X,X,O,X
ILJSZOT,X,O,O,X
ILJSOTZ,X,O,O,O
ILJSOZT,X,O,O,X
ILJZTSO,X,O,X,X
ILJZTOS,X,O,X,X
ILJZSTO,X,O,X,X
ILJZSOT,X,O,X,X
ILJZOTS,X,O,X,X
ILJZOST,X,O,X,X
ILJOTSZ,X,O,O,X
ILJOTZS,X,O,X,X
ILJOSTZ,X,O,O,O
ILJOSZT,X,O,O,X
ILJOZTS,X,O,X,X
ILJOZST,X,O,X,X
ILSTJZO,X,O,O,O
ILSTJOZ,X,O,O,O
ILSTZJO,X,O,O,O
ILSTZOJ,X,O,O,O
ILSTOJZ,X,O,O,O
ILSTOZJ,X,O,O,O
ILSJTZO,X,X,O,O
ILSJTOZ,X,O,O,O
ILSJZTO,X,X,O,X
ILSJZOT,X,O,O,X
ILSJOTZ,X,O,O,O
ILSJOZT,X,O,O,X
ILSZTJO,X,O,O,X
ILSZTOJ,X,O,O,X
ILSZJTO,X,O,O,X
ILSZJOT,X,O,O,X
ILSZOTJ,X,O,O,X
ILSZOJT,X,O,O,X
ILSOTJZ,X,O,O,O
ILSOTZJ,X,X,O,O
ILSOJTZ,X,O,O,O
ILSOJZT,X,O,O,X
ILSOZTJ,X,O,O,X
ILSOZJT,X,O,O,X
ILZTJSO,X,O,X,X
ILZTJOS,X,O,X,X
ILZTSJO,X,O,O,X
ILZTSOJ,X,O,O,X
ILZTOJS,X,O,X,X
ILZTOSJ,X,O,O,X
ILZJTSO,X,O,X,X
ILZJTOS,X,O,X,X
ILZJSTO,X,O,X,X
ILZJSOT,X,O,X,X
ILZJOTS,X,O,X,X
ILZJOST,X,O,X,X
ILZSTJO,X,O,O,X
ILZSTOJ,X,O,O,X
ILZSJTO,X,O,O,X
ILZSJOT,X,O,O,X
ILZSOTJ,X,O,O,X
ILZSOJT,X,O,O,X
ILZOTJS,X,O,X,X
ILZOTSJ,X,O,O,X
ILZOJTS,X,O,X,X
ILZOJST,X,O,X,X
ILZOSTJ,X,O,O,X
ILZOSJT,X,O,O,X
ILOTJSZ,X,O,O,X
ILOTJZS,X,O,X,X
ILOTSJZ,X,O,O,X
ILOTSZJ,X,O,O,X
ILOTZJS,X,O,X,X
ILOTZSJ,X,O,O,X
ILOJTSZ,X,O,O,X
ILOJTZS,X,O,X,X
ILOJSTZ,X,O,O,O
ILOJSZT,X,O,O,X
ILOJZTS,X,O,X,X
ILOJZST,X,O,X,X
ILOSTJZ,X,O,O,O
ILOSTZJ,X,X,O,O
ILOSJTZ,X,O,O,O
ILOSJZT,X,O,O,X
ILOSZTJ,X,O,O,X
ILOSZJT,X,O,O,X
ILOZTJS,X,O,X,X
ILOZTSJ,X,O,O,X
ILOZJTS,X,O,X,X
ILOZJST,X,O,X,X
ILOZSTJ,X,O,O,X
ILOZSJT,X,O,O,X
IJTLSZO,O,O,O,O
IJTLSOZ,O,O,O,O
IJTLZSO,X,O,X,X
IJTLZOS,X,O,X,X
IJTLOSZ,O,O,O,O
IJTLOZS,X,O,X,X
IJTSLZO,O,O,O,O
IJTSLOZ,O,O,O,O
IJTSZLO,X,O,O,O
IJTSZOL,O,O,O,O
IJTSOLZ,O,O,O,O
IJTSOZL,O,O,O,O
IJTZLSO,X,O,X,X
IJTZLOS,X,O,X,X
IJTZSLO,X,O,X,O
IJTZSOL,X,O,X,O
IJTZOLS,X,O,X,X
IJTZOSL,X,X,X,O
IJTOLSZ,O,O,O,O
IJTOLZS,X,O,X,X
IJTOSLZ,O,O,O,O
IJTOSZL,O,O,O,O
IJTOZLS,X,O,X,X
IJTOZSL,X,X,X,O
IJLTSZO,X,O,O,X
IJLTSOZ,X,O,O,X
IJLTZSO,X,O,X,X
IJLTZOS,X,O,X,X
IJLTOSZ,X,O,O,X
IJLTOZS,X,O,X,X
IJLSTZO,X,X,O,O
IJLSTOZ,X,O,O,O
IJLSZTO,X,X,O,X
IJLSZOT,X,O,O,X
IJLSOTZ,X,O,O,O
IJLSOZT,X,O,O,X
IJLZTSO,X,O,X,X
IJLZTOS,X,O,X,X
IJLZSTO,X,O,X,X
IJLZSOT,X,O,X,X
IJLZOTS,X,O,X,X
IJLZOST,X,O,X,X
IJLOTSZ,X,O,O,X
IJLOTZS,X,O,X,X
IJLOSTZ,X,O,O,O
IJLOSZT,X,O,O,X
IJLOZTS,X,O,X,X
IJLOZST,X,O,X,X
IJSTLZO,O,X,O,O
IJSTLOZ,O,O,O,O
IJSTZLO,X,X,O,O
IJSTZOL,O,X,O,O
IJSTOLZ,O,O,O,O
IJSTOZL,O,X,O,O
IJSLTZO,X,X,O,O
IJSLTOZ,X,O,O,O
IJSLZTO,X,X,O,X
IJSLZOT,X,O,O,X
IJSLOTZ,O,O,O,O
IJSLOZT,O,O,O,X
IJSZTLO,O,X,O,O
IJSZTOL,O,X,O,O
IJSZLTO,O,X,O,X
IJSZLOT,O,O,O,X
IJSZOTL,O,X,X,O
IJSZOLT,O,O,O,X
IJSOTLZ,O,O,O,O
IJSOTZL,O,X,O,O
IJSOLTZ,O,O,O,O
IJSOLZT,O,O,O,X
IJSOZTL,O,X,X,O
IJSOZLT,O,O,O,X
IJZTLSO,O,O,X,X
IJZTLOS,O,O,X,X
IJZTSLO,O,O,X,X
IJZTSOL,O,O,X,X
IJZTOLS,O,O,X,X
IJZTOSL,O,O,X,X
IJZLTSO,X,O,X,X
IJZLTOS,X,O,X,X
IJZLSTO,O,O,X,X
IJZLSOT,O,O,X,X
IJZLOTS,X,O,X,X
IJZLOST,O,O,X,X
IJZSTLO,O,O,X,O
IJZSTOL,O,O,X,O
IJZSLTO,O,O,X,X
IJZSLOT,O,O,X,X
IJZSOTL,O,O,X,O
IJZSOLT,O,O,X,X
IJZOTLS,O,O,X,X
IJZOTSL,O,O,X,X
IJZOLTS,X,O,X,X
IJZOLST,O,O,X,X
IJZOSTL,O,O,X,O
IJZOSLT,O,O,X,X
IJOTLSZ,O,O,O,O
IJOTLZS,X,O,X,X
IJOTSLZ,O,O,O,O
IJOTSZL,O,X,O,O
IJOTZLS,X,O,X,X
IJOTZSL,X,X,X,O
IJOLTSZ,X,O,O,X
IJOLTZS,X,O,X,X
IJOLSTZ,X,O,O,O
IJOLSZT,X,O,O,X
IJOLZTS,X,O,X,X
IJOLZST,X,O,X,X
IJOSTLZ,O,O,O,O
IJOSTZL,O,X,O,O
IJOSLTZ,O,O,O,O
IJOSLZT,O,O,O,X
IJOSZTL,O,X,X,O
IJOSZLT,O,O,O,X
IJOZTLS,O,O,X,X
IJOZTSL,O,O,X,X
IJOZLTS,X,O,X,X
IJOZLST,O,O,X,X
IJOZSTL,O,O,X,O
IJOZSLT,O,O,X,X
ISTLJZO,O,O,O,O
ISTLJOZ,O,O,O,O
ISTLZJO,O,O,O,O
ISTLZOJ,O,O,O,O
ISTLOJZ,O,O,O,O
ISTLOZJ,O,O,O,O
ISTJLZO,O,O,O,O
ISTJLOZ,O,O,O,O
ISTJZLO,X,O,O,O
ISTJZOL,O,O,O,O
ISTJOLZ,O,O,O,O
ISTJOZL,O,O,O,O
ISTZLJO,X,O,O,O
ISTZLOJ,X,O,O,O
ISTZJLO,X,O,O,O
ISTZJOL,O,O,O,O
ISTZOLJ,X,O,O,O
ISTZOJL,O,O,O,O
ISTOLJZ,O,O,O,O
ISTOLZJ,O,O,O,O
ISTOJLZ,O,O,O,O
ISTOJZL,O,O,O,O
ISTOZLJ,X,O,O,O
ISTOZJL,O,O,O,O
ISLTJZO,X,O,O,O
ISLTJOZ,X,O,O,O
ISLTZJO,X,O,O,O
ISLTZOJ,X,O,O,O
ISLTOJZ,X,O,O,O
ISLTOZJ,X,O,O,O
ISLJTZO,X,X,O,O
ISLJTOZ,X,O,O,O
ISLJZTO,X,X,O,X
ISLJZOT,X,O,O,X
ISLJOTZ,O,O,O,O
ISLJOZT,O,O,O,X
ISLZTJO,X,O,O,X
ISLZTOJ,X,O,O,X
ISLZJTO,X,O,O,X
ISLZJOT,X,O,O,X
ISLZOTJ,X,O,O,X
ISLZOJT,X,O,O,X
ISLOTJZ,X,O,O,O
ISLOTZJ,X,X,O,O
ISLOJTZ,O,O,O,O
ISLOJZT,O,O,O,X
ISLOZTJ,X,O,O,X
ISLOZJT,X,O,O,X
ISJTLZO,O,X,O,O
ISJTLOZ,O,O,O,O
ISJTZLO,X,X,O,O
ISJTZOL,O,X,O,O
ISJTOLZ,O,O,O,O
ISJTOZL,O,X,O,O
ISJLTZO,X,X,O,O
ISJLTOZ,X,O,O,O
ISJLZTO,X,X,O,X
ISJLZOT,X,O,O,X
ISJLOTZ,O,O,O,O
ISJLOZT,O,O,O,X
ISJZTLO,O,X,O,O
ISJZTOL,O,X,O,O
ISJZLTO,O,X,O,X
ISJZLOT,O,O,O,X
ISJZOTL,O,X,X,O
ISJZOLT,O,O,O,X
ISJOTLZ,O,O,O,O
ISJOTZL,O,X,O,O
ISJOLTZ,O,O,O,O
ISJOLZT,O,O,O,X
ISJOZTL,O,X,X,O
ISJOZLT,O,O,O,X
ISZTLJO,O,O,O,O
ISZTLOJ,O,O,O,O
ISZTJLO,O,O,O,O
ISZTJOL,O,O,O,O
ISZTOLJ,O,O,O,O
ISZTOJL,O,O,O,O
ISZLTJO,O,O,O,X
ISZLTOJ,O,O,O,X
ISZLJTO,O,O,O,X
ISZLJOT,O,O,O,X
ISZLOTJ,O,O,O,X
ISZLOJT,O,O,O,X
ISZJTLO,O,O,O,O
ISZJTOL,O,O,O,O
ISZJLTO,O,O,O,X
ISZJLOT,O,O,O,X
ISZJOTL,O,O,X,O
ISZJOLT,O,O,O,X
ISZOTLJ,O,O,O,O
ISZOTJL,O,O,O,O
ISZOLTJ,O,O,O,X
ISZOLJT,O,O,O,X
ISZOJTL,O,O,X,O
ISZOJLT,O,O,O,X
ISOTLJZ,O,O,O,O
ISOTLZJ,O,X,O,O
ISOTJLZ,O,O,O,O
ISOTJZL,O,X,O,O
ISOTZLJ,X,X,O,O
ISOTZJL,O,X,O,O
ISOLTJZ,X,O,O,O
ISOLTZJ,X,X,O,O
ISOLJTZ,O,O,O,O
ISOLJZT,O,O,O,X
ISOLZTJ,X,O,O,X
ISOLZJT,X,O,O,X
ISOJTLZ,O,O,O,O
ISOJTZL,O,X,O,O
ISOJLTZ,O,O,O,O
ISOJLZT,O,O,O,X
ISOJZTL,O,X,X,O
ISOJZLT,O,O,O,X
ISOZTLJ,O,O,O,O
ISOZTJL,O,O,O,O
ISOZLTJ,O,O,O,X
ISOZLJT,O,O,O,X
ISOZJTL,O,O,X,O
ISOZJLT,O,O,O,X
IZTLJSO,O,O,X,X
IZTLJOS,O,O,X,X
IZTLSJO,O,O,O,X
IZTLSOJ,O,O,O,X
IZTLOJS,O,O,X,X
IZTLOSJ,O,O,O,X
IZTJLSO,O,O,X,X
IZTJLOS,O,O,X,X
IZTJSLO,O,O,X,X
IZTJSOL,O,O,X,X
IZTJOLS,O,O,X,X
IZTJOSL,O,O,X,X
IZTSLJO,O,O,O,X
IZTSLOJ,O,O,O,X
IZTSJLO,O,O,O,X
IZTSJOL,O,O,O,X
IZTSOLJ,O,O,O,X
IZTSOJL,O,O,O,X
IZTOLJS,O,O,X,X
IZTOLSJ,O,O,O,X
IZTOJLS,O,O,X,X
IZTOJSL,O,O,X,X
IZTOSLJ,O,O,O,X
IZTOSJL,O,O,O,X
IZLTJSO,X,O,X,X
IZLTJOS,X,O,X,X
IZLTSJO,X,O,O,X
IZLTSOJ,X,O,O,X
IZLTOJS,X,O,X,X
IZLTOSJ,X,O,O,X
IZLJTSO,X,O,X,X
IZLJTOS,X,O,X,X
IZLJSTO,O,O,X,X
IZLJSOT,O,O,X,X
IZLJOTS,X,O,X,X
IZLJOST,O,O,X,X
IZLSTJO,O,O,O,X
IZLSTOJ,O,O,O,X
IZLSJTO,O,O,O,X
IZLSJOT,O,O,O,X
IZLSOTJ,O,O,O,X
IZLSOJT,O,O,O,X
IZLOTJS,X,O,X,X
IZLOTSJ,X,O,O,X
IZLOJTS,X,O,X,X
IZLOJST,O,O,X,X
IZLOSTJ,O,O,O,X
IZLOSJT,O,O,O,X
IZJTLSO,O,O,X,X
IZJTLOS,O,O,X,X
IZJTSLO,O,O,X,X
IZJTSOL,O,O,X,X
IZJTOLS,O,O,X,X
IZJTOSL,O,O,X,X
IZJLTSO,X,O,X,X
IZJLTOS,X,O,X,X
IZJLSTO,O,O,X,X
IZJLSOT,O,O,X,X
IZJLOTS,X,O,X,X
IZJLOST,O,O,X,X
IZJSTLO,O,O,X,O
IZJSTOL,O,O,X,O
IZJSLTO,O,O,X,X
IZJSLOT,O,O,X,X
IZJSOTL,O,O,X,O
IZJSOLT,O,O,X,X
IZJOTLS,O,O,X,X
IZJOTSL,O,O,X,X
IZJOLTS,X,O,X,X
IZJOLST,O,O,X,X
IZJOSTL,O,O,X,O
IZJOSLT,O,O,X,X
IZSTLJO,O,O,O,O
IZSTLOJ,O,O,O,O
IZSTJLO,O,O,O,O
IZSTJOL,O,O,O,O
IZSTOLJ,O,O,O,O
IZSTOJL,O,O,O,O
IZSLTJO,O,O,O,X
IZSLTOJ,O,O,O,X
IZSLJTO,O,O,O,X
IZSLJOT,O,O,O,X
IZSLOTJ,O,O,O,X
IZSLOJT,O,O,O,X
IZSJTLO,O,O,O,O
IZSJTOL,O,O,O,O
IZSJLTO,O,O,O,X
IZSJLOT,O,O,O,X
IZSJOTL,O,O,X,O
IZSJOLT,O,O,O,X
IZSOTLJ,O,O,O,O
IZSOTJL,O,O,O,O
IZSOLTJ,O,O,O,X
IZSOLJT,O,O,O,X
IZSOJTL,O,O,X,O
IZSOJLT,O,O,O,X
IZOTLJS,O,O,X,X
IZOTLSJ,O,O,O,X
IZOTJLS,O,O,X,X
IZOTJSL,O,O,X,X
IZOTSLJ,O,O,O,X
IZOTSJL,O,O,O,X
IZOLTJS,X,O,X,X
IZOLTSJ,X,O,O,X
IZOLJTS,X,O,X,X
IZOLJST,O,O,X,X
IZOLSTJ,O,O,O,X
IZOLSJT,O,O,O,X
IZOJTLS,O,O,X,X
IZOJTSL,O,O,X,X
IZOJLTS,X,O,X,X
IZOJLST,O,O,X,X
IZOJSTL,O,O,X,O
IZOJSLT,O,O,X,X
IZOSTLJ,O,O,O,O
IZOSTJL,O,O,O,O
IZOSLTJ,O,O,O,X
IZOSLJT,O,O,O,X
IZOSJTL,O,O,X,O
IZOSJLT,O,O,O,X
IOTLJSZ,O,O,O,O
IOTLJZS,X,O,X,X
IOTLSJZ,O,O,O,O
IOTLSZJ,O,O,O,O
IOTLZJS,X,O,X,X
IOTLZSJ,X,O,O,X
IOTJLSZ,O,O,O,O
IOTJLZS,X,O,X,X
IOTJSLZ,O,O,O,O
IOTJSZL,O,O,O,O
IOTJZLS,X,O,X,X
IOTJZSL,X,X,X,O
IOTSLJZ,O,O,O,O
IOTSLZJ,O,O,O,O
IOTSJLZ,O,O,O,O
IOTSJZL,O,O,O,O
IOTSZLJ,X,O,O,O
IOTSZJL,O,O,O,O
IOTZLJS,X,O,X,X
IOTZLSJ,X,O,O,X
IOTZJLS,X,O,X,X
IOTZJSL,X,O,X,O
IOTZSLJ,X,O,O,O
IOTZSJL,X,O,O,O
IOLTJSZ,X,O,O,X
IOLTJZS,X,O,X,X
IOLTSJZ,X,O,O,X
IOLTSZJ,X,O,O,X
IOLTZJS,X,O,X,X
IOLTZSJ,X,O,O,X
IOLJTSZ,X,O,O,X
IOLJTZS,X,O,X,X
IOLJSTZ,X,O,O,O
IOLJSZT,X,O,O,X
IOLJZTS,X,O,X,X
IOLJZST,X,O,X,X
IOLSTJZ,X,O,O,O
IOLSTZJ,X,X,O,O
IOLSJTZ,X,O,O,O
IOLSJZT,X,O,O,X
IOLSZTJ,X,O,O,X
IOLSZJT,X,O,O,X
IOLZTJS,X,O,X,X
IOLZTSJ,X,O,O,X
IOLZJTS,X,O,X,X
IOLZJST,X,O,X,X
IOLZSTJ,X,O,O,X
IOLZSJT,X,O,O,X
IOJTLSZ,O,O,O,O
IOJTLZS,X,O,X,X
IOJTSLZ,O,O,O,O
IOJTSZL,O,X,O,O
IOJTZLS,X,O,X,X
IOJTZSL,X,X,X,O
IOJLTSZ,X,O,O,X
IOJLTZS,X,O,X,X
IOJLSTZ,X,O,O,O
IOJLSZT,X,O,O,X
IOJLZTS,X,O,X,X
IOJLZST,X,O,X,X
IOJSTLZ,O,O,O,O
IOJSTZL,O,X,O,O
IOJSLTZ,O,O,O,O
IOJSLZT,O,O,O,X
IOJSZTL,O,X,X,O
IOJSZLT,O,O,O,X
IOJZTLS,O,O,X,X
IOJZTSL,O,O,X,X
IOJZLTS,X,O,X,X
IOJZLST,O,O,X,X
IOJZSTL,O,O,X,O
IOJZSLT,O,O,X,X
IOSTLJZ,O,O,O,O
IOSTLZJ,O,X,O,O
IOSTJLZ,O,O,O,O
IOSTJZL,O,X,O,O
IOSTZLJ,X,X,O,O
IOSTZJL,O,X,O,O
IOSLTJZ,X,O,O,O
IOSLTZJ,X,X,O,O
IOSLJTZ,O,O,O,O
IOSLJZT,O,O,O,X
IOSLZTJ,X,O,O,X
IOSLZJT,X,O,O,X
IOSJTLZ,O,O,O,O
IOSJTZL,O,X,O,O
IOSJLTZ,O,O,O,O
IOSJLZT,O,O,O,X
IOSJZTL,O,X,X,O
IOSJZLT,O,O,O,X
IOSZTLJ,O,O,O,O
IOSZTJL,O,O,O,O
IOSZLTJ,O,O,O,X
IOSZLJT,O,O,O,X
IOSZJTL,O,O,X,O
IOSZJLT,O,O,O,X
IOZTLJS,O,O,X,X
IOZTLSJ,O,O,O,X
IOZTJLS,O,O,X,X
IOZTJSL,O,O,X,X
IOZTSLJ,O,O,O,X
IOZTSJL,O,O,O,X
IOZLTJS,X,O,X,X
IOZLTSJ,X,O,O,X
IOZLJTS,X,O,X,X
IOZLJST,O,O,X,X
IOZLSTJ,O,O,O,X
IOZLSJT,O,O,O,X
IOZJTLS,O,O,X,X
IOZJTSL,O,O,X,X
IOZJLTS,X,O,X,X
IOZJLST,O,O,X,X
IOZJSTL,O,O,X,O
IOZJSLT,O,O,X,X
IOZSTLJ,O,O,O,O
IOZSTJL,O,O,O,O
IOZSLTJ,O,O,O,X
IOZSLJT,O,O,O,X
IOZSJTL,O,O,X,O
IOZSJLT,O,O,O,X
LTIJSZO,O,O,O,O
LTIJSOZ,O,O,O,O
LTIJZSO,X,O,X,X
LTIJZOS,X,O,X,X
LTIJOSZ,O,O,O,O
LTIJOZS,X,O,X,X
LTISJZO,O,O,O,O
LTISJOZ,O,O,O,O
LTISZJO,O,O,O,O
LTISZOJ,O,O,O,O
LTISOJZ,O,O,O,O
LTISOZJ,O,O,O,O
LTIZJSO,X,O,X,X
LTIZJOS,X,O,X,X
LTIZSJO,X,O,O,X
LTIZSOJ,X,O,O,X
LTIZOJS,X,O,X,X
LTIZOSJ,X,O,O,X
LTIOJSZ,O,O,O,O
LTIOJZS,X,O,X,X
LTIOSJZ,O,O,O,O
LTIOSZJ,O,O,O,O
LTIOZJS,X,O,X,X
LTIOZSJ,X,O,O,X
LTJISZO,O,O,O,O
LTJISOZ,O,O,O,O
LTJIZSO,X,O,X,X
LTJIZOS,X,O,X,X
LTJIOSZ,O,O,O,O
LTJIOZS,X,O,X,X
LTJSIZO,O,O,O,O
LTJSIOZ,O,O,O,O
LTJSZIO,O,O,O,O
LTJSZOI,O,O,O,O
LTJSOIZ,O,O,O,O
LTJSOZI,O,O,O,O
LTJZISO,X,O,X,X
LTJZIOS,X,O,X,X
LTJZSIO,O,O,X,X
LTJZSOI,O,O,X,X
LTJZOIS,X,O,X,X
LTJZOSI,O,X,X,X
LTJOISZ,O,O,O,O
LTJOIZS,X,O,X,X
LTJOSIZ,O,O,O,O
LTJOSZI,O,O,O,O
LTJOZIS,X,O,X,X
LTJOZSI,O,X,X,X
LTSIJZO,O,O,O,O
LTSIJOZ,O,O,O,O
LTSIZJO,O,O,O,O
LTSIZOJ,O,O,O,O
LTSIOJZ,O,O,O,O
LTSIOZJ,O,O,O,O
LTSJIZO,O,O,O,O
LTSJIOZ,O,O,O,O
LTSJZIO,O,O,O,O
LTSJZOI,O,O,O,O
LTSJOIZ,O,O,O,O
LTSJOZI,O,O,O,O
LTSZIJO,O,O,O,O
LTSZIOJ,O,O,O,O
LTSZJIO,O,O,O,O
LTSZJOI,O,O,O,O
LTSZOIJ,O,O,O,O
LTSZOJI,O,O,O,O
LTSOIJZ,O,O,O,O
LTSOIZJ,O,O,O,O
LTSOJIZ,O,O,O,O
LTSOJZI,O,O,O,O
LTSOZIJ,O,O,O,O
LTSOZJI,O,O,O,O
LTZIJSO,X,O,X,X
LTZIJOS,X,O,X,X
LTZISJO,X,O,O,X
LTZISOJ,X,O,O,X
LTZIOJS,X,O,X,X
LTZIOSJ,X,O,O,X
LTZJISO,X,O,X,X
LTZJIOS,X,O,X,X
LTZJSIO,O,O,X,X
LTZJSOI,O,O,X,X
LTZJOIS,X,O,X,X
LTZJOSI,O,O,X,X
LTZSIJO,O,O,O,X
LTZSIOJ,O,O,O,X
LTZSJIO,O,O,O,X
LTZSJOI,O,O,O,X
LTZSOIJ,O,O,O,X
LTZSOJI,O,O,O,X
LTZOIJS,X,O,X,X
LTZOISJ,X,O,O,X
LTZOJIS,X,O,X,X
LTZOJSI,O,O,X,X
LTZOSIJ,O,O,O,X
LTZOSJI,O,O,O,X
LTOIJSZ,O,O,O,O
LTOIJZS,X,O,X,X
LTOISJZ,O,O,O,O
LTOISZJ,O,O,O,O
LTOIZJS,X,O,X,X
LTOIZSJ,X,O,O,X
LTOJISZ,O,O,O,O
LTOJIZS,X,O,X,X
LTOJSIZ,O,O,O,O
LTOJSZI,O,O,O,O
LTOJZIS,X,O,X,X
LTOJZSI,O,X,X,X
LTOSIJZ,O,O,O,O
LTOSIZJ,O,O,O,O
LTOSJIZ,O,O,O,O
LTOSJZI,O,O,O,O
LTOSZIJ,O,O,O,O
LTOSZJI,O,O,O,O
LTOZIJS,X,O,X,X
LTOZISJ,X,O,O,X
LTOZJIS,X,O,X,X
LTOZJSI,O,O,X,X
LTOZSIJ,O,O,O,X
LTOZSJI,O,O,O,X
LITJSZO,X,O,O,X
LITJSOZ,X,O,O,X
LITJZSO,X,O,X,X
LITJZOS,X,O,X,X
LITJOSZ,X,O,O,X
LITJOZS,X,O,X,X
LITSJZO,X,O,O,X
LITSJOZ,X,O,O,X
LITSZJO,X,O,O,X
LITSZOJ,X,O,O,X
LITSOJZ,X,O,O,X
LITSOZJ,X,O,O,X
LITZJSO,X,O,X,X
LITZJOS,X,O,X,X
LITZSJO,X,O,O,X
LITZSOJ,X,O,O,X
LITZOJS,X,O,X,X
LITZOSJ,X,O,O,X
LITOJSZ,X,O,O,X
LITOJZS,X,O,X,X
LITOSJZ,X,O,O,X
LITOSZJ,X,O,O,X
LITOZJS,X,O,X,X
LITOZSJ,X,O,O,X
LIJTSZO,X,O,O,X
LIJTSOZ,X,O,O,X
LIJTZSO,X,O,X,X
LIJTZOS,X,O,X,X
LIJTOSZ,X,O,O,X
LIJTOZS,X,O,X,X
LIJSTZO,X,X,O,O
LIJSTOZ,X,O,O,O
LIJSZTO,X,X,O,X
LIJSZOT,X,O,O,X
LIJSOTZ,X,O,O,O
LIJSOZT,X,O,O,X
LIJZTSO,X,O,X,X
LIJZTOS,X,O,X,X
LIJZSTO,X,O,X,X
LIJZSOT,X,O,X,X
LIJZOTS,X,O,X,X
LIJZOST,X,O,X,X
LIJOTSZ,X,O,O,X
LIJOTZS,X,O,X,X
LIJOSTZ,X,O,O,O
LIJOSZT,X,O,O,X
LIJOZTS,X,O,X,X
LIJOZST,X,O,X,X
LISTJZO,X,O,O,O
LISTJOZ,X,O,O,O
LISTZJO,X,O,O,O
LISTZOJ,X,O,O,O
LISTOJZ,X,O,O,O
LISTOZJ,X,O,O,O
LISJTZO,X,X,O,O
LISJTOZ,X,O,O,O
LISJZTO,X,X,O,X
LISJZOT,X,O,O,X
LISJOTZ,X,O,O,O
LISJOZT,X,O,O,X
LISZTJO,X,O,O,X
LISZTOJ,X,O,O,X
LISZJTO,X,O,O,X
LISZJOT,X,O,O,X
LISZOTJ,X,O,O,X
LISZOJT,X,O,O,X
LISOTJZ,X,O,O,O
LISOTZJ,X,X,O,O
LISOJTZ,X,O,O,O
LISOJZT,X,O,O,X
LISOZTJ,X,O,O,X
LISOZJT,X,O,O,X
LIZTJSO,X,O,X,X
LIZTJOS,X,O,X,X
LIZTSJO,X,O,O,X
LIZTSOJ,X,O,O,X
LIZTOJS,X,O,X,X
LIZTOSJ,X,O,O,X
LIZJTSO,X,O,X,X
LIZJTOS,X,O,X,X
LIZJSTO,X,O,X,X
LIZJSOT,X,O,X,X
LIZJOTS,X,O,X,X
LIZJOST,X,O,X,X
LIZSTJO,X,O,O,X
LIZSTOJ,X,O,O,X
LIZSJTO,X,O,O,X
LIZSJOT,X,O,O,X
LIZSOTJ,X,O,O,X
LIZSOJT,X,O,O,X
LIZOTJS,X,O,X,X
LIZOTSJ,X,O,O,X
LIZOJTS,X,O,X,X
LIZOJST,X,O,X,X
LIZOSTJ,X,O,O,X
LIZOSJT,X,O,O,X
LIOTJSZ,X,O,O,X
LIOTJZS,X,O,X,X
LIOTSJZ,X,O,O,X
LIOTSZJ,X,O,O,X
LIOTZJS,X,O,X,X
LIOTZSJ,X,O,O,X
LIOJTSZ,X,O,O,X
LIOJTZS,X,O,X,X
LIOJSTZ,X,O,O,O
LIOJSZT,X,O,O,X
LIOJZTS,X,O,X,X
LIOJZST,X,O,X,X
LIOSTJZ,X,O,O,O
LIOSTZJ,X,X,O,O
LIOSJTZ,X,O,O,O
LIOSJZT,X,O,O,X
LIOSZTJ,X,O,O,X
LIOSZJT,X,O,O,X
LIOZTJS,X,O,X,X
LIOZTSJ,X,O,O,X
LIOZJTS,X,O,X,X
LIOZJST,X,O,X,X
LIOZSTJ,X,O,O,X
LIOZSJT,X,O,O,X
LJTISZO,O,O,O,O
LJTISOZ,O,O,O,O
LJTIZSO,X,O,X,X
LJTIZOS,X,O,X,X
LJTIOSZ,O,O,O,O
LJTIOZS,X,O,X,X
LJTSIZO,O,O,O,O
LJTSIOZ,O,O,O,O
LJTSZIO,O,O,O,O
LJTSZOI,O,O,O,O
LJTSOIZ,O,O,O,O
LJTSOZI,O,O,O,O
LJTZISO,X,O,X,X
