sequence,v115@7gB8GeC8FeD8AeA8CeG8CeE8Jei6IvhFFcBXdBckBZ?lBWmBzqB,v115@7gB8GeC8FeD8AeA8CeG8CeE8JeT6IvhFxcBlgB3hBi?kB0lB2vB,v115@7gB8GeC8FeD8AeA8CeG8CeE8JeZ/IvhFCcBXdBzfBV?mBmqBUqB,v115@7gB8GeC8FeD8AeA8CeG8CeE8JeZ/IvhFufB3bBFdBT?hBiqB0qB,v115@7gB8GeC8FeD8AeA8CeG8CeE8JeZ/IvhFCbBXdBUlBF?mBOrBTqB,v115@7gB8GeC8FeD8AeA8CeG8CeE8Jex8IvhF0fBlgB3hBO?kBTlByvB,v115@7gB8GeC8FeD8AeA8CeG8CeE8JeZ/IvhFzaBXdBamBG?hB0qBFqB
TILJSZO,X,O,O,O,X,X,X
TILJSOZ,X,O,O,O,X,X,X
TILJZSO,X,X,O,O,X,X,X
TILJZOS,X,X,O,O,X,X,X
TILJOSZ,X,O,O,O,X,X,X
TILJOZS,X,X,O,O,X,X,X
TILSJZO,X,O,O,O,X,O,X
TILSJOZ,X,O,O,O,X,X,X
TILSZJO,X,X,X,O,O,O,X
TILSZOJ,X,O,O,O,O,O,X
TILSOJZ,X,O,O,O,X,X,X
TILSOZJ,X,O,O,O,X,O,X
TILZJSO,X,X,X,O,O,X,X
TILZJOS,X,X,X,O,O,X,X
TILZSJO,X,X,X,O,O,O,X
TILZSOJ,X,X,O,O,O,O,X
TILZOJS,X,X,X,O,O,X,X
TILZOSJ,X,X,O,O,O,X,X
TILOJSZ,X,O,O,O,X,X,X
TILOJZS,X,X,O,O,X,X,X
TILOSJZ,X,O,O,O,X,X,X
TILOSZJ,X,O,O,O,X,X,X
TILOZJS,X,X,X,O,X,X,X
TILOZSJ,X,X,O,O,X,X,X
TIJLSZO,O,O,O,O,X,X,X
TIJLSOZ,X,O,O,O,X,X,X
TIJLZSO,O,X,O,O,X,X,X
TIJLZOS,O,X,O,O,X,X,X
TIJLOSZ,X,O,O,O,X,X,X
TIJLOZS,X,X,O,O,X,X,X
TIJSLZO,O,O,O,O,X,X,X
TIJSLOZ,X,O,O,O,X,X,X
TIJSZLO,O,O,O,X,O,X,X
TIJSZOL,O,X,O,X,O,X,X
TIJSOLZ,X,O,O,O,X,X,X
TIJSOZL,O,X,O,O,X,X,X
TIJZLSO,O,X,O,O,O,X,X
TIJZLOS,O,X,O,O,O,X,X
TIJZSLO,O,X,O,X,O,X,X
TIJZSOL,O,X,O,X,O,X,X
TIJZOLS,O,X,O,X,O,X,X
TIJZOSL,O,X,O,O,O,X,X
TIJOLSZ,X,X,O,O,X,X,X
TIJOLZS,X,X,O,O,X,X,X
TIJOSLZ,X,X,O,O,X,X,X
TIJOSZL,O,X,O,O,X,X,X
TIJOZLS,O,X,O,X,X,X,X
TIJOZSL,O,X,O,O,X,X,X
TISLJZO,X,O,O,O,X,O,X
TISLJOZ,X,O,O,O,X,X,X
TISLZJO,O,X,X,O,O,O,X
TISLZOJ,O,O,O,O,O,O,X
TISLOJZ,X,O,O,O,X,X,X
TISLOZJ,X,O,O,O,X,O,X
TISJLZO,O,O,O,O,X,X,X
TISJLOZ,X,O,O,O,X,X,X
TISJZLO,O,O,O,X,O,O,X
TISJZOL,O,X,O,X,O,O,X
TISJOLZ,X,O,O,O,X,X,X
TISJOZL,O,X,O,O,X,X,X
TISZLJO,O,X,X,X,O,O,O
TISZLOJ,O,O,O,X,O,O,O
TISZJLO,O,X,O,X,O,O,X
TISZJOL,O,X,O,X,O,O,X
TISZOLJ,O,X,O,X,O,X,X
TISZOJL,O,X,O,X,O,O,X
TISOLJZ,X,O,O,O,X,X,X
TISOLZJ,O,O,O,O,X,X,X
TISOJLZ,O,X,O,O,X,X,X
TISOJZL,O,X,O,O,X,X,X
TISOZLJ,O,X,O,X,O,X,X
TISOZJL,O,X,O,O,O,O,X
TIZLJSO,O,X,X,O,O,X,O
TIZLJOS,O,X,X,O,O,X,O
TIZLSJO,O,X,X,O,O,O,O
TIZLSOJ,O,X,O,O,O,O,O
TIZLOJS,O,X,X,O,O,X,O
TIZLOSJ,O,X,O,O,O,X,O
TIZJLSO,O,X,O,O,O,X,X
TIZJLOS,O,X,O,O,O,X,X
TIZJSLO,O,X,O,X,O,X,X
TIZJSOL,O,X,O,X,O,X,X
TIZJOLS,O,X,O,X,O,X,X
TIZJOSL,O,X,O,O,O,X,X
TIZSLJO,O,X,X,X,O,O,O
TIZSLOJ,O,X,O,X,O,O,O
TIZSJLO,O,X,O,X,O,O,X
TIZSJOL,O,X,O,X,O,O,X
TIZSOLJ,O,X,O,X,O,X,X
TIZSOJL,O,X,O,X,O,O,X
TIZOLJS,O,X,X,O,O,X,X
TIZOLSJ,O,X,O,O,O,X,X
TIZOJLS,O,X,O,X,O,X,X
TIZOJSL,O,X,O,O,O,X,X
TIZOSLJ,O,X,O,X,O,X,X
TIZOSJL,O,X,O,O,O,X,X
TIOLJSZ,X,X,O,O,X,X,X
TIOLJZS,X,X,O,O,X,X,X
TIOLSJZ,X,X,O,O,X,X,X
TIOLSZJ,X,X,O,O,X,X,X
TIOLZJS,X,X,X,O,X,X,X
TIOLZSJ,X,X,O,O,X,X,X
TIOJLSZ,O,X,O,O,X,X,X
TIOJLZS,O,X,O,O,X,X,X
TIOJSLZ,O,X,O,O,X,X,X
TIOJSZL,O,X,O,O,X,X,X
TIOJZLS,O,X,O,X,X,X,X
TIOJZSL,O,X,O,O,X,X,X
TIOSLJZ,X,X,O,O,X,X,X
TIOSLZJ,O,X,O,O,X,X,X
TIOSJLZ,O,X,O,O,X,X,X
TIOSJZL,O,X,O,O,X,X,X
TIOSZLJ,O,X,O,X,O,X,X
TIOSZJL,O,X,O,O,O,X,X
TIOZLJS,O,X,X,O,O,X,X
TIOZLSJ,O,X,O,O,O,X,X
TIOZJLS,O,X,O,X,O,X,X
TIOZJSL,O,X,O,O,O,X,X
TIOZSLJ,O,X,O,X,O,X,X
TIOZSJL,O,X,O,O,O,X,X
TLIJSZO,X,O,O,O,X,X,X
TLIJSOZ,X,O,O,O,X,X,X
TLIJZSO,X,X,O,O,X,X,X
TLIJZOS,X,X,O,O,X,X,X
TLIJOSZ,X,O,O,O,X,X,X
TLIJOZS,X,X,O,O,X,X,X
TLISJZO,X,O,O,O,X,O,X
TLISJOZ,X,O,O,O,X,X,X
TLISZJO,X,X,X,O,O,O,X
TLISZOJ,X,O,O,O,O,O,X
TLISOJZ,X,O,O,O,X,X,X
TLISOZJ,X,O,O,O,X,O,X
