sequence,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je37IvhFUdBFlBxmBu?kBCrBTrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jeu/IvhFRcBcmBTiBX?lBllBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFTcB/iBOlBl?mBUrB6qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF3cBTiBUlBG?mBClBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhF0bBlcBTiB6?rBmqB/qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFKgBWhBTiBl?hB/rB0qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF3cBFgBTiBW?qBUmBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFUdBukBFhBT?lBXrBCsB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jeu/IvhFUcB/iBTgBl?mBRqBSwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFUdBXhBzkBC?nBGlBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je5/IvhFlcBOlB/mBT?iBUrB6qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFGgBSnBzkB8?qBlmB3rB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeG7IvhFUdBzfBSqBx?mB/mBVwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhFzcBukB1lBS?nB/rB0qB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeU7IvhF/iBWlBlmBR?qBTrBCrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFqkBxgB0lBl?mBGqBTrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFqkBxgBUgBl?mBzqBGrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeT8IvhF/iBCgBUgBl?mBRqBWwB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Je/CJvhFWlBxgBlmBz?kBUrBCrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8Jez6IvhFShB/iBlmBR?qBGqBUrB,v115@zgA8FeD8GeC8GeC8EeG8CeD8JeR7IvhF/iBSlBlmBc?mBzkBWwB
TILJSZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TILSOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TILZJSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSLOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSZLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSZOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJSOZL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJZLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZSOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TISLJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TISLZJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISLZOJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X
TISLOZJ,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TISJLZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TISJLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TISJZLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TISJZOL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TISJOLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
TISJOZL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TISZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISZLOJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISZJLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TISZJOL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TISZOLJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISZOJL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TISOLZJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
TISOJZL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TISOZLJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISOZJL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
