sequence,v115@8gA8IeA8EeC8AeB8CeI8AeF8Jem6IvhFNhBUdBajBT?fBXlB5lB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeO/IvhFXbBNhBUdBa?jB5lBzpB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFxbBXdBdjBm?gB0kB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8Jex6IvhFNhBUdBajB/?kBTlBGqB,v115@8gA8IeA8EeC8AeB8CeI8AeF8Je06IvhFNhBRdB/kBm?iBTlB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFKgBOhBXdBd?jB0kB5lB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeT6IvhFNhBRdB/lBm?iB0kB6qB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeNBJvhFUdBajBxkB/?kBTlBGqB,v115@8gA8IeA8EeC8AeB8CeI8AeF8JeN/IvhFUdBajBxgBu?kBzgB/qB
TILJSZO,X,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,O,X
TILSOJZ,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,O,X
TILZJSO,X,O,X,X,X,X,X,X,O
TILZJOS,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,X,X,O
TILZSOJ,X,X,X,X,X,X,X,O,O
TILZOJS,X,O,X,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,O,X
TILOJSZ,X,O,X,X,X,X,X,X,X
TILOJZS,X,O,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,O,X
TILOZJS,X,O,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,O,X
