sequence,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhB0cBxdBSnBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhBxcBTeBCiBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBRdBSjB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBzdB+jBUiB3h?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBWjBUiB3hBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBGdBTeB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBUdBajB5jB1m?BftB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFCcBFeBThBxnB/n?BctB
TILJSZO,O,O,X,O,X,X,O,X
TILJSOZ,O,X,X,O,X,X,O,X
TILJZSO,O,O,X,O,O,X,X,X
TILJZOS,X,O,X,O,O,X,X,X
TILJOSZ,O,X,X,O,X,X,O,X
TILJOZS,O,X,X,O,X,X,X,X
TILSJZO,O,O,X,O,X,O,O,X
TILSJOZ,O,X,X,O,X,X,O,X
TILSZJO,O,O,X,O,O,O,O,X
TILSZOJ,O,O,X,X,X,O,O,X
TILSOJZ,O,X,X,X,X,X,O,X
TILSOZJ,O,X,X,X,X,X,O,X
TILZJSO,O,O,X,O,O,O,X,X
TILZJOS,X,O,X,O,O,O,X,X
TILZSJO,O,O,X,O,O,O,X,X
TILZSOJ,O,O,X,X,X,O,X,X
TILZOJS,X,O,X,O,O,O,X,X
TILZOSJ,X,O,X,X,X,O,X,X
TILOJSZ,O,X,X,O,X,X,O,X
TILOJZS,O,X,X,O,X,X,X,X
TILOSJZ,O,X,X,X,X,X,O,X
TILOSZJ,O,X,X,X,X,X,O,X
TILOZJS,O,X,X,O,O,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X
TIJLSZO,O,O,X,O,X,X,O,X
TIJLSOZ,O,X,X,O,X,X,O,X
TIJLZSO,O,O,X,O,O,X,X,X
TIJLZOS,X,O,X,O,O,X,X,X
TIJLOSZ,O,X,X,O,X,X,O,X
TIJLOZS,O,X,X,O,X,X,X,X
TIJSLZO,O,O,X,O,X,X,O,X
TIJSLOZ,O,X,X,O,X,X,O,X
TIJSZLO,O,X,X,O,X,X,O,X
TIJSZOL,O,X,X,O,X,X,O,X
TIJSOLZ,O,X,X,O,X,X,O,X
TIJSOZL,O,X,X,O,X,X,O,X
TIJZLSO,X,X,X,O,O,X,X,X
TIJZLOS,X,X,X,O,O,X,X,X
TIJZSLO,X,X,X,O,O,X,O,X
TIJZSOL,X,X,X,O,X,X,O,X
TIJZOLS,X,X,X,O,O,X,X,X
TIJZOSL,X,X,X,O,X,X,O,X
TIJOLSZ,O,X,X,O,X,X,O,O
TIJOLZS,O,X,X,O,X,X,X,O
TIJOSLZ,O,X,X,O,X,X,O,O
TIJOSZL,O,X,X,O,X,X,O,O
TIJOZLS,O,X,X,O,X,X,X,O
TIJOZSL,O,X,X,O,X,X,O,O
TISLJZO,O,O,X,O,X,O,O,X
TISLJOZ,O,X,X,O,X,X,O,X
TISLZJO,O,O,X,O,O,O,O,X
TISLZOJ,O,O,X,X,X,O,O,X
TISLOJZ,O,X,X,X,X,X,O,X
TISLOZJ,O,X,X,X,X,X,O,X
TISJLZO,O,O,X,O,X,O,O,X
TISJLOZ,O,X,X,O,X,X,O,X
TISJZLO,O,X,X,O,X,O,O,X
TISJZOL,O,X,X,O,X,O,O,X
TISJOLZ,O,X,X,O,X,X,O,X
TISJOZL,O,X,X,O,X,X,O,X
TISZLJO,O,X,X,O,O,O,O,X
TISZLOJ,O,X,X,X,X,O,O,X
TISZJLO,O,X,X,O,O,O,O,X
TISZJOL,O,X,X,O,X,O,O,X
TISZOLJ,O,X,X,X,X,O,O,X
TISZOJL,O,X,X,X,X,O,O,X
TISOLJZ,O,X,X,X,X,X,O,X
TISOLZJ,O,X,X,X,X,X,O,X
TISOJLZ,O,X,X,X,X,X,O,X
TISOJZL,O,X,X,X,X,X,O,X
TISOZLJ,O,X,X,X,X,X,O,X
TISOZJL,O,X,X,X,X,X,O,X
TIZLJSO,X,X,X,O,O,O,X,X
