sequence,v115@FhB8FeD8CeH8AeH8Jex6IvhFXcB8hBCeBTfB2lBlpB,v115@FhB8FeD8CeH8AeH8JeT6IvhFxbB8hBCeBmgB/pBFqB,v115@FhB8FeD8CeH8AeH8Je2/IvhFRbBzcBCeBUhB/pBFqB,v115@FhB8FeD8CeH8AeH8JeK/IvhFzaBWiBxdB3gBUhBlpB,v115@FhB8FeD8CeH8AeH8Jey/IvhFWiBxdB3gBTfBUhBlpB,v115@FhB8FeD8CeH8AeH8JeT6IvhFibBWiBxdBUhB/pBFqB,v115@FhB8FeD8CeH8AeH8JeZ/IvhFufB3bBzcBCeBVmB8pB,v115@FhB8FeD8CeH8AeH8Jel6IvhFmcBCeBThBxkBclB/pB
TZLSOIJ,O,O,O,O,X,O,O,X
TZLSOJI,O,O,O,O,X,O,O,X
TZLOIJS,O,X,X,O,X,X,O,X
TZLOISJ,O,X,X,O,X,X,O,X
TZLOJIS,O,X,X,O,X,X,O,X
TZLOJSI,O,O,X,O,X,X,O,X
TZLOSIJ,O,X,O,O,X,X,O,X
TZLOSJI,O,X,O,O,X,X,O,X
TZJILSO,O,O,X,O,X,O,O,X
TZJILOS,O,X,X,O,X,X,O,X
TZJISLO,O,O,X,O,O,O,O,X
TZJISOL,O,O,X,X,X,O,O,X
TZJIOLS,O,X,X,X,X,X,O,X
TZJIOSL,O,X,X,X,X,X,O,X
TZJLISO,O,O,X,O,X,O,O,X
TZJLIOS,O,X,X,O,X,X,O,X
TZJLSIO,O,O,X,O,X,O,O,X
TZJLSOI,O,O,X,O,X,O,O,X
TZJLOIS,O,X,X,O,X,X,O,X
TZJLOSI,O,O,X,O,X,X,O,X
TZJSILO,O,O,X,O,O,O,O,X
TZJSIOL,O,O,X,X,X,O,O,X
TZJSLIO,O,O,X,O,O,O,O,X
TZJSLOI,O,O,X,O,O,O,O,X
TZJSOIL,O,O,X,X,X,O,O,X
TZJSOLI,O,O,X,X,X,O,O,X
TZJOILS,O,X,X,X,X,X,O,X
TZJOISL,O,X,X,X,X,X,O,X
TZJOLIS,O,X,X,X,X,X,O,X
TZJOLSI,O,O,X,X,X,X,O,X
TZJOSIL,O,O,X,X,X,X,O,X
TZJOSLI,O,O,X,X,X,X,O,X
TZSILJO,O,O,O,O,O,O,O,X
TZSILOJ,O,O,O,O,X,O,O,X
TZSIJLO,O,O,O,O,O,O,O,X
TZSIJOL,O,O,O,X,X,O,O,X
TZSIOLJ,O,O,O,X,X,O,O,X
TZSIOJL,O,O,O,X,X,O,O,X
TZSLIJO,O,O,O,O,O,O,O,X
TZSLIOJ,O,O,O,O,X,O,O,X
TZSLJIO,O,O,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,O,O,X
TZSLOIJ,O,O,O,O,X,O,O,X
TZSLOJI,O,O,O,O,X,O,O,X
TZSJILO,O,O,O,O,O,O,O,X
TZSJIOL,O,O,O,X,X,O,O,X
TZSJLIO,O,O,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,O,O,X
TZSJOIL,O,O,O,X,X,O,O,X
TZSJOLI,O,O,O,X,X,O,O,X
TZSOILJ,O,O,O,X,X,O,O,X
TZSOIJL,O,O,O,X,X,O,O,X
TZSOLIJ,O,O,O,X,X,O,O,X
TZSOLJI,O,O,O,X,X,O,O,X
TZSOJIL,O,O,O,X,X,O,O,X
TZSOJLI,O,O,O,X,X,O,O,X
TZOILJS,O,X,X,X,X,X,O,X
TZOILSJ,O,X,X,X,X,X,O,X
TZOIJLS,O,X,X,X,X,X,O,X
TZOIJSL,O,X,X,X,X,X,O,X
TZOISLJ,O,X,X,X,X,X,O,X
TZOISJL,O,X,X,X,X,X,O,X
TZOLIJS,O,X,X,X,X,X,O,X
TZOLISJ,O,X,X,X,X,X,O,X
TZOLJIS,O,X,X,X,X,X,O,X
TZOLJSI,O,O,X,X,X,X,O,X
TZOLSIJ,O,X,O,X,X,X,O,X
TZOLSJI,O,X,O,X,X,X,O,X
TZOJILS,O,X,X,X,X,X,O,X
TZOJISL,O,X,X,X,X,X,O,X
TZOJLIS,O,X,X,X,X,X,O,X
TZOJLSI,O,O,X,X,X,X,O,X
TZOJSIL,O,O,X,X,X,X,O,X
TZOJSLI,O,O,X,X,X,X,O,X
TZOSILJ,O,X,O,X,X,X,O,X
TZOSIJL,O,X,O,X,X,X,O,X
TZOSLIJ,O,X,O,X,X,X,O,X
TZOSLJI,O,X,O,X,X,X,O,X
TZOSJIL,O,X,O,X,X,X,O,X
TZOSJLI,O,X,O,X,X,X,O,X
TOILJSZ,O,X,X,O,X,X,X,O
TOILJZS,O,X,X,O,X,X,O,O
TOILSJZ,O,X,X,O,X,X,X,O
TOILSZJ,O,X,X,O,X,X,O,O
TOILZJS,O,X,X,O,X,X,O,O
TOILZSJ,O,X,X,O,X,X,O,O
TOIJLSZ,O,X,X,O,X,X,X,O
TOIJLZS,O,X,X,O,X,X,O,O
TOIJSLZ,O,X,X,O,O,X,X,O
TOIJSZL,O,X,X,X,X,X,X,O
TOIJZLS,O,X,X,X,X,X,O,O
TOIJZSL,O,X,X,X,X,X,O,O
TOISLJZ,O,X,X,O,O,X,X,O
TOISLZJ,O,X,X,O,X,X,O,O
TOISJLZ,O,X,X,O,O,X,X,O
TOISJZL,O,X,X,X,X,X,X,O
TOISZLJ,O,X,X,X,X,X,O,O
TOISZJL,O,X,X,X,X,X,O,O
TOIZLJS,O,X,X,X,X,X,O,O
TOIZLSJ,O,X,X,X,X,X,O,O
TOIZJLS,O,X,X,X,X,X,O,O
TOIZJSL,O,X,X,X,X,X,O,O
TOIZSLJ,O,X,X,X,X,X,O,O
TOIZSJL,O,X,X,X,X,X,O,O
TOLIJSZ,O,X,X,O,X,X,X,O
TOLIJZS,O,X,X,O,X,X,O,O
TOLISJZ,O,X,X,O,X,X,X,O
TOLISZJ,O,X,X,O,X,X,O,O
TOLIZJS,O,X,X,O,X,X,O,O
TOLIZSJ,O,X,X,O,X,X,O,O
TOLJISZ,O,X,X,O,X,X,X,O
TOLJIZS,O,X,X,O,X,X,O,O
TOLJSIZ,O,O,X,O,X,X,X,X
TOLJSZI,O,O,X,O,X,X,O,X
TOLJZIS,O,X,X,O,X,X,O,X
TOLJZSI,O,O,X,O,X,X,O,X
TOLSIJZ,O,X,O,O,X,X,X,X
TOLSIZJ,O,X,X,O,X,X,O,X
TOLSJIZ,O,X,O,O,X,X,X,X
TOLSJZI,O,X,O,O,X,X,O,X
TOLSZIJ,O,X,O,O,X,X,O,X
TOLSZJI,O,X,O,O,X,X,O,X
TOLZIJS,O,X,X,O,X,X,O,X
TOLZISJ,O,X,X,O,X,X,O,X
TOLZJIS,O,X,X,O,X,X,O,X
TOLZJSI,O,O,X,O,X,X,O,X
TOLZSIJ,O,X,O,O,X,X,O,X
TOLZSJI,O,X,O,O,X,X,O,X
TOJILSZ,O,X,X,O,X,X,X,O
TOJILZS,O,X,X,O,X,X,O,O
TOJISLZ,O,X,X,O,O,X,X,O
TOJISZL,O,X,X,X,X,X,X,O
TOJIZLS,O,X,X,X,X,X,O,O
TOJIZSL,O,X,X,X,X,X,O,O
TOJLISZ,O,X,X,O,X,X,X,O
TOJLIZS,O,X,X,O,X,X,O,O
TOJLSIZ,O,O,X,O,X,X,X,X
TOJLSZI,O,O,X,O,X,X,O,X
TOJLZIS,O,X,X,O,X,X,O,X
TOJLZSI,O,O,X,O,X,X,O,X
TOJSILZ,O,O,X,O,O,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,X,O,O,X,X,X
TOJSLZI,O,O,X,O,O,X,O,X
TOJSZIL,O,O,X,X,X,X,O,X
TOJSZLI,O,O,X,X,X,X,O,X
TOJZILS,O,X,X,X,X,X,O,X
TOJZISL,O,X,X,X,X,X,O,X
TOJZLIS,O,X,X,X,X,X,O,X
TOJZLSI,O,O,X,X,X,X,O,X
TOJZSIL,O,O,X,X,X,X,O,X
TOJZSLI,O,O,X,X,X,X,O,X
TOSILJZ,O,X,O,O,O,X,X,X
TOSILZJ,O,X,X,O,X,X,O,X
TOSIJLZ,O,X,O,O,O,X,X,X
TOSIJZL,O,X,O,X,X,X,X,X
TOSIZLJ,O,X,X,X,X,X,O,X
TOSIZJL,O,X,X,X,X,X,O,X
TOSLIJZ,O,X,O,O,O,X,X,X
TOSLIZJ,O,X,X,O,X,X,O,X
TOSLJIZ,O,X,O,O,O,X,X,X
TOSLJZI,O,X,O,O,O,X,O,X
TOSLZIJ,O,X,O,O,X,X,O,X
TOSLZJI,O,X,O,O,X,X,O,X
TOSJILZ,O,X,O,O,O,X,X,X
TOSJIZL,O,X,O,X,X,X,X,X
TOSJLIZ,O,X,O,O,O,X,X,X
TOSJLZI,O,X,O,O,O,X,O,X
TOSJZIL,O,X,O,X,X,X,O,X
TOSJZLI,O,X,O,X,X,X,O,X
TOSZILJ,O,X,O,X,X,X,O,X
TOSZIJL,O,X,O,X,X,X,O,X
TOSZLIJ,O,X,O,X,X,X,O,X
TOSZLJI,O,X,O,X,X,X,O,X
TOSZJIL,O,X,O,X,X,X,O,X
TOSZJLI,O,X,O,X,X,X,O,X
TOZILJS,O,X,X,X,X,X,O,X
TOZILSJ,O,X,X,X,X,X,O,X
TOZIJLS,O,X,X,X,X,X,O,X
TOZIJSL,O,X,X,X,X,X,O,X
TOZISLJ,O,X,X,X,X,X,O,X
TOZISJL,O,X,X,X,X,X,O,X
TOZLIJS,O,X,X,X,X,X,O,X
TOZLISJ,O,X,X,X,X,X,O,X
TOZLJIS,O,X,X,X,X,X,O,X
TOZLJSI,O,O,X,X,X,X,O,X
TOZLSIJ,O,X,O,X,X,X,O,X
TOZLSJI,O,X,O,X,X,X,O,X
TOZJILS,O,X,X,X,X,X,O,X
TOZJISL,O,X,X,X,X,X,O,X
TOZJLIS,O,X,X,X,X,X,O,X
TOZJLSI,O,O,X,X,X,X,O,X
TOZJSIL,O,O,X,X,X,X,O,X
TOZJSLI,O,O,X,X,X,X,O,X
TOZSILJ,O,X,O,X,X,X,O,X
TOZSIJL,O,X,O,X,X,X,O,X
TOZSLIJ,O,X,O,X,X,X,O,X
TOZSLJI,O,X,O,X,X,X,O,X
TOZSJIL,O,X,O,X,X,X,O,X
TOZSJLI,O,X,O,X,X,X,O,X
ITLJSZO,O,O,X,O,O,X,X,X
ITLJSOZ,X,O,X,O,O,X,X,X
ITLJZSO,O,O,X,O,X,X,O,X
ITLJZOS,O,X,X,O,X,X,O,X
ITLJOSZ,O,X,X,O,X,X,X,X
ITLJOZS,O,X,X,O,X,X,O,X
ITLSJZO,X,X,X,O,O,X,X,X
ITLSJOZ,X,X,X,O,O,X,X,X
ITLSZJO,X,X,X,O,O,X,O,X
ITLSZOJ,X,X,X,O,X,X,O,X
ITLSOJZ,X,X,X,O,O,X,X,X
ITLSOZJ,X,X,X,O,X,X,O,X
ITLZJSO,O,O,X,O,X,X,O,X
ITLZJOS,O,X,X,O,X,X,O,X
ITLZSJO,O,X,X,O,X,X,O,X
ITLZSOJ,O,X,X,O,X,X,O,X
ITLZOJS,O,X,X,O,X,X,O,X
ITLZOSJ,O,X,X,O,X,X,O,X
ITLOJSZ,O,X,X,O,X,X,X,O
ITLOJZS,O,X,X,O,X,X,O,O
ITLOSJZ,O,X,X,O,X,X,X,O
ITLOSZJ,O,X,X,O,X,X,O,O
ITLOZJS,O,X,X,O,X,X,O,O
ITLOZSJ,O,X,X,O,X,X,O,O
ITJLSZO,O,O,X,O,O,X,X,X
ITJLSOZ,X,O,X,O,O,X,X,X
ITJLZSO,O,O,X,O,X,X,O,X
ITJLZOS,O,X,X,O,X,X,O,X
ITJLOSZ,O,X,X,O,X,X,X,X
ITJLOZS,O,X,X,O,X,X,O,X
ITJSLZO,O,O,X,O,O,O,X,X
ITJSLOZ,X,O,X,O,O,O,X,X
ITJSZLO,O,O,X,O,O,O,X,X
ITJSZOL,O,O,X,X,X,O,X,X
ITJSOLZ,X,O,X,O,O,O,X,X
ITJSOZL,X,O,X,X,X,O,X,X
ITJZLSO,O,O,X,O,X,O,O,X
ITJZLOS,O,X,X,O,X,X,O,X
ITJZSLO,O,O,X,O,O,O,O,X
ITJZSOL,O,O,X,X,X,O,O,X
ITJZOLS,O,X,X,X,X,X,O,X
ITJZOSL,O,X,X,X,X,X,O,X
ITJOLSZ,O,X,X,O,X,X,X,X
ITJOLZS,O,X,X,O,X,X,O,X
ITJOSLZ,O,X,X,O,O,X,X,X
ITJOSZL,O,X,X,X,X,X,X,X
ITJOZLS,O,X,X,X,X,X,O,X
ITJOZSL,O,X,X,X,X,X,O,X
ITSLJZO,X,X,X,O,O,O,X,X
ITSLJOZ,X,X,X,O,O,O,X,X
ITSLZJO,X,X,X,O,O,O,O,X
ITSLZOJ,X,X,X,O,X,O,O,X
ITSLOJZ,X,X,X,O,O,O,X,X
ITSLOZJ,X,X,X,O,X,O,O,X
ITSJLZO,X,X,X,O,O,O,X,X
ITSJLOZ,X,X,X,O,O,O,X,X
ITSJZLO,X,X,X,O,O,O,X,X
ITSJZOL,X,X,X,X,X,O,X,X
ITSJOLZ,X,X,X,O,O,O,X,X
ITSJOZL,X,X,X,X,X,O,X,X
ITSZLJO,X,X,X,O,O,O,O,X
ITSZLOJ,X,X,X,O,X,O,O,X
ITSZJLO,X,X,X,O,O,O,O,X
ITSZJOL,X,X,X,X,X,O,O,X
ITSZOLJ,X,X,X,X,X,O,O,X
ITSZOJL,X,X,X,X,X,O,O,X
ITSOLJZ,X,X,X,O,O,O,X,X
ITSOLZJ,X,X,X,O,X,O,O,X
ITSOJLZ,X,X,X,O,O,O,X,X
ITSOJZL,X,X,X,X,X,O,X,X
ITSOZLJ,X,X,X,X,X,O,O,X
ITSOZJL,X,X,X,X,X,O,O,X
ITZLJSO,O,O,X,O,X,O,O,X
ITZLJOS,O,X,X,O,X,X,O,X
ITZLSJO,O,X,X,O,X,O,O,X
ITZLSOJ,O,X,X,O,X,O,O,X
ITZLOJS,O,X,X,O,X,X,O,X
ITZLOSJ,O,X,X,O,X,X,O,X
ITZJLSO,O,O,X,O,X,O,O,X
ITZJLOS,O,X,X,O,X,X,O,X
ITZJSLO,O,O,X,O,O,O,O,X
ITZJSOL,O,O,X,X,X,O,O,X
ITZJOLS,O,X,X,X,X,X,O,X
ITZJOSL,O,X,X,X,X,X,O,X
ITZSLJO,O,X,X,O,O,O,O,X
ITZSLOJ,O,X,X,O,X,O,O,X
ITZSJLO,O,X,X,O,O,O,O,X
ITZSJOL,O,X,X,X,X,O,O,X
ITZSOLJ,O,X,X,X,X,O,O,X
ITZSOJL,O,X,X,X,X,O,O,X
ITZOLJS,O,X,X,X,X,X,O,X
ITZOLSJ,O,X,X,X,X,X,O,X
ITZOJLS,O,X,X,X,X,X,O,X
ITZOJSL,O,X,X,X,X,X,O,X
ITZOSLJ,O,X,X,X,X,X,O,X
ITZOSJL,O,X,X,X,X,X,O,X
ITOLJSZ,O,X,X,O,X,X,X,O
ITOLJZS,O,X,X,O,X,X,O,O
ITOLSJZ,O,X,X,O,X,X,X,O
ITOLSZJ,O,X,X,O,X,X,O,O
ITOLZJS,O,X,X,O,X,X,O,O
ITOLZSJ,O,X,X,O,X,X,O,O
ITOJLSZ,O,X,X,O,X,X,X,O
ITOJLZS,O,X,X,O,X,X,O,O
ITOJSLZ,O,X,X,O,O,X,X,O
ITOJSZL,O,X,X,X,X,X,X,O
ITOJZLS,O,X,X,X,X,X,O,O
ITOJZSL,O,X,X,X,X,X,O,O
ITOSLJZ,O,X,X,O,O,X,X,O
ITOSLZJ,O,X,X,O,X,X,O,O
ITOSJLZ,O,X,X,O,O,X,X,O
ITOSJZL,O,X,X,X,X,X,X,O
ITOSZLJ,O,X,X,X,X,X,O,O
ITOSZJL,O,X,X,X,X,X,O,O
ITOZLJS,O,X,X,X,X,X,O,O
ITOZLSJ,O,X,X,X,X,X,O,O
ITOZJLS,O,X,X,X,X,X,O,O
ITOZJSL,O,X,X,X,X,X,O,O
ITOZSLJ,O,X,X,X,X,X,O,O
ITOZSJL,O,X,X,X,X,X,O,O
ILTJSZO,O,O,X,O,O,X,X,X
ILTJSOZ,X,O,X,O,O,X,X,X
ILTJZSO,O,O,X,O,X,X,O,X
ILTJZOS,O,X,X,O,X,X,O,X
ILTJOSZ,O,X,X,O,X,X,X,X
ILTJOZS,O,X,X,O,X,X,O,X
ILTSJZO,X,X,X,O,O,X,X,X
ILTSJOZ,X,X,X,O,O,X,X,X
ILTSZJO,X,X,X,O,O,X,O,X
ILTSZOJ,X,X,X,O,X,X,O,X
ILTSOJZ,X,X,X,O,O,X,X,X
ILTSOZJ,X,X,X,O,X,X,O,X
ILTZJSO,O,O,X,O,X,X,O,X
ILTZJOS,O,X,X,O,X,X,O,X
ILTZSJO,O,X,X,O,X,X,O,X
ILTZSOJ,O,X,X,O,X,X,O,X
ILTZOJS,O,X,X,O,X,X,O,X
ILTZOSJ,O,X,X,O,X,X,O,X
ILTOJSZ,O,X,X,O,X,X,X,O
ILTOJZS,O,X,X,O,X,X,O,O
ILTOSJZ,O,X,X,O,X,X,X,O
ILTOSZJ,O,X,X,O,X,X,O,O
ILTOZJS,O,X,X,O,X,X,O,O
ILTOZSJ,O,X,X,O,X,X,O,O
ILJTSZO,O,O,X,O,O,X,X,X
ILJTSOZ,X,O,X,O,O,X,X,X
ILJTZSO,O,O,X,O,X,X,O,X
ILJTZOS,O,X,X,O,X,X,O,X
ILJTOSZ,O,X,X,O,X,X,X,X
ILJTOZS,O,X,X,O,X,X,O,X
ILJSTZO,X,X,X,O,O,O,X,X
ILJSTOZ,X,X,X,O,O,O,X,X
ILJSZTO,O,O,X,X,O,O,X,X
ILJSZOT,O,O,X,X,O,O,X,X
ILJSOTZ,X,X,X,X,O,O,X,X
ILJSOZT,X,O,X,X,O,O,X,X
ILJZTSO,O,O,X,X,X,O,O,X
ILJZTOS,O,X,X,X,X,X,O,X
ILJZSTO,O,O,X,X,X,O,O,X
ILJZSOT,O,O,X,X,X,O,X,X
ILJZOTS,X,X,X,X,X,X,O,X
ILJZOST,O,O,X,X,X,O,X,X
ILJOTSZ,X,X,X,X,X,X,X,O
ILJOTZS,X,X,X,X,X,X,O,O
ILJOSTZ,X,X,X,X,X,X,X,O
ILJOSZT,X,X,X,X,X,X,X,O
ILJOZTS,X,X,X,X,X,X,X,O
ILJOZST,O,X,X,X,X,X,X,O
ILSTJZO,X,O,O,O,O,O,X,X
ILSTJOZ,X,O,O,O,O,O,X,X
ILSTZJO,X,O,O,O,O,O,O,X
ILSTZOJ,X,O,O,O,X,O,O,X
ILSTOJZ,X,O,O,O,O,O,X,X
ILSTOZJ,X,O,X,O,X,O,O,X
ILSJTZO,X,X,O,O,O,O,X,X
ILSJTOZ,X,X,O,O,O,O,X,X
ILSJZTO,X,O,O,X,O,O,X,X
ILSJZOT,X,O,O,X,O,O,X,X
ILSJOTZ,X,X,O,X,O,O,X,X
ILSJOZT,X,O,O,X,O,O,X,X
ILSZTJO,X,O,O,X,X,O,O,X
ILSZTOJ,X,O,O,X,X,O,O,X
ILSZJTO,X,O,O,X,O,O,O,X
ILSZJOT,X,O,O,X,O,O,X,X
ILSZOTJ,X,O,O,X,X,O,X,X
ILSZOJT,X,O,O,X,X,O,X,X
ILSOTJZ,X,O,O,X,X,O,X,O
ILSOTZJ,X,O,X,X,X,O,O,O
ILSOJTZ,X,X,O,X,O,O,X,O
ILSOJZT,X,O,O,X,O,O,X,O
ILSOZTJ,X,O,O,X,X,O,X,O
ILSOZJT,X,O,O,X,X,O,X,O
ILZTJSO,O,O,X,X,X,O,O,X
ILZTJOS,O,X,X,X,X,X,O,X
ILZTSJO,O,O,X,X,X,O,O,X
ILZTSOJ,O,O,X,X,X,O,O,X
ILZTOJS,O,X,X,X,X,X,O,X
ILZTOSJ,O,X,X,X,X,X,O,X
ILZJTSO,O,O,X,X,X,O,O,X
ILZJTOS,O,X,X,X,X,X,O,X
ILZJSTO,O,O,X,X,X,O,O,X
ILZJSOT,O,O,X,X,X,O,X,X
ILZJOTS,X,X,X,X,X,X,O,X
ILZJOST,O,O,X,X,X,O,X,X
ILZSTJO,O,O,O,X,X,O,O,X
ILZSTOJ,O,O,O,X,X,O,O,X
ILZSJTO,O,O,O,X,X,O,O,X
ILZSJOT,O,O,O,X,X,O,X,X
ILZSOTJ,O,O,O,X,X,O,X,X
ILZSOJT,O,O,O,X,X,O,X,X
ILZOTJS,X,X,X,X,X,X,O,O
ILZOTSJ,X,X,X,X,X,X,O,O
ILZOJTS,X,X,X,X,X,X,O,O
ILZOJST,X,O,X,X,X,O,X,O
ILZOSTJ,X,O,O,X,X,O,X,O
ILZOSJT,X,O,O,X,X,O,X,O
ILOTJSZ,X,X,X,X,X,X,X,O
ILOTJZS,X,X,X,X,X,X,O,O
ILOTSJZ,X,X,X,X,X,X,X,O
ILOTSZJ,X,X,X,X,X,X,O,O
ILOTZJS,X,X,X,X,X,X,O,O
ILOTZSJ,X,X,X,X,X,X,O,O
ILOJTSZ,X,X,X,X,X,X,X,O
ILOJTZS,X,X,X,X,X,X,O,O
ILOJSTZ,X,X,X,X,X,X,X,O
ILOJSZT,X,X,X,X,X,X,X,O
ILOJZTS,X,X,X,X,X,X,X,O
ILOJZST,X,X,X,X,X,X,X,O
ILOSTJZ,X,X,O,X,X,X,X,O
ILOSTZJ,X,X,X,X,X,X,O,O
ILOSJTZ,X,X,O,X,X,X,X,O
ILOSJZT,X,X,O,X,X,X,X,O
ILOSZTJ,X,X,O,X,X,X,X,O
ILOSZJT,X,X,O,X,X,X,X,O
ILOZTJS,X,X,X,X,X,X,O,O
ILOZTSJ,X,X,X,X,X,X,O,O
ILOZJTS,X,X,X,X,X,X,O,O
ILOZJST,X,X,X,X,X,X,X,O
ILOZSTJ,X,X,O,X,X,X,X,O
ILOZSJT,X,X,O,X,X,X,X,O
IJTLSZO,O,O,X,O,O,X,X,X
IJTLSOZ,X,O,X,O,O,X,X,X
IJTLZSO,O,O,X,O,X,X,O,X
IJTLZOS,O,X,X,O,X,X,O,X
IJTLOSZ,O,X,X,O,X,X,X,X
IJTLOZS,O,X,X,O,X,X,O,X
IJTSLZO,O,O,X,O,O,O,X,X
IJTSLOZ,X,O,X,O,O,O,X,X
IJTSZLO,O,O,X,O,O,O,X,X
IJTSZOL,O,O,X,X,X,O,X,X
IJTSOLZ,X,O,X,O,O,O,X,X
IJTSOZL,X,O,X,X,X,O,X,X
IJTZLSO,O,O,X,O,X,O,O,X
IJTZLOS,O,X,X,O,X,X,O,X
IJTZSLO,O,O,X,O,O,O,O,X
IJTZSOL,O,O,X,X,X,O,O,X
IJTZOLS,O,X,X,X,X,X,O,X
IJTZOSL,O,X,X,X,X,X,O,X
IJTOLSZ,O,X,X,O,X,X,X,X
IJTOLZS,O,X,X,O,X,X,O,X
IJTOSLZ,O,X,X,O,O,X,X,X
IJTOSZL,O,X,X,X,X,X,X,X
IJTOZLS,O,X,X,X,X,X,O,X
IJTOZSL,O,X,X,X,X,X,O,X
IJLTSZO,O,O,X,O,O,X,X,X
IJLTSOZ,X,O,X,O,O,X,X,X
IJLTZSO,O,O,X,O,X,X,O,X
IJLTZOS,O,X,X,O,X,X,O,X
IJLTOSZ,O,X,X,O,X,X,X,X
IJLTOZS,O,X,X,O,X,X,O,X
IJLSTZO,X,X,X,O,O,O,X,X
IJLSTOZ,X,X,X,O,O,O,X,X
IJLSZTO,O,O,X,X,O,O,X,X
IJLSZOT,O,O,X,X,O,O,X,X
IJLSOTZ,X,X,X,X,O,O,X,X
IJLSOZT,X,O,X,X,O,O,X,X
IJLZTSO,O,O,X,X,X,O,O,X
IJLZTOS,O,X,X,X,X,X,O,X
IJLZSTO,O,O,X,X,X,O,O,X
IJLZSOT,O,O,X,X,X,O,X,X
IJLZOTS,X,X,X,X,X,X,O,X
IJLZOST,O,O,X,X,X,O,X,X
IJLOTSZ,X,X,X,X,X,X,X,O
IJLOTZS,X,X,X,X,X,X,O,O
IJLOSTZ,X,X,X,X,X,X,X,O
IJLOSZT,X,X,X,X,X,X,X,O
IJLOZTS,X,X,X,X,X,X,X,O
IJLOZST,O,X,X,X,X,X,X,O
IJSTLZO,X,X,X,O,O,O,X,X
IJSTLOZ,X,X,X,O,O,O,X,X
IJSTZLO,X,X,X,O,O,O,X,X
IJSTZOL,X,X,X,X,X,O,X,X
IJSTOLZ,X,X,X,O,O,O,X,X
IJSTOZL,X,X,X,X,X,O,X,X
IJSLTZO,X,X,X,O,O,O,X,X
IJSLTOZ,X,X,X,O,O,O,X,X
IJSLZTO,O,O,X,X,O,O,X,X
IJSLZOT,O,O,X,X,O,O,X,X
IJSLOTZ,X,X,X,X,O,O,X,X
IJSLOZT,X,O,X,X,O,O,X,X
IJSZTLO,O,O,X,O,O,O,X,X
IJSZTOL,X,O,X,X,X,O,X,X
IJSZLTO,O,O,X,X,O,O,X,X
IJSZLOT,O,O,X,X,O,O,X,X
IJSZOTL,X,O,X,X,X,O,X,X
IJSZOLT,O,O,X,X,X,O,X,X
IJSOTLZ,X,X,X,O,O,O,X,X
IJSOTZL,X,X,X,X,X,O,X,X
IJSOLTZ,X,X,X,X,O,O,X,X
IJSOLZT,X,O,X,X,O,O,X,X
IJSOZTL,X,O,X,X,X,O,X,X
IJSOZLT,X,O,X,X,X,O,X,X
IJZTLSO,O,O,X,O,X,O,O,X
IJZTLOS,O,X,X,O,X,X,O,X
IJZTSLO,O,O,X,O,O,O,O,X
IJZTSOL,O,O,X,X,X,O,O,X
IJZTOLS,O,X,X,X,X,X,O,X
IJZTOSL,O,X,X,X,X,X,O,X
IJZLTSO,O,O,X,X,X,O,O,X
IJZLTOS,O,X,X,X,X,X,O,X
IJZLSTO,O,O,X,X,X,O,O,X
IJZLSOT,O,O,X,X,X,O,X,X
IJZLOTS,X,X,X,X,X,X,O,X
IJZLOST,O,O,X,X,X,O,X,X
IJZSTLO,O,O,X,O,O,O,O,X
IJZSTOL,O,O,X,X,X,O,O,X
IJZSLTO,O,O,X,X,O,O,O,X
IJZSLOT,O,O,X,X,O,O,X,X
IJZSOTL,X,O,X,X,X,O,X,X
IJZSOLT,O,O,X,X,X,O,X,X
IJZOTLS,X,X,X,X,X,X,O,X
IJZOTSL,X,X,X,X,X,X,O,X
IJZOLTS,X,X,X,X,X,X,O,X
IJZOLST,O,O,X,X,X,O,X,X
IJZOSTL,X,O,X,X,X,O,X,X
IJZOSLT,O,O,X,X,X,O,X,X
IJOTLSZ,X,X,X,O,X,X,X,O
IJOTLZS,X,X,X,O,X,X,O,O
IJOTSLZ,X,X,X,O,O,X,X,O
IJOTSZL,X,X,X,X,X,X,X,O
IJOTZLS,X,X,X,X,X,X,O,O
IJOTZSL,X,X,X,X,X,X,O,O
IJOLTSZ,X,X,X,X,X,X,X,O
IJOLTZS,X,X,X,X,X,X,O,O
IJOLSTZ,X,X,X,X,X,X,X,O
IJOLSZT,X,X,X,X,X,X,X,O
IJOLZTS,X,X,X,X,X,X,X,O
IJOLZST,O,X,X,X,X,X,X,O
IJOSTLZ,X,X,X,O,O,O,X,O
IJOSTZL,X,X,X,X,X,O,X,O
IJOSLTZ,X,X,X,X,O,O,X,O
IJOSLZT,X,X,X,X,O,O,X,O
IJOSZTL,X,X,X,X,X,O,X,O
IJOSZLT,X,X,X,X,X,O,X,O
IJOZTLS,X,X,X,X,X,X,X,O
IJOZTSL,X,X,X,X,X,X,X,O
IJOZLTS,X,X,X,X,X,X,X,O
IJOZLST,O,X,X,X,X,O,X,O
IJOZSTL,X,X,X,X,X,O,X,O
IJOZSLT,O,X,X,X,X,O,X,O
ISTLJZO,X,O,O,O,O,O,X,X
ISTLJOZ,X,O,O,O,O,O,X,X
ISTLZJO,X,O,O,O,O,O,O,X
