sequence,v115@FhB8FeD8CeH8AeH8Jex6IvhFXcB8hBCeBTfB2lBlpB,v115@FhB8FeD8CeH8AeH8JeT6IvhFxbB8hBCeBmgB/pBFqB,v115@FhB8FeD8CeH8AeH8Je2/IvhFRbBzcBCeBUhB/pBFqB,v115@FhB8FeD8CeH8AeH8JeK/IvhFzaBWiBxdB3gBUhBlpB,v115@FhB8FeD8CeH8AeH8Jey/IvhFWiBxdB3gBTfBUhBlpB,v115@FhB8FeD8CeH8AeH8JeT6IvhFibBWiBxdBUhB/pBFqB,v115@FhB8FeD8CeH8AeH8JeZ/IvhFufB3bBzcBCeBVmB8pB,v115@FhB8FeD8CeH8AeH8Jel6IvhFmcBCeBThBxkBclB/pB
TISOJZL,X,X,X,X,X,O,X,X
TISOZLJ,X,X,X,X,X,O,O,X
TISOZJL,X,X,X,X,X,O,O,X
TIZLJSO,O,O,X,O,X,O,O,X
TIZLJOS,O,X,X,O,X,X,O,X
TIZLSJO,O,X,X,O,X,O,O,X
TIZLSOJ,O,X,X,O,X,O,O,X
TIZLOJS,O,X,X,O,X,X,O,X
TIZLOSJ,O,X,X,O,X,X,O,X
TIZJLSO,O,O,X,O,X,O,O,X
TIZJLOS,O,X,X,O,X,X,O,X
TIZJSLO,O,O,X,O,O,O,O,X
TIZJSOL,O,O,X,X,X,O,O,X
TIZJOLS,O,X,X,X,X,X,O,X
TIZJOSL,O,X,X,X,X,X,O,X
TIZSLJO,O,X,X,O,O,O,O,X
TIZSLOJ,O,X,X,O,X,O,O,X
TIZSJLO,O,X,X,O,O,O,O,X
TIZSJOL,O,X,X,X,X,O,O,X
TIZSOLJ,O,X,X,X,X,O,O,X
TIZSOJL,O,X,X,X,X,O,O,X
TIZOLJS,O,X,X,X,X,X,O,X
TIZOLSJ,O,X,X,X,X,X,O,X
TIZOJLS,O,X,X,X,X,X,O,X
TIZOJSL,O,X,X,X,X,X,O,X
TIZOSLJ,O,X,X,X,X,X,O,X
TIZOSJL,O,X,X,X,X,X,O,X
TIOLJSZ,O,X,X,O,X,X,X,O
TIOLJZS,O,X,X,O,X,X,O,O
TIOLSJZ,O,X,X,O,X,X,X,O
TIOLSZJ,O,X,X,O,X,X,O,O
TIOLZJS,O,X,X,O,X,X,O,O
TIOLZSJ,O,X,X,O,X,X,O,O
TIOJLSZ,O,X,X,O,X,X,X,O
TIOJLZS,O,X,X,O,X,X,O,O
TIOJSLZ,O,X,X,O,O,X,X,O
TIOJSZL,O,X,X,X,X,X,X,O
TIOJZLS,O,X,X,X,X,X,O,O
TIOJZSL,O,X,X,X,X,X,O,O
TIOSLJZ,O,X,X,O,O,X,X,O
TIOSLZJ,O,X,X,O,X,X,O,O
TIOSJLZ,O,X,X,O,O,X,X,O
TIOSJZL,O,X,X,X,X,X,X,O
TIOSZLJ,O,X,X,X,X,X,O,O
TIOSZJL,O,X,X,X,X,X,O,O
TIOZLJS,O,X,X,X,X,X,O,O
TIOZLSJ,O,X,X,X,X,X,O,O
TIOZJLS,O,X,X,X,X,X,O,O
TIOZJSL,O,X,X,X,X,X,O,O
TIOZSLJ,O,X,X,X,X,X,O,O
TIOZSJL,O,X,X,X,X,X,O,O
TLIJSZO,O,O,X,O,O,X,X,X
TLIJSOZ,X,O,X,O,O,X,X,X
TLIJZSO,O,O,X,O,X,X,O,X
TLIJZOS,O,X,X,O,X,X,O,X
TLIJOSZ,O,X,X,O,X,X,X,X
TLIJOZS,O,X,X,O,X,X,O,X
TLISJZO,X,X,X,O,O,X,X,X
TLISJOZ,X,X,X,O,O,X,X,X
TLISZJO,X,X,X,O,O,X,O,X
TLISZOJ,X,X,X,O,X,X,O,X
TLISOJZ,X,X,X,O,O,X,X,X
TLISOZJ,X,X,X,O,X,X,O,X
TLIZJSO,O,O,X,O,X,X,O,X
TLIZJOS,O,X,X,O,X,X,O,X
TLIZSJO,O,X,X,O,X,X,O,X
TLIZSOJ,O,X,X,O,X,X,O,X
TLIZOJS,O,X,X,O,X,X,O,X
TLIZOSJ,O,X,X,O,X,X,O,X
TLIOJSZ,O,X,X,O,X,X,X,O
TLIOJZS,O,X,X,O,X,X,O,O
TLIOSJZ,O,X,X,O,X,X,X,O
TLIOSZJ,O,X,X,O,X,X,O,O
TLIOZJS,O,X,X,O,X,X,O,O
TLIOZSJ,O,X,X,O,X,X,O,O
TLJISZO,O,O,X,O,O,X,X,X
TLJISOZ,X,O,X,O,O,X,X,X
TLJIZSO,O,O,X,O,X,X,O,X
TLJIZOS,O,X,X,O,X,X,O,X
TLJIOSZ,O,X,X,O,X,X,X,X
TLJIOZS,O,X,X,O,X,X,O,X
TLJSIZO,O,O,X,O,O,X,X,X
TLJSIOZ,X,O,X,O,O,X,X,X
TLJSZIO,O,O,X,O,O,X,O,X
TLJSZOI,O,O,X,O,O,X,O,X
TLJSOIZ,O,O,X,O,O,X,X,X
TLJSOZI,O,O,X,O,O,X,O,X
TLJZISO,O,O,X,O,X,X,O,X
TLJZIOS,O,X,X,O,X,X,O,X
TLJZSIO,O,O,X,O,X,X,O,X
TLJZSOI,O,O,X,O,X,X,O,X
TLJZOIS,O,X,X,O,X,X,O,X
TLJZOSI,O,O,X,O,X,X,O,X
TLJOISZ,O,X,X,O,X,X,X,O
TLJOIZS,O,X,X,O,X,X,O,O
TLJOSIZ,O,O,X,O,X,X,X,X
TLJOSZI,O,O,X,O,X,X,O,X
TLJOZIS,O,X,X,O,X,X,O,X
TLJOZSI,O,O,X,O,X,X,O,X
TLSIJZO,X,O,O,O,O,X,X,X
TLSIJOZ,X,O,O,O,O,X,X,X
TLSIZJO,X,O,O,O,O,X,O,X
TLSIZOJ,X,O,O,O,X,X,O,X
TLSIOJZ,X,O,O,O,O,X,X,X
TLSIOZJ,X,O,X,O,X,X,O,X
TLSJIZO,O,O,O,O,O,X,X,X
TLSJIOZ,X,O,O,O,O,X,X,X
TLSJZIO,O,O,O,O,O,X,O,X
TLSJZOI,O,O,O,O,O,X,O,X
TLSJOIZ,O,O,O,O,O,X,X,X
TLSJOZI,O,O,O,O,O,X,O,X
TLSZIJO,O,O,O,O,O,X,O,X
TLSZIOJ,O,O,O,O,X,X,O,X
TLSZJIO,O,O,O,O,O,X,O,X
TLSZJOI,O,O,O,O,O,X,O,X
TLSZOIJ,O,O,O,O,X,X,O,X
TLSZOJI,O,O,O,O,X,X,O,X
