sequence,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFmdBclBThBK?nBfoBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFRdBclB3hBa?oBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF/iBajBclBT?hB2sBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhFRdB/nBaoBT?lBOrB0rB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFSiBZjBclB3?hBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Je07IvhFlcB3dBeoBT?lBxmBirB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhF3dBZmBqrBe?tBUnBTqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFidBclBThBm?nB3nBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF2iBclBThB3?iBysBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeR9IvhF/nBaoBTlB0?mBFmBmqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel8IvhFajBUhBTiBO?lBfrBRxB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeX8IvhFFiB8nBxlBT?lBmnBirB
TILJSZO,X,O,X,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,O,X,X,X,X,X
TILJZSO,X,O,X,X,X,X,O,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X,X,O,X,X,X
TILJOSZ,X,X,X,O,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,O,X,X,X,X,O,X,X,X
TILSJZO,O,O,X,X,X,X,O,X,X,X,X,X
TILSJOZ,O,X,X,O,X,X,O,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,O,X,O,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,O,O,X,O,X,X,X,X,X,X,O,X
TILZJSO,O,O,X,X,X,X,O,X,X,X,X,X
TILZJOS,X,O,X,X,O,X,X,X,O,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,O,X,O,X,X,X,X,O,X,X,X
TILZOJS,O,O,X,O,O,X,X,X,O,X,X,X
TILZOSJ,O,X,X,O,O,X,X,X,O,X,X,X
TILOJSZ,X,X,X,O,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,O,O,X,X,X,O,X,X,X
TILOSJZ,O,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,O,O,X,O,O,X,X,X,X,X,O,X
TILOZJS,O,O,X,O,O,X,X,X,O,X,X,X
TILOZSJ,O,X,X,O,O,X,X,X,O,X,X,X
TIJLSZO,X,X,X,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,O,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,O,O,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,O,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,O,X,X,X,X
TIJSLZO,X,X,O,X,X,X,O,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,X,O,X,X,X,X,X
TIJSZLO,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,O,X,X,X,O,O,X,X,X,X
TIJZLOS,X,X,X,X,O,X,X,O,X,X,X,X
TIJZSLO,X,X,O,X,X,X,X,O,X,X,X,X
TIJZSOL,X,X,O,X,O,X,X,X,X,X,X,X
TIJZOLS,X,X,O,X,O,X,X,O,X,X,X,X
TIJZOSL,X,X,O,X,O,X,X,O,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,O,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,O,O,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,O,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,O,X,O,X,O,O,X,X,X,X
TIJOZSL,X,X,O,X,O,X,X,O,X,X,X,X
