sequence,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFGjBilBfsBlnBUr?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFihBGjBRnBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThBxiBesBftB6t?BFrB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhF2mBRiBSoBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFFjBTlBKrBfsB0n?B+tB,v115@9gC8GeB8HeB8HeD8CeA8LeaGJvhFfnBxiBTlBGoB1w?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFymBziB5oBXmB1w?BmsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlBcrBysB+t?BXsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlB3mBGoByw?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThB2nB5oBatBFr?BXsB,v115@9gC8GeB8HeB8HeD8CeA8Le3AJvhFSoBlmBmqBxsBzr?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFTlBKrBfsBlnBct?BGtB,v115@9gC8GeB8HeB8HeD8CeA8LezAJvhF6oB2qBRnB3rBUt?BFsB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhF0hBGjB3nBxqBTt?BywB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhFfnB0iBStBxqB2w?BTtB
TISZOLJ,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
TISZOJL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TISOLJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TISOLZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TISOJLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TISOJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TISOZJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZLJSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TIZLSOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
TIZLOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZJLSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TIZJSOL,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TIZJOLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZSLJO,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TIZSLOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
TIZSJLO,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TIZSJOL,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
TIZSOJL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TIZOLJS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZOJLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZOSLJ,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TIZOSJL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TIOLJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOLJZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOLSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOLZJS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOJLSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOJLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOJSZL,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOJZLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOSLJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOSLZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOSJLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TIOSZJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZLJS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZJLS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOZSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZSJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIJSZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
TLIJSOZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O
TLISJOZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
