sequence,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFGjBilBfsBlnBUr?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFihBGjBRnBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThBxiBesBftB6t?BFrB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhF2mBRiBSoBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFFjBTlBKrBfsB0n?B+tB,v115@9gC8GeB8HeB8HeD8CeA8LeaGJvhFfnBxiBTlBGoB1w?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFymBziB5oBXmB1w?BmsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlBcrBysB+t?BXsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlB3mBGoByw?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThB2nB5oBatBFr?BXsB,v115@9gC8GeB8HeB8HeD8CeA8Le3AJvhFSoBlmBmqBxsBzr?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFTlBKrBfsBlnBct?BGtB,v115@9gC8GeB8HeB8HeD8CeA8LezAJvhF6oB2qBRnB3rBUt?BFsB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhF0hBGjB3nBxqBTt?BywB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhFfnB0iBStBxqB2w?BTtB
IZJTSOL,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
IZJTOLS,X,X,O,X,X,O,O,O,O,X,X,X,O,X,X
IZJTOSL,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X
IZJLTSO,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IZJLTOS,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
IZJLSTO,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X
IZJLSOT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZJLOTS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
IZJLOST,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZJSTLO,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
IZJSTOL,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X
IZJSLTO,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
IZJSLOT,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
IZJSOTL,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
IZJSOLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZJOTLS,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X
IZJOTSL,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X
IZJOLTS,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
IZJOLST,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZJOSTL,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZJOSLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZSTLJO,O,O,X,O,X,X,O,X,X,O,X,X,O,X,O
IZSTLOJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
IZSTJLO,O,O,O,O,X,X,O,X,X,O,X,X,O,X,O
IZSTJOL,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
IZSTOLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O
IZSTOJL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSLTJO,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O
IZSLTOJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZSLJTO,X,O,O,O,X,X,X,X,X,O,X,X,O,X,O
IZSLJOT,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSLOTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSLOJT,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSJTLO,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O
IZSJTOL,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IZSJLTO,X,O,O,O,X,X,X,X,X,O,X,X,O,X,O
IZSJLOT,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSJOTL,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IZSJOLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IZSOTLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O
IZSOTJL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSOLTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSOLJT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IZSOJTL,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
IZSOJLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOTLJS,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X
IZOTJLS,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
IZOTJSL,O,O,X,O,X,O,O,X,O,X,X,X,X,O,X
IZOTSLJ,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X
IZOTSJL,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X
IZOLTJS,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOLTSJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IZOLJTS,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZOLJST,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
IZOLSTJ,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZOLSJT,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X
IZOJTLS,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZOJTSL,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X
IZOJLTS,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZOJLST,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
IZOJSTL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
IZOJSLT,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IZOSTLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IZOSTJL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IZOSLTJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOSLJT,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
IZOSJTL,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X
IZOSJLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOTLJSZ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X
IOTLJZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
IOTLSZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O
IOTLZJS,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IOTJLSZ,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X
IOTJLZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X
IOTJSZL,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X
IOTJZLS,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IOTSLJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSLZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O
IOTSJLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSZLJ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IOTSZJL,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZLJS,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IOTZJLS,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X
IOTZJSL,O,X,X,X,X,O,O,O,O,X,X,X,X,O,X
IOTZSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZSJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLTJSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOLTJZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOLTSZJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOLTZJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOLJTSZ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IOLJTZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IOLJSZT,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
IOLJZTS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOLSTJZ,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X
IOLSTZJ,O,X,X,O,X,X,X,X,O,X,X,O,X,O,O
IOLSJTZ,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X
IOLSJZT,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
IOLSZTJ,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O
IOLSZJT,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X
IOLZTJS,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IOLZTSJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOLZJTS,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
IOLZJST,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOLZSTJ,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOLZSJT,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X
IOJTLSZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOJTLZS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOJTSZL,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJTZLS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJTZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJLTSZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOJLTZS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOJLSZT,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOJLZTS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJLZST,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOJSTLZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOJSTZL,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJSLTZ,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IOJSLZT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJSZTL,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJSZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJZLTS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJZLST,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOJZSTL,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJZSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IOSTJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTZLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IOSTZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSLTJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSLTZJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O
IOSLJTZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSLJZT,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
IOSLZTJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O
IOSLZJT,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
IOSJTLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSJTZL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSJLTZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSJLZT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O
IOSZTJL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOSZLTJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O
IOSZLJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSZJTL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOSZJLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X
IOZTJLS,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
IOZTJSL,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X
IOZTSLJ,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X
IOZTSJL,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X
IOZLTJS,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZLTSJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOZLJTS,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
IOZLJST,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOZLSTJ,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOZLSJT,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X
IOZJTLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,O,X,O,O,X,X,X,X,O,X
IOZJLTS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
IOZJLST,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IOZJSTL,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X
IOZJSLT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZSTLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOZSTJL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOZSLTJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZSLJT,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZSJTL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOZSJLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
LTIJSOZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJOZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTISJZO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O
LTISJOZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTISZJO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTISZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTISOJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTIZJSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZSJO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTIZSOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTIZOJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTIOZJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIZOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIOZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJSIZO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJSZOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJSOZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZISO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJZIOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJZSIO,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJZSOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZOSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJOIZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJOSIZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJOSZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOZSI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSIJZO,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
LTSIJOZ,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
LTSIZJO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSIOJZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSIOZJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSJIZO,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
LTSJIOZ,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
LTSJZIO,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
LTSJZOI,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X
LTSJOIZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSJOZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSZIJO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTSZIOJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSZJIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTSZJOI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTSZOIJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSZOJI,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSOIJZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSOIZJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSOJIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSOJZI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSOZJI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTZIJSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZIJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZISJO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZISOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZJIOS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTZJSIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZJSOI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZJOIS,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZJOSI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZSIJO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTZSJIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZSJOI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTZSOJI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTZOIJS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZOISJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZOJIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZOJSI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTZOSJI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOIJSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOIJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOISJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOISZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOIZJS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTOIZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOJIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTOJSZI,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTOJZIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTOJZSI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTOSIJZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOSIZJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOSJIZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOSJZI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOSZIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOSZJI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOZIJS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTOZISJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOZJIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTOZJSI,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTOZSIJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOZSJI,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LITJSZO,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O
LITJSOZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LITJZSO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LITJZOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LITJOSZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
LITJOZS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LITSJZO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
LITSJOZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LITSZJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LITSZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LITSOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LITZJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITZJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITZSJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LITZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LITZOJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITOJSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LITOJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LITOZJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIJTSZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LIJTSOZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LIJTZSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LIJTZOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJTOSZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LIJTOZS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJSTZO,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LIJSTOZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LIJSZTO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LIJSZOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJSOTZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LIJSOZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZTSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
