sequence,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhFWhBxdB?0iB6oBlmBXrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhFCcBmdB?5jB0iBlmBXrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeWAJvhFTcB/iB?ajB5jBlmB0qB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8Jez6IvhF/iBajB?5jBlmBuqBcrB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeWAJvhFlcBajB?5jB/mBTnB0qB,v115@zgA8IeA8IeD8FeE8AeC8AeC8BeE8JeC7IvhFlcBzdB?5jB/mB2sB0qB
TOJSLIZ,X,X,O,O,O,X
TOJSLZI,O,X,O,X,O,X
TOJSZIL,X,X,O,X,O,X
TOJSZLI,O,X,O,X,O,X
TOJZILS,O,O,X,X,X,X
TOJZISL,X,O,O,X,X,X
TOJZLIS,O,O,X,X,X,X
TOJZLSI,O,O,X,X,X,X
TOJZSIL,X,O,O,X,X,X
TOJZSLI,O,O,O,X,X,X
TOSILJZ,X,X,O,O,O,X
TOSILZJ,X,O,O,O,O,X
TOSIJLZ,X,X,O,O,O,X
TOSIJZL,X,X,O,X,O,X
TOSIZLJ,X,O,O,O,O,X
TOSIZJL,X,O,O,X,O,X
TOSLIJZ,X,X,O,O,O,X
TOSLIZJ,X,O,O,O,O,X
TOSLJIZ,X,X,O,O,O,X
TOSLJZI,O,X,O,X,O,X
TOSLZIJ,O,O,O,O,O,X
TOSLZJI,O,O,O,X,O,X
TOSJILZ,X,X,O,O,O,X
TOSJIZL,X,X,O,X,O,X
TOSJLIZ,X,X,O,O,O,X
TOSJLZI,O,X,O,X,O,X
TOSJZIL,X,X,O,X,O,X
TOSJZLI,O,X,O,X,O,X
TOSZILJ,X,O,O,O,O,X
TOSZIJL,X,O,O,X,O,X
TOSZLIJ,O,O,O,O,O,X
TOSZLJI,O,O,O,X,O,X
TOSZJIL,X,O,O,X,O,X
TOSZJLI,O,O,O,X,O,X
TOZILJS,O,O,X,X,X,X
TOZILSJ,O,O,X,X,X,X
TOZIJLS,O,O,X,X,X,X
TOZIJSL,X,O,O,X,X,X
TOZISLJ,X,O,O,O,X,X
TOZISJL,X,O,O,X,X,X
TOZLIJS,O,O,X,X,X,X
TOZLISJ,O,O,X,X,X,X
TOZLJIS,O,O,X,X,X,X
TOZLJSI,O,O,X,X,X,X
TOZLSIJ,O,O,X,X,X,X
TOZLSJI,O,O,X,X,X,X
TOZJILS,O,O,X,X,X,X
TOZJISL,X,O,O,X,X,X
TOZJLIS,O,O,X,X,X,X
TOZJLSI,O,O,X,X,X,X
TOZJSIL,X,O,O,X,X,X
TOZJSLI,O,O,O,X,X,X
TOZSILJ,X,O,O,O,X,X
TOZSIJL,X,O,O,X,X,X
TOZSLIJ,O,O,O,O,X,X
TOZSLJI,O,O,O,X,X,X
TOZSJIL,X,O,O,X,X,X
TOZSJLI,O,O,O,X,X,X
ITLJSZO,X,X,O,X,X,O
ITLJSOZ,X,X,O,X,X,O
ITLJZSO,O,O,X,X,X,X
ITLJZOS,O,O,X,X,X,X
ITLJOSZ,X,X,O,X,O,O
ITLJOZS,O,O,X,X,X,X
ITLSJZO,X,X,O,O,X,O
ITLSJOZ,X,X,O,O,X,O
ITLSZJO,X,O,O,O,X,O
ITLSZOJ,X,O,O,O,X,X
ITLSOJZ,X,X,O,O,X,O
ITLSOZJ,X,O,O,O,X,X
ITLZJSO,O,O,X,X,X,X
ITLZJOS,O,O,X,X,X,X
ITLZSJO,O,O,X,X,X,X
ITLZSOJ,O,O,X,X,X,X
ITLZOJS,O,O,X,X,X,X
ITLZOSJ,O,O,X,X,X,X
ITLOJSZ,X,X,O,X,O,X
ITLOJZS,O,O,X,X,X,X
ITLOSJZ,X,X,O,O,O,X
ITLOSZJ,X,O,O,O,O,X
ITLOZJS,O,O,X,X,X,X
ITLOZSJ,O,O,X,X,X,X
ITJLSZO,X,X,O,X,X,O
ITJLSOZ,X,X,O,X,X,O
ITJLZSO,O,O,X,X,X,X
ITJLZOS,O,O,X,X,X,X
ITJLOSZ,X,X,O,X,O,O
ITJLOZS,O,O,X,X,X,X
ITJSLZO,X,X,O,O,X,O
ITJSLOZ,X,X,O,O,O,O
ITJSZLO,X,X,O,X,X,O
ITJSZOL,X,X,O,X,O,O
ITJSOLZ,X,X,O,O,O,O
ITJSOZL,X,X,O,X,O,O
ITJZLSO,O,O,X,X,X,X
ITJZLOS,O,O,X,X,X,X
ITJZSLO,X,O,O,X,X,X
ITJZSOL,X,O,O,X,X,X
ITJZOLS,O,O,X,X,X,X
ITJZOSL,X,O,O,X,X,X
ITJOLSZ,X,X,O,X,O,O
ITJOLZS,O,O,X,X,X,X
ITJOSLZ,X,X,O,O,O,O
ITJOSZL,X,X,O,X,O,O
ITJOZLS,O,O,X,X,X,X
ITJOZSL,X,O,O,X,X,X
ITSLJZO,X,X,O,O,X,O
ITSLJOZ,X,X,O,O,O,O
ITSLZJO,X,O,O,O,X,O
ITSLZOJ,X,O,O,O,X,X
ITSLOJZ,X,X,O,O,O,O
ITSLOZJ,X,O,O,O,O,X
ITSJLZO,X,X,O,O,X,O
ITSJLOZ,X,X,O,O,O,O
ITSJZLO,X,X,O,X,X,O
ITSJZOL,X,X,O,X,O,O
ITSJOLZ,X,X,O,O,O,O
ITSJOZL,X,X,O,X,O,O
ITSZLJO,X,O,O,O,X,O
ITSZLOJ,X,O,O,O,X,X
ITSZJLO,X,O,O,X,X,O
ITSZJOL,X,O,O,X,O,O
ITSZOLJ,X,O,O,O,O,X
ITSZOJL,X,O,O,X,O,X
ITSOLJZ,X,X,O,O,O,O
ITSOLZJ,X,O,O,O,O,X
ITSOJLZ,X,X,O,O,O,O
ITSOJZL,X,X,O,X,O,O
ITSOZLJ,X,O,O,O,O,X
ITSOZJL,X,O,O,X,O,X
ITZLJSO,O,O,X,X,X,X
ITZLJOS,O,O,X,X,X,X
ITZLSJO,O,O,X,X,X,X
ITZLSOJ,O,O,X,X,X,X
ITZLOJS,O,O,X,X,X,X
ITZLOSJ,O,O,X,X,X,X
ITZJLSO,O,O,X,X,X,X
ITZJLOS,O,O,X,X,X,X
ITZJSLO,X,O,O,X,X,X
ITZJSOL,X,O,O,X,X,X
ITZJOLS,O,O,X,X,X,X
ITZJOSL,X,O,O,X,X,X
ITZSLJO,X,O,O,O,X,X
ITZSLOJ,X,O,O,O,X,X
ITZSJLO,X,O,O,X,X,X
ITZSJOL,X,O,O,X,X,X
ITZSOLJ,X,O,O,O,X,X
ITZSOJL,X,O,O,X,X,X
ITZOLJS,O,O,X,X,X,X
ITZOLSJ,O,O,X,X,X,X
ITZOJLS,O,O,X,X,X,X
ITZOJSL,X,O,O,X,X,X
ITZOSLJ,X,O,O,O,X,X
ITZOSJL,X,O,O,X,X,X
ITOLJSZ,X,X,O,X,O,X
ITOLJZS,O,O,X,X,X,X
ITOLSJZ,X,X,O,O,O,X
ITOLSZJ,X,O,O,O,O,X
ITOLZJS,O,O,X,X,X,X
ITOLZSJ,O,O,X,X,X,X
ITOJLSZ,X,X,O,X,O,X
ITOJLZS,O,O,X,X,X,X
ITOJSLZ,X,X,O,O,O,X
ITOJSZL,X,X,O,X,O,X
ITOJZLS,O,O,X,X,X,X
ITOJZSL,X,O,O,X,X,X
ITOSLJZ,X,X,O,O,O,X
ITOSLZJ,X,O,O,O,O,X
ITOSJLZ,X,X,O,O,O,X
ITOSJZL,X,X,O,X,O,X
ITOSZLJ,X,O,O,O,O,X
ITOSZJL,X,O,O,X,O,X
ITOZLJS,O,O,X,X,X,X
ITOZLSJ,O,O,X,X,X,X
ITOZJLS,O,O,X,X,X,X
ITOZJSL,X,O,O,X,X,X
ITOZSLJ,X,O,O,O,X,X
ITOZSJL,X,O,O,X,X,X
ILTJSZO,X,X,O,X,X,O
ILTJSOZ,X,X,O,X,X,O
ILTJZSO,O,O,X,X,X,X
ILTJZOS,O,O,X,X,X,X
ILTJOSZ,X,X,O,X,O,O
ILTJOZS,O,O,X,X,X,X
ILTSJZO,X,X,O,O,X,O
ILTSJOZ,X,X,O,O,X,O
ILTSZJO,X,O,O,O,X,O
ILTSZOJ,X,O,O,O,X,X
ILTSOJZ,X,X,O,O,X,O
ILTSOZJ,X,O,O,O,X,X
ILTZJSO,O,O,X,X,X,X
ILTZJOS,O,O,X,X,X,X
ILTZSJO,O,O,X,X,X,X
ILTZSOJ,O,O,X,X,X,X
ILTZOJS,O,O,X,X,X,X
ILTZOSJ,O,O,X,X,X,X
ILTOJSZ,X,X,O,X,O,X
ILTOJZS,O,O,X,X,X,X
ILTOSJZ,X,X,O,O,O,X
ILTOSZJ,X,O,O,O,O,X
ILTOZJS,O,O,X,X,X,X
ILTOZSJ,O,O,X,X,X,X
ILJTSZO,X,X,O,X,X,O
ILJTSOZ,X,X,O,X,X,O
ILJTZSO,O,O,X,X,X,X
ILJTZOS,O,O,X,X,X,X
ILJTOSZ,X,X,O,X,O,O
ILJTOZS,O,O,X,X,X,X
ILJSTZO,X,X,O,O,X,O
ILJSTOZ,X,X,O,O,O,O
ILJSZTO,X,X,O,X,X,O
ILJSZOT,X,X,X,X,X,O
ILJSOTZ,X,X,O,O,O,O
ILJSOZT,X,X,X,X,O,O
ILJZTSO,O,X,X,X,X,X
ILJZTOS,O,O,X,X,X,X
ILJZSTO,X,X,O,X,X,O
ILJZSOT,O,O,X,X,X,O
ILJZOTS,O,O,X,X,X,X
ILJZOST,O,O,X,X,O,O
ILJOTSZ,X,X,X,X,O,O
ILJOTZS,O,O,X,X,X,X
ILJOSTZ,X,X,O,O,O,O
ILJOSZT,X,X,X,X,O,O
ILJOZTS,O,O,X,X,X,X
ILJOZST,O,O,X,X,O,O
ILSTJZO,X,X,O,O,X,O
ILSTJOZ,X,X,O,O,O,O
ILSTZJO,X,O,O,O,X,O
ILSTZOJ,X,O,O,O,X,X
ILSTOJZ,X,X,O,O,O,O
ILSTOZJ,X,O,O,O,O,X
ILSJTZO,X,X,O,O,X,O
ILSJTOZ,X,X,O,O,O,O
ILSJZTO,X,X,O,X,X,O
ILSJZOT,X,X,X,X,X,O
ILSJOTZ,X,X,O,O,O,O
ILSJOZT,X,X,X,X,O,O
ILSZTJO,O,X,O,O,X,O
ILSZTOJ,O,X,O,O,X,X
ILSZJTO,X,X,O,X,X,O
ILSZJOT,O,O,X,X,X,O
ILSZOTJ,O,X,X,O,X,X
ILSZOJT,O,O,X,X,X,X
ILSOTJZ,X,X,O,O,O,O
ILSOTZJ,X,O,O,O,O,X
ILSOJTZ,X,X,O,O,O,O
ILSOJZT,X,X,X,X,O,O
ILSOZTJ,O,X,X,O,O,X
ILSOZJT,O,O,X,X,O,X
ILZTJSO,O,O,X,X,X,X
ILZTJOS,O,O,X,X,X,X
ILZTSJO,O,O,X,X,X,X
ILZTSOJ,O,O,X,X,X,X
ILZTOJS,O,O,X,X,X,X
ILZTOSJ,O,O,X,X,X,X
ILZJTSO,O,O,X,X,X,X
ILZJTOS,O,O,X,X,X,X
ILZJSTO,X,X,O,X,X,O
ILZJSOT,O,O,X,X,X,O
ILZJOTS,O,O,X,X,X,X
ILZJOST,O,O,X,X,O,O
ILZSTJO,O,X,O,O,X,O
ILZSTOJ,O,X,O,O,X,X
ILZSJTO,X,X,O,X,X,O
ILZSJOT,O,O,X,X,X,O
ILZSOTJ,O,X,X,O,X,X
ILZSOJT,O,O,X,X,X,X
ILZOTJS,O,O,X,X,X,X
ILZOTSJ,O,O,X,X,X,X
ILZOJTS,O,O,X,X,X,X
ILZOJST,O,O,X,X,O,X
ILZOSTJ,O,X,X,O,O,X
ILZOSJT,O,O,X,X,O,X
ILOTJSZ,X,X,X,X,O,X
ILOTJZS,O,O,X,X,X,X
ILOTSJZ,X,X,X,O,O,X
ILOTSZJ,X,O,X,O,O,X
ILOTZJS,O,O,X,X,X,X
ILOTZSJ,O,O,X,X,X,X
ILOJTSZ,X,X,X,X,O,O
ILOJTZS,O,O,X,X,X,X
ILOJSTZ,X,X,O,O,O,O
ILOJSZT,X,X,X,X,O,O
ILOJZTS,O,O,X,X,X,X
ILOJZST,O,O,X,X,O,O
ILOSTJZ,X,X,O,O,O,O
ILOSTZJ,X,O,O,O,O,X
ILOSJTZ,X,X,O,O,O,O
ILOSJZT,X,X,X,X,O,O
ILOSZTJ,O,X,X,O,O,X
ILOSZJT,O,O,X,X,O,X
ILOZTJS,O,O,X,X,X,X
ILOZTSJ,O,O,X,X,X,X
ILOZJTS,O,O,X,X,X,X
ILOZJST,O,O,X,X,O,X
ILOZSTJ,O,X,X,O,O,X
ILOZSJT,O,O,X,X,O,X
IJTLSZO,X,X,O,X,X,O
IJTLSOZ,X,X,O,X,X,O
IJTLZSO,X,O,X,X,X,X
IJTLZOS,X,O,X,X,X,X
IJTLOSZ,X,X,O,X,O,O
IJTLOZS,X,O,X,X,X,X
IJTSLZO,X,X,O,O,X,O
IJTSLOZ,X,X,O,O,O,O
IJTSZLO,X,X,O,X,X,O
IJTSZOL,X,X,O,X,O,O
IJTSOLZ,X,X,O,O,O,O
IJTSOZL,X,X,O,X,O,O
IJTZLSO,X,O,X,X,X,X
IJTZLOS,X,O,X,X,X,X
IJTZSLO,X,O,O,X,X,X
IJTZSOL,X,O,O,X,X,X
IJTZOLS,X,O,X,X,X,X
IJTZOSL,X,O,O,X,X,X
IJTOLSZ,X,X,O,X,O,O
IJTOLZS,X,O,X,X,X,X
IJTOSLZ,X,X,O,O,O,O
IJTOSZL,X,X,O,X,O,O
IJTOZLS,X,O,X,X,X,X
IJTOZSL,X,O,O,X,X,X
IJLTSZO,X,X,O,X,X,O
IJLTSOZ,X,X,O,X,X,O
IJLTZSO,O,O,X,X,X,X
IJLTZOS,O,O,X,X,X,X
IJLTOSZ,X,X,O,X,O,O
IJLTOZS,O,O,X,X,X,X
IJLSTZO,X,X,O,O,X,O
IJLSTOZ,X,X,O,O,O,O
IJLSZTO,X,X,O,X,X,O
IJLSZOT,X,X,X,X,X,O
IJLSOTZ,X,X,O,O,O,O
IJLSOZT,X,X,X,X,O,O
IJLZTSO,X,X,X,X,X,X
IJLZTOS,O,O,X,X,X,X
IJLZSTO,X,X,O,X,X,O
IJLZSOT,O,O,X,X,X,O
IJLZOTS,O,O,X,X,X,X
IJLZOST,O,O,X,X,O,O
IJLOTSZ,X,X,X,X,O,O
IJLOTZS,O,O,X,X,X,X
IJLOSTZ,X,X,O,O,O,O
IJLOSZT,X,X,X,X,O,O
IJLOZTS,O,O,X,X,X,X
IJLOZST,O,O,X,X,O,O
IJSTLZO,X,X,O,O,X,O
IJSTLOZ,X,X,O,O,O,O
IJSTZLO,X,X,O,X,X,O
IJSTZOL,X,X,O,X,O,O
IJSTOLZ,X,X,O,O,O,O
IJSTOZL,X,X,O,X,O,O
IJSLTZO,X,X,O,O,X,O
IJSLTOZ,X,X,O,O,O,O
IJSLZTO,X,X,O,X,X,O
IJSLZOT,X,X,X,X,X,O
IJSLOTZ,X,X,O,O,O,O
IJSLOZT,X,X,X,X,O,O
IJSZTLO,X,X,O,X,X,O
IJSZTOL,X,X,O,X,O,O
IJSZLTO,X,X,O,X,X,O
IJSZLOT,X,X,X,X,X,O
IJSZOTL,X,X,X,X,O,O
IJSZOLT,X,X,X,X,O,O
IJSOTLZ,X,X,O,O,O,O
IJSOTZL,X,X,O,X,O,O
IJSOLTZ,X,X,O,O,O,O
IJSOLZT,X,X,X,X,O,O
IJSOZTL,X,X,X,X,O,O
IJSOZLT,X,X,X,X,O,O
IJZTLSO,X,O,X,X,X,X
IJZTLOS,X,O,X,X,X,X
IJZTSLO,X,O,O,X,X,X
IJZTSOL,X,O,O,X,X,X
IJZTOLS,X,O,X,X,X,X
IJZTOSL,X,O,O,X,X,X
IJZLTSO,X,O,X,X,X,X
IJZLTOS,O,O,X,X,X,X
IJZLSTO,X,X,O,X,X,O
IJZLSOT,O,O,X,X,X,O
IJZLOTS,O,O,X,X,X,X
IJZLOST,O,O,X,X,O,O
IJZSTLO,X,O,O,X,X,O
IJZSTOL,X,O,O,X,O,O
IJZSLTO,X,X,O,X,X,O
IJZSLOT,X,O,X,X,X,O
IJZSOTL,X,O,X,X,O,O
IJZSOLT,X,O,X,X,O,O
IJZOTLS,X,O,X,X,X,X
IJZOTSL,X,O,X,X,X,X
IJZOLTS,O,O,X,X,X,X
IJZOLST,O,O,X,X,O,O
IJZOSTL,X,O,X,X,O,O
IJZOSLT,X,O,X,X,O,O
IJOTLSZ,X,X,O,X,O,O
IJOTLZS,X,O,X,X,X,X
IJOTSLZ,X,X,O,O,O,O
IJOTSZL,X,X,O,X,O,O
IJOTZLS,X,O,X,X,X,X
IJOTZSL,X,O,O,X,X,X
IJOLTSZ,X,X,X,X,O,O
IJOLTZS,O,O,X,X,X,X
IJOLSTZ,X,X,O,O,O,O
IJOLSZT,X,X,X,X,O,O
IJOLZTS,O,O,X,X,X,X
IJOLZST,O,O,X,X,O,O
IJOSTLZ,X,X,O,O,O,O
IJOSTZL,X,X,O,X,O,O
IJOSLTZ,X,X,O,O,O,O
IJOSLZT,X,X,X,X,O,O
IJOSZTL,X,X,X,X,O,O
IJOSZLT,X,X,X,X,O,O
IJOZTLS,X,O,X,X,X,X
IJOZTSL,X,O,X,X,X,X
IJOZLTS,O,O,X,X,X,X
IJOZLST,O,O,X,X,O,O
IJOZSTL,X,O,X,X,O,O
IJOZSLT,X,O,X,X,O,O
ISTLJZO,X,X,O,O,X,O
ISTLJOZ,X,X,O,O,O,O
ISTLZJO,X,O,O,O,X,O
ISTLZOJ,X,O,O,O,X,X
ISTLOJZ,X,X,O,O,O,O
ISTLOZJ,X,O,O,O,O,X
ISTJLZO,X,X,O,O,X,O
ISTJLOZ,X,X,O,O,O,O
ISTJZLO,X,X,O,X,X,O
ISTJZOL,X,X,O,X,O,O
ISTJOLZ,X,X,O,O,O,O
ISTJOZL,X,X,O,X,O,O
ISTZLJO,X,O,O,O,X,O
ISTZLOJ,X,O,O,O,X,X
ISTZJLO,X,O,O,X,X,O
ISTZJOL,X,O,O,X,O,O
ISTZOLJ,X,O,O,O,O,X
ISTZOJL,X,O,O,X,O,X
ISTOLJZ,X,X,O,O,O,O
ISTOLZJ,X,O,O,O,O,X
ISTOJLZ,X,X,O,O,O,O
ISTOJZL,X,X,O,X,O,O
ISTOZLJ,X,O,O,O,O,X
ISTOZJL,X,O,O,X,O,X
ISLTJZO,X,X,O,O,X,O
ISLTJOZ,X,X,O,O,O,O
ISLTZJO,X,O,O,O,X,O
ISLTZOJ,X,O,O,O,X,X
ISLTOJZ,X,X,O,O,O,O
ISLTOZJ,X,O,O,O,O,X
ISLJTZO,X,X,O,O,X,O
ISLJTOZ,X,X,O,O,O,O
ISLJZTO,X,X,O,X,X,O
ISLJZOT,X,X,X,X,X,O
ISLJOTZ,X,X,O,O,O,O
ISLJOZT,X,X,X,X,O,O
ISLZTJO,X,X,O,O,X,O
ISLZTOJ,X,X,O,O,X,X
ISLZJTO,X,X,O,X,X,O
ISLZJOT,X,O,X,X,X,O
ISLZOTJ,X,X,X,O,X,X
ISLZOJT,X,O,X,X,X,X
ISLOTJZ,X,X,O,O,O,O
ISLOTZJ,X,O,O,O,O,X
ISLOJTZ,X,X,O,O,O,O
ISLOJZT,X,X,X,X,O,O
ISLOZTJ,X,X,X,O,O,X
ISLOZJT,X,O,X,X,O,X
ISJTLZO,X,X,O,O,X,O
ISJTLOZ,X,X,O,O,O,O
ISJTZLO,X,X,O,X,X,O
ISJTZOL,X,X,O,X,O,O
ISJTOLZ,X,X,O,O,O,O
ISJTOZL,X,X,O,X,O,O
ISJLTZO,X,X,O,O,X,O
ISJLTOZ,X,X,O,O,O,O
ISJLZTO,X,X,O,X,X,O
ISJLZOT,X,X,X,X,X,O
ISJLOTZ,X,X,O,O,O,O
ISJLOZT,X,X,X,X,O,O
ISJZTLO,X,X,O,X,X,O
ISJZTOL,X,X,O,X,O,O
ISJZLTO,X,X,O,X,X,O
ISJZLOT,X,X,X,X,X,O
ISJZOTL,X,X,X,X,O,O
ISJZOLT,X,X,X,X,O,O
ISJOTLZ,X,X,O,O,O,O
ISJOTZL,X,X,O,X,O,O
ISJOLTZ,X,X,O,O,O,O
ISJOLZT,X,X,X,X,O,O
ISJOZTL,X,X,X,X,O,O
ISJOZLT,X,X,X,X,O,O
ISZTLJO,X,O,O,O,X,O
ISZTLOJ,X,O,O,O,X,X
ISZTJLO,X,O,O,X,X,O
ISZTJOL,X,O,O,X,O,O
ISZTOLJ,X,O,O,O,O,X
ISZTOJL,X,O,O,X,O,X
ISZLTJO,X,X,O,O,X,O
ISZLTOJ,X,X,O,O,X,X
ISZLJTO,X,X,O,X,X,O
ISZLJOT,X,O,X,X,X,O
ISZLOTJ,X,X,X,O,X,X
ISZLOJT,X,O,X,X,X,X
ISZJTLO,X,O,O,X,X,O
ISZJTOL,X,O,O,X,O,O
ISZJLTO,X,X,O,X,X,O
ISZJLOT,X,O,X,X,X,O
ISZJOTL,X,O,X,X,O,O
ISZJOLT,X,O,X,X,O,O
ISZOTLJ,X,O,X,O,O,X
ISZOTJL,X,O,X,X,O,X
ISZOLTJ,X,X,X,O,O,X
ISZOLJT,X,O,X,X,O,X
ISZOJTL,X,O,X,X,O,X
ISZOJLT,X,O,X,X,O,X
ISOTLJZ,X,X,O,O,O,O
ISOTLZJ,X,O,O,O,O,X
ISOTJLZ,X,X,O,O,O,O
ISOTJZL,X,X,O,X,O,O
ISOTZLJ,X,O,O,O,O,X
ISOTZJL,X,O,O,X,O,X
ISOLTJZ,X,X,O,O,O,O
ISOLTZJ,X,O,O,O,O,X
ISOLJTZ,X,X,O,O,O,O
ISOLJZT,X,X,X,X,O,O
ISOLZTJ,X,X,X,O,O,X
ISOLZJT,X,O,X,X,O,X
ISOJTLZ,X,X,O,O,O,O
ISOJTZL,X,X,O,X,O,O
ISOJLTZ,X,X,O,O,O,O
ISOJLZT,X,X,X,X,O,O
ISOJZTL,X,X,X,X,O,O
ISOJZLT,X,X,X,X,O,O
ISOZTLJ,X,O,X,O,O,X
ISOZTJL,X,O,X,X,O,X
ISOZLTJ,X,X,X,O,O,X
ISOZLJT,X,O,X,X,O,X
ISOZJTL,X,O,X,X,O,X
ISOZJLT,X,O,X,X,O,X
IZTLJSO,O,O,X,X,X,X
IZTLJOS,O,O,X,X,X,X
IZTLSJO,O,O,X,X,X,X
IZTLSOJ,O,O,X,X,X,X
IZTLOJS,O,O,X,X,X,X
IZTLOSJ,O,O,X,X,X,X
IZTJLSO,O,O,X,X,X,X
IZTJLOS,O,O,X,X,X,X
IZTJSLO,X,O,O,X,X,X
IZTJSOL,X,O,O,X,X,X
IZTJOLS,O,O,X,X,X,X
IZTJOSL,X,O,O,X,X,X
IZTSLJO,X,O,O,O,X,X
IZTSLOJ,X,O,O,O,X,X
IZTSJLO,X,O,O,X,X,X
IZTSJOL,X,O,O,X,X,X
IZTSOLJ,X,O,O,O,X,X
IZTSOJL,X,O,O,X,X,X
IZTOLJS,O,O,X,X,X,X
IZTOLSJ,O,O,X,X,X,X
IZTOJLS,O,O,X,X,X,X
IZTOJSL,X,O,O,X,X,X
IZTOSLJ,X,O,O,O,X,X
IZTOSJL,X,O,O,X,X,X
IZLTJSO,O,O,X,X,X,X
IZLTJOS,O,O,X,X,X,X
IZLTSJO,O,O,X,X,X,X
IZLTSOJ,O,O,X,X,X,X
IZLTOJS,O,O,X,X,X,X
IZLTOSJ,O,O,X,X,X,X
IZLJTSO,O,O,X,X,X,X
IZLJTOS,O,O,X,X,X,X
IZLJSTO,X,X,O,X,X,O
IZLJSOT,O,O,X,X,X,O
IZLJOTS,O,O,X,X,X,X
IZLJOST,O,O,X,X,O,O
IZLSTJO,O,X,O,O,X,O
IZLSTOJ,O,X,O,O,X,X
IZLSJTO,X,X,O,X,X,O
IZLSJOT,O,O,X,X,X,O
IZLSOTJ,O,X,X,O,X,X
IZLSOJT,O,O,X,X,X,X
IZLOTJS,O,O,X,X,X,X
IZLOTSJ,O,O,X,X,X,X
IZLOJTS,O,O,X,X,X,X
IZLOJST,O,O,X,X,O,X
IZLOSTJ,O,X,X,O,O,X
IZLOSJT,O,O,X,X,O,X
IZJTLSO,X,O,X,X,X,X
IZJTLOS,X,O,X,X,X,X
IZJTSLO,X,O,O,X,X,X
IZJTSOL,X,O,O,X,X,X
IZJTOLS,X,O,X,X,X,X
IZJTOSL,X,O,O,X,X,X
IZJLTSO,X,O,X,X,X,X
IZJLTOS,O,O,X,X,X,X
IZJLSTO,X,X,O,X,X,O
IZJLSOT,O,O,X,X,X,O
IZJLOTS,O,O,X,X,X,X
IZJLOST,O,O,X,X,O,O
IZJSTLO,X,O,O,X,X,O
IZJSTOL,X,O,O,X,O,O
IZJSLTO,X,X,O,X,X,O
IZJSLOT,X,O,X,X,X,O
IZJSOTL,X,O,X,X,O,O
IZJSOLT,X,O,X,X,O,O
IZJOTLS,X,O,X,X,X,X
IZJOTSL,X,O,X,X,X,X
IZJOLTS,O,O,X,X,X,X
IZJOLST,O,O,X,X,O,O
IZJOSTL,X,O,X,X,O,O
IZJOSLT,X,O,X,X,O,O
IZSTLJO,X,O,O,O,X,O
IZSTLOJ,X,O,O,O,X,X
IZSTJLO,X,O,O,X,X,O
IZSTJOL,X,O,O,X,O,O
IZSTOLJ,X,O,O,O,O,X
IZSTOJL,X,O,O,X,O,X
IZSLTJO,X,X,O,O,X,O
IZSLTOJ,X,X,O,O,X,X
IZSLJTO,X,X,O,X,X,O
IZSLJOT,X,O,X,X,X,O
IZSLOTJ,X,X,X,O,X,X
IZSLOJT,X,O,X,X,X,X
IZSJTLO,X,O,O,X,X,O
IZSJTOL,X,O,O,X,O,O
IZSJLTO,X,X,O,X,X,O
IZSJLOT,X,O,X,X,X,O
IZSJOTL,X,O,X,X,O,O
IZSJOLT,X,O,X,X,O,O
IZSOTLJ,X,O,X,O,O,X
IZSOTJL,X,O,X,X,O,X
IZSOLTJ,X,X,X,O,O,X
IZSOLJT,X,O,X,X,O,X
IZSOJTL,X,O,X,X,O,X
IZSOJLT,X,O,X,X,O,X
IZOTLJS,O,O,X,X,X,X
IZOTLSJ,O,O,X,X,X,X
IZOTJLS,O,O,X,X,X,X
IZOTJSL,X,O,X,X,X,X
IZOTSLJ,X,O,X,O,X,X
IZOTSJL,X,O,X,X,X,X
IZOLTJS,O,O,X,X,X,X
IZOLTSJ,O,O,X,X,X,X
IZOLJTS,O,O,X,X,X,X
IZOLJST,O,O,X,X,O,X
IZOLSTJ,O,X,X,O,O,X
IZOLSJT,O,O,X,X,O,X
IZOJTLS,X,O,X,X,X,X
IZOJTSL,X,O,X,X,X,X
IZOJLTS,O,O,X,X,X,X
IZOJLST,O,O,X,X,O,X
IZOJSTL,X,O,X,X,O,X
IZOJSLT,X,O,X,X,O,X
IZOSTLJ,X,O,X,O,O,X
IZOSTJL,X,O,X,X,O,X
IZOSLTJ,X,X,X,O,O,X
IZOSLJT,X,O,X,X,O,X
IZOSJTL,X,O,X,X,O,X
IZOSJLT,X,O,X,X,O,X
IOTLJSZ,X,X,O,X,O,X
IOTLJZS,O,O,X,X,X,X
IOTLSJZ,X,X,O,O,O,X
IOTLSZJ,X,O,O,O,O,X
IOTLZJS,O,O,X,X,X,X
IOTLZSJ,O,O,X,X,X,X
IOTJLSZ,X,X,O,X,O,X
IOTJLZS,O,O,X,X,X,X
IOTJSLZ,X,X,O,O,O,X
IOTJSZL,X,X,O,X,O,X
IOTJZLS,O,O,X,X,X,X
IOTJZSL,X,O,O,X,X,X
IOTSLJZ,X,X,O,O,O,X
IOTSLZJ,X,O,O,O,O,X
