sequence,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFugBzcBZkBN?mB/qB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je//IvhFRbBzcBelBU?hBKpBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFzaBCcB8hBd?mB+pB/qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jem8IvhFxfBThBXgBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez6IvhFtgBmcBcmB6?pB/qBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeO/IvhFxbB8hBCgBd?mB/qBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFfgBzcBUhB+?pBtqBiqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcBXgBThBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcB0fBThBK?pBtqBXqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je+/IvhFTbBicB3hB8?pBtqBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFibBRhB3hBO?pB8pBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT7IvhFOhB8hBZkBf?lBtqB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeX8IvhF8hBifBRlBm?kBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBzcBigBU?hBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFXcB8hBzfBK?pBRqBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhF8kBRhB3hBK?pB9qBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBcgBKhBz?cBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFRbBzcBUhBi?kBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFzcB/pBxlBa?mB9qBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei6IvhFzcBRgBUhB2?pBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je6/IvhF/gBzcBZkBN?mB8pBuqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFxfBNmB/pBU?lBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFxbB8hBXgBd?mBKpBGqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhF0fBRhB3hB2?pBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeK/IvhFzcBUgBNmBx?pBuqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFUgBNmBxpB/?pBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhFTfBRhB3hB8?pBtqBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei/IvhFRhB0fB3hB9?qBmlBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JefAJvhFzcBUhB6pB9?qBZkBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeN/IvhF8hBRlBilBX?mBTpBGqB
TISLJZO,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,X,X,O,X,X,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TISLZOJ,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TISJLZO,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJLOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TISJZOL,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TISZLJO,O,X,O,X,X,O,X,X,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
TISZLOJ,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,O,O,X,O,O,X,X,X,O,O,X,X,X
TISZJLO,O,X,O,X,X,O,X,X,X,O,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
TISZJOL,O,X,O,X,X,O,X,X,X,O,O,O,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X
TISZOLJ,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,O,O,X,O,O,X,X,X,O,O,X,X,X
TISZOJL,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X
TISOLJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TISOLZJ,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X
TISOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TISOZLJ,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X
TISOZJL,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X
