sequence,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBXiBllBc?sBTrBCrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBTiBllBc?rBXsBCrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBFiB6?rBcsBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFKiBzdB3gBc?mBWwBFsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBlmBc?sBzqBCsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFyiB3gBcmBT?iBWwBFsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBFiBS?sBzqB0rB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBllBcrBT?nBCrBXsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je07IvhFzdBllBGnBZ?nBXrB6rB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBFhBXiB6?qBcsBTrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFidBfnBunBl?lB0rBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBfnB6nBl?lB0rBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je07IvhFmdBSnBllBx?rBzrBXrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhFRdB1lB3iBq?rBUnBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBllB3mBc?sBzqBCsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhF1lBRiB3iBq?rBUnBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeX8IvhFmdBTiBllBx?rBqrB0qB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhFRdB1lBUiBq?rB3nBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFidBWnBllB3?nB0rBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je8CJvhFzhBllBxrB6?qBOrBXsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeT8IvhF8iBllBxrB3?rB6qBOsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeX8IvhFmdBFiBxlBc?sB6qBTrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhFfiB8iB1lBS?rBTnBRwB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBFiBc?sBCrBTrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je8BJvhFzdBllBxrBX?sB6qBOrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeX9IvhF8iBllBxrBz?rB6qBOrB
SIZJLOT,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIZJOTL,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
SIZJOLT,O,O,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOTLJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SIZOTJL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
SIZOLTJ,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOLJT,X,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIZOJTL,O,O,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
SIZOJLT,O,O,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOTLJZ,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
SIOTLZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
SIOTJLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
SIOTJZL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
SIOTZLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
SIOTZJL,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
SIOLTJZ,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOLTZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOLJTZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOLJZT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOLZTJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOLZJT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOJTLZ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
SIOJTZL,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOJLTZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOJLZT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOJZTL,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOJZLT,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZTLJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SIOZTJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
SIOZLTJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZLJT,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZJTL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOZJLT,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTIJZO,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
SLTIJOZ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
SLTIZJO,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
SLTIZOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
SLTIOJZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTIOZJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTJIZO,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
SLTJIOZ,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
SLTJZIO,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
SLTJZOI,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
SLTJOIZ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTJOZI,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTZIJO,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
SLTZIOJ,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
SLTZJIO,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
SLTZJOI,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
SLTZOIJ,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
