sequence,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFzdB5jB3hBm?nBimBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhF8hBGeBamB3?iBToBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFlcBGeBZnBq?sB/tBTrB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhFTeBamBFiBf?sBGtB0sB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFlcBfjB6jBZ?nBTrBWyB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhFXdBTeBUhB1?nBStBmrB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFxdBzhBfoB6?oBOmBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhF5jBUhBaoB3?iBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JefCJvhFxdBUhBCjBT?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhF5jBUhB3iBa?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeU9IvhF5jBFhBynBf?sBmqBzsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeR9IvhFcjBFhBTiBf?sBSyBmqB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhFUhBxnBfoB6?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeU9IvhFFhBfsBxsBT?tBmqBCtB
TILJSZO,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TILJZSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TILJZOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TILJOSZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TILJOZS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
TILSJOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
TILSZOJ,X,O,O,X,X,O,X,O,X,O,O,O,X,X
TILSOJZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,X,O,X,X,X,X,O,O,X,X
TILZJSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TILZSJO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
TILZSOJ,X,O,O,X,X,O,X,O,O,O,X,O,O,X
TILZOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILZOSJ,X,O,O,X,X,O,X,O,X,O,X,X,O,X
TILOJSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILOZJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TILOZSJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJLSZO,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TIJLZSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
