sequence,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbBmdBThBK?nBfoBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmbBRdB3hBa?oBTnBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbB/iBajBT?hB2sBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmbBSiBZjB3?hBTnBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbB2iBThB3?iBysBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbBidBThBm?nB3nBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFGdBZjBThB/?nBllBirB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhF3cBajBTiBO?rBlqBRxB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmdBZmBXnBz?sBqrBlqB
TILJSZO,O,O,O,X,X,O,X,X,X
TILJSOZ,O,O,O,X,X,X,X,X,X
TILJZSO,O,O,O,X,X,O,X,X,X
TILJZOS,X,O,X,O,O,O,X,X,X
TILJOSZ,X,X,X,O,O,X,X,X,X
TILJOZS,X,O,X,O,O,O,X,X,X
TILSJZO,O,O,X,X,X,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,O,X,O,X,X
TILSOJZ,O,O,X,X,O,X,O,X,X
TILSOZJ,O,O,X,X,O,X,O,X,X
TILZJSO,O,O,O,X,X,O,X,X,X
TILZJOS,X,O,X,O,O,O,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,O,X,O,X,X
TILZOJS,O,O,O,O,O,O,X,O,X
TILZOSJ,O,X,X,O,O,X,O,X,X
TILOJSZ,O,X,O,O,O,O,X,O,X
TILOJZS,O,O,O,O,O,O,X,O,X
TILOSJZ,O,X,X,O,O,X,O,X,X
TILOSZJ,O,X,X,O,O,X,O,X,X
TILOZJS,O,O,O,O,O,O,X,O,X
TILOZSJ,O,X,X,O,O,X,O,X,X
TIJLSZO,O,O,O,X,X,O,X,X,X
TIJLSOZ,O,O,O,X,X,X,X,X,X
TIJLZSO,O,O,O,X,X,O,X,X,X
TIJLZOS,X,O,X,O,O,O,X,X,X
TIJLOSZ,X,X,X,O,O,O,X,X,X
TIJLOZS,X,O,X,O,O,O,X,X,X
TIJSLZO,O,O,O,X,X,O,X,X,X
TIJSLOZ,O,O,O,X,X,X,X,X,X
TIJSZLO,O,O,O,X,X,O,X,X,X
TIJSZOL,O,O,O,O,X,X,X,O,X
TIJSOLZ,X,O,O,O,X,X,X,O,X
TIJSOZL,O,O,O,O,X,X,X,O,X
TIJZLSO,O,O,O,X,X,O,X,X,X
TIJZLOS,X,O,X,O,O,O,X,X,X
TIJZSLO,O,O,O,X,X,O,X,X,X
TIJZSOL,O,O,O,O,X,X,X,O,X
TIJZOLS,O,O,O,O,O,O,X,O,X
TIJZOSL,X,X,O,O,X,O,X,O,X
TIJOLSZ,O,O,O,O,O,O,X,O,X
TIJOLZS,O,O,O,O,O,O,X,O,X
TIJOSLZ,X,X,O,O,X,O,X,O,X
TIJOSZL,X,X,O,O,X,O,X,O,X
TIJOZLS,O,O,O,O,O,O,X,O,X
TIJOZSL,X,X,O,O,X,O,X,O,X
TISLJZO,O,O,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,O,X,O,X,X
TISLOJZ,O,O,X,X,O,X,O,X,X
TISLOZJ,O,O,X,X,O,X,O,X,X
TISJLZO,O,O,O,X,X,O,X,X,X
TISJLOZ,O,O,O,X,X,X,X,X,X
TISJZLO,O,O,O,X,X,O,X,X,X
TISJZOL,O,O,O,O,X,X,X,X,X
TISJOLZ,X,O,O,O,X,X,X,X,X
TISJOZL,O,O,O,O,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,O,X,O,X,X
TISZJLO,O,O,O,X,X,O,X,X,X
TISZJOL,O,O,O,O,X,X,X,X,X
TISZOLJ,O,O,X,O,O,X,X,X,X
TISZOJL,O,O,O,O,X,O,X,X,X
TISOLJZ,O,O,X,O,O,X,X,X,X
TISOLZJ,O,O,X,O,O,X,X,X,X
TISOJLZ,X,O,O,O,X,O,X,X,X
TISOJZL,O,O,O,O,X,O,X,X,X
TISOZLJ,O,O,X,O,O,X,X,X,X
TISOZJL,O,O,O,O,X,O,X,X,X
TIZLJSO,O,O,O,X,X,O,X,X,X
TIZLJOS,X,O,X,O,O,O,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,O,X,O,X,X
TIZLOJS,O,O,O,O,O,O,X,O,X
TIZLOSJ,O,X,X,O,O,X,O,X,X
TIZJLSO,O,O,O,X,X,O,X,X,X
TIZJLOS,X,O,X,O,O,O,X,X,X
TIZJSLO,O,O,O,X,X,O,X,X,X
TIZJSOL,O,O,O,O,X,X,X,O,X
TIZJOLS,O,O,O,O,O,O,X,O,X
TIZJOSL,X,X,O,O,X,O,X,O,X
TIZSLJO,O,O,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,O,X,O,X,X
TIZSJLO,O,O,O,X,X,O,X,X,X
TIZSJOL,O,O,O,O,X,X,X,X,X
TIZSOLJ,O,O,X,O,O,X,X,X,X
TIZSOJL,O,O,O,O,X,O,X,X,X
TIZOLJS,O,O,O,O,O,O,X,O,X
TIZOLSJ,O,O,X,O,O,X,X,X,X
TIZOJLS,O,O,O,O,O,O,X,O,X
TIZOJSL,X,X,O,O,X,O,X,O,X
TIZOSLJ,O,O,X,O,O,X,X,X,O
TIZOSJL,O,O,O,O,X,O,X,X,O
TIOLJSZ,O,O,O,O,O,O,X,O,X
TIOLJZS,O,O,O,O,O,O,X,O,X
TIOLSJZ,O,O,X,O,O,X,X,X,X
TIOLSZJ,O,O,X,O,O,X,X,X,X
TIOLZJS,O,O,O,O,O,O,X,O,X
TIOLZSJ,O,O,X,O,O,X,X,X,X
