sequence,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBU?iBKrBfsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBOrBzrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgBXdBx?mB0mB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBmrBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBXdBTfBx?mBirB0rB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgB0cBx?mBXnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgB0cBTfBx?mBirBXsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeO/IvhF8fBtgBXdBx?mBTmBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgB0cB3fBx?mBOsBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBc?mBXnBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex6IvhF/hBTfB0gBN?nBCnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFxcBTfBSmBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBxcBGhBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jey/IvhFxcBGhBNnBT?fB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex/IvhFXhBNnBTfBC?iB0rBmqB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeN/IvhF/hB0gBZnBC?gBGiBTrB
TILJSZO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TILJZOS,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TILJOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TILSJOZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TILSZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TILSZOJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
TILSOJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TILSOZJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
TILZJSO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TILZJOS,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X
TILZSJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O
TILZSOJ,X,X,O,X,O,O,O,O,O,X,X,X,X,X,O,O
TILZOJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
TILZOSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TILOJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TILOZJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
TILOZSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
TIJLSZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJSLOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJSZLO,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TIJSZOL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJSOLZ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJZLSO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJZLOS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJZSLO,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O
TIJZSOL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
TIJZOLS,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
TIJZOSL,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
TIJOLSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJOSLZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJOZLS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJOZSL,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O
TISLJZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TISLJOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TISLZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TISLZOJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TISLOJZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TISLOZJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TISJLOZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TISJZLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TISJZOL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TISJOLZ,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISZLJO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TISZLOJ,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,O
TISZJLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TISZJOL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
TISZOLJ,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O
TISZOJL,X,X,X,X,O,X,O,O,O,O,X,X,X,X,O,O
TISOLJZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TISOLZJ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TISOJZL,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TISOZLJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
TISOZJL,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,O
TIZLJSO,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TIZLJOS,X,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TIZLSJO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TIZLSOJ,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O
TIZLOJS,X,X,O,X,X,O,O,O,X,X,X,O,O,X,X,X
TIZLOSJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TIZJLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZJLOS,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X
TIZJSLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TIZJSOL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TIZJOLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TIZSLOJ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,O
TIZSJLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TIZSJOL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TIZSOLJ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TIZSOJL,X,X,X,X,O,X,O,O,O,X,O,X,X,X,O,O
TIZOLJS,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TIZOLSJ,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,O
TIZOJLS,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X
TIZOJSL,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O
TIZOSLJ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TIZOSJL,X,X,X,X,O,X,O,O,X,X,O,X,X,X,O,O
TIOLJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOLSJZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOLSZJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOLZJS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O
TIOJLSZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIOJSLZ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIOJZLS,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TIOJZSL,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,O
TIOSLJZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TIOSLZJ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TIOSZLJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
TIOSZJL,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
TIOZLJS,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TIOZLSJ,X,O,X,X,O,O,O,X,O,X,O,O,X,X,X,O
TIOZJLS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
TIOZJSL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
TIOZSLJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O
TIOZSJL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,O,O
TLIJSZO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJZOS,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLISJOZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLISZOJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
TLISOJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TLISOZJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
TLIZJSO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TLIZJOS,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X
TLIZSJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O
TLIZSOJ,X,X,O,X,O,O,O,O,O,X,X,X,X,X,O,O
TLIZOJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
TLIZOSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TLIOZJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
TLIOZSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
TLJISZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
