sequence,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhF0cBxiBfrB6?rBmnBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhF0cBxiBzlB+?rBinB3sB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBKsBz?nBGmBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhFxdBUiBThBf?rBysBWxB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je1AJvhFxdBumBXhBK?sBznBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeF8IvhFxdB6lB3hBO?sB8sBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhF0gBlhBmnBf?rB6rBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBmnBS?rBTsBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhFlgB3hBOsB8?sBCmBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je37IvhF1hBxiBGmBK?sBznBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex9IvhF0gBlhBinBW?rB3sBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Jex8IvhFlgBUiBOoB6?rBfrBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8Je37IvhFqhB8lBusBZ?nBFoBTrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhF3hBZnBznBG?mBUrBCtB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeX9IvhFlgBOoBxmBS?rBTsBUrB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeG8IvhFlgBymBXjBU?rBRsBTsB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JefCJvhFlgB6nBOoB0?mBzlBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeC9IvhFlgB2nB0mBz?lBXoBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhFzhBXjB2rBC?mB0nBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JelAJvhFzhB0iB2rBC?mBXoBxwB,v115@zgC8GeB8EeF8FeD8FeE8DeB8JeC9IvhFlgB/nBOoB0?mBzlBxwB
TILJSZO,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSJZO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TILSZOJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TILSOJZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TILZJOS,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TILZSJO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TILZSOJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TILZOJS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJSLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJSOZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TIJZLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZLOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZSLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIJZSOL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJZOLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIJZOSL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIJOLSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJOLZS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJOSLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJOSZL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TIJOZLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJOZSL,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TISLJZO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
