sequence,v115@1gB8HeC8EeD8FeD8FeF8AeC8JeT6IvhF0cBmdB5jBf?oBimBFsB,v115@1gB8HeC8EeD8FeD8FeF8AeC8JeT6IvhFmcB5jBcmBa?oB3iBFsB,v115@1gB8HeC8EeD8FeD8FeF8AeC8JeT6IvhFxcBcmBiiB+?oBXjBFsB,v115@1gB8HeC8EeD8FeD8FeF8AeC8JeT6IvhFlcB3dBcjBx?mBStBmrB,v115@1gB8HeC8EeD8FeD8FeF8AeC8JeT6IvhFfjB6jBcmBZ?nBWyBlrB,v115@1gB8HeC8EeD8FeD8FeF8AeC8JeT6IvhF6jBRiBOmBX?iBUoBFsB
TOJSZIL,O,X,O,X,O,X
TOJSZLI,O,X,O,X,O,X
TOJZILS,O,O,O,O,X,O
TOJZISL,O,O,O,X,O,X
TOJZLIS,O,O,O,O,X,O
TOJZLSI,O,O,O,O,X,X
TOJZSIL,O,O,O,X,O,X
TOJZSLI,O,O,O,X,O,X
TOSILJZ,O,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X
TOSIJLZ,O,X,X,X,X,X
TOSIJZL,O,X,X,X,X,X
TOSIZLJ,O,O,X,X,X,X
TOSIZJL,O,O,X,X,X,X
TOSLIJZ,O,X,X,X,X,X
TOSLIZJ,O,O,X,O,X,X
TOSLJIZ,O,X,X,O,X,X
TOSLJZI,O,X,X,O,X,X
TOSLZIJ,O,O,X,O,X,X
TOSLZJI,O,O,X,O,X,X
TOSJILZ,O,X,X,O,X,X
TOSJIZL,O,X,X,X,X,X
TOSJLIZ,O,X,X,O,X,X
TOSJLZI,O,X,O,O,X,X
TOSJZIL,O,X,O,X,X,X
TOSJZLI,O,X,O,X,X,X
TOSZILJ,O,O,X,X,X,O
TOSZIJL,O,O,O,X,X,X
TOSZLIJ,O,O,X,X,X,O
TOSZLJI,O,O,X,X,X,X
TOSZJIL,O,O,O,X,X,X
TOSZJLI,O,O,O,X,X,X
TOZILJS,O,O,O,X,X,O
TOZILSJ,O,O,X,X,X,O
TOZIJLS,O,O,O,X,X,O
TOZIJSL,O,O,O,X,O,X
TOZISLJ,O,O,X,X,X,O
TOZISJL,O,O,O,X,X,X
TOZLIJS,O,O,O,O,X,O
TOZLISJ,O,O,X,O,X,O
TOZLJIS,O,O,O,O,X,O
TOZLJSI,O,O,O,O,X,X
TOZLSIJ,O,O,X,O,X,O
TOZLSJI,O,O,X,O,X,X
TOZJILS,O,O,O,O,X,O
TOZJISL,O,O,O,X,O,X
TOZJLIS,O,O,O,O,X,O
TOZJLSI,O,O,O,O,X,X
TOZJSIL,O,O,O,X,O,X
TOZJSLI,O,O,O,X,O,X
TOZSILJ,O,O,X,X,X,O
TOZSIJL,O,O,O,X,X,X
TOZSLIJ,O,O,X,X,X,O
TOZSLJI,O,O,X,X,X,X
TOZSJIL,O,O,O,X,X,X
TOZSJLI,O,O,O,X,X,X
ITLJSZO,O,X,X,O,X,X
ITLJSOZ,O,X,X,O,X,X
ITLJZSO,O,O,X,O,X,X
ITLJZOS,O,O,X,O,X,X
ITLJOSZ,O,X,X,O,X,X
ITLJOZS,O,O,X,O,X,X
ITLSJZO,O,X,X,X,X,X
ITLSJOZ,O,X,X,X,X,X
ITLSZJO,O,O,X,O,X,X
ITLSZOJ,O,O,X,O,X,X
ITLSOJZ,O,X,X,X,X,X
ITLSOZJ,O,O,X,O,X,X
ITLZJSO,O,O,X,O,X,X
ITLZJOS,O,O,X,O,X,X
ITLZSJO,O,O,X,O,X,X
ITLZSOJ,O,O,X,O,X,X
ITLZOJS,O,O,X,O,X,X
ITLZOSJ,O,O,X,O,X,X
ITLOJSZ,O,X,X,O,X,X
ITLOJZS,O,O,X,O,X,X
ITLOSJZ,O,X,X,X,X,X
ITLOSZJ,O,O,X,O,X,X
ITLOZJS,O,O,X,O,X,X
ITLOZSJ,O,O,X,O,X,X
ITJLSZO,O,X,X,O,X,X
ITJLSOZ,O,X,X,O,X,X
ITJLZSO,O,O,O,O,X,X
ITJLZOS,O,O,O,O,X,X
ITJLOSZ,O,X,X,O,X,X
ITJLOZS,O,O,O,O,X,X
ITJSLZO,O,X,X,O,O,X
ITJSLOZ,O,X,X,O,O,X
ITJSZLO,O,X,X,X,O,X
ITJSZOL,O,X,X,X,O,X
ITJSOLZ,O,X,X,O,O,X
ITJSOZL,O,X,X,X,O,X
ITJZLSO,O,O,O,O,X,X
ITJZLOS,O,O,O,O,X,X
ITJZSLO,O,O,O,X,O,X
ITJZSOL,O,O,O,X,O,X
ITJZOLS,O,O,O,O,X,X
ITJZOSL,O,O,O,X,O,X
ITJOLSZ,O,X,X,O,X,X
ITJOLZS,O,O,O,O,X,X
ITJOSLZ,O,X,X,O,O,X
ITJOSZL,O,X,X,X,O,X
ITJOZLS,O,O,O,O,X,X
ITJOZSL,O,O,O,X,O,X
ITSLJZO,O,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X
ITSLZOJ,O,O,X,X,X,X
ITSLOJZ,O,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,X
ITSJLZO,O,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X
ITSJZLO,O,X,X,X,X,X
ITSJZOL,O,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,X
ITSJOZL,O,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X
ITSZLOJ,O,O,X,X,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,O,O,X,X,X,X
ITSZOLJ,O,O,X,X,X,X
ITSZOJL,O,O,X,X,X,X
ITSOLJZ,O,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X
ITSOJLZ,O,X,X,X,X,X
ITSOJZL,O,X,X,X,X,X
ITSOZLJ,O,O,X,X,X,X
ITSOZJL,O,O,X,X,X,X
ITZLJSO,O,O,O,X,X,X
ITZLJOS,O,O,O,X,X,O
ITZLSJO,O,O,X,X,X,X
ITZLSOJ,O,O,X,X,X,O
ITZLOJS,O,O,O,X,X,O
ITZLOSJ,O,O,X,X,X,O
ITZJLSO,O,O,O,X,X,X
ITZJLOS,O,O,O,X,X,O
ITZJSLO,O,O,O,X,O,X
ITZJSOL,O,O,O,X,O,X
ITZJOLS,O,O,O,X,X,O
ITZJOSL,O,O,O,X,O,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,O,O,X,X,X,O
ITZSJLO,O,O,O,X,X,X
ITZSJOL,O,O,O,X,X,X
ITZSOLJ,O,O,X,X,X,O
ITZSOJL,O,O,O,X,X,X
ITZOLJS,O,O,O,X,X,O
ITZOLSJ,O,O,X,X,X,O
ITZOJLS,O,O,O,X,X,O
ITZOJSL,O,O,O,X,O,X
ITZOSLJ,O,O,X,X,X,O
ITZOSJL,O,O,O,X,X,X
ITOLJSZ,O,X,X,O,X,X
ITOLJZS,O,O,X,O,X,X
ITOLSJZ,O,X,X,X,X,X
ITOLSZJ,O,O,X,O,X,X
ITOLZJS,O,O,X,O,X,X
ITOLZSJ,O,O,X,O,X,X
ITOJLSZ,O,X,X,O,X,X
ITOJLZS,O,O,O,O,X,X
ITOJSLZ,O,X,X,O,O,X
ITOJSZL,O,X,X,X,O,X
ITOJZLS,O,O,O,O,X,X
ITOJZSL,O,O,O,X,O,X
ITOSLJZ,O,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,X
ITOSJLZ,O,X,X,X,X,X
ITOSJZL,O,X,X,X,X,X
ITOSZLJ,O,O,X,X,X,X
ITOSZJL,O,O,X,X,X,X
ITOZLJS,O,O,O,X,X,O
ITOZLSJ,O,O,X,X,X,O
ITOZJLS,O,O,O,X,X,O
ITOZJSL,O,O,O,X,O,X
ITOZSLJ,O,O,X,X,X,O
ITOZSJL,O,O,O,X,X,X
ILTJSZO,O,X,X,O,X,X
ILTJSOZ,O,X,X,O,X,X
ILTJZSO,O,O,X,O,X,X
ILTJZOS,O,O,X,O,X,X
ILTJOSZ,O,X,X,O,X,X
ILTJOZS,O,O,X,O,X,X
ILTSJZO,O,X,X,X,X,X
ILTSJOZ,O,X,X,X,X,X
ILTSZJO,O,O,X,O,X,X
ILTSZOJ,O,O,X,O,X,X
ILTSOJZ,O,X,X,X,X,X
ILTSOZJ,O,O,X,O,X,X
ILTZJSO,O,O,X,O,X,X
ILTZJOS,O,O,X,O,X,X
ILTZSJO,O,O,X,O,X,X
ILTZSOJ,O,O,X,O,X,X
ILTZOJS,O,O,X,O,X,X
ILTZOSJ,O,O,X,O,X,X
ILTOJSZ,O,X,X,O,X,X
ILTOJZS,O,O,X,O,X,X
ILTOSJZ,O,X,X,X,X,X
ILTOSZJ,O,O,X,O,X,X
ILTOZJS,O,O,X,O,X,X
ILTOZSJ,O,O,X,O,X,X
ILJTSZO,O,X,X,O,X,X
ILJTSOZ,O,X,X,O,X,X
ILJTZSO,O,O,X,O,X,X
ILJTZOS,O,O,X,O,X,X
ILJTOSZ,O,X,X,O,X,X
ILJTOZS,O,O,X,O,X,X
ILJSTZO,O,X,X,O,O,X
ILJSTOZ,O,X,X,O,O,X
ILJSZTO,O,X,X,O,O,X
ILJSZOT,O,X,X,O,O,X
ILJSOTZ,O,X,X,O,O,X
ILJSOZT,O,X,X,O,O,X
ILJZTSO,O,O,X,O,X,X
ILJZTOS,O,O,X,O,X,X
ILJZSTO,O,X,X,O,O,X
ILJZSOT,O,O,X,O,O,X
ILJZOTS,O,O,X,O,X,X
ILJZOST,O,O,X,O,O,X
ILJOTSZ,O,X,X,O,X,X
ILJOTZS,O,O,X,O,X,X
ILJOSTZ,O,X,X,O,O,X
ILJOSZT,O,X,X,O,O,X
ILJOZTS,O,O,X,O,X,X
ILJOZST,O,O,X,O,O,X
ILSTJZO,O,X,X,X,X,X
ILSTJOZ,O,X,X,X,X,X
ILSTZJO,O,O,X,O,X,X
ILSTZOJ,O,O,X,O,X,X
ILSTOJZ,O,X,X,X,X,X
ILSTOZJ,O,O,X,O,X,X
ILSJTZO,O,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X
ILSJZTO,O,X,X,X,X,X
ILSJZOT,O,X,X,X,X,X
ILSJOTZ,O,X,X,X,X,X
ILSJOZT,O,X,X,X,X,X
ILSZTJO,O,X,X,O,X,X
ILSZTOJ,O,X,X,O,X,X
ILSZJTO,O,X,X,O,X,X
ILSZJOT,O,O,X,O,X,X
ILSZOTJ,O,X,X,O,X,X
ILSZOJT,O,O,X,O,X,X
ILSOTJZ,O,X,X,X,X,X
ILSOTZJ,O,O,X,O,X,X
ILSOJTZ,O,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X
ILSOZTJ,O,X,X,O,X,X
ILSOZJT,O,O,X,O,X,X
ILZTJSO,O,O,O,O,X,X
ILZTJOS,O,O,O,O,X,X
ILZTSJO,O,O,X,O,X,X
ILZTSOJ,O,O,X,O,X,X
ILZTOJS,O,O,O,O,X,X
ILZTOSJ,O,O,X,O,X,X
ILZJTSO,O,O,X,O,X,X
ILZJTOS,O,O,X,O,X,X
ILZJSTO,O,X,X,O,O,X
ILZJSOT,O,O,X,O,O,X
ILZJOTS,O,O,X,O,X,X
ILZJOST,O,O,X,O,O,X
ILZSTJO,O,X,X,O,X,X
ILZSTOJ,O,X,X,O,X,X
ILZSJTO,O,X,X,O,X,X
ILZSJOT,O,O,X,O,X,X
ILZSOTJ,O,X,X,O,X,X
ILZSOJT,O,O,X,O,X,X
ILZOTJS,O,O,O,O,X,X
ILZOTSJ,O,O,X,O,X,X
ILZOJTS,O,O,X,O,X,X
ILZOJST,O,O,X,O,O,X
ILZOSTJ,O,X,X,O,X,X
ILZOSJT,O,O,X,O,X,X
ILOTJSZ,O,X,X,O,X,X
ILOTJZS,O,O,X,O,X,X
ILOTSJZ,O,X,X,X,X,X
ILOTSZJ,O,O,X,O,X,X
ILOTZJS,O,O,X,O,X,X
ILOTZSJ,O,O,X,O,X,X
ILOJTSZ,O,X,X,O,X,X
ILOJTZS,O,O,X,O,X,X
ILOJSTZ,O,X,X,O,O,X
ILOJSZT,O,X,X,O,O,X
ILOJZTS,O,O,X,O,X,X
ILOJZST,O,O,X,O,O,X
ILOSTJZ,O,X,X,X,X,X
ILOSTZJ,O,O,X,O,X,X
ILOSJTZ,O,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X
ILOSZTJ,O,X,X,O,X,X
ILOSZJT,O,O,X,O,X,X
ILOZTJS,O,O,O,O,X,X
ILOZTSJ,O,O,X,O,X,X
ILOZJTS,O,O,X,O,X,X
ILOZJST,O,O,X,O,O,X
ILOZSTJ,O,X,X,O,X,X
ILOZSJT,O,O,X,O,X,X
IJTLSZO,O,X,X,O,X,X
IJTLSOZ,O,X,X,O,X,X
IJTLZSO,O,O,O,O,X,X
IJTLZOS,O,O,O,O,X,X
IJTLOSZ,O,X,X,O,X,X
IJTLOZS,O,O,O,O,X,X
IJTSLZO,O,X,X,O,O,X
IJTSLOZ,O,X,X,O,O,X
IJTSZLO,O,X,X,X,O,X
IJTSZOL,O,X,X,X,O,X
IJTSOLZ,O,X,X,O,O,X
IJTSOZL,O,X,X,X,O,X
IJTZLSO,O,O,O,O,X,X
IJTZLOS,O,O,O,O,X,X
IJTZSLO,O,O,O,X,O,X
IJTZSOL,O,O,O,X,O,X
IJTZOLS,O,O,O,O,X,X
IJTZOSL,O,O,O,X,O,X
IJTOLSZ,O,X,X,O,X,X
IJTOLZS,O,O,O,O,X,X
IJTOSLZ,O,X,X,O,O,X
IJTOSZL,O,X,X,X,O,X
IJTOZLS,O,O,O,O,X,X
IJTOZSL,O,O,O,X,O,X
IJLTSZO,O,X,X,O,X,X
IJLTSOZ,O,X,X,O,X,X
IJLTZSO,O,O,X,O,X,X
IJLTZOS,O,O,X,O,X,X
IJLTOSZ,O,X,X,O,X,X
IJLTOZS,O,O,X,O,X,X
IJLSTZO,O,X,X,O,O,X
IJLSTOZ,O,X,X,O,O,X
IJLSZTO,O,X,X,O,O,X
IJLSZOT,O,X,X,O,O,X
IJLSOTZ,O,X,X,O,O,X
IJLSOZT,O,X,X,O,O,X
IJLZTSO,O,O,X,O,X,X
IJLZTOS,O,O,X,O,X,X
IJLZSTO,O,X,X,O,O,X
IJLZSOT,O,O,X,O,O,X
IJLZOTS,O,O,X,O,X,X
IJLZOST,O,O,X,O,O,X
IJLOTSZ,O,X,X,O,X,X
IJLOTZS,O,O,X,O,X,X
IJLOSTZ,O,X,X,O,O,X
IJLOSZT,O,X,X,O,O,X
IJLOZTS,O,O,X,O,X,X
IJLOZST,O,O,X,O,O,X
IJSTLZO,O,X,X,O,O,X
IJSTLOZ,O,X,X,O,O,X
IJSTZLO,O,X,X,X,O,X
IJSTZOL,O,X,X,X,O,X
IJSTOLZ,O,X,X,O,O,X
IJSTOZL,O,X,X,X,O,X
IJSLTZO,O,X,X,O,O,X
IJSLTOZ,O,X,X,O,O,X
IJSLZTO,O,X,X,O,O,X
IJSLZOT,O,X,X,O,O,X
IJSLOTZ,O,X,X,O,O,X
IJSLOZT,O,X,X,O,O,X
IJSZTLO,X,O,X,X,O,X
IJSZTOL,O,O,X,X,O,X
IJSZLTO,O,X,X,X,O,X
IJSZLOT,O,O,X,X,O,X
IJSZOTL,O,O,X,X,O,X
IJSZOLT,O,O,X,X,O,X
IJSOTLZ,O,X,X,O,O,X
IJSOTZL,O,X,X,X,O,X
IJSOLTZ,O,X,X,O,O,X
IJSOLZT,O,X,X,O,O,X
IJSOZTL,O,O,X,X,O,X
IJSOZLT,O,O,X,X,O,X
IJZTLSO,O,O,O,O,X,X
IJZTLOS,O,O,O,O,X,X
IJZTSLO,O,O,O,X,O,X
IJZTSOL,O,O,O,X,O,X
IJZTOLS,O,O,O,O,X,X
IJZTOSL,O,O,O,X,O,X
IJZLTSO,O,O,X,O,X,X
IJZLTOS,O,O,X,O,X,X
IJZLSTO,O,X,X,O,O,X
IJZLSOT,O,O,X,O,O,X
IJZLOTS,O,O,X,O,X,X
IJZLOST,O,O,X,O,O,X
IJZSTLO,X,O,X,X,O,X
IJZSTOL,O,O,X,X,O,X
IJZSLTO,X,X,X,X,O,X
IJZSLOT,O,O,X,X,O,X
IJZSOTL,O,O,X,X,O,X
IJZSOLT,O,O,X,X,O,X
IJZOTLS,O,O,O,O,X,X
IJZOTSL,O,O,O,X,O,X
IJZOLTS,O,O,X,O,X,X
IJZOLST,O,O,X,O,O,X
IJZOSTL,O,O,X,X,O,X
IJZOSLT,O,O,X,X,O,X
IJOTLSZ,O,X,X,O,X,X
IJOTLZS,O,O,O,O,X,X
IJOTSLZ,O,X,X,O,O,X
IJOTSZL,O,X,X,X,O,X
IJOTZLS,O,O,O,O,X,X
IJOTZSL,O,O,O,X,O,X
IJOLTSZ,O,X,X,O,X,X
IJOLTZS,O,O,X,O,X,X
IJOLSTZ,O,X,X,O,O,X
IJOLSZT,O,X,X,O,O,X
IJOLZTS,O,O,X,O,X,X
IJOLZST,O,O,X,O,O,X
IJOSTLZ,O,X,X,O,O,X
IJOSTZL,O,X,X,X,O,X
IJOSLTZ,O,X,X,O,O,X
IJOSLZT,O,X,X,O,O,X
IJOSZTL,O,O,X,X,O,X
IJOSZLT,O,O,X,X,O,X
IJOZTLS,O,O,O,O,X,X
IJOZTSL,O,O,O,X,O,X
IJOZLTS,O,O,X,O,X,X
IJOZLST,O,O,X,O,O,X
IJOZSTL,O,O,X,X,O,X
IJOZSLT,O,O,X,X,O,X
ISTLJZO,O,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X
ISTLZJO,O,O,X,X,X,X
ISTLZOJ,O,O,X,X,X,X
ISTLOJZ,O,X,X,X,X,X
ISTLOZJ,O,O,X,X,X,X
ISTJLZO,O,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,X
ISTJZLO,O,X,X,X,X,X
ISTJZOL,O,X,X,X,X,X
ISTJOLZ,O,X,X,X,X,X
ISTJOZL,O,X,X,X,X,X
ISTZLJO,O,O,X,X,X,X
ISTZLOJ,O,O,X,X,X,X
ISTZJLO,O,O,X,X,X,X
ISTZJOL,O,O,X,X,X,X
ISTZOLJ,O,O,X,X,X,X
ISTZOJL,O,O,X,X,X,X
ISTOLJZ,O,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,X
ISTOJLZ,O,X,X,X,X,X
ISTOJZL,O,X,X,X,X,X
ISTOZLJ,O,O,X,X,X,X
ISTOZJL,O,O,X,X,X,X
ISLTJZO,O,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,X
ISLTZJO,O,O,X,X,X,X
ISLTZOJ,O,O,X,X,X,X
ISLTOJZ,O,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,X
ISLJTZO,O,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X
ISLJZTO,O,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X
ISLZTJO,O,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,X
ISLZJTO,O,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X
ISLZOTJ,O,X,X,X,X,X
ISLZOJT,O,O,X,X,X,X
ISLOTJZ,O,X,X,X,X,X
ISLOTZJ,O,O,X,X,X,X
ISLOJTZ,O,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X
ISLOZJT,O,O,X,X,X,X
ISJTLZO,O,X,X,X,O,X
ISJTLOZ,O,X,X,X,O,X
ISJTZLO,O,X,X,X,O,X
ISJTZOL,O,X,X,X,O,X
ISJTOLZ,O,X,X,X,O,X
ISJTOZL,O,X,X,X,O,X
ISJLTZO,O,X,X,X,O,X
ISJLTOZ,O,X,X,X,O,X
ISJLZTO,O,X,X,X,O,X
ISJLZOT,O,X,X,X,O,X
ISJLOTZ,O,X,X,X,O,X
ISJLOZT,O,X,X,X,O,X
ISJZTLO,X,O,X,X,O,X
ISJZTOL,O,O,X,X,O,X
ISJZLTO,O,X,X,X,O,X
ISJZLOT,O,O,X,X,O,X
ISJZOTL,O,O,X,X,O,X
ISJZOLT,O,O,X,X,O,X
ISJOTLZ,O,X,X,X,O,X
ISJOTZL,O,X,X,X,O,X
ISJOLTZ,O,X,X,X,O,X
ISJOLZT,O,X,X,X,O,X
ISJOZTL,O,O,X,X,O,X
ISJOZLT,O,O,X,X,O,X
ISZTLJO,O,O,X,X,X,X
ISZTLOJ,O,O,X,X,X,X
ISZTJLO,O,O,O,X,X,X
ISZTJOL,O,O,O,X,X,X
ISZTOLJ,O,O,X,X,X,X
ISZTOJL,O,O,O,X,X,X
ISZLTJO,O,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X
ISZLJTO,O,X,X,X,X,X
ISZLJOT,O,O,X,X,X,X
ISZLOTJ,O,X,X,X,X,X
ISZLOJT,O,O,X,X,X,X
ISZJTLO,X,O,X,X,O,X
ISZJTOL,O,O,X,X,O,X
ISZJLTO,O,X,X,X,O,X
ISZJLOT,O,O,X,X,O,X
ISZJOTL,O,O,X,X,O,X
ISZJOLT,O,O,X,X,O,X
ISZOTLJ,O,O,X,X,X,X
ISZOTJL,O,O,O,X,X,X
ISZOLTJ,O,X,X,X,X,X
ISZOLJT,O,O,X,X,X,X
ISZOJTL,O,O,X,X,O,X
ISZOJLT,O,O,X,X,O,X
ISOTLJZ,O,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X
ISOTJLZ,O,X,X,X,X,X
ISOTJZL,O,X,X,X,X,X
ISOTZLJ,O,O,X,X,X,X
ISOTZJL,O,O,X,X,X,X
ISOLTJZ,O,X,X,X,X,X
ISOLTZJ,O,O,X,X,X,X
ISOLJTZ,O,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X
ISOLZJT,O,O,X,X,X,X
ISOJTLZ,O,X,X,X,O,X
ISOJTZL,O,X,X,X,O,X
ISOJLTZ,O,X,X,X,O,X
ISOJLZT,O,X,X,X,O,X
ISOJZTL,O,O,X,X,O,X
ISOJZLT,O,O,X,X,O,X
ISOZTLJ,O,O,X,X,X,X
ISOZTJL,O,O,O,X,X,X
ISOZLTJ,O,X,X,X,X,X
ISOZLJT,O,O,X,X,X,X
ISOZJTL,O,O,X,X,O,X
ISOZJLT,O,O,X,X,O,X
IZTLJSO,O,O,O,X,X,X
IZTLJOS,O,O,O,X,X,O
IZTLSJO,O,O,X,X,X,X
IZTLSOJ,O,O,X,X,X,O
IZTLOJS,O,O,O,X,X,O
IZTLOSJ,O,O,X,X,X,O
IZTJLSO,O,O,O,X,X,X
IZTJLOS,O,O,O,X,X,O
IZTJSLO,O,O,O,X,O,X
IZTJSOL,O,O,O,X,O,X
IZTJOLS,O,O,O,X,X,O
IZTJOSL,O,O,O,X,O,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,O,O,X,X,X,O
IZTSJLO,O,O,O,X,X,X
IZTSJOL,O,O,O,X,X,X
IZTSOLJ,O,O,X,X,X,O
IZTSOJL,O,O,O,X,X,X
IZTOLJS,O,O,O,X,X,O
IZTOLSJ,O,O,X,X,X,O
IZTOJLS,O,O,O,X,X,O
IZTOJSL,O,O,O,X,O,X
IZTOSLJ,O,O,X,X,X,O
IZTOSJL,O,O,O,X,X,X
IZLTJSO,O,O,O,X,X,X
IZLTJOS,O,O,O,X,X,O
IZLTSJO,O,O,X,X,X,X
IZLTSOJ,O,O,X,X,X,O
IZLTOJS,O,O,O,X,X,O
IZLTOSJ,O,O,X,X,X,O
IZLJTSO,O,O,X,X,X,X
IZLJTOS,O,O,X,X,X,X
IZLJSTO,O,X,X,X,O,X
IZLJSOT,O,O,X,X,O,X
IZLJOTS,O,O,X,X,X,O
IZLJOST,O,O,X,X,O,O
IZLSTJO,O,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,X
IZLSJTO,O,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X
IZLSOTJ,O,X,X,X,X,O
IZLSOJT,O,O,X,X,X,O
IZLOTJS,O,O,O,X,X,O
IZLOTSJ,O,O,X,X,X,O
IZLOJTS,O,O,X,X,X,O
IZLOJST,O,O,X,X,O,O
IZLOSTJ,O,X,X,X,X,O
IZLOSJT,O,O,X,X,X,O
IZJTLSO,O,O,O,X,X,X
IZJTLOS,O,O,O,X,X,X
IZJTSLO,O,O,O,X,O,X
IZJTSOL,O,O,O,X,O,X
IZJTOLS,O,O,O,X,X,X
IZJTOSL,O,O,O,X,O,X
IZJLTSO,O,O,X,X,X,X
IZJLTOS,O,O,X,X,X,X
IZJLSTO,O,X,X,X,O,X
IZJLSOT,O,O,X,X,O,X
IZJLOTS,O,O,X,X,X,O
IZJLOST,O,O,X,X,O,O
IZJSTLO,X,O,X,X,O,X
IZJSTOL,O,O,X,X,O,X
IZJSLTO,X,X,X,X,O,X
IZJSLOT,O,O,X,X,O,X
IZJSOTL,O,O,X,X,O,X
IZJSOLT,O,O,X,X,O,X
IZJOTLS,O,O,O,X,X,X
IZJOTSL,O,O,O,X,O,X
IZJOLTS,O,O,X,X,X,O
IZJOLST,O,O,X,X,O,O
IZJOSTL,O,O,X,X,O,X
IZJOSLT,O,O,X,X,O,X
IZSTLJO,O,O,X,X,X,X
IZSTLOJ,O,O,X,X,X,X
IZSTJLO,O,O,O,X,X,X
IZSTJOL,O,O,O,X,X,X
IZSTOLJ,O,O,X,X,X,X
IZSTOJL,O,O,O,X,X,X
IZSLTJO,O,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X
IZSLJTO,O,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X
IZSLOTJ,O,X,X,X,X,O
IZSLOJT,O,O,X,X,X,O
IZSJTLO,X,O,X,X,O,X
IZSJTOL,O,O,X,X,O,X
IZSJLTO,O,X,X,X,O,X
IZSJLOT,O,O,X,X,O,X
IZSJOTL,O,O,X,X,O,X
IZSJOLT,O,O,X,X,O,X
IZSOTLJ,O,O,X,X,X,X
IZSOTJL,O,O,O,X,X,X
IZSOLTJ,O,X,X,X,X,O
IZSOLJT,O,O,X,X,X,O
IZSOJTL,O,O,X,X,O,X
IZSOJLT,O,O,X,X,O,X
IZOTLJS,O,O,O,X,X,O
IZOTLSJ,O,O,X,X,X,O
IZOTJLS,O,O,O,X,X,O
IZOTJSL,O,O,O,X,O,X
IZOTSLJ,O,O,X,X,X,O
IZOTSJL,O,O,O,X,X,X
IZOLTJS,O,O,O,X,X,O
IZOLTSJ,O,O,X,X,X,O
IZOLJTS,O,O,X,X,X,O
IZOLJST,O,O,X,X,O,O
IZOLSTJ,O,X,X,X,X,O
IZOLSJT,O,O,X,X,X,O
IZOJTLS,O,O,O,X,X,X
IZOJTSL,O,O,O,X,O,X
IZOJLTS,O,O,X,X,X,O
IZOJLST,O,O,X,X,O,O
IZOJSTL,O,O,X,X,O,X
IZOJSLT,O,O,X,X,O,X
IZOSTLJ,O,O,X,X,X,X
IZOSTJL,O,O,O,X,X,X
IZOSLTJ,O,X,X,X,X,O
IZOSLJT,O,O,X,X,X,O
IZOSJTL,O,O,X,X,O,X
IZOSJLT,O,O,X,X,O,X
IOTLJSZ,O,X,X,O,X,X
IOTLJZS,O,O,X,O,X,X
IOTLSJZ,O,X,X,X,X,X
IOTLSZJ,O,O,X,O,X,X
IOTLZJS,O,O,X,O,X,X
IOTLZSJ,O,O,X,O,X,X
IOTJLSZ,O,X,X,O,X,X
IOTJLZS,O,O,O,O,X,X
IOTJSLZ,O,X,X,O,O,X
IOTJSZL,O,X,X,X,O,X
IOTJZLS,O,O,O,O,X,X
IOTJZSL,O,O,O,X,O,X
IOTSLJZ,O,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,X
IOTSJLZ,O,X,X,X,X,X
IOTSJZL,O,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X
