sequence,v115@zgC8GeB8HeB8EeA8BeC8DeB8AeD8AeE8Jez7IvhFUd?BajB5jB2lBfnBFrB,v115@zgC8GeB8HeB8EeA8BeC8DeB8AeD8AeE8JeU8IvhFaj?B5jBTgBOnB3hBFrB,v115@zgC8GeB8HeB8EeA8BeC8DeB8AeD8AeE8Je37IvhFUd?BajB5jBllBzmBOrB,v115@zgC8GeB8HeB8EeA8BeC8DeB8AeD8AeE8JecAJvhFaj?B5jBThBOnBfrBlrB,v115@zgC8GeB8HeB8EeA8BeC8DeB8AeD8AeE8JeG+IvhFTg?BxhB/oBUhBanBFrB,v115@zgC8GeB8HeB8EeA8BeC8DeB8AeD8AeE8JecAJvhFGe?BFiB/oBCmBZmBzrB
IOTSLJZ,O,X,O,X,O,X
IOTSLZJ,O,X,O,X,X,X
IOTSJLZ,O,O,O,X,O,X
IOTSJZL,O,O,O,X,O,X
IOTSZLJ,O,X,O,X,X,X
IOTSZJL,O,O,O,X,O,X
IOTZLJS,X,O,O,X,X,X
IOTZLSJ,X,X,O,X,X,X
IOTZJLS,X,O,O,X,X,X
IOTZJSL,X,O,O,X,X,X
IOTZSLJ,X,X,O,X,X,X
IOTZSJL,X,O,O,X,O,X
IOLTJSZ,O,O,O,X,X,X
IOLTJZS,O,O,O,X,X,X
IOLTSJZ,O,X,O,X,X,X
IOLTSZJ,O,X,O,X,X,X
IOLTZJS,X,O,O,X,X,X
IOLTZSJ,X,X,O,X,X,X
IOLJTSZ,O,O,O,X,X,X
IOLJTZS,O,O,O,X,X,X
IOLJSTZ,O,O,X,X,X,X
IOLJSZT,O,O,X,X,X,X
IOLJZTS,O,O,O,X,X,X
IOLJZST,O,O,X,O,X,X
IOLSTJZ,O,X,O,X,X,X
IOLSTZJ,O,X,O,X,X,X
IOLSJTZ,O,O,X,X,O,X
IOLSJZT,O,O,X,X,O,X
IOLSZTJ,O,X,O,X,X,X
IOLSZJT,O,X,X,X,X,X
IOLZTJS,X,X,O,X,X,X
IOLZTSJ,X,X,O,X,X,X
IOLZJTS,X,O,O,X,X,X
IOLZJST,X,O,X,O,X,X
IOLZSTJ,O,X,O,X,X,X
IOLZSJT,O,X,X,O,X,X
IOJTLSZ,O,O,O,X,X,X
IOJTLZS,O,O,O,X,X,X
IOJTSLZ,O,O,O,X,X,X
IOJTSZL,O,O,O,X,X,X
IOJTZLS,O,O,O,X,X,X
IOJTZSL,O,O,O,X,X,X
IOJLTSZ,O,O,O,X,X,X
IOJLTZS,O,O,O,X,X,X
IOJLSTZ,O,O,X,X,X,X
IOJLSZT,O,O,X,X,X,X
IOJLZTS,O,O,O,X,X,X
IOJLZST,O,O,X,O,X,X
IOJSTLZ,O,O,X,X,O,X
IOJSTZL,O,O,X,X,O,X
IOJSLTZ,O,O,X,X,O,X
IOJSLZT,O,O,X,X,O,X
IOJSZTL,O,X,X,X,O,X
IOJSZLT,O,O,X,X,O,X
IOJZTLS,O,O,O,X,X,X
IOJZTSL,O,O,O,X,X,X
IOJZLTS,O,O,O,X,X,X
IOJZLST,O,O,X,O,X,X
IOJZSTL,O,X,X,O,X,X
IOJZSLT,O,O,X,O,X,X
IOSTLJZ,O,X,O,X,O,X
IOSTLZJ,O,X,O,X,X,X
IOSTJLZ,O,O,O,X,O,X
IOSTJZL,O,O,O,X,O,X
IOSTZLJ,O,X,O,X,X,X
IOSTZJL,O,O,O,X,O,X
IOSLTJZ,O,X,O,X,X,X
IOSLTZJ,O,X,O,X,X,X
IOSLJTZ,O,O,X,X,O,X
IOSLJZT,O,O,X,X,O,X
IOSLZTJ,O,X,O,X,X,X
IOSLZJT,O,X,X,X,X,X
IOSJTLZ,O,O,X,X,O,X
IOSJTZL,O,O,X,X,O,X
IOSJLTZ,O,O,X,X,O,X
IOSJLZT,O,O,X,X,O,X
IOSJZTL,O,X,X,X,O,X
IOSJZLT,O,O,X,X,O,X
IOSZTLJ,O,X,O,X,X,X
IOSZTJL,O,X,O,X,X,X
IOSZLTJ,O,X,O,X,X,X
IOSZLJT,O,X,X,X,X,X
IOSZJTL,O,X,X,X,O,X
IOSZJLT,O,O,X,X,O,X
IOZTLJS,X,O,O,X,X,X
IOZTLSJ,X,X,O,X,X,X
IOZTJLS,X,O,O,X,X,X
IOZTJSL,X,O,O,X,X,X
IOZTSLJ,X,X,O,X,X,X
IOZTSJL,X,O,O,X,X,X
IOZLTJS,X,X,O,X,X,X
IOZLTSJ,X,X,O,X,X,X
IOZLJTS,X,O,O,X,X,X
IOZLJST,X,O,X,O,X,X
IOZLSTJ,O,X,O,X,X,X
IOZLSJT,O,X,X,O,X,X
IOZJTLS,X,O,O,X,X,X
IOZJTSL,X,O,O,X,X,X
IOZJLTS,X,O,O,X,X,X
IOZJLST,X,O,X,O,X,X
IOZJSTL,X,X,X,O,X,X
IOZJSLT,X,O,X,O,X,X
IOZSTLJ,O,X,O,X,X,X
IOZSTJL,O,X,O,O,X,X
IOZSLTJ,O,X,O,X,X,X
IOZSLJT,O,X,X,O,X,X
IOZSJTL,O,X,X,O,O,X
IOZSJLT,O,O,X,O,O,X
LTIJSZO,O,X,X,X,X,X
LTIJSOZ,O,O,O,X,X,X
LTIJZSO,O,X,X,O,X,X
LTIJZOS,O,O,X,X,X,X
LTIJOSZ,O,O,O,X,X,X
LTIJOZS,O,O,O,X,X,X
LTISJZO,O,X,X,X,X,X
LTISJOZ,O,X,O,X,X,X
LTISZJO,O,X,X,X,X,X
LTISZOJ,O,X,O,X,X,X
LTISOJZ,O,X,O,X,X,X
LTISOZJ,O,X,O,X,X,X
LTIZJSO,O,X,X,O,X,X
LTIZJOS,O,X,X,X,X,X
LTIZSJO,O,X,X,O,X,X
LTIZSOJ,O,X,O,X,X,X
LTIZOJS,X,X,O,X,X,X
LTIZOSJ,X,X,O,X,X,X
LTIOJSZ,O,O,O,X,X,X
LTIOJZS,O,O,O,X,X,X
LTIOSJZ,O,X,O,X,X,X
LTIOSZJ,O,X,O,X,X,X
LTIOZJS,X,O,O,X,X,X
LTIOZSJ,X,X,O,X,X,X
LTJISZO,O,X,X,X,X,X
LTJISOZ,O,O,O,X,X,X
LTJIZSO,O,X,X,O,X,X
LTJIZOS,O,O,X,X,X,X
LTJIOSZ,O,O,O,X,X,X
LTJIOZS,O,O,O,X,X,X
LTJSIZO,O,X,X,X,X,X
LTJSIOZ,O,O,O,X,X,X
LTJSZIO,O,X,X,X,X,X
LTJSZOI,O,X,X,X,X,X
LTJSOIZ,O,O,O,X,X,X
LTJSOZI,O,O,O,X,X,X
LTJZISO,O,X,X,O,X,X
LTJZIOS,O,O,X,X,X,X
LTJZSIO,O,X,X,O,X,X
LTJZSOI,O,X,X,O,X,X
LTJZOIS,O,O,X,X,X,X
LTJZOSI,O,O,X,X,X,X
LTJOISZ,O,O,O,X,X,X
LTJOIZS,O,O,O,X,X,X
LTJOSIZ,O,O,O,X,X,X
LTJOSZI,O,O,O,X,X,X
LTJOZIS,O,O,O,X,X,X
LTJOZSI,O,O,O,X,X,X
LTSIJZO,O,X,X,X,X,X
LTSIJOZ,O,X,O,X,X,X
LTSIZJO,O,X,X,X,X,X
LTSIZOJ,O,X,O,X,X,X
LTSIOJZ,O,X,O,X,X,X
LTSIOZJ,O,X,O,X,X,X
LTSJIZO,O,X,X,X,X,X
LTSJIOZ,O,X,O,X,X,X
LTSJZIO,O,X,X,X,X,X
LTSJZOI,O,X,X,X,X,X
LTSJOIZ,O,X,O,X,O,X
LTSJOZI,O,X,O,X,X,X
LTSZIJO,O,X,X,X,X,X
LTSZIOJ,O,X,O,X,X,X
LTSZJIO,O,X,X,X,X,X
LTSZJOI,O,X,X,X,X,X
LTSZOIJ,O,X,O,X,X,X
LTSZOJI,O,X,O,X,X,X
LTSOIJZ,O,X,O,X,O,X
LTSOIZJ,O,X,O,X,X,X
LTSOJIZ,O,X,O,X,O,X
LTSOJZI,O,X,O,X,X,X
LTSOZIJ,O,X,O,X,X,X
LTSOZJI,O,X,O,X,X,X
LTZIJSO,O,X,X,O,X,X
LTZIJOS,O,X,X,X,X,X
LTZISJO,O,X,X,O,X,X
LTZISOJ,O,X,O,X,X,X
LTZIOJS,X,X,O,X,X,X
LTZIOSJ,X,X,O,X,X,X
LTZJISO,O,X,X,O,X,X
LTZJIOS,O,X,X,X,X,X
LTZJSIO,O,X,X,O,X,X
LTZJSOI,O,X,X,O,X,X
LTZJOIS,O,X,X,X,X,X
LTZJOSI,O,X,X,X,X,X
LTZSIJO,O,X,X,O,X,X
LTZSIOJ,O,X,O,X,X,X
LTZSJIO,O,X,X,O,X,X
LTZSJOI,O,X,X,O,X,X
LTZSOIJ,O,X,O,X,X,X
LTZSOJI,O,X,O,X,X,X
LTZOIJS,X,X,O,X,X,X
LTZOISJ,X,X,O,X,X,X
LTZOJIS,X,X,O,X,X,X
LTZOJSI,X,X,O,X,X,X
LTZOSIJ,X,X,O,X,X,X
LTZOSJI,X,X,O,X,X,X
LTOIJSZ,O,O,O,X,X,X
LTOIJZS,O,O,O,X,X,X
LTOISJZ,O,X,O,X,O,X
LTOISZJ,O,X,O,X,X,X
LTOIZJS,X,O,O,X,X,X
LTOIZSJ,X,X,O,X,X,X
LTOJISZ,O,O,O,X,X,X
LTOJIZS,O,O,O,X,X,X
LTOJSIZ,O,O,O,X,X,X
LTOJSZI,O,O,O,X,X,X
LTOJZIS,O,O,O,X,X,X
LTOJZSI,O,O,O,X,X,X
LTOSIJZ,O,X,O,X,O,X
LTOSIZJ,O,X,O,X,X,X
LTOSJIZ,O,X,O,X,O,X
LTOSJZI,O,X,O,X,X,X
LTOSZIJ,O,X,O,X,X,X
LTOSZJI,O,X,O,X,X,X
LTOZIJS,X,O,O,X,X,X
LTOZISJ,X,X,O,X,X,X
LTOZJIS,X,O,O,X,X,X
LTOZJSI,X,O,O,X,X,X
LTOZSIJ,X,X,O,X,X,X
LTOZSJI,X,X,O,X,X,X
LITJSZO,O,X,X,X,X,X
LITJSOZ,O,O,O,X,X,X
LITJZSO,O,X,X,O,X,X
LITJZOS,O,O,X,X,X,X
LITJOSZ,O,O,O,X,X,X
LITJOZS,O,O,O,X,X,X
LITSJZO,O,X,X,X,X,X
LITSJOZ,O,X,O,X,X,X
LITSZJO,O,X,X,X,X,X
LITSZOJ,O,X,O,X,X,X
LITSOJZ,O,X,O,X,X,X
LITSOZJ,O,X,O,X,X,X
LITZJSO,O,X,X,O,X,X
LITZJOS,O,X,X,X,X,X
LITZSJO,O,X,X,O,X,X
LITZSOJ,O,X,O,X,X,X
LITZOJS,X,X,O,X,X,X
LITZOSJ,X,X,O,X,X,X
LITOJSZ,O,O,O,X,X,X
LITOJZS,O,O,O,X,X,X
LITOSJZ,O,X,O,X,X,X
LITOSZJ,O,X,O,X,X,X
LITOZJS,X,O,O,X,X,X
LITOZSJ,X,X,O,X,X,X
LIJTSZO,O,X,X,X,X,X
LIJTSOZ,O,O,O,X,X,X
LIJTZSO,O,X,X,O,X,X
LIJTZOS,O,O,X,X,X,X
LIJTOSZ,O,O,O,X,X,X
LIJTOZS,O,O,O,X,X,X
LIJSTZO,O,X,X,X,X,X
LIJSTOZ,O,O,X,X,X,X
LIJSZTO,O,X,X,O,X,X
LIJSZOT,O,X,X,O,X,X
LIJSOTZ,O,O,X,X,X,X
LIJSOZT,O,O,X,X,X,X
LIJZTSO,O,X,X,O,X,X
LIJZTOS,O,O,X,X,X,X
LIJZSTO,O,X,X,O,X,X
LIJZSOT,O,X,X,O,X,X
LIJZOTS,O,O,O,X,X,X
LIJZOST,O,O,X,O,X,X
LIJOTSZ,O,O,O,X,X,X
LIJOTZS,O,O,O,X,X,X
LIJOSTZ,O,O,X,X,X,X
LIJOSZT,O,O,X,X,X,X
LIJOZTS,O,O,O,X,X,X
LIJOZST,O,O,X,O,X,X
LISTJZO,O,X,X,X,X,X
LISTJOZ,O,X,O,X,X,X
LISTZJO,O,X,X,X,X,X
LISTZOJ,O,X,O,X,X,X
LISTOJZ,O,X,O,X,X,X
LISTOZJ,O,X,O,X,X,X
LISJTZO,O,X,X,X,X,X
LISJTOZ,O,O,X,X,X,X
LISJZTO,O,X,X,O,X,X
LISJZOT,O,X,X,O,X,X
LISJOTZ,O,O,X,X,X,X
LISJOZT,O,O,X,X,X,X
LISZTJO,O,X,X,O,X,X
LISZTOJ,O,X,X,X,X,X
LISZJTO,O,X,X,O,X,X
LISZJOT,O,X,X,O,X,X
LISZOTJ,O,X,O,X,X,X
LISZOJT,O,X,X,O,X,X
LISOTJZ,O,X,O,X,X,X
LISOTZJ,O,X,O,X,X,X
LISOJTZ,O,O,X,X,X,X
LISOJZT,O,O,X,X,X,X
LISOZTJ,O,X,O,X,X,X
LISOZJT,O,X,X,X,X,X
LIZTJSO,O,X,X,O,X,X
LIZTJOS,O,X,X,X,X,X
LIZTSJO,O,X,X,O,X,X
LIZTSOJ,O,X,O,X,X,X
LIZTOJS,X,X,O,X,X,X
LIZTOSJ,X,X,O,X,X,X
LIZJTSO,O,X,X,O,X,X
LIZJTOS,O,O,X,X,X,X
LIZJSTO,O,X,X,O,X,X
LIZJSOT,O,X,X,O,X,X
LIZJOTS,O,O,O,X,X,X
LIZJOST,O,O,X,O,X,X
LIZSTJO,O,X,X,O,X,X
LIZSTOJ,O,X,X,X,X,X
LIZSJTO,O,X,X,O,X,X
LIZSJOT,O,X,X,O,X,X
LIZSOTJ,O,X,O,X,X,X
LIZSOJT,O,X,X,O,X,X
LIZOTJS,X,X,O,X,X,X
LIZOTSJ,X,X,O,X,X,X
LIZOJTS,X,O,O,X,X,X
LIZOJST,X,O,X,O,X,X
LIZOSTJ,O,X,O,X,X,X
LIZOSJT,O,X,X,O,X,X
LIOTJSZ,O,O,O,X,X,X
LIOTJZS,O,O,O,X,X,X
LIOTSJZ,O,X,O,X,X,X
LIOTSZJ,O,X,O,X,X,X
LIOTZJS,X,O,O,X,X,X
LIOTZSJ,X,X,O,X,X,X
LIOJTSZ,O,O,O,X,X,X
LIOJTZS,O,O,O,X,X,X
LIOJSTZ,O,O,X,X,X,X
LIOJSZT,O,O,X,X,X,X
LIOJZTS,O,O,O,X,X,X
LIOJZST,O,O,X,O,X,X
LIOSTJZ,O,X,O,X,X,X
LIOSTZJ,O,X,O,X,X,X
LIOSJTZ,O,O,X,X,X,X
LIOSJZT,O,O,X,X,X,X
LIOSZTJ,O,X,O,X,X,X
LIOSZJT,O,X,X,X,X,X
LIOZTJS,X,X,O,X,X,X
LIOZTSJ,X,X,O,X,X,X
LIOZJTS,X,O,O,X,X,X
LIOZJST,X,O,X,O,X,X
LIOZSTJ,O,X,O,X,X,X
LIOZSJT,O,X,X,O,X,X
LJTISZO,O,X,X,X,X,X
LJTISOZ,O,O,O,X,X,X
LJTIZSO,O,X,X,O,X,X
LJTIZOS,O,O,X,X,X,X
LJTIOSZ,O,O,O,X,X,X
LJTIOZS,O,O,O,X,X,X
LJTSIZO,O,X,X,X,X,X
LJTSIOZ,O,O,O,X,X,X
LJTSZIO,O,X,X,X,X,X
LJTSZOI,O,X,X,X,X,X
LJTSOIZ,O,O,O,X,X,X
LJTSOZI,O,O,O,X,X,X
LJTZISO,O,X,X,O,X,X
LJTZIOS,O,O,X,X,X,X
LJTZSIO,O,X,X,O,X,X
LJTZSOI,O,X,X,O,X,X
LJTZOIS,O,O,X,X,X,X
LJTZOSI,O,O,X,X,X,X
LJTOISZ,O,O,O,X,X,X
LJTOIZS,O,O,O,X,X,X
LJTOSIZ,O,O,O,X,X,X
LJTOSZI,O,O,O,X,X,X
LJTOZIS,O,O,O,X,X,X
LJTOZSI,O,O,O,X,X,X
LJITSZO,O,X,X,X,X,X
LJITSOZ,O,O,O,X,X,X
LJITZSO,O,X,X,O,X,X
LJITZOS,O,O,X,X,X,X
LJITOSZ,O,O,O,X,X,X
LJITOZS,O,O,O,X,X,X
LJISTZO,O,X,X,X,X,X
LJISTOZ,O,O,X,X,X,X
LJISZTO,O,X,X,O,X,X
LJISZOT,O,X,X,O,X,X
LJISOTZ,O,O,X,X,X,X
LJISOZT,O,O,X,X,X,X
LJIZTSO,O,X,X,O,X,X
LJIZTOS,O,O,X,X,X,X
LJIZSTO,O,X,X,O,X,X
LJIZSOT,O,X,X,O,X,X
LJIZOTS,O,O,O,X,X,X
LJIZOST,O,O,X,O,X,X
LJIOTSZ,O,O,O,X,X,X
LJIOTZS,O,O,O,X,X,X
LJIOSTZ,O,O,X,X,X,X
LJIOSZT,O,O,X,X,X,X
LJIOZTS,O,O,O,X,X,X
LJIOZST,O,O,X,O,X,X
LJSTIZO,O,X,X,X,X,X
LJSTIOZ,O,O,X,X,X,X
LJSTZIO,O,X,X,X,X,X
LJSTZOI,O,X,X,X,X,X
LJSTOIZ,O,O,X,X,X,X
LJSTOZI,O,O,X,X,X,X
LJSITZO,O,X,X,X,X,X
LJSITOZ,O,O,X,X,X,X
LJSIZTO,O,X,X,O,X,X
LJSIZOT,O,X,X,O,X,X
LJSIOTZ,O,O,X,X,X,X
LJSIOZT,O,O,X,X,X,X
LJSZTIO,O,X,X,O,X,X
LJSZTOI,O,X,X,O,X,X
LJSZITO,O,X,X,O,X,X
LJSZIOT,O,X,X,O,X,X
LJSZOTI,O,X,X,O,X,X
LJSZOIT,O,X,X,O,X,X
LJSOTIZ,O,O,X,X,X,X
LJSOTZI,O,O,X,X,X,X
LJSOITZ,O,O,X,X,X,X
LJSOIZT,O,O,X,X,X,X
LJSOZTI,O,X,X,X,X,X
LJSOZIT,O,O,X,X,X,X
LJZTISO,O,X,X,O,X,X
LJZTIOS,O,O,X,X,X,X
LJZTSIO,O,X,X,O,X,X
LJZTSOI,O,X,X,O,X,X
LJZTOIS,O,O,X,X,X,X
LJZTOSI,O,O,X,X,X,X
LJZITSO,O,X,X,O,X,X
LJZITOS,O,O,X,X,X,X
LJZISTO,O,X,X,O,X,X
LJZISOT,O,X,X,O,X,X
LJZIOTS,O,O,O,X,X,X
LJZIOST,O,O,X,O,X,X
LJZSTIO,O,X,X,O,X,X
LJZSTOI,O,X,X,O,X,X
LJZSITO,O,X,X,O,X,X
LJZSIOT,O,X,X,O,X,X
LJZSOTI,O,X,X,O,X,X
LJZSOIT,O,X,X,O,X,X
LJZOTIS,O,O,O,X,X,X
LJZOTSI,O,O,O,X,X,X
LJZOITS,O,O,O,X,X,X
LJZOIST,O,O,X,O,X,X
LJZOSTI,O,X,X,O,X,X
LJZOSIT,O,O,X,O,X,X
LJOTISZ,O,O,O,X,X,X
LJOTIZS,O,O,O,X,X,X
LJOTSIZ,O,O,O,X,X,X
LJOTSZI,O,O,O,X,X,X
LJOTZIS,O,O,O,X,X,X
LJOTZSI,O,O,O,X,X,X
LJOITSZ,O,O,O,X,X,X
LJOITZS,O,O,O,X,X,X
LJOISTZ,O,O,X,X,X,X
LJOISZT,O,O,X,X,X,X
LJOIZTS,O,O,O,X,X,X
LJOIZST,O,O,X,O,X,X
LJOSTIZ,O,O,X,X,X,X
LJOSTZI,O,O,X,X,X,X
LJOSITZ,O,O,X,X,X,X
LJOSIZT,O,O,X,X,X,X
LJOSZTI,O,X,X,X,X,X
LJOSZIT,O,O,X,X,X,X
LJOZTIS,O,O,O,X,X,X
LJOZTSI,O,O,O,X,X,X
LJOZITS,O,O,O,X,X,X
LJOZIST,O,O,X,O,X,X
LJOZSTI,O,X,X,O,X,X
LJOZSIT,O,O,X,O,X,X
LSTIJZO,O,X,X,X,X,X
LSTIJOZ,O,X,O,X,X,X
LSTIZJO,O,X,X,X,X,X
LSTIZOJ,O,X,O,X,X,X
LSTIOJZ,O,X,O,X,X,X
LSTIOZJ,O,X,O,X,X,X
LSTJIZO,O,X,X,X,X,X
LSTJIOZ,O,X,O,X,X,X
LSTJZIO,O,X,X,X,X,X
LSTJZOI,O,X,X,X,X,X
LSTJOIZ,O,X,O,X,O,X
LSTJOZI,O,X,O,X,X,X
LSTZIJO,O,X,X,X,X,X
LSTZIOJ,O,X,O,X,X,X
LSTZJIO,O,X,X,X,X,X
LSTZJOI,O,X,X,X,X,X
LSTZOIJ,O,X,O,X,X,X
LSTZOJI,O,X,O,X,X,X
LSTOIJZ,O,X,O,X,O,X
LSTOIZJ,O,X,O,X,X,X
LSTOJIZ,O,X,O,X,O,X
LSTOJZI,O,X,O,X,X,X
LSTOZIJ,O,X,O,X,X,X
LSTOZJI,O,X,O,X,X,X
LSITJZO,O,X,X,X,X,X
LSITJOZ,O,X,O,X,X,X
LSITZJO,O,X,X,X,X,X
LSITZOJ,O,X,O,X,X,X
LSITOJZ,O,X,O,X,X,X
LSITOZJ,O,X,O,X,X,X
LSIJTZO,O,X,X,X,X,X
LSIJTOZ,O,O,X,X,X,X
LSIJZTO,O,X,X,O,X,X
LSIJZOT,O,X,X,O,X,X
LSIJOTZ,O,O,X,X,X,X
LSIJOZT,O,O,X,X,X,X
LSIZTJO,O,X,X,O,X,X
LSIZTOJ,O,X,X,X,X,X
LSIZJTO,O,X,X,O,X,X
LSIZJOT,O,X,X,O,X,X
LSIZOTJ,O,X,O,X,X,X
LSIZOJT,O,X,X,O,X,X
LSIOTJZ,O,X,O,X,X,X
LSIOTZJ,O,X,O,X,X,X
LSIOJTZ,O,O,X,X,X,X
LSIOJZT,O,O,X,X,X,X
LSIOZTJ,O,X,O,X,X,X
LSIOZJT,O,X,X,X,X,X
LSJTIZO,O,X,X,X,X,X
LSJTIOZ,O,O,X,X,X,X
LSJTZIO,O,X,X,X,X,X
LSJTZOI,O,X,X,X,X,X
LSJTOIZ,O,O,X,X,O,X
LSJTOZI,O,O,X,X,X,X
LSJITZO,O,X,X,X,X,X
LSJITOZ,O,O,X,X,X,X
LSJIZTO,O,X,X,O,X,X
LSJIZOT,O,X,X,O,X,X
LSJIOTZ,O,O,X,X,X,X
LSJIOZT,O,O,X,X,X,X
LSJZTIO,O,X,X,O,X,O
LSJZTOI,O,X,X,O,X,O
LSJZITO,O,X,X,O,X,O
LSJZIOT,O,X,X,O,X,X
LSJZOTI,O,X,X,O,X,O
LSJZOIT,O,X,X,O,X,X
LSJOTIZ,O,O,X,X,O,X
LSJOTZI,O,O,X,X,X,X
LSJOITZ,O,O,X,X,O,X
LSJOIZT,O,O,X,X,O,X
LSJOZTI,O,X,X,X,X,X
LSJOZIT,O,O,X,X,X,X
LSZTIJO,O,X,X,O,X,O
LSZTIOJ,O,X,X,X,X,O
LSZTJIO,O,X,X,O,X,O
LSZTJOI,O,X,X,O,X,O
LSZTOIJ,O,X,X,X,X,O
LSZTOJI,O,X,X,X,X,O
LSZITJO,O,X,X,O,X,O
LSZITOJ,O,X,X,X,X,O
LSZIJTO,O,X,X,O,X,O
LSZIJOT,O,X,X,O,X,X
LSZIOTJ,O,X,O,X,X,X
LSZIOJT,O,X,X,O,X,X
LSZJTIO,O,X,X,O,X,O
LSZJTOI,O,X,X,O,X,O
LSZJITO,O,X,X,O,X,O
LSZJIOT,O,X,X,O,X,X
LSZJOTI,O,X,X,O,X,O
LSZJOIT,O,X,X,O,X,X
LSZOTIJ,O,X,O,X,X,O
LSZOTJI,O,X,O,X,X,O
LSZOITJ,O,X,O,X,X,X
LSZOIJT,O,X,X,O,X,X
LSZOJTI,O,X,X,O,X,O
LSZOJIT,O,X,X,O,X,X
LSOTIJZ,O,X,O,X,O,X
LSOTIZJ,O,X,O,X,X,X
LSOTJIZ,O,X,O,X,O,X
LSOTJZI,O,X,O,X,X,X
LSOTZIJ,O,X,O,X,X,X
LSOTZJI,O,X,O,X,X,X
LSOITJZ,O,X,O,X,X,X
LSOITZJ,O,X,O,X,X,X
LSOIJTZ,O,O,X,X,O,X
LSOIJZT,O,O,X,X,O,X
LSOIZTJ,O,X,O,X,X,X
LSOIZJT,O,X,X,X,X,X
LSOJTIZ,O,O,X,X,O,X
LSOJTZI,O,O,X,X,X,X
LSOJITZ,O,O,X,X,O,X
LSOJIZT,O,O,X,X,O,X
LSOJZTI,O,X,X,X,X,X
LSOJZIT,O,O,X,X,X,X
LSOZTIJ,O,X,O,X,X,X
LSOZTJI,O,X,O,X,X,X
LSOZITJ,O,X,O,X,X,X
LSOZIJT,O,X,X,X,X,X
LSOZJTI,O,X,X,X,X,X
LSOZJIT,O,X,X,X,X,X
LZTIJSO,O,X,X,O,X,X
LZTIJOS,O,X,X,X,X,X
LZTISJO,O,X,X,O,X,O
LZTISOJ,O,X,O,X,X,O
LZTIOJS,X,X,O,X,X,X
LZTIOSJ,X,X,O,X,X,X
LZTJISO,O,X,X,O,X,X
LZTJIOS,O,X,X,X,X,X
LZTJSIO,O,X,X,O,X,O
LZTJSOI,O,X,X,O,X,O
LZTJOIS,O,X,X,X,X,X
LZTJOSI,O,X,X,X,X,X
LZTSIJO,O,X,X,O,X,O
LZTSIOJ,O,X,O,X,X,O
LZTSJIO,O,X,X,O,X,O
LZTSJOI,O,X,X,O,X,O
LZTSOIJ,O,X,O,X,X,O
LZTSOJI,O,X,O,X,X,O
LZTOIJS,X,X,O,X,X,X
LZTOISJ,X,X,O,X,X,X
LZTOJIS,X,X,O,X,X,X
LZTOJSI,X,X,O,X,X,X
LZTOSIJ,X,X,O,X,X,O
LZTOSJI,X,X,O,X,X,O
LZITJSO,O,X,X,O,X,X
LZITJOS,O,X,X,X,X,X
LZITSJO,O,X,X,O,X,O
LZITSOJ,O,X,O,X,X,O
LZITOJS,X,X,O,X,X,X
LZITOSJ,X,X,O,X,X,X
LZIJTSO,O,X,X,O,X,X
LZIJTOS,O,O,X,X,X,X
LZIJSTO,O,X,X,O,X,X
LZIJSOT,O,X,X,O,X,X
LZIJOTS,O,O,O,X,X,X
LZIJOST,O,O,X,O,X,X
LZISTJO,O,X,X,O,X,O
LZISTOJ,O,X,X,X,X,O
LZISJTO,O,X,X,O,X,O
LZISJOT,O,X,X,O,X,X
LZISOTJ,O,X,O,X,X,X
LZISOJT,O,X,X,O,X,X
LZIOTJS,X,X,O,X,X,X
LZIOTSJ,X,X,O,X,X,X
LZIOJTS,X,O,O,X,X,X
LZIOJST,X,O,X,O,X,X
LZIOSTJ,O,X,O,X,X,X
LZIOSJT,O,X,X,O,X,X
LZJTISO,O,X,X,O,X,X
LZJTIOS,O,O,X,X,X,X
LZJTSIO,O,X,X,O,X,O
LZJTSOI,O,X,X,O,X,O
LZJTOIS,O,O,X,X,X,X
LZJTOSI,O,O,X,X,X,X
LZJITSO,O,X,X,O,X,X
LZJITOS,O,O,X,X,X,X
LZJISTO,O,X,X,O,X,X
LZJISOT,O,X,X,O,X,X
LZJIOTS,O,O,O,X,X,X
LZJIOST,O,O,X,O,X,X
LZJSTIO,O,X,X,O,X,O
LZJSTOI,O,X,X,O,X,O
LZJSITO,O,X,X,O,X,O
LZJSIOT,O,X,X,O,X,X
LZJSOTI,O,X,X,O,X,O
LZJSOIT,O,X,X,O,X,X
LZJOTIS,O,O,O,X,X,X
LZJOTSI,O,O,O,X,X,X
LZJOITS,O,O,O,X,X,X
LZJOIST,O,O,X,O,X,X
LZJOSTI,O,X,X,O,X,X
LZJOSIT,O,O,X,O,X,X
LZSTIJO,O,X,X,O,X,O
LZSTIOJ,O,X,X,X,X,O
LZSTJIO,O,X,X,O,X,O
LZSTJOI,O,X,X,O,X,O
LZSTOIJ,O,X,X,X,X,O
LZSTOJI,O,X,X,X,X,O
LZSITJO,O,X,X,O,X,O
LZSITOJ,O,X,X,X,X,O
LZSIJTO,O,X,X,O,X,O
LZSIJOT,O,X,X,O,X,X
LZSIOTJ,O,X,O,X,X,X
LZSIOJT,O,X,X,O,X,X
LZSJTIO,O,X,X,O,X,O
LZSJTOI,O,X,X,O,X,O
LZSJITO,O,X,X,O,X,O
LZSJIOT,O,X,X,O,X,X
LZSJOTI,O,X,X,O,X,O
LZSJOIT,O,X,X,O,X,X
