sequence,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeC8IvhFTdBejB?5jBVsBXrB0rB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeC8IvhFldB5jB?mhB8nBzrBXrB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhFxdB0iB?6oBlmBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeSBJvhFmdB5jB?0iBlmBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jez7IvhFUdBGeB?1mB/oBSsBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jei9IvhF5jBziB?lmBXsBuqBcrB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JefBJvhFSiBTeB?UnBGoBlmBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhFxdB6oB?0mBlnBzqBXsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR8IvhFGeBUhB?/oBTnBSwBFsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jez7IvhFldB5jB?8nBmmBSwBfsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeU9IvhFajB5jB?FhBWsBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR9IvhFSjBFhB?8mBGoBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeaDJvhF5jBFhB?XiBcsBurBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeSBJvhF/iBTjB?UhBVsBGoBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR8IvhFGeBFiB?/oB6rBcsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhF0mBxnB?6oBlnBzqBXsB
ISZLJOT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZLOTJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZLOJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZJTLO,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X
ISZJTOL,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
ISZJLTO,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X
ISZJLOT,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
ISZJOTL,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ISZJOLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISZOTLJ,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
ISZOTJL,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ISZOLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZOJTL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOTJZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOTZJL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOLJZT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ISOLZJT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOJTLZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOJTZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOJLZT,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOJZTL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOZTJL,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOZLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOZJTL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IZTLJOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZTLSJO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZTLSOJ,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O
IZTLOJS,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZTLOSJ,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O
IZTJLSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IZTJLOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZTJSLO,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZTJSOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZTSLOJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IZTSJLO,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZTSJOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZTSOJL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTOLSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZTOJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZTOSJL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTJSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X
IZLTJOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZLTSJO,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
IZLTSOJ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,O
IZLTOJS,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZLTOSJ,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O
IZLJTSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IZLJTOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZLJSTO,X,X,O,O,X,X,X,O,X,O,O,X,O,X,X,X
IZLJSOT,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZLJOST,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLSTJO,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IZLSTOJ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O
IZLSJTO,X,X,O,O,X,X,X,O,X,O,X,X,O,X,O,X
IZLSJOT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLSOJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLOTJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZLOTSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLOJTS,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZLOJST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLOSTJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLOSJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJTLSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IZJTLOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZJTSLO,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJTSOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IZJLTOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
IZJLSTO,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X
IZJLSOT,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZJLOST,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJSTLO,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
IZJSTOL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJSLTO,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
IZJSLOT,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IZJSOTL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZJOTLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJOLST,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJOSTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTLJO,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSTLOJ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O
IZSTJLO,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSTJOL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZSTOJL,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSLTJO,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSLTOJ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O
IZSLJTO,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X
IZSLJOT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSLOTJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSLOJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSJTLO,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSJTOL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X
IZSJLOT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSJOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZSOTJL,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZSOLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSOJTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZOTLSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZOTJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOTSJL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZOLTSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZOLJTS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLJST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOLSJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOJTLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOJLST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOJSTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZOSTJL,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOSLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOSJTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTLJZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IOTLSZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IOTLZJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTLZSJ,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X
IOTJLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTJLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IOTJSZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IOTSLZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IOTSJLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IOTSJZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IOTSZJL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTZLJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTZLSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOTZJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
IOTZSJL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLTJZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IOLTSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IOLTZJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTZSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOLJTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLJTZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJSTZ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOLJSZT,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOLJZTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJZST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IOLSTZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IOLSJTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLSZTJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOLSZJT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLZTJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X
IOLZJTS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZJST,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLZSTJ,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X
IOLZSJT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJTLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJTLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IOJTSZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJLTZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLSTZ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJLSZT,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOJLZTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLZST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSTLZ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJSTZL,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJSLZT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSZTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSZLT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZLST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZSTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IOSTLZJ,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
IOSTJLZ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IOSTJZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
IOSTZJL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IOSLTZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IOSLJTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSLZTJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOSLZJT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSJLZT,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSJZTL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSZJTL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IOZTLSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
IOZTJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X
IOZTSJL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IOZLTSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
IOZLJTS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLJST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLSTJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZLSJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJTLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJLST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJSTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IOZSTJL,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZSLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZSJTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIJZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTISJZO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
LTISZOJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
LTISOJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTIZJSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTIZJOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTIZSJO,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
LTIZSOJ,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
LTIZOJS,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTIZOSJ,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
LTIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
LTIOZJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOZSJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTJISZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJISOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJIZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSIZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTJZISO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTJZIOS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTJZSIO,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
LTJZSOI,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJZOIS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTJZOSI,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
