sequence,v115@7gC8GeD8EeE8FeF8BeD8Jel6IvhF3bBuhBciBZmBTl?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFTdBFgBXhB0hBmq?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Jel6IvhFRcBciBOlBThBfr?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFlbBGdBihBTlBxr?B3rB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBUgBFiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBUgBFiByqB+r?BTsB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFUgBFhBXiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFxbB3gBFiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBalBFiBGmBTn?BUrB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFxbB3gBFiByqB+r?BTsB,v115@7gC8GeD8EeE8FeF8BeD8JeR8IvhFciBFgBThBfrBmk?BCsB,v115@7gC8GeD8EeE8FeF8BeD8JeaBJvhFTdBFgBfrBUnB5m?BmpB
TILJSZO,O,O,O,O,O,X,X,O,X,X,X,X
TILJSOZ,X,O,O,X,X,X,X,O,X,X,X,X
TILJZSO,O,O,O,O,O,X,X,O,X,X,X,X
TILJZOS,O,O,O,O,O,X,X,X,X,X,X,X
TILJOSZ,X,O,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,O,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,O,X,X,X,O,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,O,X,X,X,X
TILSZJO,O,X,O,O,O,X,X,O,X,X,X,X
TILSZOJ,O,X,O,X,O,X,X,O,X,X,O,X
TILSOJZ,X,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,O,X,X,X,X,O,X,X,O,X
TILZJSO,O,O,O,O,O,X,X,X,O,X,X,X
TILZJOS,O,O,O,O,O,X,X,X,O,X,X,X
TILZSJO,O,X,O,O,O,X,X,O,O,X,X,X
TILZSOJ,O,X,O,X,O,X,X,O,X,X,O,X
TILZOJS,O,O,O,O,O,X,X,X,X,X,X,X
TILZOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TILOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
