sequence,v115@PhC8GeD8BeB8AeC8JeT/IvhFelBChBxiBlmBcsB3qB,v115@PhC8GeD8BeB8AeC8Je/EJvhFRgBzhBCjBOqB8qBFsB,v115@PhC8GeD8BeB8AeC8Jei/IvhFFhBxiBzkB+qB3mBcsB,v115@PhC8GeD8BeB8AeC8JemAJvhFzhBCjBxkB0kB3qBFsB,v115@PhC8GeD8BeB8AeC8Jex/IvhFmhBCjB0kBXmBFsBTqB,v115@PhC8GeD8BeB8AeC8Je/EJvhFUgBamBWnBxnBTqBFsB,v115@PhC8GeD8BeB8AeC8JemBJvhFCjBxkBXmB0kBFsBTqB,v115@PhC8GeD8BeB8AeC8Jei/IvhFFhBxiBWqB3mBcsBTqB,v115@PhC8GeD8BeB8AeC8Je3BJvhFxkBOsBlkBUmBCoBTqB
TILJSZO,X,X,O,X,O,O,O,X,X
TILJSOZ,X,X,O,O,X,O,O,X,X
TILJZSO,O,X,O,X,O,O,X,O,X
TILJZOS,O,X,O,O,O,O,X,X,X
TILJOSZ,X,X,O,O,X,O,X,X,X
TILJOZS,O,X,O,O,X,O,X,X,X
TILSJZO,O,X,X,O,O,O,O,X,X
TILSJOZ,O,O,X,O,X,O,O,X,X
TILSZJO,O,O,X,O,O,O,O,X,X
TILSZOJ,O,O,X,O,O,O,X,X,X
TILSOJZ,X,O,X,O,X,O,O,X,X
TILSOZJ,X,O,X,O,X,O,X,X,X
TILZJSO,O,O,O,X,O,O,X,O,X
TILZJOS,O,O,O,O,O,O,X,X,X
TILZSJO,O,O,O,X,O,O,O,O,X
TILZSOJ,O,O,O,X,O,O,X,O,X
TILZOJS,O,O,O,O,O,O,X,X,X
TILZOSJ,O,O,O,X,O,O,X,X,X
TILOJSZ,X,X,O,O,X,O,X,X,X
TILOJZS,X,X,O,O,X,O,X,X,X
TILOSJZ,X,O,X,O,X,O,O,X,X
TILOSZJ,X,O,X,O,X,O,X,X,X
TILOZJS,X,O,O,O,X,O,X,X,X
TILOZSJ,X,O,O,X,X,O,X,X,X
TIJLSZO,X,X,O,X,O,O,O,X,X
TIJLSOZ,X,X,O,O,X,O,O,X,X
TIJLZSO,O,X,O,X,O,O,X,O,X
TIJLZOS,O,X,O,O,O,O,X,X,X
TIJLOSZ,X,X,O,O,X,O,X,X,X
TIJLOZS,O,X,O,O,X,O,X,X,X
TIJSLZO,X,X,O,X,O,O,O,X,O
TIJSLOZ,X,X,O,O,X,O,O,X,O
TIJSZLO,X,X,X,X,O,O,O,X,O
TIJSZOL,X,X,X,X,O,O,X,X,O
TIJSOLZ,X,X,O,O,X,O,O,X,O
TIJSOZL,X,X,X,X,X,O,X,X,O
TIJZLSO,O,X,O,X,O,O,X,O,X
TIJZLOS,O,X,O,O,O,O,X,X,X
TIJZSLO,O,X,O,X,O,O,X,O,X
TIJZSOL,O,X,O,X,O,O,X,O,X
TIJZOLS,O,X,O,O,O,O,X,X,X
TIJZOSL,O,X,O,X,X,O,X,X,X
TIJOLSZ,X,X,O,O,X,O,X,X,X
TIJOLZS,O,X,O,O,X,O,X,X,X
TIJOSLZ,X,X,O,O,X,O,X,X,X
TIJOSZL,X,X,X,X,X,O,X,X,X
TIJOZLS,O,X,O,O,X,O,X,X,X
TIJOZSL,O,X,O,X,X,O,X,X,X
TISLJZO,O,X,X,O,O,O,O,X,X
TISLJOZ,O,O,X,O,X,O,O,X,X
TISLZJO,O,O,X,O,O,O,O,X,X
TISLZOJ,O,O,X,O,O,O,X,X,X
TISLOJZ,X,O,X,O,X,O,O,X,X
TISLOZJ,X,O,X,O,X,O,X,X,X
TISJLZO,O,X,X,O,O,O,O,X,X
TISJLOZ,O,O,X,O,X,O,O,X,X
TISJZLO,O,X,X,O,O,O,O,X,X
TISJZOL,O,X,X,O,O,O,X,X,X
TISJOLZ,O,O,X,O,X,O,O,X,X
TISJOZL,O,X,X,O,X,O,X,X,X
TISZLJO,O,O,X,O,O,O,O,X,X
TISZLOJ,O,O,X,O,O,O,X,X,X
TISZJLO,O,O,X,O,O,O,O,X,X
TISZJOL,O,O,X,O,O,O,X,X,X
TISZOLJ,O,O,X,O,O,O,X,X,X
TISZOJL,O,O,X,O,O,O,X,X,X
TISOLJZ,X,O,X,O,X,O,O,X,X
TISOLZJ,X,O,X,O,X,O,X,X,X
TISOJLZ,O,O,X,O,X,O,O,X,X
TISOJZL,O,X,X,O,X,O,X,X,X
TISOZLJ,O,O,X,O,X,O,X,X,X
TISOZJL,O,O,X,O,X,O,X,X,X
TIZLJSO,O,O,O,X,O,O,X,O,X
TIZLJOS,O,O,O,O,O,O,X,X,X
TIZLSJO,O,O,O,X,O,O,O,O,X
TIZLSOJ,O,O,O,X,O,O,X,O,X
TIZLOJS,O,O,O,O,O,O,X,X,X
TIZLOSJ,O,O,O,X,O,O,X,X,X
TIZJLSO,O,O,O,X,O,O,X,O,X
TIZJLOS,O,O,O,O,O,O,X,X,X
TIZJSLO,O,O,O,X,O,O,X,O,X
TIZJSOL,O,O,O,X,O,O,X,O,X
TIZJOLS,O,O,O,O,O,O,X,X,X
TIZJOSL,O,O,O,X,X,O,X,X,X
TIZSLJO,O,O,O,X,O,O,O,O,X
TIZSLOJ,O,O,O,X,O,O,X,O,X
TIZSJLO,O,O,O,X,O,O,O,O,X
TIZSJOL,O,O,O,X,O,O,X,O,X
TIZSOLJ,O,O,O,X,O,O,X,O,X
TIZSOJL,O,O,O,X,O,O,X,O,X
TIZOLJS,O,O,O,O,O,O,X,X,X
TIZOLSJ,O,O,O,X,O,O,X,X,X
TIZOJLS,O,O,O,O,O,O,X,X,X
TIZOJSL,O,O,O,X,X,O,X,X,X
TIZOSLJ,O,O,O,X,O,O,X,X,X
TIZOSJL,O,O,O,X,O,O,X,X,X
TIOLJSZ,X,X,O,O,X,O,X,X,X
TIOLJZS,X,X,O,O,X,O,X,X,X
TIOLSJZ,X,O,X,O,X,O,O,X,X
TIOLSZJ,X,O,X,O,X,O,X,X,X
TIOLZJS,X,O,O,O,X,O,X,X,X
TIOLZSJ,X,O,O,X,X,O,X,X,X
TIOJLSZ,X,X,O,O,X,O,X,X,X
TIOJLZS,O,X,O,O,X,O,X,X,X
TIOJSLZ,X,X,O,O,X,O,X,X,X
TIOJSZL,X,X,X,X,X,O,X,X,X
TIOJZLS,O,X,O,O,X,O,X,X,X
TIOJZSL,O,X,O,X,X,O,X,X,X
TIOSLJZ,X,O,X,O,X,O,O,X,X
TIOSLZJ,X,O,X,O,X,O,X,X,X
TIOSJLZ,O,O,X,O,X,O,O,X,X
TIOSJZL,O,X,X,O,X,O,X,X,X
TIOSZLJ,O,O,X,O,X,O,X,X,X
TIOSZJL,O,O,X,O,X,O,X,X,X
TIOZLJS,O,O,O,O,X,O,X,X,X
TIOZLSJ,O,O,O,X,X,O,X,X,X
TIOZJLS,O,O,O,O,X,O,X,X,X
TIOZJSL,O,O,O,X,X,O,X,X,X
TIOZSLJ,O,O,O,X,X,O,X,X,X
TIOZSJL,O,O,O,X,X,O,X,X,X
TLIJSZO,X,X,O,X,O,O,O,X,X
TLIJSOZ,X,X,O,O,X,O,O,X,X
TLIJZSO,O,X,O,X,O,O,X,O,X
TLIJZOS,O,X,O,O,O,O,X,X,X
TLIJOSZ,X,X,O,O,X,O,X,X,X
TLIJOZS,O,X,O,O,X,O,X,X,X
TLISJZO,O,X,X,O,O,O,O,X,X
TLISJOZ,O,O,X,O,X,O,O,X,X
TLISZJO,O,O,X,O,O,O,O,X,X
TLISZOJ,O,O,X,O,O,O,X,X,X
TLISOJZ,X,O,X,O,X,O,O,X,X
TLISOZJ,X,O,X,O,X,O,X,X,X
TLIZJSO,O,O,O,X,O,O,X,O,X
TLIZJOS,O,O,O,O,O,O,X,X,X
TLIZSJO,O,O,O,X,O,O,O,O,X
TLIZSOJ,O,O,O,X,O,O,X,O,X
TLIZOJS,O,O,O,O,O,O,X,X,X
TLIZOSJ,O,O,O,X,O,O,X,X,X
TLIOJSZ,X,X,O,O,X,O,X,X,X
TLIOJZS,X,X,O,O,X,O,X,X,X
TLIOSJZ,X,O,X,O,X,O,O,X,X
TLIOSZJ,X,O,X,O,X,O,X,X,X
TLIOZJS,X,O,O,O,X,O,X,X,X
TLIOZSJ,X,O,O,X,X,O,X,X,X
TLJISZO,X,X,O,X,O,O,O,X,X
TLJISOZ,X,X,O,O,X,O,O,X,X
TLJIZSO,O,X,O,X,O,O,X,O,X
TLJIZOS,O,X,O,O,O,O,X,X,X
TLJIOSZ,X,X,O,O,X,O,X,X,X
TLJIOZS,O,X,O,O,X,O,X,X,X
TLJSIZO,O,X,O,O,O,O,O,O,X
TLJSIOZ,O,O,O,O,X,O,O,X,X
TLJSZIO,O,O,O,O,O,O,O,O,X
TLJSZOI,O,O,O,O,O,O,X,O,X
TLJSOIZ,O,O,X,O,X,O,O,X,X
TLJSOZI,O,O,O,O,O,O,X,O,X
TLJZISO,O,O,O,X,O,O,X,O,X
TLJZIOS,O,O,O,X,O,O,X,X,X
TLJZSIO,O,O,O,X,O,O,O,O,X
TLJZSOI,O,O,O,X,O,O,X,O,X
TLJZOIS,O,O,O,X,O,O,X,X,X
TLJZOSI,O,O,X,X,O,O,X,X,X
TLJOISZ,X,X,O,O,X,O,X,X,X
TLJOIZS,O,X,O,O,X,O,X,X,X
TLJOSIZ,X,O,X,O,X,O,O,X,X
TLJOSZI,O,O,O,O,O,O,X,X,X
TLJOZIS,O,O,O,X,O,O,X,X,X
TLJOZSI,O,O,X,X,O,O,X,X,X
TLSIJZO,O,X,X,O,O,O,O,X,X
TLSIJOZ,O,O,X,O,X,O,O,X,X
TLSIZJO,O,O,O,O,O,O,O,O,X
TLSIZOJ,O,O,O,O,O,O,X,O,X
TLSIOJZ,X,O,X,O,X,O,O,X,X
TLSIOZJ,X,O,X,O,X,O,X,X,X
TLSJIZO,O,X,O,O,O,O,O,O,X
TLSJIOZ,O,O,X,O,X,O,O,X,X
TLSJZIO,O,O,O,O,O,O,O,O,X
TLSJZOI,O,O,O,O,O,O,X,O,X
TLSJOIZ,O,O,X,O,X,O,O,X,X
TLSJOZI,O,O,O,O,O,O,X,O,X
TLSZIJO,O,O,O,O,O,O,O,O,X
TLSZIOJ,O,O,O,O,O,O,X,O,X
TLSZJIO,O,O,O,O,O,O,O,O,X
TLSZJOI,O,O,X,O,O,O,X,X,X
TLSZOIJ,O,O,O,O,O,O,X,O,X
TLSZOJI,O,O,X,O,O,O,X,X,X
TLSOIJZ,X,O,X,O,X,O,O,X,X
TLSOIZJ,X,O,X,O,X,O,X,X,X
TLSOJIZ,O,O,X,O,X,O,O,X,X
TLSOJZI,O,O,X,O,O,O,X,X,X
TLSOZIJ,O,O,O,O,O,O,X,O,X
TLSOZJI,O,O,X,O,O,O,X,X,X
TLZIJSO,O,O,O,X,O,O,X,O,X
TLZIJOS,O,O,O,O,O,O,X,X,X
TLZISJO,O,O,O,X,O,O,O,O,X
TLZISOJ,O,O,O,X,O,O,X,O,X
TLZIOJS,O,O,O,O,O,O,X,X,X
TLZIOSJ,O,O,O,X,O,O,X,X,X
TLZJISO,O,O,O,X,O,O,X,O,X
TLZJIOS,O,O,O,X,O,O,X,X,X
TLZJSIO,O,O,O,X,O,O,O,O,X
TLZJSOI,O,O,O,X,O,O,X,O,X
TLZJOIS,O,O,O,X,O,O,X,X,X
TLZJOSI,O,O,X,X,O,O,X,X,X
TLZSIJO,O,O,O,O,O,O,O,O,X
TLZSIOJ,O,O,O,O,O,O,X,O,X
TLZSJIO,O,O,O,O,O,O,O,O,X
TLZSJOI,O,O,O,O,O,O,X,O,X
TLZSOIJ,O,O,O,O,O,O,X,O,X
TLZSOJI,O,O,X,O,O,O,X,X,X
TLZOIJS,O,O,O,O,O,O,X,X,X
TLZOISJ,O,O,O,X,O,O,X,X,X
TLZOJIS,O,O,O,X,O,O,X,X,X
TLZOJSI,O,O,O,X,O,O,X,X,X
TLZOSIJ,O,O,O,O,O,O,X,X,X
TLZOSJI,O,O,O,O,O,O,X,X,X
TLOIJSZ,X,X,O,O,X,O,X,X,X
TLOIJZS,X,X,O,O,X,O,X,X,X
TLOISJZ,X,O,X,O,X,O,O,X,X
TLOISZJ,X,O,X,O,X,O,X,X,X
TLOIZJS,X,O,O,O,X,O,X,X,X
TLOIZSJ,X,O,O,X,X,O,X,X,X
TLOJISZ,X,X,O,O,X,O,X,X,X
TLOJIZS,O,X,O,O,X,O,X,X,X
TLOJSIZ,X,O,O,O,X,O,O,X,X
TLOJSZI,O,O,O,O,O,O,X,X,X
TLOJZIS,O,O,O,X,O,O,X,X,X
TLOJZSI,O,O,O,X,O,O,X,X,X
TLOSIJZ,X,O,X,O,X,O,O,X,X
TLOSIZJ,X,O,X,O,X,O,X,X,X
TLOSJIZ,O,O,O,O,X,O,O,X,X
TLOSJZI,O,O,O,O,O,O,X,X,X
TLOSZIJ,O,O,X,O,O,O,X,X,X
TLOSZJI,O,O,X,O,O,O,X,X,X
TLOZIJS,O,O,O,O,O,O,X,X,X
TLOZISJ,O,O,O,X,O,O,X,X,X
TLOZJIS,O,O,O,X,O,O,X,X,X
TLOZJSI,O,O,O,X,O,O,X,X,X
TLOZSIJ,O,O,O,O,O,O,X,X,X
TLOZSJI,O,O,O,O,O,O,X,X,X
TJILSZO,X,X,O,X,O,O,O,X,X
TJILSOZ,X,X,O,O,X,O,O,X,X
TJILZSO,O,X,O,X,O,O,X,O,X
TJILZOS,O,X,O,O,O,O,X,X,X
TJILOSZ,X,X,O,O,X,O,X,X,X
TJILOZS,O,X,O,O,X,O,X,X,X
TJISLZO,X,X,O,X,O,O,O,X,O
TJISLOZ,X,X,O,O,X,O,O,X,O
TJISZLO,X,X,O,X,O,O,O,X,O
TJISZOL,X,X,O,X,O,O,X,X,O
TJISOLZ,X,X,O,O,X,O,O,X,O
TJISOZL,X,X,O,X,X,O,X,X,O
TJIZLSO,O,X,O,X,O,O,X,O,X
TJIZLOS,O,X,O,O,O,O,X,X,X
TJIZSLO,O,X,O,X,O,O,X,O,X
TJIZSOL,O,X,O,X,O,O,X,O,X
TJIZOLS,O,X,O,O,O,O,X,X,X
TJIZOSL,O,X,O,X,X,O,X,X,X
TJIOLSZ,X,X,O,O,X,O,X,X,X
TJIOLZS,O,X,O,O,X,O,X,X,X
