sequence,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFCgBThB/nB8pB+q?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Jei/IvhF5lBThB/nBcpBeq?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je/EJvhFUgBRhB6rBTnB2u?BlqB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFukBclBThB/nBSv?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je0/IvhF6lBThB/nB2pBlr?BxuB,v115@EhC8HeB8HeB8DeA8AeD8Jex/IvhFThB/nB0kB6qB2u?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Jei/IvhF5lBlhBcpBeqB/r?BTsB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFCgBlhB8pBTnBGr?B3qB,v115@EhC8HeB8HeB8DeA8AeD8Jex/IvhFThB/nBKpBGlBUq?BlrB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFzfBUiBFmB3lBWv?BCsB,v115@EhC8HeB8HeB8DeA8AeD8JeZEJvhFukBclBlhB/rBTn?BSvB,v115@EhC8HeB8HeB8DeA8AeD8JeKEJvhFGgBThB/nBUlBlr?BxuB,v115@EhC8HeB8HeB8DeA8AeD8Jem/IvhF5lBThB/nBipBlr?B0pB,v115@EhC8HeB8HeB8DeA8AeD8JeyEJvhF5lBThB/nB0kB2u?BlrB,v115@EhC8HeB8HeB8DeA8AeD8Je5FJvhFlhBmkB/rBTnB0p?BipB,v115@EhC8HeB8HeB8DeA8AeD8Je5FJvhFThB/nBmkB0pBlr?BipB
TILJSZO,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TILJSOZ,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TILJZSO,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,X,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X
TILSJOZ,X,X,O,O,O,X,X,X,X,O,X,O,O,X,X,X
TILSZJO,X,X,X,O,O,X,X,X,X,O,O,O,O,X,X,X
TILSZOJ,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X
TILSOJZ,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X
TILSOZJ,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X
TILZJSO,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILZSJO,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TILZSOJ,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJLSZO,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
TIJLSOZ,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
TIJLZSO,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSLZO,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TIJSLOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJSZLO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X
TIJSZOL,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X
TIJSOLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJSOZL,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X
TIJZLSO,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TIJZSLO,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIJZSOL,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
