sequence,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeO/IvhF8fBzcB?CeBlmB3nBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Je2/IvhFzcBCeB?3fB0mBlnBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jei6IvhF+hBxdB?3fBlnBzrB0sB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jem6IvhFxdBTfB?lmB3nBqrB0sB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeO/IvhF8fBCeB?3hBlnBzmBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jem6IvhFxdBTfB?1nB6rB0sBfsB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeK/IvhFzaBFiB?XjB0mBGnBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Je2/IvhFzcB1nB?3fB0mBCoBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jem6IvhFUdBTfB?1mBXjBSsBRxB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jei6IvhFzcB5iB?3fBUsBOtBlrB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8Jei6IvhFUdB3fB?1mB5nBzrBOtB,v115@2gB8HeB8CeB8BeB8EeF8CeG8DeA8JeK/IvhFzaB3hB?5nB8rBOtBFsB
TILJSZO,X,O,X,X,O,X,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,O,X,X,O,X,X,X,X,X,X,X
TILJZOS,O,O,X,X,O,X,X,O,X,X,X,X
TILJOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,O,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,X,O,X,X,X,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,X,O,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,O,X,X,X,X,X,X,X
TILSOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,O,X,X,X,X,X,X,O
TILZJSO,O,O,X,X,O,X,X,X,X,X,X,X
TILZJOS,O,O,X,X,O,X,O,O,X,X,X,X
TILZSJO,O,O,X,X,O,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,O,X,O,X,X,X,X,X
TILZOJS,O,O,X,X,O,X,O,O,O,X,X,X
TILZOSJ,O,O,X,X,O,X,O,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,O,X,X,X,X,X,X,O,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,O,X,X,X,X,X,X,O
TILOZJS,O,O,X,X,O,X,O,X,O,X,X,X
TILOZSJ,O,O,X,X,O,X,O,X,X,X,X,X
TIJLSZO,X,O,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,O,X,X,O,X,X,X,X,X,X,X
TIJLZOS,O,O,X,X,O,X,X,O,X,X,X,X
TIJLOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,X,O,X,X,X,X,X,X,X
TIJZLOS,O,O,X,X,O,X,X,O,X,X,X,X
