sequence,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFRbBUdB6lBOmBdq?BzrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFUbBRcB6mBOnBdq?BzqB,v115@6gC8HeC8FeD8FeE8AeG8Je2/IvhFRbBUdB9lBThBfq?BywB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFWhBNiBClB0mBZl?BXrB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFKgBGcBNiBUhBfq?BRwB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFNiBxgBClB0mBOq?BXrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFRbBUdBmlBzmBdq?BCrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhF+gBTcBNiB0mBRq?BaqB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFWhBNiBClBXmBZl?B0rB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhF0gBxhBdqBzrBGq?BirB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFUbBxhBulBdqBir?BzrB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhFUbBxhBanBdqBGr?BzqB,v115@6gC8HeC8FeD8FeE8AeG8Jex6IvhFTcBNiBmfBqlBfq?B0rB,v115@6gC8HeC8FeD8FeE8AeG8JeU9IvhFxfBXhB6kBNqBzr?BmqB,v115@6gC8HeC8FeD8FeE8AeG8Je//IvhF+gBNhBUdBzmBRq?BaqB,v115@6gC8HeC8FeD8FeE8AeG8Jei6IvhFzbB+hBNiBUgBfq?BRwB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFdhBUdBfnBClBxq?BOqB,v115@6gC8HeC8FeD8FeE8AeG8Jex6IvhF6kB0gBXiBNqBTr?BmrB,v115@6gC8HeC8FeD8FeE8AeG8Jei6IvhFRcBtkB0hBzlBOq?BXsB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFxgBOnB3hBClBNq?BUrB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFmbBNiBfqBxqBqr?B0qB,v115@6gC8HeC8FeD8FeE8AeG8JeT6IvhFRcB8kBChBXiB2r?BNqB
TILJSZO,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,O,O,O,X,O,X,X,O,O,X,O,O,O,X,X,O,O,O,X,X,X,X
TILSJOZ,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TILSZJO,O,O,O,X,O,X,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X
TILSZOJ,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,O,O,O,X,X,X,X
TILSOJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TILSOZJ,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,O,O,O,X,X,X,X
TILZJSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TILZJOS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILZSJO,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TILZSOJ,O,O,O,O,O,O,X,X,X,O,O,X,O,X,X,O,O,O,X,X,X,X
TILZOJS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILOJZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOSJZ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TILOSZJ,O,O,O,X,O,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X
TILOZJS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TILOZSJ,O,X,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X
TIJLSZO,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIJLSOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIJLZSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
