sequence,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeR8IvhFCeBTgB/mBU?iB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeC8IvhFxdB2lBlhBc?nBTrB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdB6mBTiBX?hB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeF8IvhFxdBTgBumBc?nBKrB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdBXhBTiB6?mB2wBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Jex9IvhFTgBlhBcnBK?rBGmB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeG8IvhFxdBigBTiB1?rB3sBUrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFCeBlhBmlB0?nBzmBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFehBCeBzhB1?sB3mBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFCeBFmBRsB/?sBTrBmrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFzcBylB5nBc?rBesBFtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFTcBxdBXiBa?rB1sBWxB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFxdBTiBmlBq?rBlsBcrB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFxdBXhBTiBq?rBOrBlsB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JeR8IvhFTgBXiB0rBl?sBOrBCtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je1BJvhFxdBTgBcnBa?mB+rB3sB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhF3cBTiBFmBR?sB2wBCtB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhF2hBCeBFmBR?sBTsB3rB,v115@zgC8GeB8FeD8FeF8EeE8DeB8JecAJvhFTcB6iBenBF?mBXoBxwB,v115@zgC8GeB8FeD8FeF8EeE8DeB8Je37IvhFxhBzhBCjB0?rBlsBmqB
TILJSZO,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJOZS,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TILSJZO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TILZJOS,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TILZOJS,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TILZOSJ,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TILOJSZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOJZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOSZJ,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILOZJS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TILOZSJ,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJLSZO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
