sequence,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBGeBCiB/?oBUiBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFCcB/iB0hBT?jBGoBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBuhBciB6?oBXjBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBuhB0iB6?oB/sBFtB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBFdB8iB+?jBfnBCtB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbB6jBfnBU?oBlnBGsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBqhBliBc?oB/sBGtB
TJILSOZ,O,X,O,O,X,X,X
TJILZSO,X,O,O,X,X,X,X
TJILZOS,X,O,O,X,X,X,X
TJILOSZ,O,X,O,O,X,X,X
TJILOZS,X,O,O,X,X,X,X
TJISLZO,O,X,O,O,X,X,X
TJISLOZ,O,X,O,O,X,X,X
TJISZLO,O,X,O,O,X,X,X
TJISZOL,O,X,O,O,X,X,X
TJISOLZ,O,X,O,O,X,X,X
TJISOZL,O,X,O,O,X,X,X
TJIZLSO,X,O,O,X,X,X,X
TJIZLOS,X,O,O,X,X,X,X
TJIZSLO,X,O,O,X,X,X,X
TJIZSOL,X,O,O,X,X,X,X
TJIZOLS,X,O,O,X,X,X,X
TJIZOSL,X,O,O,X,X,X,X
TJIOLSZ,O,X,O,O,X,X,X
TJIOLZS,X,O,O,X,X,X,X
TJIOSLZ,O,X,O,O,X,X,X
TJIOSZL,O,X,O,O,X,X,X
TJIOZLS,X,O,O,X,X,X,X
TJIOZSL,X,O,O,X,X,X,X
TJLISZO,O,X,O,O,X,X,X
TJLISOZ,O,X,O,O,X,X,X
TJLIZSO,X,O,O,X,X,X,X
TJLIZOS,X,O,O,X,X,X,X
TJLIOSZ,O,X,O,O,X,X,X
TJLIOZS,X,O,O,X,X,X,X
TJLSIZO,O,X,O,O,X,X,X
TJLSIOZ,O,X,O,O,X,X,X
TJLSZIO,O,X,O,O,X,X,X
TJLSZOI,O,X,O,O,X,X,X
TJLSOIZ,O,X,O,O,X,X,X
TJLSOZI,O,X,O,O,X,X,X
TJLZISO,X,O,O,X,X,X,X
TJLZIOS,X,O,O,X,X,X,X
TJLZSIO,X,O,O,X,X,X,X
TJLZSOI,X,O,O,X,X,X,X
TJLZOIS,X,O,O,X,X,X,X
TJLZOSI,X,O,O,X,X,X,X
TJLOISZ,O,X,O,O,X,X,X
TJLOIZS,X,O,O,X,X,X,X
TJLOSIZ,O,X,O,O,X,X,X
TJLOSZI,O,X,O,O,X,X,X
TJLOZIS,X,O,O,X,X,X,X
TJLOZSI,X,O,O,X,X,X,X
TJSILZO,O,X,O,O,X,X,X
TJSILOZ,O,X,O,O,X,X,X
TJSIZLO,O,X,O,O,X,X,X
TJSIZOL,O,X,O,O,X,X,X
TJSIOLZ,O,X,O,O,X,X,X
TJSIOZL,O,X,O,O,X,X,X
TJSLIZO,O,X,O,O,X,X,X
TJSLIOZ,O,X,O,O,X,X,X
TJSLZIO,O,X,O,O,X,X,X
TJSLZOI,O,X,O,O,X,X,X
TJSLOIZ,O,X,O,O,X,X,X
TJSLOZI,O,X,O,O,X,X,X
TJSZILO,O,X,O,O,X,X,X
TJSZIOL,O,X,O,O,X,X,X
TJSZLIO,O,X,O,O,X,X,X
TJSZLOI,O,X,O,O,X,X,X
TJSZOIL,O,X,O,O,X,X,X
TJSZOLI,O,X,O,O,X,X,X
TJSOILZ,O,X,O,O,X,X,X
TJSOIZL,O,X,O,O,X,X,X
TJSOLIZ,O,X,O,O,X,X,X
TJSOLZI,O,X,O,O,X,X,X
TJSOZIL,O,X,O,O,X,X,X
TJSOZLI,O,X,O,O,X,X,X
TJZILSO,X,O,O,X,X,X,X
TJZILOS,X,O,O,X,X,X,X
