sequence,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBGeBCiB/?oBUiBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFCcB/iB0hBT?jBGoBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBuhBciB6?oBXjBlsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBuhB0iB6?oB/sBFtB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBFdB8iB+?jBfnBCtB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbB6jBfnBU?oBlnBGsB,v115@0gB8HeB8HeD8FeE8DeG8AeB8JeZ/IvhFzbBqhBliBc?oB/sBGtB
TZOISLJ,O,O,O,X,X,O,X
TZOISJL,O,O,O,X,X,X,X
TZOLIJS,X,O,O,X,X,X,O
TZOLISJ,O,O,O,X,X,O,O
TZOLJIS,X,O,O,X,X,X,O
TZOLJSI,X,O,O,X,X,X,X
TZOLSIJ,O,O,O,X,X,O,O
TZOLSJI,O,O,O,X,X,X,X
TZOJILS,X,O,O,X,X,X,X
TZOJISL,X,O,O,X,X,X,X
TZOJLIS,X,O,O,X,X,X,X
TZOJLSI,X,O,O,X,X,X,X
TZOJSIL,X,O,O,X,X,X,X
TZOJSLI,X,O,O,X,X,X,X
TZOSILJ,O,O,O,X,X,O,X
TZOSIJL,O,O,O,X,X,X,X
TZOSLIJ,O,O,O,X,X,O,X
TZOSLJI,O,O,O,X,X,X,X
TZOSJIL,O,O,O,X,X,X,X
TZOSJLI,O,O,O,X,X,X,X
TOILJSZ,O,X,O,O,O,X,X
TOILJZS,X,O,O,X,O,X,X
TOILSJZ,O,X,O,O,O,X,X
TOILSZJ,O,O,O,O,X,X,X
TOILZJS,X,O,O,X,X,X,O
TOILZSJ,O,O,O,X,X,X,O
TOIJLSZ,O,X,O,O,X,X,X
TOIJLZS,X,O,O,X,X,X,X
TOIJSLZ,O,X,O,O,X,X,X
TOIJSZL,O,X,O,O,X,X,X
TOIJZLS,X,O,O,X,X,X,X
TOIJZSL,X,O,O,X,X,X,X
TOISLJZ,O,X,O,O,O,X,X
TOISLZJ,O,O,O,O,X,X,X
TOISJLZ,O,X,O,O,X,X,X
TOISJZL,O,X,O,O,X,X,X
TOISZLJ,O,O,O,O,X,O,X
TOISZJL,O,O,O,O,X,X,X
TOIZLJS,X,O,O,X,X,X,O
TOIZLSJ,O,O,O,X,X,O,O
TOIZJLS,X,O,O,X,X,X,X
TOIZJSL,X,O,O,X,X,X,X
TOIZSLJ,O,O,O,X,X,O,X
TOIZSJL,O,O,O,X,X,X,X
TOLIJSZ,O,X,O,O,O,X,X
TOLIJZS,X,O,O,X,O,X,X
TOLISJZ,O,X,O,O,O,X,X
TOLISZJ,O,O,O,O,X,X,X
TOLIZJS,X,O,O,X,X,X,O
TOLIZSJ,O,O,O,X,X,X,O
TOLJISZ,O,X,O,O,O,X,X
TOLJIZS,X,O,O,X,O,X,X
TOLJSIZ,O,X,O,O,O,X,X
TOLJSZI,O,X,O,O,O,X,X
TOLJZIS,X,O,O,X,O,X,X
TOLJZSI,X,O,O,X,O,X,X
TOLSIJZ,O,X,O,O,O,X,X
TOLSIZJ,O,O,O,O,X,X,X
TOLSJIZ,O,X,O,O,O,X,X
TOLSJZI,O,X,O,O,O,X,X
TOLSZIJ,O,O,O,O,X,X,X
TOLSZJI,O,O,O,O,X,X,X
TOLZIJS,X,O,O,X,X,X,O
TOLZISJ,O,O,O,X,X,X,O
TOLZJIS,X,O,O,X,X,X,O
TOLZJSI,X,O,O,X,X,X,X
TOLZSIJ,O,O,O,X,X,X,O
TOLZSJI,O,O,O,X,X,X,X
TOJILSZ,O,X,O,O,X,X,X
TOJILZS,X,O,O,X,X,X,X
TOJISLZ,O,X,O,O,X,X,X
TOJISZL,O,X,O,O,X,X,X
TOJIZLS,X,O,O,X,X,X,X
TOJIZSL,X,O,O,X,X,X,X
TOJLISZ,O,X,O,O,X,X,X
TOJLIZS,X,O,O,X,X,X,X
TOJLSIZ,O,X,O,O,X,X,X
TOJLSZI,O,X,O,O,X,X,X
TOJLZIS,X,O,O,X,X,X,X
TOJLZSI,X,O,O,X,X,X,X
TOJSILZ,O,X,O,O,X,X,X
TOJSIZL,O,X,O,O,X,X,X
TOJSLIZ,O,X,O,O,X,X,X
TOJSLZI,O,X,O,O,X,X,X
TOJSZIL,O,X,O,O,X,X,X
TOJSZLI,O,X,O,O,X,X,X
TOJZILS,X,O,O,X,X,X,X
TOJZISL,X,O,O,X,X,X,X
TOJZLIS,X,O,O,X,X,X,X
TOJZLSI,X,O,O,X,X,X,X
TOJZSIL,X,O,O,X,X,X,X
TOJZSLI,X,O,O,X,X,X,X
TOSILJZ,O,X,O,O,O,X,X
TOSILZJ,O,O,O,O,X,X,X
TOSIJLZ,O,X,O,O,X,X,X
TOSIJZL,O,X,O,O,X,X,X
TOSIZLJ,O,O,O,O,X,O,X
TOSIZJL,O,O,O,O,X,X,X
TOSLIJZ,O,X,O,O,O,X,X
TOSLIZJ,O,O,O,O,X,X,X
TOSLJIZ,O,X,O,O,O,X,X
TOSLJZI,O,X,O,O,O,X,X
TOSLZIJ,O,O,O,O,X,X,X
TOSLZJI,O,O,O,O,X,X,X
TOSJILZ,O,X,O,O,X,X,X
TOSJIZL,O,X,O,O,X,X,X
TOSJLIZ,O,X,O,O,X,X,X
TOSJLZI,O,X,O,O,X,X,X
TOSJZIL,O,X,O,O,X,X,X
TOSJZLI,O,X,O,O,X,X,X
TOSZILJ,O,O,O,O,X,O,X
TOSZIJL,O,O,O,O,X,X,X
TOSZLIJ,O,O,O,O,X,O,X
TOSZLJI,O,O,O,O,X,X,X
TOSZJIL,O,O,O,O,X,X,X
TOSZJLI,O,O,O,O,X,X,X
TOZILJS,X,O,O,X,X,X,O
TOZILSJ,O,O,O,X,X,O,O
TOZIJLS,X,O,O,X,X,X,X
TOZIJSL,X,O,O,X,X,X,X
TOZISLJ,O,O,O,X,X,O,X
TOZISJL,O,O,O,X,X,X,X
TOZLIJS,X,O,O,X,X,X,O
TOZLISJ,O,O,O,X,X,O,O
TOZLJIS,X,O,O,X,X,X,O
TOZLJSI,X,O,O,X,X,X,X
TOZLSIJ,O,O,O,X,X,O,O
TOZLSJI,O,O,O,X,X,X,X
TOZJILS,X,O,O,X,X,X,X
TOZJISL,X,O,O,X,X,X,X
TOZJLIS,X,O,O,X,X,X,X
TOZJLSI,X,O,O,X,X,X,X
TOZJSIL,X,O,O,X,X,X,X
TOZJSLI,X,O,O,X,X,X,X
TOZSILJ,O,O,O,X,X,O,X
TOZSIJL,O,O,O,X,X,X,X
TOZSLIJ,O,O,O,X,X,O,X
TOZSLJI,O,O,O,X,X,X,X
TOZSJIL,O,O,O,X,X,X,X
TOZSJLI,O,O,O,X,X,X,X
ITLJSZO,O,X,O,O,O,X,X
ITLJSOZ,O,X,O,O,O,X,X
ITLJZSO,X,O,O,X,O,X,X
ITLJZOS,X,O,O,X,O,X,X
ITLJOSZ,O,X,O,O,O,X,X
ITLJOZS,X,O,O,X,O,X,X
ITLSJZO,O,X,O,O,O,X,X
ITLSJOZ,O,X,O,O,O,X,X
ITLSZJO,O,O,O,O,X,X,X
ITLSZOJ,O,O,O,O,X,X,X
ITLSOJZ,O,X,O,O,O,X,X
ITLSOZJ,O,O,O,O,X,X,X
ITLZJSO,X,O,O,X,X,X,X
ITLZJOS,X,O,O,X,X,X,O
ITLZSJO,O,O,O,X,X,X,X
ITLZSOJ,O,O,O,X,X,X,O
ITLZOJS,X,O,O,X,X,X,O
ITLZOSJ,O,O,O,X,X,X,O
ITLOJSZ,O,X,O,O,O,X,X
ITLOJZS,X,O,O,X,O,X,X
ITLOSJZ,O,X,O,O,O,X,X
ITLOSZJ,O,O,O,O,X,X,X
ITLOZJS,X,O,O,X,X,X,O
ITLOZSJ,O,O,O,X,X,X,O
ITJLSZO,O,X,O,O,X,X,X
ITJLSOZ,O,X,O,O,X,X,X
ITJLZSO,X,O,O,X,X,X,X
ITJLZOS,X,O,O,X,X,X,X
ITJLOSZ,O,X,O,O,X,X,X
ITJLOZS,X,O,O,X,X,X,X
ITJSLZO,O,X,O,O,X,X,X
ITJSLOZ,O,X,O,O,X,X,X
ITJSZLO,O,X,O,O,X,X,X
ITJSZOL,O,X,O,O,X,X,X
ITJSOLZ,O,X,O,O,X,X,X
ITJSOZL,O,X,O,O,X,X,X
ITJZLSO,X,O,O,X,X,X,X
ITJZLOS,X,O,O,X,X,X,X
ITJZSLO,X,O,O,X,X,X,X
ITJZSOL,X,O,O,X,X,X,X
ITJZOLS,X,O,O,X,X,X,X
ITJZOSL,X,O,O,X,X,X,X
ITJOLSZ,O,X,O,O,X,X,X
ITJOLZS,X,O,O,X,X,X,X
ITJOSLZ,O,X,O,O,X,X,X
ITJOSZL,O,X,O,O,X,X,X
ITJOZLS,X,O,O,X,X,X,X
ITJOZSL,X,O,O,X,X,X,X
ITSLJZO,O,X,O,O,O,X,X
ITSLJOZ,O,X,O,O,O,X,X
ITSLZJO,O,O,O,O,X,X,X
ITSLZOJ,O,O,O,O,X,X,X
ITSLOJZ,O,X,O,O,O,X,X
ITSLOZJ,O,O,O,O,X,X,X
ITSJLZO,O,X,O,O,X,X,X
ITSJLOZ,O,X,O,O,X,X,X
ITSJZLO,O,X,O,O,X,X,X
ITSJZOL,O,X,O,O,X,X,X
ITSJOLZ,O,X,O,O,X,X,X
ITSJOZL,O,X,O,O,X,X,X
ITSZLJO,O,O,O,O,X,O,X
ITSZLOJ,O,O,O,O,X,O,X
ITSZJLO,O,O,O,O,X,X,X
ITSZJOL,O,O,O,O,X,X,X
ITSZOLJ,O,O,O,O,X,O,X
ITSZOJL,O,O,O,O,X,X,X
ITSOLJZ,O,X,O,O,O,X,X
ITSOLZJ,O,O,O,O,X,X,X
ITSOJLZ,O,X,O,O,X,X,X
ITSOJZL,O,X,O,O,X,X,X
ITSOZLJ,O,O,O,O,X,O,X
ITSOZJL,O,O,O,O,X,X,X
ITZLJSO,X,O,O,X,X,X,X
ITZLJOS,X,O,O,X,X,X,O
ITZLSJO,O,O,O,X,X,O,X
ITZLSOJ,O,O,O,X,X,O,O
ITZLOJS,X,O,O,X,X,X,O
ITZLOSJ,O,O,O,X,X,O,O
ITZJLSO,X,O,O,X,X,X,X
ITZJLOS,X,O,O,X,X,X,O
ITZJSLO,X,O,O,X,X,X,X
ITZJSOL,X,O,O,X,X,X,X
ITZJOLS,X,O,O,X,X,X,X
ITZJOSL,X,O,O,X,X,X,X
ITZSLJO,O,O,O,X,X,O,X
ITZSLOJ,O,O,O,X,X,O,O
ITZSJLO,O,O,O,X,X,X,X
ITZSJOL,O,O,O,X,X,X,X
ITZSOLJ,O,O,O,X,X,O,X
ITZSOJL,O,O,O,X,X,X,X
ITZOLJS,X,O,O,X,X,X,O
ITZOLSJ,O,O,O,X,X,O,O
ITZOJLS,X,O,O,X,X,X,X
ITZOJSL,X,O,O,X,X,X,X
ITZOSLJ,O,O,O,X,X,O,X
ITZOSJL,O,O,O,X,X,X,X
ITOLJSZ,O,X,O,O,O,X,X
ITOLJZS,X,O,O,X,O,X,X
ITOLSJZ,O,X,O,O,O,X,X
ITOLSZJ,O,O,O,O,X,X,X
ITOLZJS,X,O,O,X,X,X,O
ITOLZSJ,O,O,O,X,X,X,O
ITOJLSZ,O,X,O,O,X,X,X
ITOJLZS,X,O,O,X,X,X,X
ITOJSLZ,O,X,O,O,X,X,X
ITOJSZL,O,X,O,O,X,X,X
ITOJZLS,X,O,O,X,X,X,X
ITOJZSL,X,O,O,X,X,X,X
ITOSLJZ,O,X,O,O,O,X,X
ITOSLZJ,O,O,O,O,X,X,X
ITOSJLZ,O,X,O,O,X,X,X
ITOSJZL,O,X,O,O,X,X,X
ITOSZLJ,O,O,O,O,X,O,X
ITOSZJL,O,O,O,O,X,X,X
ITOZLJS,X,O,O,X,X,X,O
ITOZLSJ,O,O,O,X,X,O,O
ITOZJLS,X,O,O,X,X,X,X
ITOZJSL,X,O,O,X,X,X,X
ITOZSLJ,O,O,O,X,X,O,X
ITOZSJL,O,O,O,X,X,X,X
ILTJSZO,O,X,O,O,O,X,X
ILTJSOZ,O,X,O,O,O,X,X
ILTJZSO,X,O,O,X,O,X,X
ILTJZOS,X,O,O,X,O,X,X
ILTJOSZ,O,X,O,O,O,X,X
ILTJOZS,X,O,O,X,O,X,X
ILTSJZO,O,X,O,O,O,X,X
ILTSJOZ,O,X,O,O,O,X,X
ILTSZJO,O,O,O,O,X,X,X
ILTSZOJ,O,O,O,O,X,X,X
ILTSOJZ,O,X,O,O,O,X,X
ILTSOZJ,O,O,O,O,X,X,X
ILTZJSO,X,O,O,X,X,X,X
ILTZJOS,X,O,O,X,X,X,O
ILTZSJO,O,O,O,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,O
ILTZOJS,X,O,O,X,X,X,O
ILTZOSJ,O,O,O,X,X,X,O
ILTOJSZ,O,X,O,O,O,X,X
ILTOJZS,X,O,O,X,O,X,X
ILTOSJZ,O,X,O,O,O,X,X
ILTOSZJ,O,O,O,O,X,X,X
ILTOZJS,X,O,O,X,X,X,O
ILTOZSJ,O,O,O,X,X,X,O
ILJTSZO,O,X,O,O,O,X,X
ILJTSOZ,O,X,O,O,O,X,X
ILJTZSO,X,O,O,X,O,X,X
ILJTZOS,X,O,O,X,O,X,X
ILJTOSZ,O,X,O,O,O,X,X
ILJTOZS,X,O,O,X,O,X,X
ILJSTZO,X,X,X,O,O,X,X
ILJSTOZ,O,X,X,O,O,X,X
ILJSZTO,X,X,X,O,O,X,X
ILJSZOT,O,X,X,O,O,X,X
ILJSOTZ,O,X,X,O,O,X,X
ILJSOZT,O,X,X,O,O,X,X
ILJZTSO,X,O,X,X,O,X,X
ILJZTOS,X,O,X,X,O,X,O
ILJZSTO,X,O,X,O,O,X,X
ILJZSOT,X,X,X,O,O,X,X
ILJZOTS,X,X,X,X,O,X,O
ILJZOST,X,X,X,O,O,X,X
ILJOTSZ,O,X,O,O,O,X,X
ILJOTZS,X,X,O,X,O,X,X
ILJOSTZ,O,X,X,O,O,X,X
ILJOSZT,O,X,X,O,O,X,X
ILJOZTS,X,X,X,X,O,X,O
ILJOZST,X,X,X,O,O,X,X
ILSTJZO,O,X,O,O,O,X,X
ILSTJOZ,O,X,O,O,O,X,X
ILSTZJO,O,O,O,O,X,X,X
ILSTZOJ,O,O,O,O,X,X,X
ILSTOJZ,O,X,O,O,O,X,X
ILSTOZJ,O,O,O,O,X,X,X
ILSJTZO,O,X,X,O,O,X,X
ILSJTOZ,O,X,X,O,O,X,X
ILSJZTO,X,X,X,O,O,X,X
ILSJZOT,O,X,X,O,O,X,X
ILSJOTZ,O,X,X,O,O,X,X
ILSJOZT,O,X,X,O,O,X,X
ILSZTJO,X,O,X,O,X,O,X
ILSZTOJ,X,O,X,O,X,O,O
ILSZJTO,X,O,X,O,O,O,X
ILSZJOT,O,X,X,O,O,O,X
ILSZOTJ,X,O,X,O,X,O,O
ILSZOJT,O,X,X,O,O,O,X
ILSOTJZ,O,X,O,O,O,X,X
ILSOTZJ,O,X,O,O,X,X,X
ILSOJTZ,O,X,X,O,O,X,X
ILSOJZT,O,X,X,O,O,X,X
ILSOZTJ,X,X,X,O,X,O,O
ILSOZJT,O,X,X,O,O,O,X
ILZTJSO,X,O,O,X,X,X,X
ILZTJOS,X,O,O,X,X,X,O
ILZTSJO,O,O,O,X,X,O,X
ILZTSOJ,O,O,O,X,X,O,O
ILZTOJS,X,O,O,X,X,X,O
ILZTOSJ,O,O,O,X,X,O,O
ILZJTSO,X,O,X,X,O,X,X
ILZJTOS,X,O,X,X,O,X,O
ILZJSTO,X,O,X,O,O,O,X
ILZJSOT,X,X,X,O,O,O,X
ILZJOTS,X,X,X,X,O,X,O
ILZJOST,X,X,X,O,O,O,X
ILZSTJO,X,O,X,O,X,O,X
ILZSTOJ,X,O,X,O,X,O,O
ILZSJTO,X,O,X,O,O,O,X
ILZSJOT,O,X,X,O,O,O,X
ILZSOTJ,X,O,X,O,X,O,O
ILZSOJT,O,X,X,O,O,O,X
ILZOTJS,X,O,O,X,X,X,O
ILZOTSJ,O,O,O,X,X,O,O
ILZOJTS,X,X,X,X,O,X,O
ILZOJST,X,X,X,O,O,O,X
ILZOSTJ,X,O,X,O,X,O,O
ILZOSJT,O,X,X,O,O,O,X
ILOTJSZ,O,X,O,O,O,X,X
ILOTJZS,X,O,O,X,O,X,X
ILOTSJZ,O,X,O,O,O,X,X
ILOTSZJ,O,O,O,O,X,X,X
ILOTZJS,X,O,O,X,X,X,O
ILOTZSJ,O,O,O,X,X,X,O
ILOJTSZ,O,X,O,O,O,X,X
ILOJTZS,X,X,O,X,O,X,X
ILOJSTZ,O,X,X,O,O,X,X
ILOJSZT,O,X,X,O,O,X,X
ILOJZTS,X,X,X,X,O,X,O
ILOJZST,X,X,X,O,O,X,X
ILOSTJZ,O,X,O,O,O,X,X
ILOSTZJ,O,X,O,O,X,X,X
ILOSJTZ,O,X,X,O,O,X,X
ILOSJZT,O,X,X,O,O,X,X
ILOSZTJ,X,X,X,O,X,O,O
ILOSZJT,O,X,X,O,O,O,X
ILOZTJS,X,O,O,X,X,X,O
ILOZTSJ,O,O,O,X,X,O,O
ILOZJTS,X,X,X,X,O,X,O
ILOZJST,X,X,X,O,O,O,X
ILOZSTJ,X,O,X,O,X,O,O
ILOZSJT,O,X,X,O,O,O,X
IJTLSZO,O,X,O,O,X,X,X
IJTLSOZ,O,X,O,O,X,X,X
IJTLZSO,X,O,O,X,X,X,X
IJTLZOS,X,O,O,X,X,X,X
IJTLOSZ,O,X,O,O,X,X,X
IJTLOZS,X,O,O,X,X,X,X
IJTSLZO,O,X,O,O,X,X,X
IJTSLOZ,O,X,O,O,X,X,X
IJTSZLO,O,X,O,O,X,X,X
IJTSZOL,O,X,O,O,X,X,X
IJTSOLZ,O,X,O,O,X,X,X
IJTSOZL,O,X,O,O,X,X,X
IJTZLSO,X,O,O,X,X,X,X
IJTZLOS,X,O,O,X,X,X,X
IJTZSLO,X,O,O,X,X,X,X
IJTZSOL,X,O,O,X,X,X,X
IJTZOLS,X,O,O,X,X,X,X
IJTZOSL,X,O,O,X,X,X,X
IJTOLSZ,O,X,O,O,X,X,X
IJTOLZS,X,O,O,X,X,X,X
IJTOSLZ,O,X,O,O,X,X,X
IJTOSZL,O,X,O,O,X,X,X
IJTOZLS,X,O,O,X,X,X,X
IJTOZSL,X,O,O,X,X,X,X
IJLTSZO,O,X,O,O,O,X,X
IJLTSOZ,O,X,O,O,O,X,X
IJLTZSO,X,O,O,X,O,X,X
IJLTZOS,X,O,O,X,O,X,X
IJLTOSZ,O,X,O,O,O,X,X
IJLTOZS,X,O,O,X,O,X,X
IJLSTZO,X,X,X,O,O,X,X
IJLSTOZ,O,X,X,O,O,X,X
IJLSZTO,X,X,X,O,O,X,X
IJLSZOT,O,X,X,O,O,X,X
IJLSOTZ,O,X,X,O,O,X,X
IJLSOZT,O,X,X,O,O,X,X
IJLZTSO,X,O,X,X,O,X,X
IJLZTOS,X,O,X,X,O,X,O
IJLZSTO,X,O,X,O,O,X,X
IJLZSOT,X,X,X,O,O,X,X
IJLZOTS,X,X,X,X,O,X,O
IJLZOST,X,X,X,O,O,X,X
IJLOTSZ,O,X,O,O,O,X,X
IJLOTZS,X,X,O,X,O,X,X
IJLOSTZ,O,X,X,O,O,X,X
IJLOSZT,O,X,X,O,O,X,X
IJLOZTS,X,X,X,X,O,X,O
IJLOZST,X,X,X,O,O,X,X
IJSTLZO,O,X,O,O,X,X,X
IJSTLOZ,O,X,O,O,X,X,X
IJSTZLO,O,X,O,O,X,X,X
IJSTZOL,O,X,O,O,X,X,X
IJSTOLZ,O,X,O,O,X,X,X
IJSTOZL,O,X,O,O,X,X,X
IJSLTZO,O,X,X,O,O,X,X
IJSLTOZ,O,X,X,O,O,X,X
IJSLZTO,X,X,X,O,O,X,X
IJSLZOT,O,X,X,O,O,X,X
IJSLOTZ,O,X,X,O,O,X,X
IJSLOZT,O,X,X,O,O,X,X
IJSZTLO,O,X,X,O,X,X,X
IJSZTOL,O,X,X,O,X,X,X
IJSZLTO,X,X,X,O,X,O,X
IJSZLOT,O,X,X,O,X,O,X
IJSZOTL,O,X,X,O,X,X,X
IJSZOLT,O,X,X,O,X,O,X
IJSOTLZ,O,X,O,O,X,X,X
IJSOTZL,O,X,O,O,X,X,X
IJSOLTZ,O,X,X,O,O,X,X
IJSOLZT,O,X,X,O,O,X,X
IJSOZTL,O,X,X,O,X,X,X
IJSOZLT,O,X,X,O,X,O,X
IJZTLSO,X,O,O,X,X,X,X
IJZTLOS,X,O,O,X,X,X,O
IJZTSLO,X,O,O,X,X,X,X
IJZTSOL,X,O,O,X,X,X,X
IJZTOLS,X,O,O,X,X,X,X
IJZTOSL,X,O,O,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X
IJZLTOS,X,O,X,X,X,X,O
IJZLSTO,X,O,X,O,X,O,X
IJZLSOT,X,X,X,O,X,O,X
IJZLOTS,X,X,X,X,X,X,O
IJZLOST,X,X,X,O,X,O,X
IJZSTLO,X,O,X,O,X,X,X
IJZSTOL,X,O,X,O,X,X,X
IJZSLTO,X,O,X,O,X,O,X
IJZSLOT,X,X,X,O,X,O,X
IJZSOTL,X,X,X,O,X,X,X
IJZSOLT,X,X,X,O,X,O,X
IJZOTLS,X,X,O,X,X,X,X
IJZOTSL,X,X,O,X,X,X,X
IJZOLTS,X,X,X,X,X,X,O
IJZOLST,X,X,X,O,X,O,X
IJZOSTL,X,X,X,O,X,X,X
IJZOSLT,X,X,X,O,X,O,X
IJOTLSZ,O,X,O,O,X,X,X
IJOTLZS,X,X,O,X,X,X,X
IJOTSLZ,O,X,O,O,X,X,X
IJOTSZL,O,X,O,O,X,X,X
IJOTZLS,X,X,O,X,X,X,X
IJOTZSL,X,X,O,X,X,X,X
IJOLTSZ,O,X,O,O,O,X,X
IJOLTZS,X,X,O,X,O,X,X
IJOLSTZ,O,X,X,O,O,X,X
IJOLSZT,O,X,X,O,O,X,X
IJOLZTS,X,X,X,X,O,X,O
IJOLZST,X,X,X,O,O,X,X
IJOSTLZ,O,X,O,O,X,X,X
IJOSTZL,O,X,O,O,X,X,X
IJOSLTZ,O,X,X,O,O,X,X
IJOSLZT,O,X,X,O,O,X,X
IJOSZTL,O,X,X,O,X,X,X
IJOSZLT,O,X,X,O,X,O,X
IJOZTLS,X,X,O,X,X,X,X
IJOZTSL,X,X,O,X,X,X,X
IJOZLTS,X,X,X,X,X,X,O
IJOZLST,X,X,X,O,X,O,X
IJOZSTL,X,X,X,O,X,X,X
IJOZSLT,X,X,X,O,X,O,X
ISTLJZO,O,X,O,O,O,X,X
ISTLJOZ,O,X,O,O,O,X,X
ISTLZJO,O,O,O,O,X,X,X
ISTLZOJ,O,O,O,O,X,X,X
ISTLOJZ,O,X,O,O,O,X,X
ISTLOZJ,O,O,O,O,X,X,X
ISTJLZO,O,X,O,O,X,X,X
ISTJLOZ,O,X,O,O,X,X,X
ISTJZLO,O,X,O,O,X,X,X
ISTJZOL,O,X,O,O,X,X,X
ISTJOLZ,O,X,O,O,X,X,X
ISTJOZL,O,X,O,O,X,X,X
ISTZLJO,O,O,O,O,X,O,X
ISTZLOJ,O,O,O,O,X,O,X
ISTZJLO,O,O,O,O,X,X,X
ISTZJOL,O,O,O,O,X,X,X
ISTZOLJ,O,O,O,O,X,O,X
ISTZOJL,O,O,O,O,X,X,X
ISTOLJZ,O,X,O,O,O,X,X
ISTOLZJ,O,O,O,O,X,X,X
ISTOJLZ,O,X,O,O,X,X,X
ISTOJZL,O,X,O,O,X,X,X
ISTOZLJ,O,O,O,O,X,O,X
ISTOZJL,O,O,O,O,X,X,X
ISLTJZO,O,X,O,O,O,X,X
ISLTJOZ,O,X,O,O,O,X,X
ISLTZJO,O,O,O,O,X,X,X
ISLTZOJ,O,O,O,O,X,X,X
ISLTOJZ,O,X,O,O,O,X,X
ISLTOZJ,O,O,O,O,X,X,X
ISLJTZO,O,X,X,O,O,X,X
ISLJTOZ,O,X,X,O,O,X,X
ISLJZTO,X,X,X,O,O,X,X
ISLJZOT,O,X,X,O,O,X,X
ISLJOTZ,O,X,X,O,O,X,X
ISLJOZT,O,X,X,O,O,X,X
ISLZTJO,X,O,X,O,X,O,X
ISLZTOJ,X,O,X,O,X,O,O
ISLZJTO,X,O,X,O,O,O,X
ISLZJOT,O,X,X,O,O,O,X
ISLZOTJ,X,O,X,O,X,O,O
ISLZOJT,O,X,X,O,O,O,X
ISLOTJZ,O,X,O,O,O,X,X
ISLOTZJ,O,X,O,O,X,X,X
ISLOJTZ,O,X,X,O,O,X,X
ISLOJZT,O,X,X,O,O,X,X
ISLOZTJ,X,X,X,O,X,O,O
ISLOZJT,O,X,X,O,O,O,X
ISJTLZO,O,X,O,O,X,X,X
ISJTLOZ,O,X,O,O,X,X,X
ISJTZLO,O,X,O,O,X,X,X
ISJTZOL,O,X,O,O,X,X,X
ISJTOLZ,O,X,O,O,X,X,X
ISJTOZL,O,X,O,O,X,X,X
ISJLTZO,O,X,X,O,O,X,X
ISJLTOZ,O,X,X,O,O,X,X
ISJLZTO,X,X,X,O,O,X,X
ISJLZOT,O,X,X,O,O,X,X
ISJLOTZ,O,X,X,O,O,X,X
ISJLOZT,O,X,X,O,O,X,X
ISJZTLO,O,X,X,O,X,X,X
ISJZTOL,O,X,X,O,X,X,X
ISJZLTO,X,X,X,O,X,O,X
ISJZLOT,O,X,X,O,X,O,X
ISJZOTL,O,X,X,O,X,X,X
ISJZOLT,O,X,X,O,X,O,X
ISJOTLZ,O,X,O,O,X,X,X
ISJOTZL,O,X,O,O,X,X,X
ISJOLTZ,O,X,X,O,O,X,X
ISJOLZT,O,X,X,O,O,X,X
ISJOZTL,O,X,X,O,X,X,X
ISJOZLT,O,X,X,O,X,O,X
ISZTLJO,O,O,X,O,X,O,X
ISZTLOJ,O,O,X,O,X,O,O
ISZTJLO,O,O,X,O,X,X,X
ISZTJOL,O,O,X,O,X,X,X
ISZTOLJ,O,O,X,O,X,O,X
ISZTOJL,O,O,X,O,X,X,X
ISZLTJO,X,O,X,O,X,O,X
ISZLTOJ,X,O,X,O,X,O,O
ISZLJTO,X,O,X,O,O,O,X
ISZLJOT,O,X,X,O,O,O,X
ISZLOTJ,X,O,X,O,X,O,O
ISZLOJT,O,X,X,O,O,O,X
ISZJTLO,O,O,X,O,X,X,X
ISZJTOL,O,O,X,O,X,X,X
ISZJLTO,X,O,X,O,X,O,X
ISZJLOT,O,X,X,O,X,O,X
ISZJOTL,O,X,X,O,X,X,X
ISZJOLT,O,X,X,O,X,O,X
ISZOTLJ,O,O,X,O,X,O,X
ISZOTJL,O,O,X,O,X,X,X
ISZOLTJ,X,O,X,O,X,O,O
ISZOLJT,O,X,X,O,O,O,X
ISZOJTL,O,X,X,O,X,X,X
ISZOJLT,O,X,X,O,X,O,X
ISOTLJZ,O,X,O,O,O,X,X
ISOTLZJ,O,X,O,O,X,X,X
ISOTJLZ,O,X,O,O,X,X,X
ISOTJZL,O,X,O,O,X,X,X
ISOTZLJ,O,X,O,O,X,O,X
ISOTZJL,O,X,O,O,X,X,X
ISOLTJZ,O,X,O,O,O,X,X
ISOLTZJ,O,X,O,O,X,X,X
ISOLJTZ,O,X,X,O,O,X,X
ISOLJZT,O,X,X,O,O,X,X
ISOLZTJ,X,X,X,O,X,O,O
ISOLZJT,O,X,X,O,O,O,X
ISOJTLZ,O,X,O,O,X,X,X
ISOJTZL,O,X,O,O,X,X,X
