sequence,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdBmgBzkBq?qBFnB0rB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhFlgB3hBzkBO?sB0lBSwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFxcBClB/rBF?nB0qBmrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdBigBWqBF?nB0rBzqB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jei7IvhFFdBulBcmBz?kBXnBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFxcBlhBClB/?rBOsB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeeAJvhFzbBFdBcmBS?qBXnBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdB0gBzkBF?nBCrB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je08IvhFlgBzkBxmB6?qBXnB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeF9IvhF8kB5lBThBX?nBilB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFXdBClBFnBx?qBerB0rB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je2AJvhFXdBzkBUmBF?nBCmBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jei7IvhF5lBzkB/rBF?nBcrBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhF6lBzkB/rBF?nBmrB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je6AJvhFTcB8kBxmBl?qB3rBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je8EJvhFXhBFnBxqB6?qBOsBTrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhFClB/rBFnBT?lBmrB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhF0gBzkBFnBX?mBSwBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhF8kB3lBFnBT?rBOsBCrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXhBVnBzkB0?lBOsBSwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdB6lBzkBF?nB0rBerB
TILJSZO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TILOZJS,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJLSZO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOZL,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
