sequence,v115@vhHT5IXjB0gBStBlrB0qB2uBxxB,v115@vhHP9I0hBTfB+tBlsB0rBipBRvB,v115@vhH6IJXiB0gBznBlrB0qB2uBxxB,v115@vhHT5IXjB0hB+tBlsB0rBipBRvB,v115@vhHZ6IsnBOlBFmBMpBTtB3rBSvB,v115@vhHvAJTaB5oBysBlkB0rB0qB2uB,v115@vhHG5IvjBtnB0fBKpBTtBUsBRqB,v115@vhH5+IsnBOlBFmBMpBTtB3rBSvB,v115@vhHz1IKaB0gBvtBlkBxrB0qB2uB,v115@vhHX5IMjBTfB+tBlsB0rBipBRvB,v115@vhHx2IqgBzfB+tBssB3rBlqB0pB,v115@vhH+DJ0fBMsBRmBKpBTtBXrBFqB,v115@vhHX5IMjBTiB+tBlsB0rBipBRvB,v115@vhHU4IPoBzhB2pBSyBFsBUrBxuB,v115@vhH32IzgBskBStBlrB0qB2uBxxB,v115@vhH6+IziB+tBRmBUlBvpBlsB0rB,v115@vhHvAJTaBMoBlkBSyBxrB0qB2uB,v115@vhHz2I6jB0gBvtBlkBxrB0qB2uB,v115@vhHT1IPoB0fB2pBSyBFsBUrBxuB,v115@vhHvDJZkBlnBKrBUlBTtBUsBWvB,v115@vhHMCJvhB6oBznBlrB0qB2uBxxB,v115@vhHMDJviBTfB+tBlsB0rBipBRvB,v115@vhHz1IKaB0gBvtBlkB0sBxqB2uB,v115@vhH69IXjBsmB+tBMqBlsBTpBRwB,v115@vhHz2IKaB0gBvtBlkBxrB0qB2uB,v115@vhHzBJslBalB+tBMpB3sBlrBRvB,v115@vhHG5IUYBvjBtnBKpBTtBUsBRqB,v115@vhHz1IslBalB+tBMpB3sBlrBRvB,v115@vhHG5IvjB0fBlnBKpBTtBUsBRqB,v115@vhHq6IziBsmB+tBMpBlsBXqBRwB,v115@vhH02IvfBTgBsrBerBKpBFqBxxB,v115@vhHUDJZkBFnBMqBupBTtBSxBXrB,v115@vhHPDJ2kBStBFnBUmB0qBTpBRxB,v115@vhHvDJZfBlnBKqB+pBTtBUsBUrB,v115@vhHZ6IWjB6tBFnBMpBzsB0rBXqB,v115@vhHT1IMjBifB+tBMpBlsBXqBRwB,v115@vhH6+IvoB0mBtqBzkBUtB2uBxwB,v115@vhHT9IXjB0hB+tBlsB0rBipBRvB,v115@vhHZ6IzhBylBGoBMpB3sBlrB0qB,v115@vhHXDJzgBskBStB9rB0qB2uBxxB,v115@vhHT1I6oB0iBFgBvkBRmB0qB2uB,v115@vhHM+I+oBlnBzlBikB3rBUqBxxB,v115@vhHT5IMoBXmBspBOpBSyBFsBxvB,v115@vhHT+IMiBZkBFoBMrBSyBXsBGqB,v115@vhHvDJZfBlnB0mBKqB+pBTtBUrB,v115@vhHPIJzhB0fB2pBSyBFsBUrBxuB,v115@vhHXDJzgBskBStBlrB0qB2uBxxB,v115@vhHX5IMjBTiBStBlrB0qB2uBxxB,v115@vhHT5IMiBXjBStBlrB0qB2uBxxB,v115@vhHm4I0dB3hBznBdsBSyBUrBxuB,v115@vhHM/IynBMtBXmBFlBGsBTpBxvB,v115@vhHX4IMiB6oBznBlrB0qB2uBxxB,v115@vhHG5IvjBtnBypBTtBUsBUrBxuB,v115@vhHe9I5oBPlBlnB0mByxBUrBTpB,v115@vhHX5IMjBTiB+tBqrBMpBlsBRvB,v115@vhHT5IMoBunB3hBdsBSyBUrBxuB,v115@vhHG5IvjBlnBypBTtBUsBUrBxuB,v115@vhHT6IskB+tB3mBMqBKpBlsBRwB,v115@vhHyAJvoB0mBtqBzkBUtB2uBxwB,v115@vhH6+IziBsmB+tBMpBlsBXqBRwB,v115@vhHM+I+oBTfBlnBsqB3rBipBxxB,v115@vhHv6IKkBGnBFlBTtBUsBUrBxuB,v115@vhHM+I5oBlnBsqBOqByxB3rBTpB,v115@vhHT4IMoBunB3hBdsBSyBUrBxuB,v115@vhHT+IMiBvkBFoBSyBxrB0qB2uB,v115@vhH2BJvtBTnBMrBllBKpBUqBRxB,v115@vhHM+I+oBqmBPlBlnBUrBTpBxxB,v115@vhHT5IMoBliBRmBspBOpBSyBXsB,v115@vhHT5ItiBMoBRmBspBOpBSyBXsB,v115@vhHvDJZfBtnBKqB+pBTtBUsBUrB,v115@vhH01IvfBTgBsrBerBKpBFqBxxB,v115@vhHv6I6oBZkBzmBFlBUtBUrBWvB,v115@vhHX5IMjBykB+tBtsBMqBTpBRwB,v115@vhHPDJZkBMtBFnBUmBupBSxBTqB,v115@vhHs/I5oBatBvsBllB0rB2vBTpB,v115@vhHv6IKkBGoBzmBFlBUtBUrBxuB,v115@vhHM+I5oBlnBzlBspBOpByxB3rB,v115@vhH5+IiVBMfBvtBFlB0sBGrBTpB,v115@vhH6+IvoBTiB0mBUtBlqB2uBxwB,v115@vhHT6IMoBXmBspBOpBSyBFsBxvB,v115@vhHMDJ3dBykB+tBtsBMqBTpBRwB,v115@vhHZ6IziBymB+tBMpBlsB0rBXqB,v115@vhHT8I+fB6tB0nBxlB3rBlqB0pB,v115@vhHU3IPhBKkBWsBFlBTtBUrBxuB,v115@vhHZ6IWoBzhBilBMpBXtBFsBUrB,v115@vhHG3IsgB3hBznBdsBSyBUrBxuB,v115@vhH5DJMfBunBKtBFlBUsB3qBTpB,v115@vhH5+IulBMkB3nBlmBspBTtByvB,v115@vhHT7I5oBtkBatBvsBUmB0qB2uB
comments,Z-s-01,Z-s-02,Z-s-03,Z-s-04,Z-s-05,Z-s-06,Z-s-07,Z-s-08,Z-s-09,Z-s-10,Z-s-11,Z-s-12,Z-s-13,Z-s-14,Z-s-14M,Z-s-15,Z-s-16,Z-s-17,Z-s-18,Z-s-19,Z-s-20,Z-s-21,Z-s-22,Z-s-23,Z-s-24,Z-s-25,Z-s-26,Z-s-27,Z-s-28,Z-s-29,Z-s-30,Z-s-31,Z-s-32,Z-s-33,Z-s-34,Z-s-35,Z-s-36,Z-s-37,Z-s-38,Z-s-39,Z-s-40,Z-s-41,Z-s-42,Z-s-43,Z-s-44,Z-s-45,Z-s-45M,Z-s-46,Z-s-46,Z-s-47,Z-s-48,Z-s-49,Z-s-50,Z-s-51,Z-s-52,Z-s-53,Z-s-54,Z-s-55,Z-s-56,Z-s-57,Z-s-58,Z-s-59,Z-s-59M,Z-s-60,Z-s-61,Z-s-62,Z-s-63,Z-s-64,Z-s-65,Z-s-66,Z-s-67,Z-s-68,Z-s-69,Z-s-70,Z-s-71,Z-s-72,Z-s-72M,Z-s-73,Z-s-74,Z-s-75,Z-s-76,Z-s-77,Z-s-78,Z-s-79,Z-s-80,Z-s-81,Z-s-82,Z-s-83,Z-s-84
score,5434.027777777778,5394.047619047619,5317.857142857142,5273.174603174603,5264.444444444444,5258.908730158731,5123.353174603175,5111.25,5077.321428571428,5073.769841269841,5070.892857142857,5046.507936507936,5040.31746031746,5017.857142857143,5017.857142857143,5017.341269841269,5015.436507936508,5006.309523809523,5003.452380952381,4988.789682539683,4984.246031746032,4980.6150793650795,4971.329365079365,4962.063492063492,4952.043650793651,4951.746031746032,4929.722222222223,4926.984126984127,4914.4047619047615,4896.011904761905,4887.380952380952,4886.170634920635,4885.853174603175,4875.734126984127,4875.575396825396,4875.2182539682535,4869.4047619047615,4857.063492063492,4854.166666666667,4843.293650793651,4838.75,4837.023809523809,4836.269841269841,4820.476190476191,4819.166666666667,4818.690476190476,4818.690476190476,4816.746031746032,4816.746031746032,4813.9484126984125,4806.230158730159,4805.456349206349,4805.138888888889,4800.416666666667,4797.5,4783.055555555556,4778.1349206349205,4773.035714285715,4770.694444444444,4767.837301587301,4765.079365079364,4762.480158730159,4762.480158730159,4757.6984126984125,4750.357142857143,4739.444444444444,4734.940476190476,4731.9047619047615,4726.547619047619,4717.857142857143,4717.678571428572,4715.099206349207,4707.162698412699,4706.646825396825,4706.646825396825,4704.285714285714,4704.285714285714,4701.507936507936,4697.916666666667,4697.162698412699,4696.071428571428,4695.119047619048,4694.8015873015875,4691.8452380952385,4684.503968253968,4678.5317460317465,4677.599206349206,4673.373015873016,4665.892857142857
TILJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O
TILJSOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TILJZSO,O,O,X,O,X,O,X,X,X,O,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TILJZOS,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TILJOSZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TILJOZS,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,O
TILSJOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X
