sequence,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFRdBzhBaoBc?sBGrBdrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFTdBejBRmB9?mBUrBisB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFTdBZjBWrBc?sBirB9rB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFRdB8lBdoBa?sBGnBTrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFciBZjBXmBS?sBTrBmrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFqhBTdBZjBc?sBGrBdrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFTcB/iBajBU?rBRsBmrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhFRdBeoBzlBt?rBcsBirB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFicBZjBXmBT?nB+rBcsB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je6CJvhFZjBzhBUmB9?lBXsBOrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFxcBXmBmnB8?nBzrBirB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFzdB2nBXmBR?sB0rBirB,v115@zgC8FeC8GeD8FeD8FeE8CeC8JeT8IvhFZjB8mB+nBa?rB9lBXsB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFZjBUiBXmB6?nBzrBOrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je37IvhF6iBZjBzlBU?nBtmB2wB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFRdBiiBXmBz?nB0mB2wB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je39IvhFxgBdoBzlBW?sBasBUrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8JeU8IvhF3dB6lBdoBz?hBxrB2wB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFRdBmmBznB/?mBUrBisB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFRiBXmB8rBz?nBOrBisB,v115@zgC8FeC8GeD8FeD8FeE8CeC8JeyCJvhFxgBtlBXiBz?nB0mB2wB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFzdBXmBRsBi?sBOrB8rB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFTcBeoBxmBX?nBUrBisB,v115@zgC8FeC8GeD8FeD8FeE8CeC8JeaCJvhFxgBdoBzlBf?sBunBUrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8JeZDJvhFarBGnB9lB/?mBcnBzrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Jez9IvhFxgBCmBmnBN?sB3mBUrB,v115@zgC8FeC8GeD8FeD8FeE8CeC8Je9AJvhFmiBxmB/mBa?sBznBUrB
TILJSZO,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X
TILJZSO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
TILSJZO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
