sequence,v115@AhB8IeC8AeB8CeH8BeG8Jex6IvhF0cB6iBTeB/pBFl?BmpB,v115@AhB8IeC8AeB8CeH8BeG8Je06IvhFxcBTeBKkBGiBFl?BXqB,v115@AhB8IeC8AeB8CeH8BeG8JeT6IvhF0cBxdBCjB/pBFl?BOqB,v115@AhB8IeC8AeB8CeH8BeG8JeX7IvhFxcBTeBKkBGiBFl?B0pB,v115@AhB8IeC8AeB8CeH8BeG8Jex6IvhF0cB6iBTeBlfB2p?BXqB,v115@AhB8IeC8AeB8CeH8BeG8JeZ/IvhF0cB6iBTeBXlBup?BFqB,v115@AhB8IeC8AeB8CeH8BeG8JeT6IvhF0cBxdBVlBCjB2p?BXqB,v115@AhB8IeC8AeB8CeH8BeG8JeF7IvhF0cB6iBTeBxkBmp?B/pB,v115@AhB8IeC8AeB8CeH8BeG8Je06IvhFlcBxiBmpB/pBTq?BCtB,v115@AhB8IeC8AeB8CeH8BeG8Je1/IvhF0cB6iBTeBxkB2p?BXqB
TILJSZO,X,X,X,X,X,X,O,O,O,X
TILJSOZ,X,X,X,X,X,X,O,O,X,X
TILJZSO,X,X,X,X,X,X,O,O,X,X
TILJZOS,X,X,X,X,X,X,O,O,X,O
TILJOSZ,X,X,X,X,X,X,O,O,X,X
TILJOZS,X,X,X,X,X,X,O,O,X,O
TILSJZO,X,X,X,X,X,O,O,X,X,X
TILSJOZ,X,X,X,X,X,O,O,X,X,X
TILSZJO,X,X,X,X,X,O,O,X,X,X
TILSZOJ,X,X,X,X,X,O,X,X,X,O
TILSOJZ,X,X,X,X,X,O,X,X,X,X
TILSOZJ,X,X,X,X,X,O,X,X,X,O
TILZJSO,X,X,X,X,X,X,O,O,X,X
TILZJOS,X,X,X,X,X,X,O,O,X,O
TILZSJO,X,X,X,X,X,O,O,X,X,X
TILZSOJ,X,X,X,X,X,O,X,X,X,O
TILZOJS,X,X,X,X,O,X,O,O,X,O
TILZOSJ,O,X,X,X,X,O,X,X,X,O
TILOJSZ,X,X,X,X,X,X,O,O,X,X
TILOJZS,X,X,X,X,X,X,O,O,X,O
TILOSJZ,X,X,X,X,X,O,X,X,X,X
TILOSZJ,X,X,X,X,X,O,X,X,X,O
TILOZJS,X,X,X,X,O,X,O,O,X,O
TILOZSJ,O,X,X,X,X,O,X,X,X,O
TIJLSZO,X,X,X,X,X,X,O,X,O,X
TIJLSOZ,X,X,X,X,X,X,O,X,X,X
TIJLZSO,X,X,X,X,X,X,O,X,X,X
TIJLZOS,X,X,X,X,X,X,O,X,X,O
TIJLOSZ,X,X,X,X,X,X,O,X,X,X
TIJLOZS,X,X,X,X,X,X,O,X,X,O
TIJSLZO,X,X,X,X,X,X,X,X,O,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,O,X
TIJSZOL,X,X,X,X,X,X,X,X,O,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,O,X
TIJZLSO,X,X,X,X,X,X,O,X,X,X
TIJZLOS,X,X,X,X,X,X,O,X,X,O
TIJZSLO,X,X,X,X,X,X,X,X,O,X
TIJZSOL,X,X,X,X,X,X,X,X,O,X
TIJZOLS,X,X,X,X,X,X,O,X,X,O
TIJZOSL,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,O,X,X,X
TIJOLZS,X,X,X,X,X,X,O,X,X,O
TIJOSLZ,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,O,X
TIJOZLS,X,X,X,X,X,X,O,X,X,O
TIJOZSL,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,O,X,X,X,X
TISLJOZ,X,X,X,X,X,O,X,X,X,X
TISLZJO,X,X,X,X,X,O,X,X,X,X
TISLZOJ,X,X,X,X,X,O,X,X,X,O
TISLOJZ,X,X,X,X,X,O,X,X,X,X
TISLOZJ,X,X,X,X,X,O,X,X,X,O
TISJLZO,X,X,X,X,X,O,X,X,O,X
TISJLOZ,X,X,X,X,X,O,X,X,X,X
