sequence,v115@vhHZ/IqgBzfB8sB+tB1uBlqB3rB,v115@vhHeCJ5jBziBKpBfqBUrBFsBVyB,v115@vhHT+I0gBRnB+tBipB1vBlrB3sB,v115@vhHT6IXiBKpBRlBUqBFrBVxBGtB,v115@vhHq8IZkBUhBFlBWvBFrBXsBTtB,v115@vhHe8I3hB5oBlnBTpB0qBlrByxB,v115@vhH5+I0fBXhBKpBFqBVwBGsBTtB,v115@vhHZ6I0hBXjB+tBTpBiqB1wBlsB,v115@vhHG5I/jBZkBlnBCqBVwBUsBTtB,v115@vhHi1IcfB5oBFlBTpB3qB1wBmsB,v115@vhH87I5eBXhBKpBFqBVwBGsBTtB,v115@vhHZ6IfdB0hB+tBTpBiqB1wBlsB,v115@vhH66IZfBFlB8qBToB1uB3rBWyB,v115@vhHO+I5jBTkBfsBlnByuBUrBVyB,v115@vhH5+I0gBXiB+sBipB1vBlrBTtB,v115@vhHZ6I0gBXiBKqBTpBFrBVxBGtB,v115@vhHZ/ISjBzfB8sB+tB1uBlqB3rB,v115@vhH2/I5jBziBKpBfqBUrBFsBVyB,v115@vhH0AJXiBTjBWtBipB1vBlrBxxB,v115@vhHT/I0gBXiBypBFrBVxBGtBxuB,v115@vhHf8IZeB0gB+sBipB1vBlrBTtB,v115@vhH56I8cBXiBKqBTpBFrBVxBGtB,v115@vhH87IZeBXhBKpBFqBVwBGsBTtB,v115@vhH56IfdB0hB+tBTpBiqB1wBlsB,v115@vhH6+IZfBzfB8sB+tB1uBlqB3rB,v115@vhHO6I5jBziBKpBfqBUrBFsBVyB,v115@vhHZ/IqfBTbB8sB+tB1uBlqB3rB,v115@vhHT9IejB5jBKpBfqBUrBFsBVyB,v115@vhH01IZfBqgBzfB1uBlqB3rBGtB,v115@vhHX5IeiB5jBziBipBUrBFsBVyB,v115@vhH66IZfBTbBFlB8qB1uB3rBGtB,v115@vhHO+ITdB5jBfsBlnBipBUrBVyB,v115@vhHf8I5eB0gB+sBipB1vBlrBTtB,v115@vhHZ6I8cBXiBKqBTpBFrBVxBGtB,v115@vhHO6IXWBtkB0gBKpBRnB9tBTqB,v115@vhH04I6eBXiBdoBNpBRlB+tBTsB,v115@vhHy7IZkBUhBFlBWvBFrBXsBTtB,v115@vhHW9I3hB5oBlnBTpB0qBlrByxB,v115@vhHe+IZkB3hBlnBCqBVwBUsBTtB,v115@vhHq6IUhB5oBFlBTpB3qB1wBmsB,v115@vhHOEJcoBFlBxmB1uBzqBXsBSyB,v115@vhH/EJ6oBxlBlnB2uB0qBzrBVyB,v115@vhHOEJcoBFlBXmBTnB1uBSyBRwB,v115@vhH/EJ6oBTlB0mBlnB2uBVyBRwB,v115@vhHT6IXgBKpBRmBFqBVwBUsBGtB,v115@vhHT+I0iBRmB+tBipB3qB1wBlsB,v115@vhHx4IciBTeBFoBmpBFrBXsBSyB,v115@vhHx1ITaB/gBlkB2uB0qBlrBCtB,v115@vhHm1I0aBZkBClBVvBFrBXsBTtB,v115@vhHC5IXeB5oBmnBTpB0qBlrB1xB,v115@vhHZ6IuaBKgBcpBVvBFrBXsBTtB,v115@vhHa+I5eB+iB/tBTpB0qBlrB1xB,v115@vhHu9IceB5oBlnBTpBlqB3rByxB,v115@vhH/6IabBZkBFlBWvBUrBFsBTtB,v115@vhHx1ITaBikB8sB+tB1uBlqB3rB,v115@vhHx4ITeBKpBfqBGoBUrBFsBVyB,v115@vhHm2IZkBUhBClBVvBFrBXsBTtB,v115@vhHC4I3hB5oBmnBTpB0qBlrB1xB,v115@vhHm2IKkBUhBFlBFrBXsBTtBxuB,v115@vhHC4I3hB+oBlnBTpB0qBlrBxxB,v115@vhH01I/fB+jBKpBdqBRmB9sBTtB,v115@vhHX5IKfBcjBNqBRmBtsB+tBTpB,v115@vhHi1IOkB5oBFlB8qB1uB3rBzsB,v115@vhHG5IZkB6oBfsBlnBzpBUrBVyB,v115@vhHx2I/fBcgBKpBFqBVwBGsBTtB,v115@vhHx3I/iBcjB+tBTpBiqB1wBlsB,v115@vhHq6IfhB5oBFlBTpB1vB0rBmsB,v115@vhHe+I8hBZkBlnBCqBXrBVxBTtB,v115@vhH01I5eB/fBKpBFqBVwBGsBTtB,v115@vhHZ6IXZBcjB+tBTpBiqB1wBlsB,v115@vhHT1IxfBikB8sB+tB1uBlqB3rB,v115@vhHT5IxiBKpBfqBGoBUrBFsBVyB,v115@vhH26IfhBifBFlBTpB1vB0rBxsB,v115@vhHS+I8hBGjBlnBxpBXrBVxBTtB,v115@vhHT1I5eBOkBdlB/tB1uBCrB0sB,v115@vhHZ6ITZBtnB6oBcpBXqBmrBVyB,v115@vhH5+I/fBcgBKpBFqBVwBGsBTtB,v115@vhHZ6I/iBcjB+tBTpBiqB1wBlsB,v115@vhHc+IWiB5oBlnBTpBlqB3rByxB,v115@vhH/6IygBZkBFlBWvBUrBFsBTtB,v115@vhH01IZfBzfBKoB1uBlqB3rBWyB,v115@vhH01IZfBzfBeoB1uBlqB3rBSyB,v115@vhHX5I5jB+kBziByuBUrBFsBVyB,v115@vhHX5I5jBqkBziB2uBUrBFsBVyB,v115@vhH68IZfBzbBFlB8qB1uB3rBGtB,v115@vhHO8IzcB5jBfsBlnBipBUrBVyB,v115@vhH37IOkBcoBFlBxmB1uBzqBSyB,v115@vhHU9I/kB6oBxlBlnB2uBzrBVyB,v115@vhHO6I8aB5oBikB1uBlqB3rBzsB,v115@vhHf+I6eBZkBGoBzpBUrBFsBVyB,v115@vhHc+I+hB5oBlnBTpBlqB3rByxB,v115@vhH/6IKhBZkBFlBWvBUrBFsBTtB,v115@vhHSCJ/jBOpBxlBlnBVwBUsBTtB,v115@vhHc/I2gBFlBxmB6tBTpB3qB1wB,v115@vhHZ/IqfB0gBToB1uBlqB3rBWyB,v115@vhHeDJ5jBXiBTkByuBUrBFsBVyB,v115@vhHG5I/jBZkBtnBCqBVwBUsBTtB,v115@vhHi1IcfBdlB5oBTpB3qB1wBmsB,v115@vhHi1IOkB5oBFlBftB1uBzqBUsB,v115@vhHG5IZkB6oB8pBlnB3qBzrBVyB,v115@vhHZ6IzVBtkB0gB2uBlqB3rBCtB,v115@vhHz4I5eBXiBdoBmpBUrBFsBSyB,v115@vhHG5IZfB/jByqBlnB1uBUsBTtB,v115@vhHi1IcfB5jBFlBWsBTpB3qBVyB
comments,T-s-01,T-s-01M,T-s-02,T-s-02M,T-s-03,T-s-03M,T-s-04,T-s-04M,T-s-05,T-s-05M,T-s-06,T-s-06M,T-s-07,T-s-07M,T-s-08,T-s-08M,T-s-09,T-s-09M,T-s-10,T-s-10M,T-s-11,T-s-11M,T-s-12,T-s-12M,T-s-13,T-s-13M,T-s-14,T-s-14M,T-s-15,T-s-15M,T-s-15,T-s-15M,T-s-16,T-s-16M,T-s-17,T-s-17M,T-s-18,T-s-18M,T-s-19,T-s-19M,T-s-20,T-s-20M,T-s-20,T-s-20M,T-s-21,T-s-21M,T-s-22,T-s-22M,T-s-23,T-s-23M,T-s-23,T-s-23M,T-s-23M,T-s-23,T-s-24,T-s-24M,T-s-25,T-s-25M,T-s-25,T-s-25M,T-s-26,T-s-26M,T-s-27,T-s-27M,T-s-28,T-s-28M,T-s-29,T-s-29M,T-s-30,T-s-30M,T-s-31,T-s-31M,T-s-32,T-s-32M,T-s-33,T-s-33M,T-s-34,T-s-34M,T-s-35,T-s-35M,T-s-36,T-s-36,T-s-36M,T-s-36M,T-s-37,T-s-37M,T-s-38,T-s-38M,T-s-39,T-s-39M,T-s-40,T-s-40M,T-s-41,T-s-41M,T-s-42,T-s-42M,T-s-43,T-s-43M,T-s-44,T-s-44M,T-s-45,T-s-45M,T-s-46,T-s-46M
score,5595.416666666667,5595.416666666667,5553.035714285715,5553.035714285715,5496.230158730159,5496.230158730159,5466.369047619048,5466.369047619048,5450.138888888889,5450.138888888889,5417.5,5417.5,5369.583333333333,5369.583333333333,5351.666666666667,5351.666666666667,5318.769841269841,5318.769841269841,5317.857142857142,5317.857142857142,5295.099206349207,5295.099206349207,5295.099206349207,5295.099206349207,5289.206349206349,5289.206349206349,5278.869047619048,5278.869047619048,5260.714285714285,5260.714285714285,5260.714285714285,5260.714285714285,5218.293650793651,5218.293650793651,5210.416666666667,5210.416666666667,5196.170634920636,5196.170634920636,5195.376984126984,5195.376984126984,5175.158730158731,5175.158730158731,5175.158730158731,5175.158730158731,5170.515873015873,5170.515873015873,5167.023809523809,5167.023809523809,5160.793650793651,5160.793650793651,5160.793650793651,5160.793650793651,5160.793650793651,5160.793650793651,5154.821428571428,5154.821428571428,5145.178571428572,5145.178571428572,5145.178571428572,5145.178571428572,5131.646825396825,5131.646825396825,5121.230158730159,5121.230158730159,5112.857142857143,5112.857142857143,5109.841269841269,5109.841269841269,5095.297619047619,5095.297619047619,5093.015873015873,5093.015873015873,5092.976190476191,5092.976190476191,5087.678571428572,5087.678571428572,5083.234126984127,5083.234126984127,5083.234126984127,5083.234126984127,5074.880952380952,5074.880952380952,5074.880952380952,5074.880952380952,5068.710317460317,5068.710317460317,5065.039682539683,5065.039682539683,5059.107142857143,5059.107142857143,5058.472222222223,5058.472222222223,5057.876984126984,5057.876984126984,5054.821428571429,5054.821428571429,5041.230158730159,5041.230158730159,5040.158730158731,5040.158730158731,5038.214285714285,5038.214285714285,5025.119047619048,5025.119047619048
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILSJZO,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSJOZ,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
