sequence,v115@9gA8IeA8IeA8DeC8BeA8CeE8Ke5EJvhFigBUiBGjBF?mB/tBTqB,v115@9gA8IeA8IeA8DeC8BeA8CeE8KeRAJvhFUiBGjBzkBF?mB/tBSvB,v115@9gA8IeA8IeA8DeC8BeA8CeE8Kez/IvhFUiBaoB5oBF?mB3lBWvB,v115@9gA8IeA8IeA8DeC8BeA8CeE8Ke5EJvhFUiB/qBFmBT?oBiqBGtB,v115@9gA8IeA8IeA8DeC8BeA8CeE8KeRAJvhFUiBqpB/qBF?mBToBGtB
TJISOZL,X,X,X,X,X
TJIZLSO,X,X,X,X,X
TJIZLOS,X,X,O,X,X
TJIZSLO,X,X,X,X,X
TJIZSOL,X,X,X,X,X
TJIZOLS,X,X,O,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,X,X,X,X,X
TJIOLZS,X,X,O,X,X
TJIOSLZ,X,X,X,X,X
TJIOSZL,X,X,X,X,X
TJIOZLS,X,X,O,X,X
TJIOZSL,X,X,X,X,X
TJLISZO,X,X,X,X,X
TJLISOZ,X,X,X,X,X
TJLIZSO,X,X,X,X,X
TJLIZOS,X,X,O,X,X
TJLIOSZ,X,X,X,X,X
TJLIOZS,X,X,O,X,X
TJLSIZO,X,X,X,X,X
TJLSIOZ,X,X,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,X,X,X,X,X
TJLZIOS,X,X,O,X,X
TJLZSIO,X,X,X,X,X
TJLZSOI,X,X,X,X,X
TJLZOIS,X,X,O,X,X
TJLZOSI,X,X,X,X,X
TJLOISZ,X,X,X,X,X
TJLOIZS,X,X,O,X,X
TJLOSIZ,X,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,X,X,O,X,X
TJLOZSI,X,X,X,X,X
TJSILZO,X,X,X,X,X
TJSILOZ,X,X,X,X,X
TJSIZLO,X,X,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,X,X,X,X,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,X,X,X,X,X
TJSLZIO,X,X,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,X,X,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,X,X,X,X,X
TJSZIOL,X,X,X,X,X
TJSZLIO,X,X,X,X,X
TJSZLOI,X,X,X,X,X
TJSZOIL,X,X,X,X,X
TJSZOLI,X,X,X,X,X
TJSOILZ,X,X,X,X,X
TJSOIZL,X,X,X,X,X
TJSOLIZ,X,X,X,X,X
TJSOLZI,X,X,X,X,X
TJSOZIL,X,X,X,X,X
TJSOZLI,X,X,X,X,X
TJZILSO,X,X,X,X,X
TJZILOS,X,X,O,X,X
TJZISLO,X,X,X,X,X
TJZISOL,X,X,X,X,X
TJZIOLS,X,X,O,X,X
TJZIOSL,X,X,X,X,X
TJZLISO,X,X,X,X,X
TJZLIOS,X,X,O,X,X
TJZLSIO,X,X,X,X,X
TJZLSOI,X,X,X,X,X
TJZLOIS,X,X,O,X,X
TJZLOSI,X,X,X,X,X
TJZSILO,X,X,X,X,X
TJZSIOL,X,X,X,X,X
TJZSLIO,X,X,X,X,X
TJZSLOI,X,X,X,X,X
TJZSOIL,X,X,X,X,X
TJZSOLI,X,X,X,X,X
TJZOILS,X,X,O,X,X
TJZOISL,X,X,X,X,X
TJZOLIS,X,X,O,X,X
TJZOLSI,X,X,X,X,X
TJZOSIL,X,X,X,X,X
TJZOSLI,X,X,X,X,X
TJOILSZ,X,X,X,X,X
TJOILZS,X,X,O,X,X
TJOISLZ,X,X,X,X,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,X,O,X,X
TJOIZSL,X,X,X,X,X
TJOLISZ,X,X,X,X,X
TJOLIZS,X,X,O,X,X
TJOLSIZ,X,X,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,X,X,O,X,X
TJOLZSI,X,X,X,X,X
TJOSILZ,X,X,X,X,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,X,X,X,X,X
TJOSLZI,X,X,X,X,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,X,X,O,X,X
TJOZISL,X,X,X,X,X
TJOZLIS,X,X,O,X,X
TJOZLSI,X,X,X,X,X
TJOZSIL,X,X,X,X,X
TJOZSLI,X,X,X,X,X
TSILJZO,O,X,X,X,X
TSILJOZ,X,X,X,X,X
TSILZJO,O,X,X,X,X
TSILZOJ,X,X,X,X,X
TSILOJZ,X,X,X,X,X
TSILOZJ,X,X,X,X,X
TSIJLZO,O,X,X,X,X
TSIJLOZ,X,X,X,X,X
TSIJZLO,O,O,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,X,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,O,X,X,X,X
TSIZLOJ,X,X,X,X,X
TSIZJLO,O,O,X,X,X
TSIZJOL,X,X,X,X,X
TSIZOLJ,X,X,X,O,X
TSIZOJL,X,X,X,O,X
