sequence,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFOhBXdBCgBTlBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFxbBXdBmgBTlBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgB0cBzgBFnBxq?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgBXdBzgBFnBxq?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhF0cBzfB+lBKmBFn?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhF/gBUcBFdB2qBxm?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFXdBzfB+lBKmBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je06IvhFZhBCdB+lBVnBXg?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhF0cBmgBTgBFnBxq?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgBxcBUhB1qBXn?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFXdBmgBTgBFnBxq?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je5AJvhF0cBzfBKmBFnBmk?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFzfB3lBCnBOnBFm?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je5AJvhFXdBzfBKmBFnBmk?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Jez/IvhFRhBUmBFnBmkBCm?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFTcBSlB/rBFnBUl?BOsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFzfBUmBFnB3lB6r?BOsB
TILJSZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILJSOZ,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TILJZSO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILJZOS,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TILJOSZ,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TILJOZS,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
TILSJZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILSJOZ,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TILSZOJ,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
TILSOJZ,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TILSOZJ,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TILZJSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILZJOS,O,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TILZSOJ,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
TILZOJS,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TILZOSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TILOJSZ,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X
TILOJZS,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TILOSJZ,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TILOSZJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TILOZJS,O,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X
TILOZSJ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TIJLSZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJLSOZ,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJLZOS,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJLOZS,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJSLOZ,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJSZLO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJSZOL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJSOZL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJZLOS,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJZOLS,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TIJZOSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJOLSZ,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X
TIJOLZS,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
