sequence,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxdB0gBlhB3?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFqgBxdBlhB3?iB0mB2wB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeB0gBF?nBTrBmrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBxdBlgB3?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxdB0gBlhB3?iBmrBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFXeBxgBUmBF?nBOsBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFWhBxcBXeBU?mBFnBywB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBxdBlgB3?iBmrBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeBlgBU?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeBUiBF?mBzrBmqB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBXeBlgBx?mBOsBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFCcBxdBlhB3?iBmrBUrB
TILJSZO,X,O,X,O,O,X,X,O,O,X,O,X
TILJSOZ,X,O,X,O,X,X,X,O,O,X,O,X
TILJZSO,X,X,X,O,O,X,X,O,O,X,O,X
TILJZOS,X,X,X,O,X,X,X,O,O,X,X,X
TILJOSZ,X,O,X,X,X,X,X,O,O,X,O,X
TILJOZS,X,X,X,O,X,X,X,O,X,X,O,X
TILSJZO,X,O,O,O,O,X,X,O,O,X,O,X
TILSJOZ,X,O,X,O,X,X,X,O,O,X,O,X
TILSZJO,O,X,O,O,O,O,X,O,O,X,O,X
TILSZOJ,O,O,O,O,O,O,X,O,O,X,O,X
TILSOJZ,X,O,X,O,X,X,X,X,O,X,O,X
TILSOZJ,O,O,O,O,X,X,X,O,O,X,O,X
TILZJSO,X,X,X,O,O,O,X,O,O,X,O,X
TILZJOS,X,X,X,O,X,O,X,O,X,X,X,X
TILZSJO,O,X,O,O,O,O,X,O,O,X,O,X
TILZSOJ,O,X,O,O,O,O,X,O,O,X,O,X
TILZOJS,X,X,O,X,X,O,X,X,X,X,O,X
TILZOSJ,X,X,O,O,X,O,X,O,O,X,O,X
TILOJSZ,X,O,X,O,X,X,X,O,O,X,O,X
TILOJZS,X,X,X,O,X,X,X,O,X,X,O,X
TILOSJZ,X,O,X,O,X,X,X,X,O,X,O,X
TILOSZJ,O,O,X,O,X,X,X,O,O,X,O,X
TILOZJS,X,X,X,O,X,X,X,X,O,X,O,X
TILOZSJ,O,X,X,O,X,X,X,O,O,X,O,X
TIJLSZO,X,O,X,O,O,X,X,O,O,X,O,X
TIJLSOZ,X,O,X,O,X,X,X,O,O,X,O,X
TIJLZSO,X,X,X,O,O,X,X,O,O,X,O,X
TIJLZOS,X,X,X,O,X,X,X,O,O,X,X,X
TIJLOSZ,X,O,X,X,X,X,X,O,O,X,O,X
TIJLOZS,X,X,X,O,X,X,X,O,X,X,O,X
TIJSLZO,X,O,X,O,O,X,X,O,O,X,O,O
TIJSLOZ,X,O,X,O,X,X,X,O,O,X,O,O
TIJSZLO,X,O,X,O,O,X,X,O,O,X,O,O
TIJSZOL,X,X,X,O,O,X,X,O,O,X,X,O
TIJSOLZ,X,O,X,O,X,X,X,O,O,X,O,O
TIJSOZL,X,X,X,O,O,X,X,O,X,X,O,O
TIJZLSO,X,X,X,O,O,X,X,O,O,X,O,O
TIJZLOS,X,X,X,O,X,X,X,O,O,X,X,O
TIJZSLO,X,X,X,O,O,X,X,O,O,X,O,O
TIJZSOL,X,X,X,O,O,X,X,O,O,X,X,O
TIJZOLS,X,X,X,O,X,X,X,O,O,X,X,O
TIJZOSL,X,X,X,X,X,X,X,X,O,X,X,O
TIJOLSZ,X,O,X,X,X,X,X,O,O,X,O,X
TIJOLZS,X,X,X,O,X,X,X,O,X,X,O,X
TIJOSLZ,X,O,X,X,X,X,X,O,O,X,O,O
TIJOSZL,X,X,X,X,X,X,X,O,X,X,O,O
TIJOZLS,X,X,X,O,X,X,X,O,X,X,O,O
TIJOZSL,X,X,X,X,X,X,X,O,X,X,O,O
TISLJZO,X,O,O,O,O,X,X,O,O,X,O,X
TISLJOZ,X,O,X,O,X,X,X,O,O,X,O,O
